date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-02-15,OCEA,9.96,13.93,6.02,6.03,6.03,144921,0.0,1.0
2023-02-16,OCEA,6.62,7.55,5.35,5.4169,5.4169,146072,0.0,1.0
2023-02-17,OCEA,5.41,5.41,3.79,3.98,3.98,52354,0.0,1.0
2023-02-21,OCEA,4.03,4.3,3.162,3.36,3.36,106311,0.0,1.0
2023-02-22,OCEA,3.24,6.38,3.06,4.81,4.81,1865837,0.0,1.0
2023-02-23,OCEA,6.45,26.6015,6.41,10.8,10.8,28421208,0.0,1.0
2023-02-24,OCEA,8.24,10.76,7.8,9.99,9.99,7380455,0.0,1.0
2023-02-27,OCEA,9.09,11.61,8.64,9.34,9.34,2980215,0.0,1.0
2023-02-28,OCEA,9.11,9.45,7.75,8.0,8.0,1040182,0.0,1.0
2023-03-01,OCEA,7.75,7.8128,5.85,6.61,6.61,649627,0.0,1.0
2023-03-02,OCEA,6.26,6.5999,5.82,6.26,6.26,227768,0.0,1.0
2023-03-03,OCEA,6.2,6.89,5.89,6.47,6.47,382093,0.0,1.0
2023-03-06,OCEA,6.34,6.41,5.3,5.5,5.5,340308,0.0,1.0
2023-03-07,OCEA,5.51,5.7,5.01,5.1,5.1,119783,0.0,1.0
2023-03-08,OCEA,5.06,5.19,4.4101,4.69,4.69,206866,0.0,1.0
2023-03-09,OCEA,9.1,11.2,7.24,10.56,10.56,60246881,0.0,1.0
2023-03-10,OCEA,8.5,9.926,7.35,8.0,8.0,6343902,0.0,1.0
2023-03-13,OCEA,8.06,9.37,7.555,8.38,8.38,2531200,0.0,1.0
2023-03-14,OCEA,8.09,8.16,7.0348,7.41,7.41,646803,0.0,1.0
2023-03-15,OCEA,7.37,7.37,6.19,6.59,6.59,399957,0.0,1.0
2023-03-16,OCEA,6.24,7.4,6.22,7.02,7.02,293298,0.0,1.0
2023-03-17,OCEA,6.8,7.2,6.52,7.17,7.17,370184,0.0,1.0
2023-03-20,OCEA,6.76,7.8985,6.76,7.12,7.12,523037,0.0,1.0
2023-03-21,OCEA,7.07,7.47,6.89,7.37,7.37,228251,0.0,1.0
2023-03-22,OCEA,7.22,7.51,7.0,7.16,7.16,84767,0.0,1.0
2023-03-23,OCEA,7.15,7.8,6.99,7.55,7.55,267950,0.0,1.0
2023-03-24,OCEA,7.4,7.5,7.08,7.21,7.21,52263,0.0,1.0
2023-03-27,OCEA,7.21,7.21,7.0,7.03,7.03,51872,0.0,1.0
2023-03-28,OCEA,7.03,7.05,6.6,7.04,7.04,37442,0.0,1.0
2023-03-29,OCEA,6.94,7.11,6.7101,6.77,6.77,33419,0.0,1.0
2023-03-30,OCEA,6.82,7.2,6.7482,7.03,7.03,49961,0.0,1.0
2023-03-31,OCEA,7.03,7.18,6.64,6.64,6.64,99679,0.0,1.0
2023-04-03,OCEA,6.67,6.71,4.89,5.36,5.36,208092,0.0,1.0
2023-04-04,OCEA,5.27,5.4699,4.913,5.14,5.14,120639,0.0,1.0
2023-04-05,OCEA,5.0,5.47,5.0,5.41,5.41,111861,0.0,1.0
2023-04-06,OCEA,5.2,5.44,5.05,5.15,5.15,123319,0.0,1.0
2023-04-10,OCEA,5.1,5.3,4.94,5.29,5.29,66671,0.0,1.0
2023-04-11,OCEA,5.29,5.4699,4.67,4.67,4.67,167005,0.0,1.0
2023-04-12,OCEA,4.71,4.85,4.5,4.51,4.51,116567,0.0,1.0
2023-04-13,OCEA,4.97,7.41,4.83,6.76,6.76,20978437,0.0,1.0
2023-04-14,OCEA,6.67,7.17,6.23,6.6,6.6,1436817,0.0,1.0
2023-04-17,OCEA,7.1,7.708,6.22,6.78,6.78,1149378,0.0,1.0
2023-04-18,OCEA,6.93,6.93,6.4001,6.79,6.79,181673,0.0,1.0
2023-04-19,OCEA,6.61,6.69,6.4,6.58,6.58,82885,0.0,1.0
2023-04-20,OCEA,7.08,7.8999,6.8,7.2,7.2,1575991,0.0,1.0
2023-04-21,OCEA,6.94,7.15,6.57,7.07,7.07,151139,0.0,1.0
2023-04-24,OCEA,6.9,6.985,6.4001,6.7,6.7,101985,0.0,1.0
2023-04-25,OCEA,6.23,6.52,5.89,6.41,6.41,166049,0.0,1.0
2023-04-26,OCEA,6.35,6.88,6.14,6.47,6.47,145635,0.0,1.0
