date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-07-08,OKLO,10.0,10.04,9.97,9.98,9.98,15054506,0.0,1.0
2021-07-09,OKLO,9.98,10.05,9.98,10.05,10.05,1529356,0.0,1.0
2021-07-12,OKLO,10.0,10.05,10.0,10.05,10.05,1030741,0.0,1.0
2021-07-13,OKLO,10.02,10.0319,10.01,10.01,10.01,137732,0.0,1.0
2021-07-14,OKLO,10.0,10.0,9.97,9.97,9.97,129348,0.0,1.0
2021-07-15,OKLO,9.9466,10.02,9.9466,9.99,9.99,51822,0.0,1.0
2021-07-16,OKLO,9.97,9.985,9.9,9.97,9.97,158617,0.0,1.0
2021-07-19,OKLO,9.9,9.935,9.86,9.86,9.86,1049551,0.0,1.0
2021-07-20,OKLO,9.86,9.89,9.8301,9.85,9.85,1085276,0.0,1.0
2021-07-21,OKLO,9.9,9.9,9.8617,9.8792,9.8792,17201,0.0,1.0
2021-07-22,OKLO,9.9,9.9,9.87,9.87,9.87,3707,0.0,1.0
2021-07-23,OKLO,9.89,9.89,9.8788,9.8788,9.8788,8365,0.0,1.0
2021-07-26,OKLO,9.86,9.8632,9.85,9.85,9.85,9518,0.0,1.0
2021-07-27,OKLO,9.8,9.88,9.8,9.85,9.85,23168,0.0,1.0
2021-07-28,OKLO,9.86,9.89,9.85,9.85,9.85,13920,0.0,1.0
2021-07-29,OKLO,9.8616,9.8616,9.82,9.85,9.85,3715,0.0,1.0
2021-07-30,OKLO,9.86,9.86,9.81,9.85,9.85,8034,0.0,1.0
2021-08-02,OKLO,9.9,9.9,9.8472,9.89,9.89,7405,0.0,1.0
2021-08-03,OKLO,9.91,9.91,9.86,9.88,9.88,12136,0.0,1.0
2021-08-04,OKLO,9.85,9.88,9.85,9.88,9.88,32791,0.0,1.0
2021-08-05,OKLO,9.85,9.97,9.85,9.95,9.95,646508,0.0,1.0
2021-08-06,OKLO,9.8818,9.91,9.873,9.91,9.91,31798,0.0,1.0
2021-08-09,OKLO,9.9,9.9,9.89,9.89,9.89,1157,0.0,1.0
2021-08-10,OKLO,9.909,9.95,9.909,9.95,9.95,4462,0.0,1.0
