date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-07-22,OPAL,7.3701,7.8625,5.94,7.79,7.79,54860,0.0,1.0
2022-07-25,OPAL,7.69,10.03,7.341,10.03,10.03,380783,0.0,1.0
2022-07-26,OPAL,10.0,10.15,9.85,10.05,10.05,437126,0.0,1.0
2022-07-27,OPAL,10.05,10.13,9.76,9.98,9.98,92782,0.0,1.0
2022-07-28,OPAL,10.1,10.11,9.7,9.77,9.77,65191,0.0,1.0
2022-07-29,OPAL,9.75,10.09,9.39,9.85,9.85,49838,0.0,1.0
2022-08-01,OPAL,10.0,10.045,9.53,9.75,9.75,36617,0.0,1.0
2022-08-02,OPAL,9.88,10.8,9.783,10.15,10.15,89303,0.0,1.0
2022-08-03,OPAL,10.25,10.27,9.927,10.17,10.17,39675,0.0,1.0
2022-08-04,OPAL,10.0368,10.1375,9.79,9.87,9.87,23282,0.0,1.0
2022-08-05,OPAL,10.05,10.51,9.9004,10.2,10.2,48031,0.0,1.0
2022-08-08,OPAL,10.84,10.99,10.13,10.81,10.81,75938,0.0,1.0
2022-08-09,OPAL,10.91,12.352,10.54,11.5,11.5,83875,0.0,1.0
2022-08-10,OPAL,11.59,11.59,10.51,10.86,10.86,65011,0.0,1.0
2022-08-11,OPAL,10.52,10.535,10.01,10.25,10.25,83559,0.0,1.0
2022-08-12,OPAL,10.3,10.6,10.3,10.46,10.46,40282,0.0,1.0
2022-08-15,OPAL,10.21,10.97,9.5,10.1,10.1,46998,0.0,1.0
2022-08-16,OPAL,10.0,10.24,9.93,9.99,9.99,13943,0.0,1.0
2022-08-17,OPAL,9.9,10.4267,9.23,9.28,9.28,65171,0.0,1.0
2022-08-18,OPAL,9.35,10.1408,9.35,9.6,9.6,23763,0.0,1.0
2022-08-19,OPAL,9.85,10.07,9.36,9.52,9.52,60067,0.0,1.0
2022-08-22,OPAL,9.63,9.99,9.55,9.55,9.55,8739,0.0,1.0
2022-08-23,OPAL,9.95,9.96,9.5,9.77,9.77,17832,0.0,1.0
2022-08-24,OPAL,9.63,10.0,9.5001,9.93,9.93,15667,0.0,1.0
2022-08-25,OPAL,10.01,10.1,9.61,9.79,9.79,3734,0.0,1.0
2022-08-26,OPAL,9.97,10.0014,9.61,9.94,9.94,10795,0.0,1.0
2022-08-29,OPAL,9.66,10.05,9.54,10.04,10.04,9827,0.0,1.0
2022-08-30,OPAL,10.0,10.032,9.66,9.86,9.86,11176,0.0,1.0
2022-08-31,OPAL,9.81,10.03,9.55,9.99,9.99,8565,0.0,1.0
2022-09-01,OPAL,9.94,10.0,9.6601,9.93,9.93,8283,0.0,1.0
2022-09-02,OPAL,9.9747,10.05,9.77,10.02,10.02,9621,0.0,1.0
2022-09-06,OPAL,10.02,10.02,9.6,9.94,9.94,23160,0.0,1.0
2022-09-07,OPAL,9.79,10.02,9.6,9.78,9.78,13735,0.0,1.0
2022-09-08,OPAL,9.88,10.018,9.71,10.0,10.0,15918,0.0,1.0
2022-09-09,OPAL,9.67,10.02,9.67,10.02,10.02,17234,0.0,1.0
2022-09-12,OPAL,10.02,10.07,9.83,10.005,10.005,26140,0.0,1.0
2022-09-13,OPAL,9.86,9.99,9.7,9.98,9.98,18238,0.0,1.0
2022-09-14,OPAL,9.99,10.27,9.82,10.01,10.01,82141,0.0,1.0
2022-09-15,OPAL,10.11,10.11,9.75,10.02,10.02,62576,0.0,1.0
2022-09-16,OPAL,9.72,10.02,9.69,9.69,9.69,73747,0.0,1.0
2022-09-19,OPAL,9.65,9.775,9.0,9.24,9.24,50365,0.0,1.0
2022-09-20,OPAL,9.15,9.35,9.1042,9.32,9.32,42940,0.0,1.0
2022-09-21,OPAL,9.22,9.3499,9.0,9.1,9.1,13870,0.0,1.0
2022-09-22,OPAL,9.235,9.35,9.0,9.11,9.11,32876,0.0,1.0
2022-09-23,OPAL,9.35,9.35,9.0,9.18,9.18,11020,0.0,1.0
2022-09-26,OPAL,9.11,9.11,7.51,8.49,8.49,71456,0.0,1.0
2022-09-27,OPAL,8.49,9.0566,7.9,8.41,8.41,9441,0.0,1.0
2022-09-28,OPAL,8.62,8.83,8.25,8.83,8.83,9007,0.0,1.0
2022-09-29,OPAL,8.84,8.84,7.89,8.3,8.3,8896,0.0,1.0
2022-09-30,OPAL,8.1,8.57,8.03,8.28,8.28,15326,0.0,1.0
2022-10-03,OPAL,8.23,8.51,8.02,8.05,8.05,8597,0.0,1.0
2022-10-04,OPAL,8.01,8.23,7.82,7.94,7.94,42572,0.0,1.0
2022-10-05,OPAL,7.98,7.98,7.5012,7.55,7.55,7455,0.0,1.0
2022-10-06,OPAL,7.5,7.98,7.5,7.71,7.71,7505,0.0,1.0
