date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-09-04,ORGN,10.0,10.0,9.95,10.0,10.0,11506,0.0,1.0
2020-09-08,ORGN,10.27,10.27,9.915,9.95,9.95,82469,0.0,1.0
2020-09-09,ORGN,10.0,10.01,9.91,9.99,9.99,1775622,0.0,1.0
2020-09-10,ORGN,10.0,10.025,9.836,9.96,9.96,1758528,0.0,1.0
2020-09-11,ORGN,10.05,10.1,9.92,9.96,9.96,47627,0.0,1.0
2020-09-14,ORGN,10.05,10.1,9.95,10.0,10.0,49177,0.0,1.0
2020-09-15,ORGN,9.985,10.0,9.905,9.97,9.97,71688,0.0,1.0
2020-09-16,ORGN,9.97,10.01,9.9225,9.975,9.975,50087,0.0,1.0
2020-09-17,ORGN,10.48,10.48,9.93,9.93,9.93,71738,0.0,1.0
2020-09-18,ORGN,10.0,10.0,9.93,9.95,9.95,357821,0.0,1.0
2020-09-21,ORGN,9.93,10.08,9.93,9.95,9.95,618902,0.0,1.0
2020-09-22,ORGN,10.04,10.04,9.91,9.92,9.92,69736,0.0,1.0
2020-09-23,ORGN,9.9311,9.95,9.92,9.95,9.95,48764,0.0,1.0
2020-09-24,ORGN,9.93,9.9348,9.87,9.87,9.87,79964,0.0,1.0
2020-09-25,ORGN,9.97,9.97,9.87,9.88,9.88,367137,0.0,1.0
2020-09-28,ORGN,10.05,10.0584,9.91,9.95,9.95,265312,0.0,1.0
2020-09-29,ORGN,10.03,10.03,9.9101,9.94,9.94,92567,0.0,1.0
2020-09-30,ORGN,10.0,10.0,9.92,9.94,9.94,61188,0.0,1.0
2020-10-01,ORGN,9.95,9.98,9.9,9.94,9.94,2674171,0.0,1.0
2020-10-02,ORGN,9.89,9.95,9.88,9.95,9.95,80313,0.0,1.0
2020-10-05,ORGN,9.95,9.95,9.825,9.865,9.865,824979,0.0,1.0
2020-10-06,ORGN,9.84,9.9,9.76,9.78,9.78,884224,0.0,1.0
2020-10-07,ORGN,9.78,9.84,9.75,9.8,9.8,238988,0.0,1.0
2020-10-08,ORGN,9.8499,9.8499,9.77,9.785,9.785,127320,0.0,1.0
2020-10-09,ORGN,9.81,9.81,9.76,9.77,9.77,354024,0.0,1.0
2020-10-12,ORGN,9.8,9.9899,9.79,9.8,9.8,179375,0.0,1.0
2020-10-13,ORGN,9.8225,9.91,9.77,9.8,9.8,47061,0.0,1.0
2020-10-14,ORGN,9.8501,9.89,9.8,9.8,9.8,334428,0.0,1.0
2020-10-15,ORGN,9.85,9.85,9.72,9.79,9.79,331949,0.0,1.0
2020-10-16,ORGN,9.75,9.79,9.75,9.78,9.78,7184,0.0,1.0
2020-10-19,ORGN,9.77,9.805,9.765,9.8,9.8,261431,0.0,1.0
2020-10-20,ORGN,9.79,9.8,9.7,9.8,9.8,24999,0.0,1.0
2020-10-21,ORGN,9.8,9.8,9.74,9.75,9.75,674450,0.0,1.0
2020-10-22,ORGN,9.76,9.78,9.7,9.78,9.78,361902,0.0,1.0
2020-10-23,ORGN,9.73,9.78,9.7,9.71,9.71,160387,0.0,1.0
2020-10-26,ORGN,9.76,9.76,9.67,9.69,9.69,147825,0.0,1.0
2020-10-27,ORGN,9.74,9.74,9.68,9.685,9.685,601890,0.0,1.0
2020-10-28,ORGN,9.67,9.69,9.575,9.62,9.62,590458,0.0,1.0
2020-10-29,ORGN,9.62,9.6571,9.595,9.65,9.65,611860,0.0,1.0
2020-10-30,ORGN,9.6,9.69,9.58,9.647,9.647,153144,0.0,1.0
2020-11-02,ORGN,9.64,9.69,9.6084,9.69,9.69,429791,0.0,1.0
2020-11-03,ORGN,9.61,9.76,9.6,9.71,9.71,725049,0.0,1.0
2020-11-04,ORGN,9.64,9.75,9.64,9.72,9.72,120242,0.0,1.0
2020-11-05,ORGN,9.735,9.78,9.7001,9.78,9.78,33521,0.0,1.0
2020-11-06,ORGN,9.78,9.78,9.72,9.72,9.72,11119,0.0,1.0
2020-11-09,ORGN,9.74,9.7599,9.72,9.74,9.74,144660,0.0,1.0
2020-11-10,ORGN,9.75,9.75,9.72,9.75,9.75,25536,0.0,1.0
2020-11-11,ORGN,9.7,9.75,9.7,9.74,9.74,2209,0.0,1.0
2020-11-12,ORGN,9.725,9.77,9.7,9.7,9.7,17333,0.0,1.0
2020-11-13,ORGN,9.75,9.83,9.75,9.78,9.78,153720,0.0,1.0
2020-11-16,ORGN,9.763,9.8,9.74,9.8,9.8,322010,0.0,1.0
2020-11-17,ORGN,9.82,9.82,9.75,9.78,9.78,15314,0.0,1.0
2020-11-18,ORGN,9.78,9.8,9.74,9.8,9.8,24199,0.0,1.0
2020-11-19,ORGN,9.815,9.89,9.8,9.87,9.87,125932,0.0,1.0
2020-11-20,ORGN,9.8391,9.89,9.8,9.89,9.89,32813,0.0,1.0
2020-11-23,ORGN,9.9,9.9099,9.8,9.88,9.88,243803,0.0,1.0
2020-11-24,ORGN,9.8956,9.93,9.82,9.91,9.91,618870,0.0,1.0
2020-11-25,ORGN,9.94,9.94,9.8,9.92,9.92,361067,0.0,1.0
2020-11-27,ORGN,9.94,9.95,9.88,9.95,9.95,50212,0.0,1.0
2020-11-30,ORGN,10.0,10.02,9.91,9.95,9.95,353179,0.0,1.0
