date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-10-09,OUST,9.7,9.7,9.7,9.7,97.0,100,0.0,1.0
2020-10-12,OUST,9.7,9.7,9.7,9.7,97.0,0,0.0,1.0
2020-10-13,OUST,9.7,9.7,9.7,9.7,97.0,0,0.0,1.0
2020-10-14,OUST,9.7,9.7,9.64,9.7,97.0,10410,0.0,1.0
2020-10-15,OUST,9.7,9.7,9.7,9.7,97.0,60,0.0,1.0
2020-10-16,OUST,9.7,9.7,9.7,9.7,97.0,0,0.0,1.0
2020-10-19,OUST,9.6676,9.6676,9.6676,9.6676,96.676,101,0.0,1.0
2020-10-20,OUST,9.65,9.69,9.6,9.69,96.9,366810,0.0,1.0
2020-10-21,OUST,9.69,9.69,9.69,9.69,96.9,366810,0.0,1.0
2020-10-22,OUST,9.69,9.69,9.69,9.69,96.9,10,0.0,1.0
2020-10-23,OUST,9.7,9.7,9.6,9.65,96.5,401410,0.0,1.0
2020-10-26,OUST,9.6721,9.6721,9.6201,9.6292,96.292,6364,0.0,1.0
2020-10-27,OUST,9.65,9.65,9.63,9.63,96.3,17562,0.0,1.0
2020-10-28,OUST,9.61,9.63,9.6,9.6,96.0,202984,0.0,1.0
2020-10-29,OUST,9.6213,9.65,9.6213,9.65,96.5,344,0.0,1.0
2020-10-30,OUST,9.635,9.635,9.54,9.6,96.0,203216,0.0,1.0
2020-11-02,OUST,9.95,9.95,9.57,9.6,96.0,11450,0.0,1.0
2020-11-03,OUST,9.59,9.64,9.59,9.62,96.2,1400,0.0,1.0
2020-11-04,OUST,9.62,9.67,9.5972,9.67,96.7,50104,0.0,1.0
2020-11-05,OUST,9.585,9.67,9.585,9.67,96.7,4302,0.0,1.0
2020-11-06,OUST,9.665,9.665,9.61,9.62,96.2,3745,0.0,1.0
2020-11-09,OUST,9.63,9.63,9.61,9.61,96.1,38976,0.0,1.0
2020-11-10,OUST,9.689,9.71,9.6401,9.65,96.5,2806,0.0,1.0
2020-11-11,OUST,9.6722,9.69,9.65,9.65,96.5,2611,0.0,1.0
2020-11-12,OUST,9.65,9.65,9.65,9.65,96.5,0,0.0,1.0
2020-11-13,OUST,9.79,9.79,9.65,9.65,96.5,930,0.0,1.0
2020-11-16,OUST,9.685,10.0,9.66,10.0,100.0,364276,0.0,1.0
2020-11-17,OUST,9.7,9.77,9.69,9.72,97.2,585271,0.0,1.0
2020-11-18,OUST,9.7,9.7,9.66,9.69,96.9,3430,0.0,1.0
2020-11-19,OUST,9.8,9.8,9.66,9.74,97.4,1064553,0.0,1.0
2020-11-20,OUST,9.7,9.83,9.7,9.83,98.3,1100,0.0,1.0
2020-11-23,OUST,9.83,9.83,9.83,9.83,98.3,21,0.0,1.0
2020-11-24,OUST,9.7,9.73,9.65,9.719,97.19,1090,0.0,1.0
2020-11-25,OUST,9.75,9.75,9.68,9.73,97.3,5990,0.0,1.0
2020-11-27,OUST,9.69,9.75,9.69,9.75,97.5,2330,0.0,1.0
2020-11-30,OUST,9.75,9.85,9.7305,9.85,98.5,67899,0.0,1.0
2020-12-01,OUST,9.77,9.8,9.75,9.8,98.0,18267,0.0,1.0
2020-12-02,OUST,9.85,9.85,9.75,9.76,97.6,24228,0.0,1.0
2020-12-03,OUST,9.72,9.82,9.72,9.78,97.8,6923,0.0,1.0
2020-12-04,OUST,9.77,9.82,9.76,9.8,98.0,33515,0.0,1.0
2020-12-07,OUST,9.77,9.8,9.7,9.77,97.7,28521,0.0,1.0
2020-12-08,OUST,9.84,9.99,9.8,9.85,98.5,149837,0.0,1.0
2020-12-09,OUST,9.85,9.99,9.83,9.95,99.5,112152,0.0,1.0
2020-12-10,OUST,9.99,10.0,9.95,9.99,99.9,45227,0.0,1.0
2020-12-11,OUST,10.0,10.04,9.975,9.995,99.95,77200,0.0,1.0
2020-12-14,OUST,10.05,10.19,10.04,10.12,101.2,238767,0.0,1.0
2020-12-15,OUST,10.1702,10.26,10.05,10.07,100.7,117894,0.0,1.0
2020-12-16,OUST,10.07,10.11,10.04,10.08,100.8,96067,0.0,1.0
2020-12-17,OUST,10.2,10.2,10.07,10.07,100.7,4077,0.0,1.0
2020-12-18,OUST,10.01,10.05,10.01,10.05,100.5,9047,0.0,1.0
