date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-11-05,OWLT,9.8,9.8,9.7,9.7,135.8,200,0.0,1.0
2020-11-06,OWLT,9.7,9.7,9.7,9.7,135.8,51,0.0,1.0
2020-11-09,OWLT,9.7,9.7,9.7,9.7,135.8,2,0.0,1.0
2020-11-10,OWLT,9.7,9.7,9.7,9.7,135.8,0,0.0,1.0
2020-11-11,OWLT,9.69,9.69,9.64,9.64,134.96,5898,0.0,1.0
2020-11-12,OWLT,9.64,9.65,9.64,9.64,134.96,410,0.0,1.0
2020-11-13,OWLT,9.64,9.64,9.64,9.64,134.96,11,0.0,1.0
2020-11-16,OWLT,9.64,9.64,9.64,9.64,134.96,3,0.0,1.0
2020-11-17,OWLT,9.6628,9.67,9.65,9.65,135.1,256402,0.0,1.0
2020-11-18,OWLT,9.67,9.67,9.67,9.67,135.38,100051,0.0,1.0
2020-11-19,OWLT,9.69,9.78,9.69,9.78,136.92,22425,0.0,1.0
2020-11-20,OWLT,9.78,9.78,9.72,9.74,136.36,155982,0.0,1.0
2020-11-23,OWLT,9.79,10.28,9.73,9.74,136.36,23311,0.0,1.0
2020-11-24,OWLT,9.7,9.81,9.65,9.66,135.24,35740,0.0,1.0
2020-11-25,OWLT,9.66,9.66,9.66,9.66,135.24,4,0.0,1.0
2020-11-27,OWLT,9.78,9.85,9.75,9.75,136.5,249220,0.0,1.0
2020-11-30,OWLT,9.73,9.775,9.73,9.75,136.5,38654,0.0,1.0
2020-12-01,OWLT,9.733,9.759,9.733,9.759,136.626,1550,0.0,1.0
2020-12-02,OWLT,9.75,9.7871,9.75,9.7732,136.8248,3669,0.0,1.0
2020-12-03,OWLT,9.85,9.85,9.7198,9.72,136.08,69264,0.0,1.0
2020-12-04,OWLT,9.82,9.82,9.75,9.77,136.78,9706,0.0,1.0
2020-12-07,OWLT,9.8,9.8699,9.77,9.8699,138.1786,7328,0.0,1.0
2020-12-08,OWLT,9.87,9.87,9.8,9.83,137.62,12568,0.0,1.0
2020-12-09,OWLT,9.89,9.91,9.86,9.86,138.04,120307,0.0,1.0
2020-12-10,OWLT,9.88,9.93,9.88,9.9,138.6,3171,0.0,1.0
2020-12-11,OWLT,9.95,9.98,9.93,9.95,139.3,41947,0.0,1.0
2020-12-14,OWLT,10.0,10.0,9.87,9.87,138.18,56182,0.0,1.0
2020-12-15,OWLT,9.86,10.0,9.86,9.89,138.46,38432,0.0,1.0
2020-12-16,OWLT,9.98,9.98,9.88,9.88,138.32,18846,0.0,1.0
2020-12-17,OWLT,9.86,9.96,9.86,9.9,138.6,34810,0.0,1.0
2020-12-18,OWLT,9.95,9.97,9.92,9.97,139.58,17892,0.0,1.0
2020-12-21,OWLT,9.88,9.98,9.88,9.977,139.678,9654,0.0,1.0
2020-12-22,OWLT,9.98,10.05,9.95,10.05,140.7,45738,0.0,1.0
2020-12-23,OWLT,10.025,10.04,9.97,10.0,140.0,11014,0.0,1.0
2020-12-24,OWLT,10.0,10.06,9.98,10.06,140.84,3646,0.0,1.0
2020-12-28,OWLT,10.07,10.07,9.95,10.07,140.98,530628,0.0,1.0
2020-12-29,OWLT,10.04,10.15,10.04,10.15,142.1,250274,0.0,1.0
