date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-01-25,PBM,6.28,6.28,4.58,4.79,2874.00000000001,91900,0.0,1.0
2024-01-26,PBM,3.55,3.93,2.05,2.35,1410.0,208077,0.0,1.0
2024-01-29,PBM,2.21,2.3399,1.8,2.0,1200.0,100913,0.0,1.0
2024-01-30,PBM,2.0,2.0,1.85,1.85,1110.0,30435,0.0,1.0
2024-01-31,PBM,1.9,2.02,1.78,1.78,1068.0,27034,0.0,1.0
2024-02-01,PBM,1.8,1.95,1.6598,1.72,1032.0,159094,0.0,1.0
2024-02-02,PBM,1.71,1.71,1.43,1.45,870.000000000002,56110,0.0,1.0
2024-02-05,PBM,1.53,1.5329,1.38,1.4233,853.980000000002,21184,0.0,1.0
2024-02-06,PBM,1.43,1.55,1.33,1.5,900.000000000002,101618,0.0,1.0
2024-02-07,PBM,1.54,1.55,1.11,1.17,702.000000000002,3397906,0.0,1.0
2024-02-08,PBM,0.99,1.05,0.9009,0.9475,568.500000000001,401522,0.0,1.0
2024-02-09,PBM,0.97,0.97,0.8122,0.8122,487.320000000001,232921,0.0,1.0
2024-02-12,PBM,0.82,0.87,0.82,0.832,499.200000000001,154873,0.0,1.0
2024-02-13,PBM,0.83,0.84,0.722,0.74,444.000000000001,198827,0.0,1.0
2024-02-14,PBM,0.722,0.722,0.6447,0.685,411.000000000001,198655,0.0,1.0
2024-02-15,PBM,0.7,0.73,0.632,0.6653,399.180000000001,156392,0.0,1.0
2024-02-16,PBM,0.69,0.7,0.65,0.6692,401.520000000001,32735,0.0,1.0
2024-02-20,PBM,0.68,0.6983,0.63,0.6602,396.120000000001,128771,0.0,1.0
2024-02-21,PBM,0.68,0.68,0.5578,0.573,343.800000000001,208775,0.0,1.0
2024-02-22,PBM,0.6003,0.6003,0.5135,0.5433,325.980000000001,80872,0.0,1.0
2024-02-23,PBM,0.5316,0.57,0.518,0.5444,326.640000000001,127110,0.0,1.0
2024-02-26,PBM,0.548174,0.5931,0.533,0.593,355.800000000001,134808,0.0,1.0
2024-02-27,PBM,0.5752,0.6,0.5533,0.589899,353.939400000001,109022,0.0,1.0
2024-02-28,PBM,0.5735,0.61,0.57,0.57,342.000000000001,68214,0.0,1.0
