date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-07-11,PFSA,4.01,5.5,2.42,2.5,2.5,52300,0.0,1.0
2025-07-14,PFSA,2.22,2.4,1.8,2.02,2.02,1796205,0.0,1.0
2025-07-15,PFSA,1.75,1.78,1.35,1.43,1.43,1625342,0.0,1.0
2025-07-16,PFSA,1.41,1.48,1.05,1.25,1.25,1416387,0.0,1.0
2025-07-17,PFSA,1.2,1.27,1.07,1.11,1.11,1012366,0.0,1.0
2025-07-18,PFSA,1.11,1.38,1.06,1.1,1.1,2238581,0.0,1.0
2025-07-21,PFSA,1.27,1.33,0.8501,0.9095,0.9095,7542011,0.0,1.0
2025-07-22,PFSA,0.86,0.8739,0.7003,0.7624,0.7624,951993,0.0,1.0
2025-07-23,PFSA,0.7505,0.8272,0.7411,0.8,0.8,489087,0.0,1.0
2025-07-24,PFSA,0.7997,0.8001,0.7,0.713,0.713,471913,0.0,1.0
2025-07-25,PFSA,0.7398,0.7599,0.651,0.6802,0.6802,318106,0.0,1.0
2025-07-28,PFSA,0.746,2.22,0.67,1.94,1.94,124839458,0.0,1.0
2025-07-29,PFSA,1.12,1.2099,0.87,0.8759,0.8759,8352736,0.0,1.0
2025-07-30,PFSA,0.7894,0.8149,0.706,0.72,0.72,2736936,0.0,1.0
2025-07-31,PFSA,0.75,0.76,0.6869,0.7,0.7,1418169,0.0,1.0
2025-08-01,PFSA,0.651,0.652,0.51,0.5867,0.5867,1811246,0.0,1.0
2025-08-04,PFSA,0.58,0.6127,0.5425,0.5951,0.5951,552491,0.0,1.0
2025-08-05,PFSA,0.586,0.61,0.5154,0.5296,0.5296,702185,0.0,1.0
2025-08-06,PFSA,0.5137,0.5248,0.4626,0.4887,0.4887,662194,0.0,1.0
2025-08-07,PFSA,0.48,0.4875,0.4561,0.47,0.47,341368,0.0,1.0
2025-08-08,PFSA,0.4999,0.5369,0.4609,0.466,0.466,664809,0.0,1.0
2025-08-11,PFSA,0.5,0.5856,0.473,0.5,0.5,2148689,0.0,1.0
2025-08-12,PFSA,0.505,0.5194,0.47,0.49,0.49,463903,0.0,1.0
2025-08-13,PFSA,0.5407,0.633,0.4915,0.56,0.56,1863191,0.0,1.0
2025-08-14,PFSA,0.535,0.55,0.51,0.543,0.543,426143,0.0,1.0
2025-08-15,PFSA,0.57,0.57,0.48,0.4993,0.4993,300959,0.0,1.0
2025-08-18,PFSA,0.524,0.575,0.51545,0.563,0.563,745278,0.0,1.0
2025-08-19,PFSA,0.54,0.56,0.5016,0.518,0.518,346246,0.0,1.0
2025-08-20,PFSA,0.5169,0.5399,0.48,0.5183,0.5183,292343,0.0,1.0
2025-08-21,PFSA,0.5192,0.52,0.463,0.466,0.466,479292,0.0,1.0
2025-08-22,PFSA,0.47,0.53,0.47,0.5,0.5,622673,0.0,1.0
2025-08-25,PFSA,0.4878,0.4979,0.47,0.4899,0.4899,15560433,0.0,1.0
2025-08-26,PFSA,0.6658,0.692,0.3968,0.4303,0.4303,100001596,0.0,1.0
2025-08-27,PFSA,0.4798,0.4798,0.3966,0.409,0.409,3970251,0.0,1.0
2025-08-28,PFSA,0.395,0.43,0.3838,0.4102,0.4102,1642881,0.0,1.0
2025-08-29,PFSA,0.4051,0.4299,0.4,0.41,0.41,678637,0.0,1.0
2025-09-02,PFSA,0.4044,0.41,0.3705,0.3779,0.3779,986249,0.0,1.0
2025-09-03,PFSA,0.38,0.399,0.359,0.359,0.359,527357,0.0,1.0
2025-09-04,PFSA,0.356,0.356,0.3111,0.3305,0.3305,872005,0.0,1.0
2025-09-05,PFSA,0.3206,0.33,0.3023,0.3064,0.3064,654593,0.0,1.0
2025-09-08,PFSA,0.3192,0.3192,0.281,0.288,0.288,1089844,0.0,1.0
2025-09-09,PFSA,0.28,0.3334,0.28,0.3153,0.3153,1135224,0.0,1.0
2025-09-10,PFSA,0.31,0.319,0.265,0.265,0.265,1241632,0.0,1.0
2025-09-11,PFSA,0.5461,0.6,0.4025,0.4612,0.4612,279371356,0.0,1.0
2025-09-12,PFSA,0.4198,0.4556,0.36,0.3935,0.3935,7956997,0.0,1.0
2025-09-15,PFSA,0.4094,0.4315,0.375,0.375,0.375,3529097,0.0,1.0
2025-09-16,PFSA,0.38,0.39,0.3406,0.3462,0.3462,1912674,0.0,1.0
2025-09-17,PFSA,0.34,0.344,0.309,0.3225,0.3225,1919312,0.0,1.0
2025-09-18,PFSA,0.335,0.34,0.3263,0.34,0.34,988033,0.0,1.0
2025-09-19,PFSA,0.3525,0.3598,0.323,0.3328,0.3328,1555650,0.0,1.0
2025-09-22,PFSA,0.3255,0.339999,0.318,0.3263,0.3263,949511,0.0,1.0
2025-09-23,PFSA,0.3264,0.3351,0.3252,0.3289,0.3289,505021,0.0,1.0
2025-09-24,PFSA,0.3265,0.3298,0.3111,0.3111,0.3111,739967,0.0,1.0
2025-09-25,PFSA,0.3148,0.3151,0.298101,0.3017,0.3017,549464,0.0,1.0
2025-09-26,PFSA,0.3035,0.3097,0.29,0.3065,0.3065,776610,0.0,1.0
2025-09-29,PFSA,0.3,0.303,0.29,0.2938,0.2938,855289,0.0,1.0
2025-09-30,PFSA,0.2938,0.297199,0.2889,0.2969,0.2969,555307,0.0,1.0
2025-10-01,PFSA,0.2998,0.3272,0.2998,0.3084,0.3084,2221163,0.0,1.0
2025-10-02,PFSA,0.3191,0.3297,0.3087,0.3262,0.3262,929590,0.0,1.0
2025-10-03,PFSA,0.33,0.3315,0.301,0.3312,0.3312,1949699,0.0,1.0
2025-10-06,PFSA,0.3312,0.356,0.3312,0.3518,0.3518,1289439,0.0,1.0
2025-10-07,PFSA,0.3554,0.3734,0.3256,0.3351,0.3351,3274606,0.0,1.0
2025-10-08,PFSA,0.33,0.3841,0.33,0.3773,0.3773,2996520,0.0,1.0
2025-10-09,PFSA,0.39,0.39,0.335,0.3383,0.3383,1720795,0.0,1.0
2025-10-10,PFSA,0.345,0.3495,0.3149,0.3281,0.3281,1238224,0.0,1.0
2025-10-13,PFSA,0.35,0.35,0.3149,0.321,0.321,997364,0.0,1.0
2025-10-14,PFSA,0.3111,0.3166,0.29,0.3074,0.3074,1051121,0.0,1.0
2025-10-15,PFSA,0.32,0.3998,0.3046,0.3089,0.3089,8509943,0.0,1.0
2025-10-16,PFSA,0.309,0.321,0.2902,0.308,0.308,1997204,0.0,1.0
2025-10-17,PFSA,0.29,0.3071,0.281,0.2973,0.2973,1447963,0.0,1.0
2025-10-20,PFSA,0.3149,0.3295,0.2925,0.3219,0.3219,1636413,0.0,1.0
2025-10-21,PFSA,0.3223,0.3223,0.3019,0.3047,0.3047,5068826,0.0,1.0
2025-10-22,PFSA,0.2994,0.3,0.259899,0.28,0.28,3798036,0.0,1.0
2025-10-23,PFSA,0.2792,0.2847,0.270701,0.273,0.273,2167155,0.0,1.0
2025-10-24,PFSA,0.2718,0.3063,0.2718,0.29,0.29,4663933,0.0,1.0
2025-10-27,PFSA,0.295,0.3032,0.28,0.2961,0.2961,1909739,0.0,1.0
2025-10-28,PFSA,0.29,0.314,0.2846,0.29,0.29,14637817,0.0,1.0
2025-10-29,PFSA,0.3803,0.4,0.2728,0.2862,0.2862,170142032,0.0,1.0
2025-10-30,PFSA,0.2764,0.29,0.2455,0.258,0.258,36401263,0.0,1.0
2025-10-31,PFSA,0.2584,0.2617,0.2178,0.2392,0.2392,10368763,0.0,1.0
2025-11-03,PFSA,0.2234,0.23,0.11591,0.1902,0.1902,8041574,0.0,1.0
2025-11-04,PFSA,0.1959,0.221,0.1902,0.2057,0.2057,15772252,0.0,1.0
2025-11-05,PFSA,0.227,0.2296,0.1851,0.1882,0.1882,13757541,0.0,1.0
2025-11-06,PFSA,0.1943,0.195,0.1756,0.1874,0.1874,4496769,0.0,1.0
2025-11-07,PFSA,0.1832,0.189999,0.173,0.1819,0.1819,2659657,0.0,1.0
2025-11-10,PFSA,0.1855,0.2,0.1847,0.188,0.188,2693851,0.0,1.0
2025-11-11,PFSA,0.188,0.1906,0.1805,0.1861,0.1861,3137139,0.0,1.0
2025-11-12,PFSA,0.1872,0.2125,0.1835,0.203,0.203,10429875,0.0,1.0
2025-11-13,PFSA,0.199,0.202,0.187,0.195,0.195,6191976,0.0,1.0
2025-11-14,PFSA,0.191,0.2053,0.1883,0.1942,0.1942,6128845,0.0,1.0
2025-11-17,PFSA,0.192,0.196,0.166,0.1751,0.1751,2904660,0.0,1.0
2025-11-18,PFSA,0.1722,0.1879,0.166,0.1797,0.1797,1646029,0.0,1.0
2025-11-19,PFSA,0.18,0.1831,0.1684,0.169,0.169,2411567,0.0,1.0
2025-11-20,PFSA,0.1559,0.1598,0.1322,0.1359,0.1359,7301817,0.0,1.0
2025-11-21,PFSA,0.136,0.1445,0.1311,0.1384,0.1384,2369309,0.0,1.0
2025-11-24,PFSA,0.1434,0.1562,0.1361,0.15,0.15,12403482,0.0,1.0
2025-11-25,PFSA,0.152,0.1586,0.145,0.1521,0.1521,4065493,0.0,1.0
2025-11-26,PFSA,0.1475,0.175,0.1475,0.16,0.16,9929418,0.0,1.0
2025-11-28,PFSA,0.1591,0.177,0.15,0.1693,0.1693,5354081,0.0,1.0
2025-12-01,PFSA,0.175,0.175,0.1539,0.1592,0.1592,6425047,0.0,1.0
2025-12-02,PFSA,0.1635,0.176,0.1556,0.175,0.175,9552518,0.0,1.0
2025-12-03,PFSA,0.177,0.194,0.1625,0.1902,0.1902,16110675,0.0,1.0
2025-12-04,PFSA,0.1873,0.2022,0.174,0.1815,0.1815,30627074,0.0,1.0
2025-12-05,PFSA,0.1726,0.183,0.1726,0.177,0.177,6140247,0.0,1.0
2025-12-08,PFSA,0.17,0.1999,0.16,0.1984,0.1984,16569368,0.0,1.0
2025-12-09,PFSA,0.1984,0.2013,0.176,0.1846,0.1846,12937646,0.0,1.0
2025-12-10,PFSA,0.1793,0.186,0.172,0.175,0.175,6325175,0.0,1.0
2025-12-11,PFSA,0.18,0.19,0.1755,0.176,0.176,6388945,0.0,1.0
2025-12-12,PFSA,0.17,0.174,0.151,0.1525,0.1525,9523910,0.0,1.0
2025-12-15,PFSA,0.1571,0.1576,0.1181,0.1222,0.1222,30475242,0.0,1.0
2025-12-16,PFSA,0.1067,0.1216,0.095,0.1121,0.1121,10217594,0.0,1.0
2025-12-17,PFSA,0.1066,0.1121,0.1022,0.1073,0.1073,7743144,0.0,1.0
2025-12-18,PFSA,0.1064,0.11745,0.1061,0.1126,0.1126,5214648,0.0,1.0
2025-12-19,PFSA,0.1123,0.119,0.106,0.1175,0.1175,3499280,0.0,1.0
2025-12-22,PFSA,0.1073,0.108,0.082,0.087,0.087,18860287,0.0,1.0
2025-12-23,PFSA,0.0785,0.085,0.0726,0.077,0.077,12367449,0.0,1.0
2025-12-24,PFSA,0.075,0.086,0.0743,0.0796,0.0796,5745565,0.0,1.0
2025-12-26,PFSA,0.076,0.08,0.0715,0.0718,0.0718,5426884,0.0,1.0
