date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-07-12,PROK,9.4,9.4,8.35,8.63,8.63,25614,0.0,1.0
2022-07-13,PROK,8.51,8.99,8.32,8.75,8.75,81621,0.0,1.0
2022-07-14,PROK,8.75,9.79,8.51,8.77,8.77,124042,0.0,1.0
2022-07-15,PROK,8.8564,8.91,6.6881,7.02,7.02,78392,0.0,1.0
2022-07-18,PROK,6.94,8.25,6.94,7.95,7.95,86136,0.0,1.0
2022-07-19,PROK,7.9,8.42,7.46,7.56,7.56,82839,0.0,1.0
2022-07-20,PROK,7.76,8.0528,7.4101,7.9,7.9,99425,0.0,1.0
2022-07-21,PROK,8.72,9.32,8.35,8.89,8.89,43694,0.0,1.0
2022-07-22,PROK,9.44,9.44,8.9501,9.0,9.0,11754,0.0,1.0
2022-07-25,PROK,9.49,9.9,9.2,9.7,9.7,13399,0.0,1.0
2022-07-26,PROK,9.64,11.25,9.6185,11.25,11.25,41729,0.0,1.0
2022-07-27,PROK,11.98,11.98,10.71,10.88,10.88,34200,0.0,1.0
2022-07-28,PROK,10.88,11.27,10.49,10.63,10.63,103777,0.0,1.0
2022-07-29,PROK,10.785,11.0,9.81,9.84,9.84,49969,0.0,1.0
2022-08-01,PROK,9.82,10.56,9.81,9.94,9.94,6120,0.0,1.0
2022-08-02,PROK,9.81,9.9433,9.2096,9.25,9.25,7462,0.0,1.0
2022-08-03,PROK,8.77,9.19,8.16,8.18,8.18,90236,0.0,1.0
2022-08-04,PROK,8.35,8.35,7.43,7.77,7.77,11945,0.0,1.0
2022-08-05,PROK,7.61,8.09,7.23,7.4,7.4,33871,0.0,1.0
2022-08-08,PROK,7.46,7.83,6.86,7.48,7.48,12248,0.0,1.0
2022-08-09,PROK,7.55,7.55,6.19,7.04,7.04,52587,0.0,1.0
2022-08-10,PROK,6.74,7.66,6.23,7.42,7.42,35775,0.0,1.0
2022-08-11,PROK,7.83,8.05,7.301,7.98,7.98,84178,0.0,1.0
2022-08-12,PROK,7.668,8.1791,7.668,7.96,7.96,11284,0.0,1.0
2022-08-15,PROK,7.96,7.96,7.17,7.76,7.76,5367,0.0,1.0
2022-08-16,PROK,7.75,7.75,7.27,7.62,7.62,5152,0.0,1.0
2022-08-17,PROK,7.28,8.07,7.08,7.15,7.15,55035,0.0,1.0
2022-08-18,PROK,7.16,7.5,6.99,7.0,7.0,16136,0.0,1.0
2022-08-19,PROK,7.1798,7.5,6.25,6.6,6.6,463894,0.0,1.0
2022-08-22,PROK,6.2511,7.165,6.2511,6.6,6.6,46433,0.0,1.0
2022-08-23,PROK,6.71,7.4,6.34,7.34,7.34,12311,0.0,1.0
2022-08-24,PROK,7.34,7.71,7.11,7.71,7.71,39292,0.0,1.0
2022-08-25,PROK,7.79,7.79,6.9807,7.5,7.5,5488,0.0,1.0
2022-08-26,PROK,7.57,7.57,7.0868,7.5,7.5,25434,0.0,1.0
2022-08-29,PROK,7.15,8.0,7.15,7.78,7.78,5565,0.0,1.0
2022-08-30,PROK,6.81,8.65,6.81,8.55,8.55,23985,0.0,1.0
2022-08-31,PROK,8.94,9.84,8.68,9.6,9.6,21503,0.0,1.0
2022-09-01,PROK,9.74,10.0,8.62,9.67,9.67,31434,0.0,1.0
2022-09-02,PROK,10.0,10.2,9.725,10.2,10.2,47091,0.0,1.0
2022-09-06,PROK,10.87,11.189,6.72,7.0,7.0,229290,0.0,1.0
2022-09-07,PROK,7.59,7.86,6.98,7.8,7.8,76611,0.0,1.0
2022-09-08,PROK,7.52,8.9,7.0,8.17,8.17,40611,0.0,1.0
2022-09-09,PROK,7.85,9.88,7.79,9.84,9.84,47350,0.0,1.0
2022-09-12,PROK,10.0,10.0,8.82,9.72,9.72,125517,0.0,1.0
2022-09-13,PROK,9.4,10.0,9.28,9.72,9.72,172038,0.0,1.0
2022-09-14,PROK,9.92,10.0,9.585,10.0,10.0,44699,0.0,1.0
2022-09-15,PROK,9.95,10.0,9.4,9.82,9.82,61488,0.0,1.0
2022-09-16,PROK,9.91,10.16,9.12,10.14,10.14,630205,0.0,1.0
2022-09-19,PROK,9.88,11.05,9.48,10.32,10.32,59408,0.0,1.0
2022-09-20,PROK,10.04,10.435,9.5,9.73,9.73,82747,0.0,1.0
2022-09-21,PROK,10.0,10.19,8.46,8.69,8.69,104720,0.0,1.0
2022-09-22,PROK,8.69,10.0,8.42,8.87,8.87,97759,0.0,1.0
2022-09-23,PROK,8.79,9.93,8.61,9.2,9.2,59950,0.0,1.0
2022-09-26,PROK,9.1,9.925,8.68,8.81,8.81,28962,0.0,1.0
2022-09-27,PROK,9.4,9.45,8.9101,9.1,9.1,13234,0.0,1.0
2022-09-28,PROK,8.95,10.2,8.95,9.97,9.97,20658,0.0,1.0
2022-09-29,PROK,9.87,9.87,8.75,8.85,8.85,90939,0.0,1.0
2022-09-30,PROK,9.01,9.91,8.76,9.01,9.01,22869,0.0,1.0
2022-10-03,PROK,8.89,9.97,8.89,9.3,9.3,5173,0.0,1.0
2022-10-04,PROK,9.4,9.9755,9.33,9.76,9.76,7109,0.0,1.0
2022-10-05,PROK,9.5645,10.0,9.5645,9.6,9.6,14236,0.0,1.0
2022-10-06,PROK,9.71,10.0,9.7,9.85,9.85,40781,0.0,1.0
2022-10-07,PROK,9.96,10.0,9.2,9.46,9.46,79879,0.0,1.0
2022-10-10,PROK,9.46,9.84,9.19,9.63,9.63,26253,0.0,1.0
2022-10-11,PROK,9.6,10.0,9.43,9.76,9.76,12777,0.0,1.0
2022-10-12,PROK,9.5,10.0,9.5,9.59,9.59,5894,0.0,1.0
2022-10-13,PROK,10.0,10.25,9.8628,10.25,10.25,49112,0.0,1.0
2022-10-14,PROK,10.5,10.5,9.86,9.91,9.91,54624,0.0,1.0
2022-10-17,PROK,10.25,10.48,9.97,9.97,9.97,9295,0.0,1.0
2022-10-18,PROK,10.3,10.5,9.97,9.97,9.97,19594,0.0,1.0
2022-10-19,PROK,9.94,10.3,9.94,10.15,10.15,42492,0.0,1.0
2022-10-20,PROK,10.3,10.4,10.07,10.33,10.33,36002,0.0,1.0
2022-10-21,PROK,10.16,10.929,10.0,10.27,10.27,11134,0.0,1.0
2022-10-24,PROK,10.17,10.2,9.88,10.07,10.07,18504,0.0,1.0
2022-10-25,PROK,10.15,10.49,9.73,10.2,10.2,22954,0.0,1.0
2022-10-26,PROK,10.48,10.48,10.01,10.2,10.2,29961,0.0,1.0
2022-10-27,PROK,10.11,10.2,9.975,10.11,10.11,8976,0.0,1.0
2022-10-28,PROK,9.98,10.5,9.98,10.5,10.5,17004,0.0,1.0
2022-10-31,PROK,10.4,10.43,10.1,10.12,10.12,7191,0.0,1.0
2022-11-01,PROK,10.36,10.5,10.2,10.5,10.5,19562,0.0,1.0
2022-11-02,PROK,10.28,10.49,10.25,10.48,10.48,4991,0.0,1.0
2022-11-03,PROK,10.31,10.51,10.3,10.5,10.5,36975,0.0,1.0
2022-11-04,PROK,10.5,10.5,10.3,10.46,10.46,12612,0.0,1.0
2022-11-07,PROK,10.49,10.68,10.27,10.5,10.5,19026,0.0,1.0
2022-11-08,PROK,10.65,10.65,10.34,10.47,10.47,41194,0.0,1.0
2022-11-09,PROK,10.29,10.65,10.29,10.55,10.55,12938,0.0,1.0
2022-11-10,PROK,10.65,10.65,10.425,10.65,10.65,11308,0.0,1.0
2022-11-11,PROK,10.65,14.0,10.205,11.38,11.38,101919,0.0,1.0
2022-11-14,PROK,10.97,11.94,10.28,11.2,11.2,94317,0.0,1.0
2022-11-15,PROK,11.19,11.75,10.255,10.84,10.84,46784,0.0,1.0
2022-11-16,PROK,10.88,10.88,10.12,10.45,10.45,81665,0.0,1.0
2022-11-17,PROK,10.48,10.99,9.76,10.04,10.04,56059,0.0,1.0
2022-11-18,PROK,10.09,10.29,9.4,9.7,9.7,82701,0.0,1.0
2022-11-21,PROK,9.63,10.3,9.03,9.03,9.03,49262,0.0,1.0
2022-11-22,PROK,9.22,10.075,8.02,9.11,9.11,167240,0.0,1.0
2022-11-23,PROK,9.11,10.9,8.785,9.61,9.61,248381,0.0,1.0
2022-11-25,PROK,9.56,10.19,9.25,9.31,9.31,54231,0.0,1.0
2022-11-28,PROK,9.29,10.024,8.2401,8.45,8.45,226865,0.0,1.0
2022-11-29,PROK,8.51,9.11,8.26,9.02,9.02,80394,0.0,1.0
2022-11-30,PROK,9.09,9.24,8.55,9.11,9.11,557152,0.0,1.0
2022-12-01,PROK,8.94,10.46,8.36,10.25,10.25,238903,0.0,1.0
2022-12-02,PROK,10.11,10.5,9.8,10.31,10.31,113558,0.0,1.0
2022-12-05,PROK,9.82,10.5,9.66,10.48,10.48,52689,0.0,1.0
2022-12-06,PROK,10.49,11.55,9.71,10.49,10.49,280451,0.0,1.0
2022-12-07,PROK,10.54,10.86,10.2,10.34,10.34,158162,0.0,1.0
2022-12-08,PROK,10.15,10.91,10.15,10.48,10.48,47903,0.0,1.0
2022-12-09,PROK,10.4204,10.79,10.235,10.45,10.45,335228,0.0,1.0
2022-12-12,PROK,10.51,10.84,10.37,10.56,10.56,143700,0.0,1.0
2022-12-13,PROK,10.63,11.6,10.4,10.62,10.62,89342,0.0,1.0
2022-12-14,PROK,10.52,10.71,8.68,8.69,8.69,88383,0.0,1.0
2022-12-15,PROK,9.04,9.4874,8.0,8.19,8.19,95700,0.0,1.0
2022-12-16,PROK,8.2,8.2,7.74,8.0,8.0,126271,0.0,1.0
2022-12-19,PROK,7.83,8.84,7.83,8.27,8.27,42874,0.0,1.0
2022-12-20,PROK,8.14,8.75,7.22,7.3,7.3,58174,0.0,1.0
2022-12-21,PROK,7.4493,8.24,7.4493,7.53,7.53,102982,0.0,1.0
2022-12-22,PROK,7.63,8.395,7.4107,7.42,7.42,47996,0.0,1.0
2022-12-23,PROK,7.35,7.4769,6.5,6.53,6.53,209657,0.0,1.0
2022-12-27,PROK,6.55,7.1613,6.15,6.15,6.15,43341,0.0,1.0
2022-12-28,PROK,6.1,6.15,5.14,5.47,5.47,90036,0.0,1.0
2022-12-29,PROK,5.78,7.28,5.385,7.05,7.05,153710,0.0,1.0
2022-12-30,PROK,7.74,7.74,6.31,6.86,6.86,62436,0.0,1.0
2023-01-03,PROK,7.32,7.76,6.8601,6.87,6.87,47996,0.0,1.0
2023-01-04,PROK,6.86,7.185,6.52,6.91,6.91,50441,0.0,1.0
2023-01-05,PROK,6.67,6.83,6.06,6.32,6.32,50388,0.0,1.0
2023-01-06,PROK,6.23,6.5,6.0,6.1,6.1,40119,0.0,1.0
2023-01-09,PROK,6.3,7.105,5.9,7.0,7.0,76693,0.0,1.0
2023-01-10,PROK,6.64,7.67,6.55,7.67,7.67,61627,0.0,1.0
2023-01-11,PROK,8.99,8.99,6.75,7.65,7.65,565112,0.0,1.0
2023-01-12,PROK,7.64,8.0,7.0201,8.0,8.0,126504,0.0,1.0
2023-01-13,PROK,7.52,8.43,7.52,8.43,8.43,73428,0.0,1.0
2023-01-17,PROK,8.34,9.44,8.16,9.01,9.01,84832,0.0,1.0
2023-01-18,PROK,8.78,9.46,8.6901,9.39,9.39,90898,0.0,1.0
2023-01-19,PROK,9.14,9.39,8.76,9.3,9.3,35468,0.0,1.0
2023-01-20,PROK,9.09,9.49,8.77,9.47,9.47,43000,0.0,1.0
2023-01-23,PROK,9.32,10.4,9.12,10.4,10.4,159770,0.0,1.0
2023-01-24,PROK,10.11,10.5,9.76,9.76,9.76,98820,0.0,1.0
2023-01-25,PROK,9.58,9.58,8.45,8.45,8.45,55575,0.0,1.0
2023-01-26,PROK,8.68,9.38,8.68,9.09,9.09,92263,0.0,1.0
2023-01-27,PROK,8.91,10.12,8.8023,10.12,10.12,70822,0.0,1.0
2023-01-30,PROK,9.76,10.3,9.01,9.94,9.94,91403,0.0,1.0
2023-01-31,PROK,9.46,10.49,9.46,10.43,10.43,63939,0.0,1.0
2023-02-01,PROK,10.29,10.76,9.92,10.46,10.46,74355,0.0,1.0
2023-02-02,PROK,10.48,10.69,10.2,10.35,10.35,64255,0.0,1.0
2023-02-03,PROK,10.06,10.55,10.02,10.39,10.39,74127,0.0,1.0
2023-02-06,PROK,10.22,11.0,10.22,11.0,11.0,117864,0.0,1.0
2023-02-07,PROK,10.8,11.74,10.37,11.5,11.5,170279,0.0,1.0
2023-02-08,PROK,11.69,11.955,10.9,11.75,11.75,162554,0.0,1.0
2023-02-09,PROK,11.63,12.58,11.6,11.97,11.97,145370,0.0,1.0
2023-02-10,PROK,12.07,12.12,11.52,11.96,11.96,73441,0.0,1.0
2023-02-13,PROK,11.9,13.31,11.7897,12.12,12.12,63546,0.0,1.0
2023-02-14,PROK,12.0,12.695,10.76,11.35,11.35,128906,0.0,1.0
2023-02-15,PROK,11.49,12.28,10.855,11.82,11.82,44112,0.0,1.0
2023-02-16,PROK,11.49,12.37,10.34,11.49,11.49,44968,0.0,1.0
2023-02-17,PROK,11.07,11.8434,10.7501,11.59,11.59,17834,0.0,1.0
