date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-10-09,PSFE,9.71,9.95,9.7,9.95,119.4,51271,0.0,1.0
2020-10-12,PSFE,9.72,9.94,9.72,9.86,118.32,30819,0.0,1.0
2020-10-13,PSFE,9.9,9.9,9.9,9.9,118.8,2113,0.0,1.0
2020-10-14,PSFE,9.8645,9.8645,9.86,9.86,118.32,203,0.0,1.0
2020-10-15,PSFE,9.805,9.805,9.805,9.805,117.66,1521,0.0,1.0
2020-10-16,PSFE,9.86,9.86,9.77,9.77,117.24,516204,0.0,1.0
2020-10-19,PSFE,9.8,9.8,9.76,9.77,117.24,367442,0.0,1.0
2020-10-20,PSFE,9.83,9.83,9.74,9.74,116.88,20697,0.0,1.0
2020-10-21,PSFE,9.85,9.85,9.72,9.72,116.64,628763,0.0,1.0
2020-10-22,PSFE,9.78,9.78,9.7,9.75,117.0,511539,0.0,1.0
2020-10-23,PSFE,9.78,9.78,9.71,9.78,117.36,5238,0.0,1.0
2020-10-26,PSFE,9.79,9.84,9.66,9.7,116.4,1183347,0.0,1.0
2020-10-27,PSFE,9.7,9.71,9.67,9.685,116.22,959406,0.0,1.0
2020-10-28,PSFE,9.68,9.69,9.595,9.67,116.04,823976,0.0,1.0
2020-10-29,PSFE,9.7,9.7,9.63,9.64,115.68,355877,0.0,1.0
2020-10-30,PSFE,9.64,9.69,9.63,9.67,116.04,171666,0.0,1.0
2020-11-02,PSFE,9.65,9.72,9.65,9.67,116.04,524947,0.0,1.0
2020-11-03,PSFE,9.68,9.74,9.68,9.71,116.52,522201,0.0,1.0
2020-11-04,PSFE,9.76,9.79,9.75,9.76,117.12,133510,0.0,1.0
2020-11-05,PSFE,9.84,9.88,9.75,9.8,117.6,402864,0.0,1.0
2020-11-06,PSFE,9.76,11.13,9.72,10.15,121.8,11033327,0.0,1.0
2020-11-09,PSFE,10.3,10.5,10.16,10.28,123.36,3745309,0.0,1.0
2020-11-10,PSFE,10.45,10.45,10.15,10.22,122.64,221558,0.0,1.0
2020-11-11,PSFE,10.27,10.27,10.16,10.22,122.64,228061,0.0,1.0
2020-11-12,PSFE,10.21,10.64,10.15,10.5,126.0,1116217,0.0,1.0
2020-11-13,PSFE,10.24,10.97,10.24,10.565,126.78,1370326,0.0,1.0
2020-11-16,PSFE,10.57,10.75,10.38,10.61,127.32,608858,0.0,1.0
2020-11-17,PSFE,10.61,10.61,10.38,10.4,124.8,520975,0.0,1.0
2020-11-18,PSFE,10.32,10.45,10.25,10.4,124.8,174978,0.0,1.0
2020-11-19,PSFE,10.4,10.55,10.15,10.37,124.44,321932,0.0,1.0
2020-11-20,PSFE,10.42,10.61,10.25,10.54,126.48,454302,0.0,1.0
2020-11-23,PSFE,10.75,10.75,10.36,10.36,124.32,640251,0.0,1.0
2020-11-24,PSFE,10.58,10.65,10.42,10.45,125.4,127560,0.0,1.0
2020-11-25,PSFE,10.47,10.5903,10.3929,10.425,125.1,342234,0.0,1.0
2020-11-27,PSFE,10.44,10.555,10.44,10.44,125.28,318413,0.0,1.0
2020-11-30,PSFE,10.66,10.75,10.4,10.4899,125.8788,316240,0.0,1.0
2020-12-01,PSFE,10.6,10.727,10.44,10.48,125.76,271938,0.0,1.0
2020-12-02,PSFE,10.3,10.5,10.25,10.44,125.28,337951,0.0,1.0
2020-12-03,PSFE,10.41,10.49,10.34,10.49,125.88,327652,0.0,1.0
2020-12-04,PSFE,10.75,10.75,10.48,10.62,127.44,575105,0.0,1.0
2020-12-07,PSFE,11.45,12.66,11.42,11.95,143.4,81719067,0.0,1.0
2020-12-08,PSFE,13.26,13.77,12.42,12.78,153.36,53089121,0.0,1.0
2020-12-09,PSFE,13.49,13.5,12.51,12.75,153.0,33142614,0.0,1.0
2020-12-10,PSFE,12.99,13.45,12.71,13.45,161.4,21412756,0.0,1.0
2020-12-11,PSFE,13.75,14.82,13.5,14.0,168.0,28622968,0.0,1.0
2020-12-14,PSFE,15.23,15.39,14.5,14.61,175.32,35410660,0.0,1.0
2020-12-15,PSFE,14.55,14.781,13.6,14.08,168.96,19771715,0.0,1.0
2020-12-16,PSFE,13.74,14.08,13.51,13.72,164.64,11491760,0.0,1.0
2020-12-17,PSFE,13.95,14.04,13.7,13.88,166.56,9480711,0.0,1.0
2020-12-18,PSFE,13.95,14.31,13.76,13.92,167.04,9047299,0.0,1.0
2020-12-21,PSFE,14.06,15.15,13.86,14.82,177.84,19839303,0.0,1.0
2020-12-22,PSFE,15.38,15.46,14.5,14.68,176.16,17028488,0.0,1.0
2020-12-23,PSFE,14.9,14.91,14.31,14.63,175.56,12873081,0.0,1.0
2020-12-24,PSFE,15.0008,15.85,15.0008,15.23,182.76,13113301,0.0,1.0
2020-12-28,PSFE,16.55,17.0,16.1022,16.3,195.6,21049074,0.0,1.0
2020-12-29,PSFE,16.88,16.89,15.01,15.76,189.12,14610779,0.0,1.0
2020-12-30,PSFE,15.89,16.29,15.66,15.79,189.48,7789680,0.0,1.0
2020-12-31,PSFE,15.6,15.8768,15.03,15.1,181.2,12887326,0.0,1.0
2021-01-04,PSFE,15.0,15.01,13.68,14.45,173.4,15226273,0.0,1.0
2021-01-05,PSFE,13.76,14.93,13.73,14.8,177.6,8104482,0.0,1.0
2021-01-06,PSFE,14.5,15.29,14.22,14.49,173.88,9487101,0.0,1.0
2021-01-07,PSFE,14.85,15.39,14.72,14.95,179.4,6584726,0.0,1.0
2021-01-08,PSFE,15.08,15.1,14.64,15.05,180.6,6839979,0.0,1.0
2021-01-11,PSFE,14.5,16.2,14.4,15.55,186.6,12261749,0.0,1.0
2021-01-12,PSFE,15.3,15.45,14.85,15.21,182.52,6831730,0.0,1.0
2021-01-13,PSFE,15.05,16.47,14.95,16.33,195.96,9788436,0.0,1.0
2021-01-14,PSFE,16.16,16.2,15.6,15.81,189.72,5877498,0.0,1.0
2021-01-15,PSFE,15.7,16.19,14.95,15.59,187.08,7505082,0.0,1.0
2021-01-19,PSFE,16.76,17.98,16.38,16.55,198.6,16651456,0.0,1.0
2021-01-20,PSFE,17.14,17.59,16.8,17.47,209.64,7303731,0.0,1.0
2021-01-21,PSFE,18.5,19.5,17.7,19.24,230.88,12974103,0.0,1.0
2021-01-22,PSFE,19.0,19.18,18.41,18.89,226.68,8978737,0.0,1.0
2021-01-25,PSFE,19.26,19.5662,16.0,17.79,213.48,14450769,0.0,1.0
2021-01-26,PSFE,17.6,17.78,16.55,16.68,200.16,8718252,0.0,1.0
2021-01-27,PSFE,15.78,16.14,14.81,14.89,178.68,20057973,0.0,1.0
2021-01-28,PSFE,15.29,16.02,15.11,15.64,187.68,9984627,0.0,1.0
2021-01-29,PSFE,15.4,15.94,14.9,15.42,185.04,11085366,0.0,1.0
2021-02-01,PSFE,15.9,16.82,15.45,16.67,200.04,9447878,0.0,1.0
2021-02-02,PSFE,16.92,17.24,16.4,16.67,200.04,6149666,0.0,1.0
2021-02-03,PSFE,17.4,18.3,17.2,18.1,217.2,8582307,0.0,1.0
2021-02-04,PSFE,17.9,18.81,17.4,18.2,218.4,9065314,0.0,1.0
2021-02-05,PSFE,18.4,18.57,17.51,17.89,214.68,6239702,0.0,1.0
2021-02-08,PSFE,18.0,18.05,17.41,17.7,212.4,5580570,0.0,1.0
2021-02-09,PSFE,17.4,17.52,16.76,17.13,205.56,6054628,0.0,1.0
2021-02-10,PSFE,17.0,17.22,16.06,16.69,200.28,8003440,0.0,1.0
2021-02-11,PSFE,16.4,16.55,16.0,16.15,193.8,7405417,0.0,1.0
2021-02-12,PSFE,16.52,17.34,16.35,17.27,207.24,5679850,0.0,1.0
2021-02-16,PSFE,17.3,17.35,16.61,16.9,202.8,4484348,0.0,1.0
2021-02-17,PSFE,16.8,17.75,16.51,17.4,208.8,5410035,0.0,1.0
2021-02-18,PSFE,17.06,17.48,16.71,16.94,203.28,3986912,0.0,1.0
2021-02-19,PSFE,17.14,17.73,16.9,17.39,208.68,5806272,0.0,1.0
2021-02-22,PSFE,17.29,17.96,16.63,16.87,202.44,6588462,0.0,1.0
2021-02-23,PSFE,16.0,16.34,14.65,16.18,194.16,9781570,0.0,1.0
2021-02-24,PSFE,16.18,16.8,16.08,16.35,196.2,4442205,0.0,1.0
2021-02-25,PSFE,16.27,16.45,15.08,15.34,184.08,6435844,0.0,1.0
2021-02-26,PSFE,15.45,15.89,14.57,15.21,182.52,6599354,0.0,1.0
2021-03-01,PSFE,15.8,16.0899,15.28,15.79,189.48,5899772,0.0,1.0
2021-03-02,PSFE,15.85,16.38,15.6,15.84,190.08,5423775,0.0,1.0
2021-03-03,PSFE,16.0,16.06,14.62,14.78,177.36,9363427,0.0,1.0
2021-03-04,PSFE,14.89,15.2594,12.97,13.95,167.4,11099746,0.0,1.0
2021-03-05,PSFE,14.02,15.05,12.5,14.93,179.16,12250870,0.0,1.0
2021-03-08,PSFE,15.81,15.81,14.5,14.65,175.8,6581819,0.0,1.0
2021-03-09,PSFE,15.15,15.25,14.64,14.77,177.24,5951343,0.0,1.0
2021-03-10,PSFE,15.25,15.25,14.31,14.78,177.36,5837192,0.0,1.0
2021-03-11,PSFE,14.9,15.33,14.72,14.92,179.04,5212670,0.0,1.0
2021-03-12,PSFE,14.5,15.25,14.5,14.9,178.8,4945748,0.0,1.0
2021-03-15,PSFE,15.0,16.98,14.91,16.5,198.0,8272829,0.0,1.0
2021-03-16,PSFE,16.65,17.25,15.95,16.62,199.44,7902244,0.0,1.0
2021-03-17,PSFE,16.0,16.58,15.55,16.0,192.0,7462717,0.0,1.0
2021-03-18,PSFE,15.9,16.55,15.8,15.89,190.68,5556642,0.0,1.0
2021-03-19,PSFE,16.07,16.17,15.51,15.6,187.2,5109758,0.0,1.0
2021-03-22,PSFE,16.24,16.7899,15.71,16.15,193.8,6517035,0.0,1.0
2021-03-23,PSFE,16.08,16.25,15.52,15.63,187.56,4277593,0.0,1.0
2021-03-24,PSFE,16.01,16.44,14.65,14.73,176.76,9260961,0.0,1.0
2021-03-25,PSFE,14.48,15.47,14.16,14.95,179.4,9559131,0.0,1.0
2021-03-26,PSFE,15.28,15.44,14.3,14.55,174.6,5812094,0.0,1.0
2021-03-29,PSFE,14.5,15.42,14.46,15.39,184.68,7266551,0.0,1.0
2021-03-30,PSFE,15.9,16.07,14.95,15.1,181.2,13084394,0.0,1.0
2021-03-31,PSFE,15.49,15.65,13.5,13.5,162.0,15761179,0.0,1.0
2021-04-01,PSFE,13.93,14.65,13.8,14.6,175.2,9522000,0.0,1.0
2021-04-05,PSFE,14.85,14.88,14.1,14.15,169.8,6782187,0.0,1.0
2021-04-06,PSFE,13.96,14.55,13.83,14.3,171.6,5037361,0.0,1.0
2021-04-07,PSFE,14.32,14.95,13.96,14.07,168.84,6205356,0.0,1.0
2021-04-08,PSFE,14.16,14.35,13.85,14.24,170.88,3644771,0.0,1.0
2021-04-09,PSFE,14.0,14.08,13.81,13.87,166.44,3690594,0.0,1.0
2021-04-12,PSFE,13.8,13.82,13.02,13.24,158.88,5654260,0.0,1.0
2021-04-13,PSFE,13.0,13.55,12.8,13.39,160.68,4855361,0.0,1.0
2021-04-14,PSFE,13.58,14.3,13.56,13.73,164.76,5287793,0.0,1.0
2021-04-15,PSFE,14.19,14.3,13.75,13.99,167.88,4619923,0.0,1.0
2021-04-16,PSFE,13.99,13.99,13.4,13.49,161.88,3872469,0.0,1.0
2021-04-19,PSFE,13.02,13.2,12.62,13.05,156.6,5876964,0.0,1.0
2021-04-20,PSFE,12.75,12.87,12.2,12.83,153.96,7044413,0.0,1.0
2021-04-21,PSFE,12.42,13.12,12.39,12.93,155.16,4326479,0.0,1.0
2021-04-22,PSFE,12.93,13.4,12.71,13.26,159.12,4336850,0.0,1.0
2021-04-23,PSFE,13.45,13.77,13.28,13.5,162.0,2817096,0.0,1.0
2021-04-26,PSFE,13.98,14.07,13.72,13.95,167.4,5478347,0.0,1.0
2021-04-27,PSFE,14.0,14.0,13.87,13.93,167.16,3828007,0.0,1.0
2021-04-28,PSFE,13.8,13.88,13.7,13.79,165.48,2942638,0.0,1.0
2021-04-29,PSFE,14.05,14.06,13.55,13.84,166.08,4030790,0.0,1.0
2021-04-30,PSFE,13.6,14.0,13.53,13.8,165.6,4005561,0.0,1.0
