date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-12-06,RBTC,9.89,9.89,9.89,9.89,79.12,296,0.0,1.0
2021-12-07,RBTC,10.0,10.0,9.79,9.865,78.92,111315,0.0,1.0
2021-12-08,RBTC,9.87,9.89,9.82,9.87,78.96,12563,0.0,1.0
2021-12-09,RBTC,9.99,9.99,9.81,9.9,79.2,139009,0.0,1.0
2021-12-10,RBTC,9.89,9.9069,9.85,9.85,78.8,368220,0.0,1.0
2021-12-13,RBTC,9.85,9.88,9.85,9.87,78.96,227033,0.0,1.0
2021-12-14,RBTC,9.861,9.875,9.85,9.85,78.8,26071,0.0,1.0
2021-12-15,RBTC,9.85,9.88,9.85,9.85,78.8,54806,0.0,1.0
2021-12-16,RBTC,9.96,9.9746,9.9,9.93,79.44,6167212,0.0,1.0
2021-12-17,RBTC,9.92,9.95,9.91,9.93,79.44,218263,0.0,1.0
2021-12-20,RBTC,9.95,9.95,9.9,9.93,79.44,165141,0.0,1.0
2021-12-21,RBTC,9.94,9.95,9.93,9.94,79.52,151927,0.0,1.0
2021-12-22,RBTC,9.94,9.94,9.91,9.94,79.52,447304,0.0,1.0
2021-12-23,RBTC,9.94,9.96,9.925,9.95,79.6,324377,0.0,1.0
2021-12-27,RBTC,9.93,9.95,9.92,9.95,79.6,44881,0.0,1.0
2021-12-28,RBTC,9.95,9.95,9.94,9.94,79.52,13525,0.0,1.0
2021-12-29,RBTC,9.95,9.95,9.93,9.95,79.6,10411,0.0,1.0
2021-12-30,RBTC,9.93,9.96,9.93,9.95,79.6,450778,0.0,1.0
2021-12-31,RBTC,9.95,9.95,9.94,9.95,79.6,65959,0.0,1.0
2022-01-03,RBTC,9.96,9.96,9.94,9.95,79.6,464283,0.0,1.0
2022-01-04,RBTC,9.95,9.96,9.94,9.96,79.68,2197493,0.0,1.0
2022-01-05,RBTC,9.96,9.97,9.96,9.96,79.68,113434,0.0,1.0
2022-01-06,RBTC,9.96,9.97,9.9441,9.96,79.68,602853,0.0,1.0
2022-01-07,RBTC,9.96,9.97,9.94,9.97,79.76,31726,0.0,1.0
2022-01-10,RBTC,9.96,9.97,9.95,9.97,79.76,94640,0.0,1.0
2022-01-11,RBTC,9.9418,9.95,9.9418,9.95,79.6,3265,0.0,1.0
2022-01-12,RBTC,9.95,9.96,9.95,9.96,79.68,5435,0.0,1.0
2022-01-13,RBTC,9.955,9.96,9.9511,9.96,79.68,2574,0.0,1.0
2022-01-14,RBTC,9.96,9.99,9.94,9.99,79.92,384197,0.0,1.0
2022-01-18,RBTC,9.96,9.97,9.96,9.97,79.76,22511,0.0,1.0
2022-01-19,RBTC,9.97,9.97,9.955,9.96,79.68,16779,0.0,1.0
2022-01-20,RBTC,9.97,9.98,9.96,9.97,79.76,70851,0.0,1.0
2022-01-21,RBTC,9.95,9.96,9.9411,9.96,79.68,6694,0.0,1.0
2022-01-24,RBTC,9.95,9.96,9.95,9.96,79.68,7433,0.0,1.0
2022-01-25,RBTC,10.0,10.09,9.9401,9.9558,79.6464,4134,0.0,1.0
2022-01-26,RBTC,9.9599,9.96,9.95,9.96,79.68,13441,0.0,1.0
2022-01-27,RBTC,9.96,9.9906,9.95,9.9701,79.7608,8313,0.0,1.0
2022-01-28,RBTC,9.95,9.99,9.95,9.97,79.76,3716,0.0,1.0
2022-01-31,RBTC,9.95,9.9784,9.95,9.96,79.68,3381,0.0,1.0
2022-02-01,RBTC,9.99,10.02,9.9578,9.97,79.76,29877,0.0,1.0
2022-02-02,RBTC,9.965,9.99,9.96,9.99,79.92,120180,0.0,1.0
2022-02-03,RBTC,9.9655,9.9655,9.96,9.9615,79.692,6811,0.0,1.0
2022-02-04,RBTC,10.0,10.0,9.97,9.97,79.76,2729,0.0,1.0
2022-02-07,RBTC,9.97,9.99,9.97,9.9701,79.7608,13518,0.0,1.0
2022-02-08,RBTC,9.9754,10.0,9.9754,9.99,79.92,89344,0.0,1.0
2022-02-09,RBTC,9.99,9.99,9.98,9.9897,79.9176,2401,0.0,1.0
2022-02-10,RBTC,10.0,10.02,9.99,10.0,80.0,249557,0.0,1.0
2022-02-11,RBTC,9.99,10.011,9.99,9.99,79.92,30907,0.0,1.0
2022-02-14,RBTC,9.98,10.002,9.98,10.0,80.0,4718,0.0,1.0
2022-02-15,RBTC,9.99,10.0,9.99,9.9901,79.9208,17867,0.0,1.0
2022-02-16,RBTC,10.0,10.0499,10.0,10.0119,80.0952,7948,0.0,1.0
2022-02-17,RBTC,10.008,10.015,10.0,10.015,80.12,1216,0.0,1.0
2022-02-18,RBTC,10.02,10.03,10.01,10.01,80.08,5082,0.0,1.0
2022-02-22,RBTC,10.01,10.025,10.01,10.01,80.08,27249,0.0,1.0
2022-02-23,RBTC,10.01,10.02,10.01,10.0186,80.1488,50315,0.0,1.0
2022-02-24,RBTC,10.01,10.02,10.0,10.01,80.08,121255,0.0,1.0
2022-02-25,RBTC,10.03,10.03,10.019,10.03,80.24,344,0.0,1.0
2022-02-28,RBTC,10.01,10.03,10.005,10.03,80.24,64140,0.0,1.0
2022-03-01,RBTC,10.01,10.02,10.01,10.01,80.08,62217,0.0,1.0
2022-03-02,RBTC,10.01,10.02,10.01,10.01,80.08,14207,0.0,1.0
2022-03-03,RBTC,10.015,10.02,10.01,10.01,80.08,61316,0.0,1.0
2022-03-04,RBTC,10.02,10.025,10.01,10.02,80.16,2720,0.0,1.0
2022-03-07,RBTC,10.03,10.03,10.01,10.01,80.08,33663,0.0,1.0
2022-03-08,RBTC,10.015,10.015,10.01,10.0102,80.0816,5732,0.0,1.0
2022-03-09,RBTC,10.03,10.03,10.01,10.0144,80.1152,22919,0.0,1.0
2022-03-10,RBTC,10.01,10.02,10.01,10.02,80.16,103840,0.0,1.0
2022-03-11,RBTC,10.02,10.02,10.01,10.015,80.12,33206,0.0,1.0
2022-03-14,RBTC,10.0156,10.017,10.01,10.0163,80.1304,11463,0.0,1.0
2022-03-15,RBTC,10.0111,10.015,10.01,10.01,80.08,6964,0.0,1.0
2022-03-16,RBTC,10.02,10.02,10.01,10.011,80.088,24297,0.0,1.0
2022-03-17,RBTC,10.01,10.015,10.01,10.01,80.08,2959,0.0,1.0
2022-03-18,RBTC,10.0102,10.02,10.01,10.02,80.16,2492,0.0,1.0
2022-03-21,RBTC,10.01,10.01,10.01,10.01,80.08,26684,0.0,1.0
2022-03-22,RBTC,10.03,10.03,10.01,10.01,80.08,12392,0.0,1.0
2022-03-23,RBTC,10.02,10.02,10.0105,10.015,80.12,4224,0.0,1.0
2022-03-24,RBTC,10.01,10.0199,10.01,10.015,80.12,12490,0.0,1.0
2022-03-25,RBTC,10.02,10.02,10.01,10.02,80.16,5319,0.0,1.0
2022-03-28,RBTC,10.01,10.02,10.01,10.01,80.08,35428,0.0,1.0
2022-03-29,RBTC,10.01,10.02,10.01,10.01,80.08,56578,0.0,1.0
2022-03-30,RBTC,10.02,10.02,10.01,10.015,80.12,71405,0.0,1.0
2022-03-31,RBTC,10.03,10.05,10.01,10.05,80.4,408665,0.0,1.0
2022-04-01,RBTC,10.05,10.05,10.05,10.05,80.4,129,0.0,1.0
2022-04-04,RBTC,10.035,10.0412,10.03,10.0412,80.3296,755,0.0,1.0
2022-04-05,RBTC,10.03,10.05,10.03,10.05,80.4,53110,0.0,1.0
2022-04-06,RBTC,10.04,10.0411,10.03,10.03,80.24,4283,0.0,1.0
2022-04-07,RBTC,10.046,10.046,10.0302,10.04,80.32,783,0.0,1.0
2022-04-08,RBTC,10.03,10.035,10.03,10.03,80.24,6541,0.0,1.0
