date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-11-17,REVB,9.75,9.76,9.75,9.76,491904.000000001,20001,0.0,1.0
2020-11-18,REVB,9.8,9.8,9.8,9.8,493920.000000001,250000,0.0,1.0
2020-11-19,REVB,9.8,9.8,9.8,9.8,493920.000000001,0,0.0,1.0
2020-11-20,REVB,9.8,9.8,9.8,9.8,493920.000000001,31,0.0,1.0
2020-11-23,REVB,9.8,9.8,9.8,9.8,493920.000000001,41,0.0,1.0
2020-11-24,REVB,9.8,9.8,9.8,9.8,493920.000000001,250000,0.0,1.0
2020-11-25,REVB,9.8,9.8,9.8,9.8,493920.000000001,0,0.0,1.0
2020-11-27,REVB,10.8,10.8,9.8,9.8,493920.000000001,11312,0.0,1.0
2020-11-30,REVB,9.99,9.99,9.99,9.99,503496.000000001,876,0.0,1.0
2020-12-01,REVB,9.99,10.0,9.9,9.9,498960.000000001,15923,0.0,1.0
2020-12-02,REVB,9.9,9.95,9.9,9.95,501480.000000001,17327,0.0,1.0
2020-12-03,REVB,9.95,9.95,9.95,9.95,501480.000000001,68,0.0,1.0
2020-12-04,REVB,9.95,9.9502,9.9,9.9,498960.000000001,3204,0.0,1.0
2020-12-07,REVB,9.99,9.99,9.99,9.99,503496.000000001,479,0.0,1.0
2020-12-08,REVB,9.99,10.03,9.99,9.99,503496.000000001,9663,0.0,1.0
2020-12-09,REVB,10.0499,10.05,9.99,9.99,503496.000000001,204621,0.0,1.0
2020-12-10,REVB,10.0,10.02,10.0,10.0,504000.000000001,15545,0.0,1.0
2020-12-11,REVB,10.09,10.4,10.03,10.03,505512.000000001,4445,0.0,1.0
2020-12-14,REVB,10.1985,10.1985,10.1985,10.1985,514004.400000001,533,0.0,1.0
2020-12-15,REVB,10.1985,10.1985,10.1985,10.1985,514004.400000001,94,0.0,1.0
2020-12-16,REVB,10.04,10.04,10.04,10.04,506016.000000001,644,0.0,1.0
2020-12-17,REVB,10.1,10.1,10.045,10.045,506268.000000001,737,0.0,1.0
2020-12-18,REVB,10.01,10.0856,10.01,10.0856,508314.240000001,690,0.0,1.0
2020-12-21,REVB,10.0856,10.0856,10.0856,10.0856,508314.240000001,181,0.0,1.0
2020-12-22,REVB,10.0856,10.0856,10.0856,10.0856,508314.240000001,117,0.0,1.0
2020-12-23,REVB,10.05,10.3,10.05,10.28,518112.000000001,11355,0.0,1.0
2020-12-24,REVB,10.05,10.255,10.05,10.0758,507820.320000001,1811,0.0,1.0
2020-12-28,REVB,10.1,10.28,9.9,10.0386,505945.440000001,29228,0.0,1.0
2020-12-29,REVB,10.0501,10.09,10.03,10.03,505512.000000001,116070,0.0,1.0
2020-12-30,REVB,10.05,10.06,10.02,10.02,505008.000000001,16916,0.0,1.0
2020-12-31,REVB,10.0,10.11,9.99,10.05,506520.000000001,9776,0.0,1.0
2021-01-04,REVB,10.05,10.16,10.05,10.16,512064.000000001,8147,0.0,1.0
2021-01-05,REVB,10.16,10.3,10.16,10.16,512064.000000001,4886,0.0,1.0
2021-01-06,REVB,10.28,10.286,10.15,10.15,511560.000000001,1101,0.0,1.0
2021-01-07,REVB,10.28,10.2875,10.145,10.155,511812.000000001,10116,0.0,1.0
2021-01-08,REVB,10.25,10.268,10.25,10.25,516600.000000001,6827,0.0,1.0
2021-01-11,REVB,10.06,10.2299,10.05,10.2299,515586.960000001,1289,0.0,1.0
2021-01-12,REVB,10.29,10.3,10.29,10.3,519120.000000001,2719,0.0,1.0
2021-01-13,REVB,10.1001,10.195,10.1001,10.195,513828.000000001,912,0.0,1.0
2021-01-14,REVB,10.3,10.3,10.1901,10.1901,513581.040000001,1186,0.0,1.0
2021-01-15,REVB,10.27,10.27,10.2,10.2,514080.000000001,2908,0.0,1.0
2021-01-19,REVB,10.22,10.22,10.12,10.13,510552.000000001,13901,0.0,1.0
2021-01-20,REVB,10.19,10.2806,10.19,10.2806,518142.240000001,3606,0.0,1.0
2021-01-21,REVB,10.1201,10.3,10.1201,10.3,519120.000000001,7752,0.0,1.0
2021-01-22,REVB,10.35,10.35,10.23,10.25,516600.000000001,1124,0.0,1.0
2021-01-25,REVB,10.2499,10.2499,10.08,10.15,511560.000000001,55168,0.0,1.0
2021-01-26,REVB,10.1601,10.24,10.1601,10.24,516096.000000001,628,0.0,1.0
2021-01-27,REVB,10.07,10.19,10.07,10.13,510552.000000001,5914,0.0,1.0
2021-01-28,REVB,10.14,10.1965,10.08,10.13,510552.000000001,56490,0.0,1.0
2021-01-29,REVB,10.09,10.12,10.09,10.12,510048.000000001,1604,0.0,1.0
2021-02-01,REVB,10.15,10.15,10.13,10.13,510552.000000001,3516,0.0,1.0
2021-02-02,REVB,10.25,10.25,10.25,10.25,516600.000000001,978,0.0,1.0
2021-02-03,REVB,10.24,10.25,10.24,10.24,516096.000000001,4752,0.0,1.0
2021-02-04,REVB,10.24,10.7317,10.24,10.5,529200.000000001,35512,0.0,1.0
2021-02-05,REVB,10.475,10.475,10.28,10.4,524160.000000001,2190,0.0,1.0
2021-02-08,REVB,10.64,10.64,10.28,10.28,518112.000000001,27681,0.0,1.0
2021-02-09,REVB,10.3,10.44,10.3,10.31,519624.000000001,33476,0.0,1.0
2021-02-10,REVB,10.31,10.36,10.3,10.35,521640.000000001,7242,0.0,1.0
2021-02-11,REVB,10.355,10.48,10.3,10.48,528192.000000001,26828,0.0,1.0
2021-02-12,REVB,10.38,10.38,10.28,10.28,518112.000000001,5327,0.0,1.0
2021-02-16,REVB,10.3,10.46,10.25,10.3,519120.000000001,19608,0.0,1.0
2021-02-17,REVB,10.3,10.45,10.26,10.44,526176.000000001,443,0.0,1.0
2021-02-18,REVB,10.3555,10.47,10.3,10.37,522648.000000001,11117,0.0,1.0
2021-02-19,REVB,10.37,10.375,10.3,10.34,521136.000000001,36049,0.0,1.0
2021-02-22,REVB,10.35,10.35,10.2701,10.29,518616.000000001,141419,0.0,1.0
2021-02-23,REVB,10.26,10.2999,10.16,10.25,516600.000000001,38902,0.0,1.0
2021-02-24,REVB,10.25,10.42,10.24,10.34,521136.000000001,90273,0.0,1.0
2021-02-25,REVB,10.4,10.4,10.3,10.3,519120.000000001,27993,0.0,1.0
2021-02-26,REVB,10.25,10.2535,10.25,10.25,516600.000000001,8822,0.0,1.0
2021-03-01,REVB,10.28,10.28,10.22,10.22,515088.000000001,101225,0.0,1.0
