date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-11-06,RMCO,19.35,22.9693,6.7,9.94,9.90920657951164,539837,0.0,1.0
2023-11-07,RMCO,7.45,8.05,5.3001,7.21,7.18766392739225,140271,0.0,1.0
2023-11-08,RMCO,7.12,9.9,6.71,8.28,8.25434914269179,136290,0.0,1.0
2023-11-09,RMCO,7.29,7.5,5.07,6.33,6.31039010546365,67053,0.0,1.0
2023-11-10,RMCO,5.51,6.78,5.17,5.67,5.6524347390172,68924,0.0,1.0
2023-11-13,RMCO,5.1,5.68,5.05,5.5,5.48296138705372,15735,0.0,1.0
2023-11-14,RMCO,5.09,5.39,4.22,4.95,4.93466524834835,28421,0.0,1.0
2023-11-15,RMCO,4.56,4.56,4.0198,4.3763,4.36274253057513,27791,0.0,1.0
2023-11-16,RMCO,4.55,5.81,4.35,5.18,5.16395272453424,213594,0.0,1.0
2023-11-17,RMCO,5.31,5.78,4.3,5.47,5.45305432494252,65232,0.0,1.0
2023-11-20,RMCO,5.9,5.9,4.9301,5.57,5.55274453197986,24534,0.0,1.0
2023-11-21,RMCO,5.21,5.39,4.66,5.0,4.98451035186702,57925,0.0,1.0
2023-11-22,RMCO,4.97,4.97,4.3,4.77,4.75522287568114,10559,0.0,1.0
2023-11-24,RMCO,4.6,4.74,4.28,4.65,4.63559462723633,13094,0.0,1.0
2023-11-27,RMCO,4.98,4.98,4.0,4.83,4.81503699990354,59730,0.0,1.0
2023-11-28,RMCO,4.76,4.82,4.3978,4.545,4.53091990984712,25516,0.0,1.0
2023-11-29,RMCO,4.33,4.8,4.1443,4.26,4.2468028197907,36200,0.0,1.0
2023-11-30,RMCO,4.17,4.4008,3.9,3.9305,3.91832358760267,69612,0.0,1.0
2023-12-01,RMCO,3.93,3.93,3.0,3.2,3.19008662519489,51408,0.0,1.0
2023-12-04,RMCO,3.28,3.49,2.95,3.0,2.99070621112021,34889,0.0,1.0
2023-12-05,RMCO,3.01,3.28,2.9,3.045,3.03556680428702,45589,0.0,1.0
2023-12-06,RMCO,2.98,3.04,2.9,3.04,3.03058229393515,36529,0.0,1.0
2023-12-07,RMCO,3.04,3.19,2.9,3.11,3.10036543886129,72706,0.0,1.0
2023-12-08,RMCO,3.0,3.44,3.0,3.28,3.26983879082477,44327,0.0,1.0
2023-12-11,RMCO,3.41,3.45,3.18,3.25,3.23993172871356,41923,0.0,1.0
2023-12-12,RMCO,3.19,3.35,2.91,3.27,3.25986977012103,35612,0.0,1.0
2023-12-13,RMCO,3.16,3.35,3.15,3.21,3.20005564589863,22495,0.0,1.0
2023-12-14,RMCO,3.26,3.41,3.1,3.13,3.12030348026876,36388,0.0,1.0
2023-12-15,RMCO,3.36,3.41,2.51,2.51,2.50222419663725,134987,0.0,1.0
2023-12-18,RMCO,2.51,2.7327,1.74,1.82,1.8143617680796,139823,0.0,1.0
2023-12-19,RMCO,1.84,2.0715,1.64,1.74,1.73460960244972,81621,0.0,1.0
2023-12-20,RMCO,1.69,1.77,1.48,1.5901,1.58517398210075,39482,0.0,1.0
2023-12-21,RMCO,1.52,1.9901,1.52,1.99,1.98383512004308,125996,0.0,1.0
2023-12-22,RMCO,4.39,4.75,2.49,2.56,2.55206930015592,37833598,0.0,1.0
2023-12-26,RMCO,2.21,2.5,2.11,2.34,2.33275084467377,817298,0.0,1.0
2023-12-27,RMCO,2.18,2.48,2.12,2.21,2.20315357552522,315990,0.0,1.0
2023-12-28,RMCO,2.14,2.18,1.75,1.76,1.75454764385719,242545,0.0,1.0
2023-12-29,RMCO,1.67,1.87,1.63,1.7,1.69473351963479,156660,0.0,1.0
2024-01-02,RMCO,1.65,1.71,1.61,1.69,1.68476449893105,69722,0.0,1.0
2024-01-03,RMCO,1.63,1.9101,1.57,1.81,1.80439274737586,140653,0.0,1.0
2024-01-04,RMCO,1.76,2.28,1.75,2.19,2.18321553411776,268672,0.0,1.0
2024-01-05,RMCO,2.17,2.3,1.81,2.17,2.16327749271029,139497,0.0,1.0
2024-01-08,RMCO,2.22,2.22,2.03,2.06,2.05361826496921,58163,0.0,1.0
2024-01-09,RMCO,1.99,2.14,1.8,1.83,1.82433078878333,259739,0.0,1.0
2024-01-10,RMCO,1.8,1.95,1.7701,1.86,1.85423785089453,298580,0.0,1.0
2024-01-11,RMCO,1.83,1.83,1.69,1.75,1.74457862315346,86522,0.0,1.0
2024-01-12,RMCO,1.71,1.85,1.67,1.78,1.77448568526466,37892,0.0,1.0
2024-01-16,RMCO,1.78,1.85,1.7,1.7423,1.73690247721158,31949,0.0,1.0
2024-01-17,RMCO,1.7,1.75,1.5845,1.67,1.66482645752359,42174,0.0,1.0
2024-01-18,RMCO,1.68,1.7999,1.58,1.61,1.60501233330118,23002,0.0,1.0
2024-01-19,RMCO,1.61,1.71,1.5706,1.65,1.64488841611612,55313,0.0,1.0
2024-01-22,RMCO,1.65,1.74,1.56,1.74,1.73460960244972,26941,0.0,1.0
2024-01-23,RMCO,1.6305,1.708,1.59,1.62,1.61498135400492,8423,0.0,1.0
2024-01-24,RMCO,1.68,1.68,1.58,1.59,1.58507429189371,6445,0.0,1.0
2024-01-25,RMCO,1.55,1.589,1.52,1.5752,1.57032014125219,27700,0.0,1.0
2024-01-26,RMCO,1.6,1.6799,1.46,1.5092,1.50452460460754,18467,0.0,1.0
2024-01-29,RMCO,1.55,1.55,1.4475,1.5,1.49535310556011,42848,0.0,1.0
2024-01-30,RMCO,1.4605,1.54,1.45,1.53,1.52526016767131,11396,0.0,1.0
2024-01-31,RMCO,1.52,1.52,1.2,1.3239,1.31979865096735,80753,0.0,1.0
2024-02-01,RMCO,1.32,1.36,1.2301,1.2572,1.25330528287344,14729,0.0,1.0
2024-02-02,RMCO,1.29,1.4488,1.2708,1.3499,1.34571810479706,30630,0.0,1.0
2024-02-05,RMCO,1.35,1.64,1.3001,1.64,1.63491939541238,93058,0.0,1.0
2024-02-06,RMCO,1.59,1.68,1.3386,1.3386,1.33445311140184,256692,0.0,1.0
2024-02-07,RMCO,1.31,1.3715,1.31,1.36,1.35578681570783,19441,0.0,1.0
2024-02-08,RMCO,1.5,1.5,1.33,1.36,1.35578681570783,33072,0.0,1.0
2024-02-09,RMCO,1.46,1.46,1.31,1.31,1.30594171218916,13835,0.0,1.0
2024-02-12,RMCO,1.35,1.43,1.31,1.37,1.36575583641156,39521,0.0,1.0
2024-02-13,RMCO,1.3574,1.4071,1.3574,1.37,1.36575583641156,10269,0.0,1.0
2024-02-14,RMCO,1.38,1.38,1.31,1.32,1.31591073289289,27259,0.0,1.0
2024-02-15,RMCO,1.3,1.3902,1.3,1.39,1.38569387781903,34306,0.0,1.0
2024-02-16,RMCO,1.31,1.45,1.31,1.4,1.39566289852277,50392,0.0,1.0
2024-02-20,RMCO,1.4,1.44,1.37,1.39,1.38569387781903,37240,0.0,1.0
2024-02-21,RMCO,1.39,1.39,1.3,1.31,1.30594171218916,46169,0.0,1.0
2024-02-22,RMCO,1.3101,1.37,1.25,1.25,1.24612758796676,43885,0.0,1.0
2024-02-23,RMCO,1.24,1.28,1.15,1.1701,1.16647511254392,44813,0.0,1.0
2024-02-26,RMCO,1.2,1.26,1.122,1.17,1.16637542233688,38047,0.0,1.0
2024-02-27,RMCO,1.18,1.21,1.14,1.2055,1.20176544583514,81092,0.0,1.0
2024-02-28,RMCO,1.18,1.4,1.1,1.37,1.36575583641156,487812,0.0,1.0
2024-02-29,RMCO,1.43,1.8,1.18,1.75,1.74457862315346,5938230,0.0,1.0
2024-03-01,RMCO,1.58,1.61,1.4,1.52,1.51529114696757,296975,0.0,1.0
2024-03-04,RMCO,1.37,1.61,1.37,1.49,1.48538408485637,162814,0.0,1.0
2024-03-05,RMCO,1.45,1.57,1.4101,1.51,1.50532212626384,126954,0.0,1.0
2024-03-06,RMCO,1.47,1.54,1.4,1.44,1.4355389813377,68625,0.0,1.0
2024-03-07,RMCO,1.4414,1.67,1.41,1.58,1.57510527118998,172940,0.0,1.0
2024-03-08,RMCO,1.53,1.63,1.4405,1.45,1.44550800204144,58586,0.0,1.0
2024-03-11,RMCO,1.46,1.51,1.33,1.38,1.3757248571153,233302,0.0,1.0
2024-03-12,RMCO,1.38,1.38,1.15,1.18,1.17634444304062,106571,0.0,1.0
2024-03-13,RMCO,1.16,1.36,1.16,1.3,1.29597269148543,73010,0.0,1.0
2024-03-14,RMCO,1.26,1.26,1.18,1.19,1.18631346374435,23293,0.0,1.0
2024-03-15,RMCO,1.21,1.3,1.17,1.27,1.26606562937422,118344,0.0,1.0
2024-03-18,RMCO,1.15,1.25,1.15,1.24,1.23615856726302,23781,0.0,1.0
2024-03-19,RMCO,1.22,1.255,1.2,1.24,1.23615856726302,19904,0.0,1.0
2024-03-20,RMCO,1.1915,1.3,1.18,1.26,1.25609660867049,79624,0.0,1.0
2024-03-21,RMCO,1.22,1.45,1.2,1.44,1.4355389813377,283040,0.0,1.0
