date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-06-28,SAIH,9.7272,9.74,9.6264,9.6855,145.2825,7143,0.0,1.0
2021-06-29,SAIH,9.75,9.77,9.6151,9.6502,144.753,4119,0.0,1.0
2021-06-30,SAIH,9.63,9.68,9.63,9.66,144.9,1600,0.0,1.0
2021-07-01,SAIH,9.69,9.69,9.69,9.69,145.35,378,0.0,1.0
2021-07-02,SAIH,9.62,9.6407,9.62,9.63,144.45,2490,0.0,1.0
2021-07-06,SAIH,9.62,9.67,9.61,9.62,144.3,77674,0.0,1.0
2021-07-07,SAIH,9.6201,9.635,9.62,9.63,144.45,3681,0.0,1.0
2021-07-08,SAIH,9.63,9.63,9.63,9.63,144.45,166,0.0,1.0
2021-07-09,SAIH,9.61,9.65,9.61,9.64,144.6,4111,0.0,1.0
2021-07-12,SAIH,9.64,9.64,9.64,9.64,144.6,106,0.0,1.0
2021-07-13,SAIH,9.63,9.631,9.63,9.631,144.465,1009,0.0,1.0
2021-07-14,SAIH,9.64,9.64,9.63,9.63,144.45,526,0.0,1.0
2021-07-15,SAIH,9.63,9.63,9.63,9.63,144.45,84,0.0,1.0
2021-07-16,SAIH,9.61,9.62,9.61,9.62,144.3,8700,0.0,1.0
2021-07-19,SAIH,9.63,9.63,9.62,9.62,144.3,1933,0.0,1.0
2021-07-20,SAIH,9.62,9.62,9.62,9.62,144.3,8243,0.0,1.0
2021-07-21,SAIH,9.6164,9.62,9.6,9.61,144.15,26636,0.0,1.0
2021-07-22,SAIH,9.62,9.62,9.61,9.62,144.3,820,0.0,1.0
2021-07-23,SAIH,9.62,9.62,9.6,9.6,144.0,2411,0.0,1.0
2021-07-26,SAIH,9.6,9.6,9.6,9.6,144.0,20,0.0,1.0
2021-07-27,SAIH,9.6,9.61,9.6,9.6,144.0,10846,0.0,1.0
2021-07-28,SAIH,9.5988,9.6,9.5988,9.6,144.0,32121,0.0,1.0
2021-07-29,SAIH,9.6,9.61,9.6,9.6,144.0,19480,0.0,1.0
2021-07-30,SAIH,9.6,9.6,9.59,9.59,143.85,12752,0.0,1.0
2021-08-02,SAIH,9.6,9.6,9.6,9.6,144.0,10632,0.0,1.0
2021-08-03,SAIH,9.6,9.62,9.6,9.61,144.15,30402,0.0,1.0
2021-08-04,SAIH,9.63,9.63,9.62,9.62,144.3,2100,0.0,1.0
2021-08-05,SAIH,9.62,9.62,9.62,9.62,144.3,2000,0.0,1.0
2021-08-06,SAIH,9.62,9.62,9.62,9.62,144.3,4100,0.0,1.0
2021-08-09,SAIH,9.625,9.625,9.62,9.62,144.3,610,0.0,1.0
2021-08-10,SAIH,9.63,9.635,9.63,9.63,144.45,2001,0.0,1.0
2021-08-11,SAIH,9.63,9.63,9.63,9.63,144.45,301,0.0,1.0
2021-08-12,SAIH,9.58,9.64,9.58,9.64,144.6,670,0.0,1.0
2021-08-13,SAIH,9.64,9.64,9.64,9.64,144.6,5,0.0,1.0
2021-08-16,SAIH,9.64,9.64,9.64,9.64,144.6,63,0.0,1.0
2021-08-17,SAIH,9.64,9.64,9.64,9.64,144.6,10,0.0,1.0
2021-08-18,SAIH,9.64,9.64,9.64,9.64,144.6,5197,0.0,1.0
2021-08-19,SAIH,9.64,9.64,9.64,9.64,144.6,10,0.0,1.0
2021-08-20,SAIH,9.62,9.62,9.62,9.62,144.3,9156,0.0,1.0
2021-08-23,SAIH,9.62,9.62,9.62,9.62,144.3,3002,0.0,1.0
2021-08-24,SAIH,9.63,9.63,9.63,9.63,144.45,102,0.0,1.0
2021-08-25,SAIH,9.63,9.63,9.63,9.63,144.45,19390,0.0,1.0
2021-08-26,SAIH,9.63,9.65,9.63,9.65,144.75,11143,0.0,1.0
2021-08-27,SAIH,9.65,9.65,9.65,9.65,144.75,0,0.0,1.0
2021-08-30,SAIH,9.69,9.69,9.69,9.69,145.35,100,0.0,1.0
2021-08-31,SAIH,9.73,9.73,9.73,9.73,145.95,701,0.0,1.0
2021-09-01,SAIH,9.73,9.73,9.73,9.73,145.95,5,0.0,1.0
2021-09-02,SAIH,9.75,9.75,9.75,9.75,146.25,100,0.0,1.0
2021-09-03,SAIH,9.75,9.75,9.75,9.75,146.25,0,0.0,1.0
2021-09-07,SAIH,9.75,9.75,9.75,9.75,146.25,163,0.0,1.0
2021-09-08,SAIH,9.74,9.74,9.74,9.74,146.1,114,0.0,1.0
2021-09-09,SAIH,9.66,9.67,9.64,9.64,144.6,3623,0.0,1.0
2021-09-10,SAIH,9.64,9.64,9.64,9.64,144.6,5,0.0,1.0
2021-09-13,SAIH,9.64,9.64,9.64,9.64,144.6,16,0.0,1.0
2021-09-14,SAIH,9.64,9.64,9.64,9.64,144.6,1,0.0,1.0
2021-09-15,SAIH,9.64,9.64,9.64,9.64,144.6,0,0.0,1.0
2021-09-16,SAIH,9.64,9.64,9.64,9.64,144.6,50,0.0,1.0
2021-09-17,SAIH,9.64,9.64,9.64,9.64,144.6,100,0.0,1.0
2021-09-20,SAIH,9.64,9.64,9.64,9.64,144.6,0,0.0,1.0
2021-09-21,SAIH,9.64,9.64,9.64,9.64,144.6,1,0.0,1.0
2021-09-22,SAIH,9.64,9.64,9.64,9.64,144.6,0,0.0,1.0
2021-09-23,SAIH,9.64,9.64,9.64,9.64,144.6,25,0.0,1.0
2021-09-24,SAIH,9.64,9.64,9.64,9.64,144.6,0,0.0,1.0
2021-09-27,SAIH,9.64,9.64,9.64,9.64,144.6,0,0.0,1.0
2021-09-28,SAIH,9.8099,9.83,9.72,9.82,147.3,171458,0.0,1.0
2021-09-29,SAIH,9.8022,9.8022,9.8,9.8,147.0,487,0.0,1.0
2021-09-30,SAIH,9.82,9.84,9.82,9.84,147.6,1267,0.0,1.0
2021-10-01,SAIH,9.8,9.8057,9.8,9.8055,147.0825,805,0.0,1.0
2021-10-04,SAIH,9.76,9.825,9.72,9.825,147.375,6227,0.0,1.0
2021-10-05,SAIH,9.825,9.8256,9.75,9.815,147.225,7836,0.0,1.0
2021-10-06,SAIH,9.81,9.81,9.7899,9.81,147.15,16568,0.0,1.0
2021-10-07,SAIH,9.82,9.82,9.78,9.78,146.7,1224,0.0,1.0
2021-10-08,SAIH,9.79,9.82,9.79,9.82,147.3,5384,0.0,1.0
2021-10-11,SAIH,9.82,9.82,9.82,9.82,147.3,19,0.0,1.0
2021-10-12,SAIH,9.82,9.82,9.82,9.82,147.3,5313,0.0,1.0
2021-10-13,SAIH,9.81,9.84,9.81,9.84,147.6,18206,0.0,1.0
2021-10-14,SAIH,9.82,9.83,9.8,9.8,147.0,25828,0.0,1.0
2021-10-15,SAIH,9.8,9.8,9.8,9.8,147.0,28,0.0,1.0
2021-10-18,SAIH,9.8,9.84,9.78,9.82,147.3,5313,0.0,1.0
2021-10-19,SAIH,9.85,9.85,9.81,9.81,147.15,3211,0.0,1.0
2021-10-20,SAIH,9.81,9.81,9.81,9.81,147.15,2792,0.0,1.0
2021-10-21,SAIH,9.81,9.81,9.81,9.81,147.15,0,0.0,1.0
2021-10-22,SAIH,9.81,9.81,9.81,9.81,147.15,298,0.0,1.0
2021-10-25,SAIH,9.84,9.85,9.81,9.81,147.15,4042,0.0,1.0
2021-10-26,SAIH,9.88,9.9138,9.79,9.9138,148.707,63861,0.0,1.0
2021-10-27,SAIH,9.925,9.98,9.87,9.87,148.05,17749,0.0,1.0
2021-10-28,SAIH,9.9124,9.9305,9.8918,9.91,148.65,9050,0.0,1.0
2021-10-29,SAIH,9.89,9.97,9.8582,9.97,149.55,5714,0.0,1.0
2021-11-01,SAIH,9.91,9.91,9.91,9.91,148.65,282,0.0,1.0
2021-11-02,SAIH,9.91,9.95,9.91,9.95,149.25,4200,0.0,1.0
2021-11-03,SAIH,9.97,9.99,9.95,9.98,149.7,2573,0.0,1.0
2021-11-04,SAIH,9.95,9.95,9.95,9.95,149.25,315,0.0,1.0
2021-11-05,SAIH,9.9021,9.9021,9.9021,9.9021,148.5315,342,0.0,1.0
2021-11-08,SAIH,9.9021,9.9021,9.9021,9.9021,148.5315,298,0.0,1.0
2021-11-09,SAIH,9.9021,9.9021,9.9021,9.9021,148.5315,38,0.0,1.0
2021-11-10,SAIH,9.9021,9.9021,9.9021,9.9021,148.5315,591,0.0,1.0
2021-11-11,SAIH,9.89,9.93,9.89,9.93,148.95,2294,0.0,1.0
2021-11-12,SAIH,9.915,9.915,9.89,9.89,148.35,1555,0.0,1.0
2021-11-15,SAIH,9.89,9.89,9.8601,9.8601,147.9015,4531,0.0,1.0
2021-11-16,SAIH,9.8701,9.8701,9.84,9.849,147.735,14745,0.0,1.0
2021-11-17,SAIH,9.83,9.88,9.83,9.88,148.2,6182,0.0,1.0
2021-11-18,SAIH,9.8601,9.8601,9.86,9.86,147.9,3929,0.0,1.0
2021-11-19,SAIH,9.87,9.87,9.87,9.87,148.05,1226,0.0,1.0
2021-11-22,SAIH,9.88,9.88,9.88,9.88,148.2,370,0.0,1.0
2021-11-23,SAIH,9.8541,9.9,9.84,9.9,148.5,6538,0.0,1.0
2021-11-24,SAIH,9.9,9.9,9.9,9.9,148.5,2,0.0,1.0
2021-11-26,SAIH,9.9,9.9,9.9,9.9,148.5,1,0.0,1.0
2021-11-29,SAIH,9.84,9.84,9.84,9.84,147.6,625,0.0,1.0
2021-11-30,SAIH,9.84,9.879,9.81,9.8473,147.7095,16206,0.0,1.0
2021-12-01,SAIH,9.8473,9.8473,9.8473,9.8473,147.7095,2,0.0,1.0
2021-12-02,SAIH,9.8,9.84,9.8,9.84,147.6,1210,0.0,1.0
2021-12-03,SAIH,9.8,9.8,9.8,9.8,147.0,4219,0.0,1.0
2021-12-06,SAIH,9.79,9.79,9.75,9.76,146.4,16575,0.0,1.0
2021-12-07,SAIH,9.76,9.7601,9.7597,9.76,146.4,1931,0.0,1.0
2021-12-08,SAIH,9.8,9.805,9.8,9.805,147.075,8384,0.0,1.0
2021-12-09,SAIH,9.805,9.805,9.805,9.805,147.075,2,0.0,1.0
2021-12-10,SAIH,9.805,9.805,9.805,9.805,147.075,0,0.0,1.0
2021-12-13,SAIH,9.79,9.8,9.79,9.7905,146.8575,1200,0.0,1.0
2021-12-14,SAIH,9.7905,9.7905,9.7905,9.7905,146.8575,1,0.0,1.0
2021-12-15,SAIH,9.7905,9.7905,9.7905,9.7905,146.8575,27,0.0,1.0
2021-12-16,SAIH,9.7905,9.7905,9.7905,9.7905,146.8575,22,0.0,1.0
2021-12-17,SAIH,9.7905,9.7905,9.7905,9.7905,146.8575,0,0.0,1.0
2021-12-20,SAIH,9.75,9.75,9.75,9.75,146.25,3000,0.0,1.0
2021-12-21,SAIH,9.77,9.79,9.77,9.78,146.7,10507,0.0,1.0
2021-12-22,SAIH,9.79,9.79,9.79,9.79,146.85,300,0.0,1.0
2021-12-23,SAIH,9.79,9.79,9.79,9.79,146.85,0,0.0,1.0
2021-12-27,SAIH,9.79,9.79,9.79,9.79,146.85,1011,0.0,1.0
2021-12-28,SAIH,9.8,9.81,9.8,9.81,147.15,500,0.0,1.0
2021-12-29,SAIH,9.84,9.84,9.84,9.84,147.6,390,0.0,1.0
2021-12-30,SAIH,9.84,9.84,9.84,9.84,147.6,48,0.0,1.0
2021-12-31,SAIH,9.84,9.84,9.84,9.84,147.6,0,0.0,1.0
2022-01-03,SAIH,9.83,9.83,9.82,9.83,147.45,5844,0.0,1.0
2022-01-04,SAIH,9.83,9.83,9.83,9.83,147.45,6,0.0,1.0
2022-01-05,SAIH,9.8201,9.83,9.8201,9.83,147.45,2683,0.0,1.0
2022-01-06,SAIH,9.83,9.84,9.83,9.84,147.6,1345,0.0,1.0
2022-01-07,SAIH,9.83,9.83,9.83,9.83,147.45,4890,0.0,1.0
2022-01-10,SAIH,9.8345,9.835,9.83,9.83,147.45,2300,0.0,1.0
2022-01-11,SAIH,9.8382,9.8382,9.8382,9.8382,147.573,500,0.0,1.0
2022-01-12,SAIH,9.8399,9.84,9.8399,9.84,147.6,5125,0.0,1.0
2022-01-13,SAIH,9.84,9.8414,9.83,9.83,147.45,4138,0.0,1.0
2022-01-14,SAIH,9.83,9.83,9.83,9.83,147.45,10,0.0,1.0
2022-01-18,SAIH,9.83,9.83,9.83,9.83,147.45,556,0.0,1.0
2022-01-19,SAIH,9.83,9.83,9.83,9.83,147.45,0,0.0,1.0
2022-01-20,SAIH,9.84,9.84,9.83,9.83,147.45,719,0.0,1.0
2022-01-21,SAIH,9.83,9.83,9.83,9.83,147.45,612,0.0,1.0
2022-01-24,SAIH,9.83,9.835,9.825,9.8273,147.4095,28522,0.0,1.0
2022-01-25,SAIH,9.83,9.84,9.83,9.84,147.6,10092,0.0,1.0
2022-01-26,SAIH,9.85,9.85,9.85,9.85,147.75,799,0.0,1.0
2022-01-27,SAIH,9.85,9.85,9.85,9.85,147.75,0,0.0,1.0
2022-01-28,SAIH,9.85,9.85,9.85,9.85,147.75,0,0.0,1.0
2022-01-31,SAIH,9.85,9.85,9.85,9.85,147.75,0,0.0,1.0
2022-02-01,SAIH,9.85,9.85,9.85,9.85,147.75,20,0.0,1.0
2022-02-02,SAIH,9.85,9.85,9.85,9.85,147.75,0,0.0,1.0
2022-02-03,SAIH,9.85,9.87,9.85,9.87,148.05,4185,0.0,1.0
2022-02-04,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-07,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-08,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-09,SAIH,9.87,9.87,9.87,9.87,148.05,20,0.0,1.0
2022-02-10,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-11,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-14,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-15,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-16,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-17,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-18,SAIH,9.87,9.87,9.87,9.87,148.05,0,0.0,1.0
2022-02-22,SAIH,9.8499,9.8499,9.8499,9.8499,147.7485,3500,0.0,1.0
2022-02-23,SAIH,9.84,9.87,9.84,9.85,147.75,13068,0.0,1.0
2022-02-24,SAIH,9.85,9.85,9.85,9.85,147.75,2,0.0,1.0
2022-02-25,SAIH,9.86,9.86,9.86,9.86,147.9,876,0.0,1.0
2022-02-28,SAIH,9.86,9.86,9.86,9.86,147.9,5,0.0,1.0
2022-03-01,SAIH,9.86,9.86,9.86,9.86,147.9,0,0.0,1.0
2022-03-02,SAIH,9.86,9.86,9.86,9.86,147.9,0,0.0,1.0
2022-03-03,SAIH,9.86,9.86,9.86,9.86,147.9,0,0.0,1.0
2022-03-04,SAIH,9.86,9.86,9.86,9.86,147.9,0,0.0,1.0
2022-03-07,SAIH,9.86,9.86,9.86,9.86,147.9,0,0.0,1.0
2022-03-08,SAIH,9.86,9.86,9.86,9.86,147.9,6408,0.0,1.0
2022-03-09,SAIH,9.86,9.86,9.86,9.86,147.9,2893,0.0,1.0
2022-03-10,SAIH,9.86,9.86,9.86,9.86,147.9,0,0.0,1.0
2022-03-11,SAIH,9.85,9.85,9.85,9.85,147.75,2038,0.0,1.0
2022-03-14,SAIH,9.85,9.85,9.85,9.85,147.75,3699,0.0,1.0
2022-03-15,SAIH,9.85,9.85,9.85,9.85,147.75,0,0.0,1.0
2022-03-16,SAIH,9.85,9.86,9.85,9.86,147.9,6956,0.0,1.0
2022-03-17,SAIH,9.85,9.85,9.84,9.84,147.6,3333,0.0,1.0
2022-03-18,SAIH,9.84,9.84,9.84,9.84,147.6,0,0.0,1.0
2022-03-21,SAIH,9.85,9.85,9.85,9.85,147.75,3497,0.0,1.0
2022-03-22,SAIH,9.85,9.85,9.85,9.85,147.75,1919,0.0,1.0
2022-03-23,SAIH,9.86,9.86,9.86,9.86,147.9,836,0.0,1.0
2022-03-24,SAIH,9.86,9.86,9.86,9.86,147.9,7801,0.0,1.0
2022-03-25,SAIH,9.86,9.86,9.86,9.86,147.9,36,0.0,1.0
2022-03-28,SAIH,9.86,9.86,9.86,9.86,147.9,26,0.0,1.0
2022-03-29,SAIH,9.86,9.86,9.86,9.86,147.9,401,0.0,1.0
2022-03-30,SAIH,9.86,9.86,9.86,9.86,147.9,16,0.0,1.0
2022-03-31,SAIH,9.865,9.87,9.86,9.8698,148.047,8177,0.0,1.0
2022-04-01,SAIH,9.91,9.94,9.9,9.92,148.8,10926,0.0,1.0
2022-04-04,SAIH,9.94,9.97,9.94,9.97,149.55,70892,0.0,1.0
2022-04-05,SAIH,9.97,9.97,9.9687,9.97,149.55,27612,0.0,1.0
2022-04-06,SAIH,9.97,9.97,9.97,9.97,149.55,13024,0.0,1.0
2022-04-07,SAIH,9.97,9.97,9.92,9.92,148.8,35897,0.0,1.0
2022-04-08,SAIH,9.96,9.97,9.93,9.93,148.95,33563,0.0,1.0
2022-04-11,SAIH,9.945,9.96,9.93,9.96,149.4,28403,0.0,1.0
2022-04-12,SAIH,9.96,10.005,9.9599,10.0,150.0,83055,0.0,1.0
2022-04-13,SAIH,10.0,10.0,9.98,10.0,150.0,29060,0.0,1.0
2022-04-14,SAIH,9.9656,10.0,9.9656,9.99,149.85,14522,0.0,1.0
2022-04-18,SAIH,9.99,10.05,9.96,9.99,149.85,39843,0.0,1.0
2022-04-19,SAIH,9.75,10.49,9.65,10.01,150.15,86498,0.0,1.0
2022-04-20,SAIH,10.14,10.2,9.99,9.99,149.85,24976,0.0,1.0
2022-04-21,SAIH,10.04,10.32,9.87,9.925,148.875,70080,0.0,1.0
2022-04-22,SAIH,9.97,10.035,9.86,9.95,149.25,103358,0.0,1.0
2022-04-25,SAIH,9.69,9.95,8.6,9.22,138.3,133215,0.0,1.0
2022-04-26,SAIH,9.42,12.6,8.81,9.3,139.5,1067577,0.0,1.0
2022-04-27,SAIH,9.58,11.58,9.58,10.585,158.775,514657,0.0,1.0
2022-04-28,SAIH,9.59,11.3599,9.01,9.44,141.6,424846,0.0,1.0
2022-04-29,SAIH,9.5,10.25,9.36,9.86,147.9,94619,0.0,1.0
2022-05-02,SAIH,10.04,10.8834,8.24,9.25,138.75,103267,0.0,1.0
2022-05-03,SAIH,9.3593,10.1632,8.7199,8.98,134.7,83083,0.0,1.0
2022-05-04,SAIH,8.66,9.0,8.26,8.867,133.005,64812,0.0,1.0
2022-05-05,SAIH,8.4,9.42,6.565,6.7802,101.703,183921,0.0,1.0
2022-05-06,SAIH,6.75,6.75,4.85,5.25,78.75,241779,0.0,1.0
2022-05-09,SAIH,4.58,5.32,4.55,4.87,73.05,75256,0.0,1.0
2022-05-10,SAIH,5.12,5.9391,4.75,5.2,78.0,80414,0.0,1.0
2022-05-11,SAIH,5.22,5.74,4.5,5.1,76.5,90296,0.0,1.0
2022-05-12,SAIH,5.31,5.79,5.01,5.4699,82.0485,41399,0.0,1.0
2022-05-13,SAIH,6.0,6.0,5.1,5.2675,79.0125,66259,0.0,1.0
2022-05-16,SAIH,5.2931,5.6924,5.21,5.52,82.8,49051,0.0,1.0
2022-05-17,SAIH,5.47,5.9628,5.25,5.51,82.65,65489,0.0,1.0
2022-05-18,SAIH,5.8,6.3,5.77,5.95,89.25,47121,0.0,1.0
2022-05-19,SAIH,6.46,6.9,6.1,6.3,94.5,30967,0.0,1.0
2022-05-20,SAIH,6.15,6.54,5.65,6.1585,92.3775,63362,0.0,1.0
2022-05-23,SAIH,6.4037,6.4037,5.7,6.2323,93.4845,34824,0.0,1.0
2022-05-24,SAIH,6.0,6.12,5.46,6.0479,90.7185,39554,0.0,1.0
2022-05-25,SAIH,5.84,5.9485,5.5,5.64,84.6,48300,0.0,1.0
2022-05-26,SAIH,5.56,5.98,5.21,5.3,79.5,126091,0.0,1.0
2022-05-27,SAIH,5.37,5.58,4.6001,5.2945,79.4175,206849,0.0,1.0
2022-05-31,SAIH,5.23,5.57,5.19,5.22,78.3,34483,0.0,1.0
2022-06-01,SAIH,5.45,5.64,5.09,5.25,78.75,69577,0.0,1.0
2022-06-02,SAIH,5.15,5.5147,4.8,5.23,78.45,59268,0.0,1.0
2022-06-03,SAIH,5.4325,5.4325,4.91,5.0,75.0,30475,0.0,1.0
2022-06-06,SAIH,5.0,5.84,4.95,5.13,76.95,56923,0.0,1.0
2022-06-07,SAIH,4.97,5.3719,4.8474,4.9,73.5,71506,0.0,1.0
2022-06-08,SAIH,5.0,5.13,4.81,4.81,72.15,29445,0.0,1.0
