date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-03-26,SATL,9.9,9.9,9.9,9.9,9.9,100,0.0,1.0
2021-03-29,SATL,9.9,9.9,9.9,9.9,9.9,24,0.0,1.0
2021-03-30,SATL,9.862,9.862,9.862,9.862,9.862,186,0.0,1.0
2021-03-31,SATL,9.862,9.862,9.862,9.862,9.862,0,0.0,1.0
2021-04-01,SATL,9.862,9.862,9.862,9.862,9.862,6,0.0,1.0
2021-04-05,SATL,9.862,9.862,9.862,9.862,9.862,6,0.0,1.0
2021-04-06,SATL,9.9,9.95,9.9,9.95,9.95,10100,0.0,1.0
2021-04-07,SATL,9.6873,9.6873,9.6873,9.6873,9.6873,120,0.0,1.0
2021-04-08,SATL,9.7713,9.8,9.7713,9.8,9.8,11101,0.0,1.0
2021-04-09,SATL,9.9,9.96,9.77,9.88,9.88,100917,0.0,1.0
2021-04-12,SATL,9.8865,9.9,9.85,9.9,9.9,13467,0.0,1.0
2021-04-13,SATL,9.97,9.97,9.97,9.97,9.97,434,0.0,1.0
2021-04-14,SATL,9.99,10.0,9.87,9.87,9.87,25114,0.0,1.0
2021-04-15,SATL,9.87,9.87,9.87,9.87,9.87,405,0.0,1.0
2021-04-16,SATL,9.87,9.87,9.87,9.87,9.87,0,0.0,1.0
2021-04-19,SATL,9.87,9.87,9.87,9.87,9.87,1,0.0,1.0
2021-04-20,SATL,9.87,9.87,9.87,9.87,9.87,117,0.0,1.0
2021-04-21,SATL,9.87,9.87,9.87,9.87,9.87,0,0.0,1.0
2021-04-22,SATL,9.8,9.8,9.8,9.8,9.8,5635,0.0,1.0
2021-04-23,SATL,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2021-04-26,SATL,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2021-04-27,SATL,9.8,9.8,9.79,9.79,9.79,2360,0.0,1.0
2021-04-28,SATL,9.79,9.8,9.76,9.8,9.8,15898,0.0,1.0
2021-04-29,SATL,9.8,9.84,9.78,9.84,9.84,33667,0.0,1.0
2021-04-30,SATL,9.78,9.98,9.78,9.85,9.85,38599,0.0,1.0
2021-05-03,SATL,9.83,9.9,9.83,9.9,9.9,6002,0.0,1.0
2021-05-04,SATL,9.82,9.83,9.76,9.76,9.76,5600,0.0,1.0
2021-05-05,SATL,9.76,9.82,9.76,9.81,9.81,3861,0.0,1.0
2021-05-06,SATL,9.81,9.94,9.8,9.84,9.84,252128,0.0,1.0
2021-05-07,SATL,9.8,9.95,9.75,9.82,9.82,21208,0.0,1.0
2021-05-10,SATL,9.83,9.84,9.82,9.83,9.83,8002,0.0,1.0
2021-05-11,SATL,9.83,9.95,9.81,9.86,9.86,1202,0.0,1.0
2021-05-12,SATL,9.86,9.9,9.83,9.85,9.85,123200,0.0,1.0
2021-05-13,SATL,9.82,9.82,9.82,9.82,9.82,358,0.0,1.0
2021-05-14,SATL,9.79,9.8,9.79,9.8,9.8,2758,0.0,1.0
2021-05-17,SATL,9.745,9.8,9.745,9.8,9.8,5238,0.0,1.0
2021-05-18,SATL,9.75,9.75,9.75,9.75,9.75,9000,0.0,1.0
2021-05-19,SATL,9.67,9.67,9.67,9.67,9.67,88837,0.0,1.0
2021-05-20,SATL,9.76,9.76,9.76,9.76,9.76,636,0.0,1.0
2021-05-21,SATL,9.62,9.79,9.62,9.79,9.79,1722,0.0,1.0
2021-05-24,SATL,9.79,9.79,9.79,9.79,9.79,0,0.0,1.0
2021-05-25,SATL,9.79,9.79,9.79,9.79,9.79,8,0.0,1.0
2021-05-26,SATL,9.7425,9.79,9.7,9.7,9.7,1000,0.0,1.0
2021-05-27,SATL,9.655,9.69,9.615,9.68,9.68,19371,0.0,1.0
2021-05-28,SATL,9.63,9.67,9.6,9.67,9.67,2594,0.0,1.0
2021-06-01,SATL,9.64,9.68,9.64,9.68,9.68,3091,0.0,1.0
2021-06-02,SATL,9.62,9.675,9.61,9.65,9.65,102301,0.0,1.0
2021-06-03,SATL,9.67,9.69,9.65,9.69,9.69,23111,0.0,1.0
2021-06-04,SATL,9.73,9.74,9.73,9.74,9.74,210798,0.0,1.0
2021-06-07,SATL,9.74,9.74,9.74,9.74,9.74,1,0.0,1.0
2021-06-08,SATL,9.73,9.73,9.69,9.72,9.72,4802,0.0,1.0
2021-06-09,SATL,9.715,9.74,9.69,9.74,9.74,2579,0.0,1.0
2021-06-10,SATL,9.74,9.74,9.74,9.74,9.74,0,0.0,1.0
2021-06-11,SATL,9.67,9.68,9.67,9.67,9.67,11711,0.0,1.0
2021-06-14,SATL,9.68,9.72,9.658,9.72,9.72,26733,0.0,1.0
2021-06-15,SATL,9.7,9.7,9.68,9.68,9.68,650,0.0,1.0
