date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-03-05,SCLX,9.85,9.85,9.85,9.85,344.75,2545,0.0,1.0
2021-03-08,SCLX,9.9,9.9,9.9,9.9,346.5,422,0.0,1.0
2021-03-09,SCLX,9.9,9.9,9.9,9.9,346.5,5,0.0,1.0
2021-03-10,SCLX,9.92,9.92,9.92,9.92,347.2,263,0.0,1.0
2021-03-11,SCLX,10.71,10.71,9.92,9.95,348.25,211778,0.0,1.0
2021-03-12,SCLX,9.9277,9.95,9.92,9.92,347.2,201747,0.0,1.0
2021-03-15,SCLX,9.92,9.95,9.9,9.91,346.85,328561,0.0,1.0
2021-03-16,SCLX,9.94,9.945,9.91,9.91,346.85,165890,0.0,1.0
2021-03-17,SCLX,9.91,9.95,9.91,9.95,348.25,11029,0.0,1.0
2021-03-18,SCLX,9.91,9.91,9.88,9.9,346.5,198251,0.0,1.0
2021-03-19,SCLX,9.9,9.9,9.9,9.9,346.5,70310,0.0,1.0
2021-03-22,SCLX,9.89,9.9,9.86,9.899,346.465,85942,0.0,1.0
2021-03-23,SCLX,9.87,9.87,9.84,9.85,344.75,11426,0.0,1.0
2021-03-24,SCLX,9.85,9.87,9.77,9.85,344.75,240081,0.0,1.0
2021-03-25,SCLX,9.85,9.85,9.81,9.83,344.05,81866,0.0,1.0
2021-03-26,SCLX,9.84,9.91,9.83,9.91,346.85,6555,0.0,1.0
2021-03-29,SCLX,9.84,9.885,9.77,9.85,344.75,210053,0.0,1.0
2021-03-30,SCLX,9.85,9.87,9.85,9.87,345.45,102281,0.0,1.0
2021-03-31,SCLX,9.87,9.8809,9.87,9.88,345.8,127772,0.0,1.0
2021-04-01,SCLX,9.88,9.9,9.88,9.89,346.15,29010,0.0,1.0
2021-04-05,SCLX,9.89,9.93,9.86,9.9,346.5,87862,0.0,1.0
2021-04-06,SCLX,9.89,9.9099,9.89,9.9,346.5,25532,0.0,1.0
2021-04-07,SCLX,9.91,9.91,9.91,9.91,346.85,121845,0.0,1.0
2021-04-08,SCLX,9.92,9.95,9.9181,9.95,348.25,20501,0.0,1.0
2021-04-09,SCLX,9.93,9.93,9.88,9.91,346.85,72348,0.0,1.0
2021-04-12,SCLX,9.93,9.93,9.92,9.92,347.2,41677,0.0,1.0
2021-04-13,SCLX,9.92,9.94,9.92,9.94,347.9,712,0.0,1.0
2021-04-14,SCLX,9.94,9.96,9.94,9.94,347.9,22856,0.0,1.0
2021-04-15,SCLX,9.94,9.95,9.94,9.95,348.25,300,0.0,1.0
2021-04-16,SCLX,9.94,9.95,9.94,9.94,347.9,24809,0.0,1.0
2021-04-19,SCLX,9.94,9.96,9.94,9.96,348.6,7350,0.0,1.0
