date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-10-12,SEAT,10.0,10.0,10.0,10.0,196.685878962536,152,0.0,1.0
2020-10-13,SEAT,10.02,10.1,10.0,10.0,196.685878962536,7184,0.0,1.0
2020-10-14,SEAT,10.0,10.0,9.83,9.8572,193.877204610951,1566,0.0,1.0
2020-10-15,SEAT,9.86,9.99,9.75,9.934,195.387752161383,604533,0.0,1.0
2020-10-16,SEAT,9.98,10.025,9.85,10.0,196.685878962536,55650,0.0,1.0
2020-10-19,SEAT,10.42,10.42,9.88,9.9,194.719020172911,17562,0.0,1.0
2020-10-20,SEAT,10.03,10.05,9.85,9.98,196.292507204611,5561,0.0,1.0
2020-10-21,SEAT,9.9799,9.9799,9.9,9.9,194.719020172911,1696,0.0,1.0
2020-10-22,SEAT,10.0,10.0499,9.85,9.85,193.735590778098,1965,0.0,1.0
2020-10-23,SEAT,9.71,9.85,9.71,9.85,193.735590778098,2512,0.0,1.0
2020-10-26,SEAT,9.89,9.89,9.85,9.85,193.735590778098,407,0.0,1.0
2020-10-27,SEAT,9.9,9.9,9.8716,9.9,194.719020172911,7261,0.0,1.0
2020-10-28,SEAT,9.88,9.88,9.7,9.75,191.768731988473,6328,0.0,1.0
2020-10-29,SEAT,9.805,9.805,9.805,9.805,192.850504322767,1121,0.0,1.0
2020-10-30,SEAT,9.75,9.7508,9.75,9.75,191.768731988473,951,0.0,1.0
2020-11-02,SEAT,9.89,9.89,9.75,9.75,191.768731988473,27526,0.0,1.0
2020-11-03,SEAT,9.85,9.85,9.78,9.79,192.555475504323,250515,0.0,1.0
2020-11-04,SEAT,9.79,9.8123,9.77,9.77,192.162103746398,1303,0.0,1.0
2020-11-05,SEAT,9.315,9.83,9.315,9.754,191.847406340058,4000,0.0,1.0
2020-11-06,SEAT,9.78,9.78,9.285,9.74,191.57204610951,9709,0.0,1.0
2020-11-09,SEAT,10.0,10.0,9.65,9.77,192.162103746398,91134,0.0,1.0
2020-11-10,SEAT,9.68,9.81,9.68,9.81,192.948847262248,1459,0.0,1.0
