date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-01-28,SGHC,8.6,8.6,7.69,8.25,7.67572176659045,248826,0.0,1.0
2022-01-31,SGHC,8.3,8.9,8.15,8.71,8.10370140448519,329504,0.0,1.0
2022-02-01,SGHC,8.7,8.8499,8.42,8.65,8.04787797345544,234057,0.0,1.0
2022-02-02,SGHC,8.65,8.66,8.1521,8.59,7.99205454242569,333004,0.0,1.0
2022-02-03,SGHC,8.04,8.34,7.725,8.27,7.6943295769337,309528,0.0,1.0
2022-02-04,SGHC,8.0,8.63,7.93,8.5,7.90831939588107,232907,0.0,1.0
2022-02-07,SGHC,8.27,8.85,8.27,8.8,8.18743655102981,146499,0.0,1.0
2022-02-08,SGHC,8.53,8.66,8.29,8.49,7.89901549070944,286721,0.0,1.0
2022-02-09,SGHC,8.61,8.62,8.3,8.36,7.77806472347832,137180,0.0,1.0
2022-02-10,SGHC,8.2,8.5,8.16,8.4,7.81528034416482,183492,0.0,1.0
2022-02-11,SGHC,8.49,8.7,8.35,8.35,7.76876081830669,516026,0.0,1.0
2022-02-14,SGHC,8.21,8.43,8.2,8.26,7.68502567176207,134182,0.0,1.0
2022-02-15,SGHC,8.4,8.42,8.19,8.4,7.81528034416482,173963,0.0,1.0
2022-02-16,SGHC,8.37,8.49,7.8,7.95,7.3966046114417,518505,0.0,1.0
2022-02-17,SGHC,7.94,8.0,7.08,7.81,7.26634993903896,566573,0.0,1.0
2022-02-18,SGHC,7.69,7.87,7.42,7.78,7.23843822352408,264260,0.0,1.0
2022-02-22,SGHC,7.42,7.99,7.3,7.48,6.95932106837534,188477,0.0,1.0
2022-02-23,SGHC,7.9,8.1,7.63,7.99,7.4338202321282,251342,0.0,1.0
2022-02-24,SGHC,7.72,7.92,7.4538,7.92,7.36869289592683,304446,0.0,1.0
2022-02-25,SGHC,7.8,8.56,7.77,8.24,7.66641786141882,206055,0.0,1.0
2022-02-28,SGHC,7.88,8.45,7.87,8.45,7.86179987002294,185934,0.0,1.0
2022-03-01,SGHC,8.33,8.79,8.23,8.31,7.7315451976202,178417,0.0,1.0
2022-03-02,SGHC,8.43,8.72,8.27,8.54,7.94553501656756,441649,0.0,1.0
2022-03-03,SGHC,8.4,8.49,7.97,8.15,7.5826827148742,183559,0.0,1.0
2022-03-04,SGHC,8.11,8.29,8.01,8.1,7.53616318901607,182737,0.0,1.0
2022-03-07,SGHC,8.1,8.1,7.72,7.77,7.22913431835246,184113,0.0,1.0
2022-03-08,SGHC,7.69,8.07,7.63,8.0,7.44312413729983,232579,0.0,1.0
