date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-01-21,SOAR,9.8,9.8,9.79,9.8,217.584369449378,58050,0.0,1.0
2022-01-24,SOAR,10.05,10.05,10.0,10.0,222.02486678508,901,0.0,1.0
2022-01-25,SOAR,10.0,10.0,10.0,10.0,222.02486678508,900,0.0,1.0
2022-01-26,SOAR,9.87,9.87,9.87,9.87,219.138543516874,348032,0.0,1.0
2022-01-27,SOAR,9.87,9.87,9.87,9.87,219.138543516874,0,0.0,1.0
2022-01-28,SOAR,9.8,9.8,9.8,9.8,217.584369449378,400,0.0,1.0
2022-01-31,SOAR,9.8,9.8,9.8,9.8,217.584369449378,2,0.0,1.0
2022-02-01,SOAR,9.92,9.92,9.92,9.92,220.248667850799,101,0.0,1.0
2022-02-02,SOAR,9.81,9.83,9.81,9.83,218.250444049734,775,0.0,1.0
2022-02-03,SOAR,9.83,9.83,9.83,9.83,218.250444049734,0,0.0,1.0
2022-02-04,SOAR,9.84,9.84,9.84,9.84,218.472468916519,100,0.0,1.0
2022-02-07,SOAR,9.84,9.84,9.84,9.84,218.472468916519,0,0.0,1.0
2022-02-08,SOAR,9.84,9.84,9.84,9.84,218.472468916519,100,0.0,1.0
2022-02-09,SOAR,9.93,9.93,9.815,9.815,217.917406749556,5997,0.0,1.0
2022-02-10,SOAR,9.815,9.815,9.815,9.815,217.917406749556,51,0.0,1.0
2022-02-11,SOAR,9.81,9.81,9.81,9.81,217.806394316163,100,0.0,1.0
2022-02-14,SOAR,9.81,9.81,9.81,9.81,217.806394316163,0,0.0,1.0
2022-02-15,SOAR,9.81,9.81,9.81,9.81,217.806394316163,492000,0.0,1.0
2022-02-16,SOAR,9.85,9.85,9.84,9.84,218.472468916519,101076,0.0,1.0
2022-02-17,SOAR,9.84,9.84,9.84,9.84,218.472468916519,55724,0.0,1.0
2022-02-18,SOAR,9.84,9.84,9.84,9.84,218.472468916519,0,0.0,1.0
2022-02-22,SOAR,9.84,9.84,9.84,9.84,218.472468916519,0,0.0,1.0
2022-02-23,SOAR,9.82,9.82,9.82,9.82,218.028419182949,675,0.0,1.0
2022-02-24,SOAR,9.8,9.84,9.8,9.83,218.250444049734,26408,0.0,1.0
2022-02-25,SOAR,9.83,9.83,9.83,9.83,218.250444049734,0,0.0,1.0
2022-02-28,SOAR,9.84,9.85,9.84,9.84,218.472468916519,4100,0.0,1.0
2022-03-01,SOAR,9.85,9.85,9.85,9.85,218.694493783304,10501,0.0,1.0
2022-03-02,SOAR,9.84,9.84,9.84,9.84,218.472468916519,514,0.0,1.0
2022-03-03,SOAR,9.84,9.84,9.84,9.84,218.472468916519,0,0.0,1.0
2022-03-04,SOAR,9.86,9.88,9.86,9.88,219.360568383659,13620,0.0,1.0
2022-03-07,SOAR,9.88,9.88,9.88,9.88,219.360568383659,15000,0.0,1.0
2022-03-08,SOAR,9.89,9.89,9.88,9.88,219.360568383659,6649,0.0,1.0
2022-03-09,SOAR,9.88,9.88,9.88,9.88,219.360568383659,0,0.0,1.0
2022-03-10,SOAR,9.87,9.87,9.86,9.87,219.138543516874,396202,0.0,1.0
2022-03-11,SOAR,9.87,9.87,9.87,9.87,219.138543516874,0,0.0,1.0
2022-03-14,SOAR,9.87,9.87,9.87,9.87,219.138543516874,0,0.0,1.0
2022-03-15,SOAR,9.87,9.87,9.87,9.87,219.138543516874,0,0.0,1.0
2022-03-16,SOAR,9.87,9.87,9.87,9.87,219.138543516874,0,0.0,1.0
2022-03-17,SOAR,9.89,9.89,9.88,9.88,219.360568383659,14460,0.0,1.0
