date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-01-11,SRZN,10.0,10.2,9.91,10.11,151.65,41500,0.0,1.0
2021-01-12,SRZN,10.15,10.27,10.15,10.18,152.7,25800,0.0,1.0
2021-01-13,SRZN,10.18,10.25,10.07,10.25,153.75,9600,0.0,1.0
2021-01-14,SRZN,10.34,10.34,10.15,10.2,153.0,2700,0.0,1.0
2021-01-15,SRZN,10.33,10.33,10.21,10.22,153.3,12400,0.0,1.0
2021-01-19,SRZN,10.3,10.31,10.284,10.31,154.65,6700,0.0,1.0
2021-01-20,SRZN,10.18,10.33,10.17,10.33,154.95,4400,0.0,1.0
2021-01-21,SRZN,10.12,10.38,10.1,10.32,154.8,14600,0.0,1.0
2021-01-22,SRZN,10.38,10.45,10.35,10.4,156.0,6000,0.0,1.0
2021-01-25,SRZN,10.45,10.45,10.3,10.375,155.625,57800,0.0,1.0
2021-01-26,SRZN,10.31,10.39,10.21,10.3,154.5,17700,0.0,1.0
2021-01-27,SRZN,10.3,10.32,10.14,10.29,154.35,59400,0.0,1.0
2021-01-28,SRZN,10.66,10.66,10.2,10.21,153.15,8100,0.0,1.0
2021-01-29,SRZN,10.252,10.66,10.11,10.66,159.9,110000,0.0,1.0
2021-02-01,SRZN,10.25,10.65,10.25,10.4,156.0,6000,0.0,1.0
2021-02-02,SRZN,10.48,10.59,10.38,10.4,156.0,14000,0.0,1.0
2021-02-03,SRZN,10.44,10.47,10.3,10.35,155.25,11200,0.0,1.0
2021-02-04,SRZN,10.4,10.58,10.38,10.38,155.7,8000,0.0,1.0
2021-02-05,SRZN,10.41,10.41,10.3,10.32,154.8,32600,0.0,1.0
2021-02-08,SRZN,10.64,10.64,10.3,10.3,154.5,69100,0.0,1.0
2021-02-09,SRZN,10.38,10.4,10.31,10.35,155.25,26800,0.0,1.0
2021-02-10,SRZN,10.86,10.86,10.3,10.3,154.5,70300,0.0,1.0
2021-02-11,SRZN,10.43,10.43,10.25,10.32,154.8,41400,0.0,1.0
2021-02-12,SRZN,10.33,10.5,10.33,10.48,157.2,48200,0.0,1.0
2021-02-16,SRZN,11.4,11.4,10.37,10.65,159.75,42600,0.0,1.0
2021-02-17,SRZN,10.87,10.87,10.43,10.64,159.6,18700,0.0,1.0
2021-02-18,SRZN,11.0,11.0,10.48,10.53,157.95,182300,0.0,1.0
2021-02-19,SRZN,10.6,10.68,10.51,10.61,159.15,28300,0.0,1.0
2021-02-22,SRZN,10.61,10.75,10.36,10.36,155.4,129000,0.0,1.0
2021-02-23,SRZN,10.3,10.6,10.21,10.35,155.25,124100,0.0,1.0
2021-02-24,SRZN,10.28,10.48,10.28,10.4,156.0,38800,0.0,1.0
2021-02-25,SRZN,10.25,10.4,10.25,10.27,154.05,58000,0.0,1.0
2021-02-26,SRZN,10.25,10.25,10.19,10.19,152.85,23400,0.0,1.0
2021-03-01,SRZN,10.25,10.25,9.89,10.13,151.95,43200,0.0,1.0
2021-03-02,SRZN,10.2,10.2,9.91,10.05,150.75,45000,0.0,1.0
2021-03-03,SRZN,10.05,10.1,10.05,10.05,150.75,17200,0.0,1.0
2021-03-04,SRZN,10.05,10.05,9.91,9.95,149.25,44400,0.0,1.0
2021-03-05,SRZN,10.05,10.05,9.9,9.95,149.25,23700,0.0,1.0
2021-03-08,SRZN,9.9,10.02,9.9,9.93,148.95,4100,0.0,1.0
2021-03-09,SRZN,9.95,10.0,9.85,9.87,148.05,48400,0.0,1.0
2021-03-10,SRZN,10.0,10.04,9.87,9.87,148.05,9700,0.0,1.0
2021-03-11,SRZN,9.89,9.996,9.89,9.98,149.7,11600,0.0,1.0
2021-03-12,SRZN,9.87,9.95,9.87,9.95,149.25,9700,0.0,1.0
2021-03-15,SRZN,9.8,9.97,9.8,9.967,149.505,1500,0.0,1.0
2021-03-16,SRZN,9.92,9.93,9.92,9.92,148.8,1900,0.0,1.0
2021-03-17,SRZN,9.9,9.97,9.81,9.88,148.2,8000,0.0,1.0
2021-03-18,SRZN,10.0,10.0,9.86,9.9,148.5,1500,0.0,1.0
2021-03-19,SRZN,9.935,9.935,9.935,9.935,149.025,100,0.0,1.0
2021-03-22,SRZN,9.955,9.955,9.86,9.86,147.9,2100,0.0,1.0
2021-03-23,SRZN,9.85,9.88,9.85,9.85,147.75,23500,0.0,1.0
2021-03-24,SRZN,9.78,9.8,9.6,9.6,144.0,10600,0.0,1.0
2021-03-25,SRZN,9.55,9.75,9.55,9.68,145.2,8300,0.0,1.0
2021-03-26,SRZN,9.65,9.75,9.65,9.7,145.5,40000,0.0,1.0
2021-03-29,SRZN,9.7,9.75,9.621,9.7,145.5,5300,0.0,1.0
2021-03-30,SRZN,9.7,9.85,9.7,9.78,146.7,4200,0.0,1.0
2021-03-31,SRZN,9.65,9.65,9.56,9.62,144.3,16800,0.0,1.0
