date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2017-09-29,STAI,0.02,0.02,0.02,0.02,0.4,10824,0.0,1.0
2017-12-01,STAI,0.02,0.02,0.02,0.02,0.4,1000,0.0,1.0
2018-01-11,STAI,0.02,0.25,0.02,0.15,3.0,4500,0.0,1.0
2018-01-29,STAI,0.1,0.1,0.1,0.1,2.0,300,0.0,1.0
2018-01-30,STAI,0.02,0.02,0.02,0.02,0.4,250,0.0,1.0
2018-03-08,STAI,0.02,0.02,0.02,0.02,0.4,102,0.0,1.0
2018-07-17,STAI,0.02,0.02,0.02,0.02,0.4,35719,0.0,1.0
2018-10-24,STAI,0.02,0.02,0.02,0.02,0.4,3500,0.0,1.0
2018-11-28,STAI,0.02,0.02,0.02,0.02,0.4,541,0.0,1.0
2018-12-06,STAI,0.02,0.02,0.02,0.02,0.4,3246,0.0,1.0
2018-12-18,STAI,0.02,0.02,0.02,0.02,0.4,541,0.0,1.0
2019-02-21,STAI,0.02,0.021,0.02,0.021,0.42,4081,0.0,1.0
2019-08-27,STAI,0.0001,0.0001,0.0001,0.0001,0.002,540,0.0,1.0
2020-07-22,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-07-23,STAI,0.0001,0.0001,0.0001,0.0001,0.002,540,0.0,1.0
2020-07-24,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-07-27,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-07-28,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-07-29,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-07-30,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-07-31,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-03,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-04,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-05,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-06,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-07,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-10,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-11,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-12,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-13,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-14,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-17,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-18,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-19,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-20,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-21,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-24,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-25,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-26,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2020-08-27,STAI,0.0001,0.0001,0.0001,0.0001,0.002,0,0.0,1.0
2025-01-02,STAI,7.26,9.07,2.19,2.48,49.6,1190600,0.0,1.0
2025-01-03,STAI,2.41,2.4935,1.82,2.2,44.0,1731523,0.0,1.0
2025-01-06,STAI,2.45,2.9,2.23,2.23,44.6,1603221,0.0,1.0
2025-01-07,STAI,2.25,3.34,2.2,2.77,55.4,3304808,0.0,1.0
2025-01-08,STAI,2.7,2.8,1.7575,2.18,43.6,4001559,0.0,1.0
2025-01-10,STAI,2.71,2.8758,2.02,2.28,45.6,6864952,0.0,1.0
2025-01-13,STAI,2.06,2.1,1.91,1.97,39.4,820215,0.0,1.0
2025-01-14,STAI,1.94,2.4,1.915,2.18,43.6,759104,0.0,1.0
2025-01-15,STAI,2.16,2.26,2.02,2.06,41.2,303217,0.0,1.0
2025-01-16,STAI,1.96,2.06,1.9,1.945,38.9,353145,0.0,1.0
2025-01-17,STAI,1.99,1.99,1.57,1.75,35.0,532943,0.0,1.0
2025-01-21,STAI,1.75,1.8254,1.4123,1.47,29.4,941081,0.0,1.0
2025-01-22,STAI,1.48,2.81,1.47,2.16,43.2,51847229,0.0,1.0
2025-01-23,STAI,2.1,2.1389,1.7606,1.89,37.8,3062167,0.0,1.0
2025-01-24,STAI,2.04,2.04,1.7,1.71,34.2,1401528,0.0,1.0
2025-01-27,STAI,1.71,1.73,1.55,1.56,31.2,675311,0.0,1.0
2025-01-28,STAI,1.55,1.71,1.45,1.55,31.0,530915,0.0,1.0
2025-01-29,STAI,1.55,1.5908,1.47,1.5,30.0,288373,0.0,1.0
2025-01-30,STAI,1.84,1.87,1.31,1.38,27.6,22857594,0.0,1.0
2025-01-31,STAI,1.44,1.58,1.37,1.49,29.8,1249548,0.0,1.0
2025-02-03,STAI,1.42,1.5224,1.35,1.48,29.6,893231,0.0,1.0
2025-02-04,STAI,1.46,1.48,1.37,1.4,28.0,752484,0.0,1.0
2025-02-05,STAI,1.35,1.42,1.33,1.37,27.4,1125620,0.0,1.0
2025-02-06,STAI,1.33,1.42,1.33,1.4,28.0,675900,0.0,1.0
2025-02-07,STAI,1.42,1.45,1.35,1.45,29.0,521740,0.0,1.0
2025-02-10,STAI,1.43,1.45,1.37,1.43,28.6,568483,0.0,1.0
2025-02-11,STAI,1.38,1.4,1.34,1.35,27.0,404751,0.0,1.0
2025-02-12,STAI,1.3,1.46,1.23,1.43,28.6,697830,0.0,1.0
2025-02-13,STAI,1.44,1.7194,1.36,1.68,33.6,4796864,0.0,1.0
2025-02-14,STAI,2.31,2.38,1.7,2.05,41.0,43293175,0.0,1.0
2025-02-18,STAI,2.13,4.4099,2.12,3.51,70.2,146450820,0.0,1.0
2025-02-19,STAI,2.94,3.6,2.7658,3.14,62.8,8234180,0.0,1.0
2025-02-20,STAI,3.42,5.2,3.26,3.63,72.6,67096986,0.0,1.0
2025-02-21,STAI,4.13,4.24,3.05,3.29,65.8,7609881,0.0,1.0
2025-02-24,STAI,3.21,3.23,2.06,2.15,43.0,5142553,0.0,1.0
2025-02-25,STAI,2.17,3.18,2.17,2.57,51.4,12321251,0.0,1.0
2025-02-26,STAI,2.43,2.748,2.34,2.51,50.2,2852228,0.0,1.0
2025-02-27,STAI,2.54,2.7,2.38,2.42,48.4,1591939,0.0,1.0
2025-02-28,STAI,2.32,2.43,2.13,2.31,46.2,1193633,0.0,1.0
2025-03-03,STAI,2.35,2.49,1.99,2.0,40.0,1370722,0.0,1.0
2025-03-04,STAI,1.78,2.05,1.76,2.01,40.2,1076502,0.0,1.0
2025-03-05,STAI,2.04,2.14,2.0,2.05,41.0,604632,0.0,1.0
