date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-10-08,STEM,10.0,10.0,9.67,9.7,194.0,27427,0.0,1.0
2020-10-09,STEM,9.67,9.8,9.67,9.76,195.2,209996,0.0,1.0
2020-10-12,STEM,9.85,9.85,9.69,9.7,194.0,19600,0.0,1.0
2020-10-13,STEM,9.71,9.83,9.65,9.75,195.0,19836,0.0,1.0
2020-10-14,STEM,9.8,9.8,9.68,9.7615,195.23,1200,0.0,1.0
2020-10-15,STEM,9.8,9.8,9.7,9.784,195.68,7349,0.0,1.0
2020-10-16,STEM,9.745,9.8,9.7,9.8,196.0,110707,0.0,1.0
2020-10-19,STEM,9.75,9.75,9.75,9.75,195.0,507,0.0,1.0
2020-10-20,STEM,9.8,9.8,9.73,9.8,196.0,157068,0.0,1.0
2020-10-21,STEM,9.8,9.8,9.7,9.72,194.4,177508,0.0,1.0
2020-10-22,STEM,9.8,9.8,9.71,9.74,194.8,506657,0.0,1.0
2020-10-23,STEM,9.72,9.74,9.72,9.74,194.8,1945,0.0,1.0
2020-10-26,STEM,9.77,9.79,9.7,9.78,195.6,5084,0.0,1.0
2020-10-27,STEM,9.71,9.78,9.68,9.75,195.0,7317,0.0,1.0
2020-10-28,STEM,9.71,9.7104,9.65,9.66,193.2,266504,0.0,1.0
2020-10-29,STEM,9.72,9.74,9.66,9.7,194.0,36029,0.0,1.0
2020-10-30,STEM,9.7,9.75,9.64,9.65,193.0,28308,0.0,1.0
2020-11-02,STEM,9.75,9.75,9.69,9.69,193.8,11773,0.0,1.0
2020-11-03,STEM,9.67,9.7,9.67,9.7,194.0,690,0.0,1.0
2020-11-04,STEM,9.67,9.7,9.67,9.7,194.0,21754,0.0,1.0
2020-11-05,STEM,9.75,9.75,9.7,9.7,194.0,14943,0.0,1.0
2020-11-06,STEM,9.7,9.71,9.7,9.71,194.2,1197,0.0,1.0
2020-11-09,STEM,9.75,9.75,9.6,9.75,195.0,76895,0.0,1.0
2020-11-10,STEM,9.78,9.79,9.75,9.79,195.8,22568,0.0,1.0
2020-11-11,STEM,9.7001,9.75,9.7,9.75,195.0,16446,0.0,1.0
2020-11-12,STEM,9.7311,9.78,9.7311,9.77,195.4,2023,0.0,1.0
2020-11-13,STEM,9.78,9.78,9.75,9.75,195.0,6506,0.0,1.0
2020-11-16,STEM,9.8,9.8,9.69,9.7,194.0,718534,0.0,1.0
2020-11-17,STEM,9.7,9.79,9.7,9.75,195.0,109534,0.0,1.0
2020-11-18,STEM,9.7,9.78,9.7,9.74,194.8,18537,0.0,1.0
2020-11-19,STEM,9.78,9.88,9.76,9.83,196.6,70492,0.0,1.0
2020-11-20,STEM,9.88,10.0,9.86,10.0,200.0,50811,0.0,1.0
2020-11-23,STEM,9.96,10.0,9.8,10.0,200.0,64721,0.0,1.0
2020-11-24,STEM,10.0,10.07,9.86,10.01,200.2,622817,0.0,1.0
2020-11-25,STEM,10.01,10.08,10.01,10.03,200.6,6472,0.0,1.0
2020-11-27,STEM,10.03,10.5,9.9,10.5,210.0,112844,0.0,1.0
2020-11-30,STEM,10.54,10.57,10.0,10.15,203.0,265537,0.0,1.0
2020-12-01,STEM,10.25,10.25,9.95,10.12,202.4,28960,0.0,1.0
2020-12-02,STEM,10.07,10.1278,9.97,10.04,200.8,9747,0.0,1.0
2020-12-03,STEM,10.04,10.14,10.0,10.06,201.2,115588,0.0,1.0
2020-12-04,STEM,13.24,17.57,11.85,17.01,340.2,34135877,0.0,1.0
2020-12-07,STEM,15.6,16.5,14.79,16.01,320.2,7147079,0.0,1.0
2020-12-08,STEM,15.72,16.75,14.56,15.16,303.2,3245002,0.0,1.0
2020-12-09,STEM,15.34,15.45,14.3,14.89,297.8,2235783,0.0,1.0
2020-12-10,STEM,14.55,17.06,14.25,16.82,336.4,4877049,0.0,1.0
2020-12-11,STEM,16.16,17.9,16.15,17.23,344.6,4211119,0.0,1.0
2020-12-14,STEM,16.87,17.51,16.47,17.2,344.0,2709211,0.0,1.0
2020-12-15,STEM,17.75,17.77,16.95,17.32,346.4,2560226,0.0,1.0
2020-12-16,STEM,17.2,17.45,16.0,17.25,345.0,878447,0.0,1.0
2020-12-17,STEM,17.16,17.5,17.0,17.17,343.4,879139,0.0,1.0
2020-12-18,STEM,17.3,18.38,17.1701,18.06,361.2,1722223,0.0,1.0
2020-12-21,STEM,18.2,18.98,17.93,18.5,370.0,1019766,0.0,1.0
2020-12-22,STEM,18.5,20.75,18.5,20.09,401.8,3300239,0.0,1.0
2020-12-23,STEM,20.09,21.0,19.7748,20.86,417.2,1421010,0.0,1.0
2020-12-24,STEM,21.85,23.28,21.17,22.67,453.4,1314515,0.0,1.0
2020-12-28,STEM,24.8,26.43,21.3,22.31,446.2,1878900,0.0,1.0
2020-12-29,STEM,21.72,22.42,19.95,20.95,419.0,1928438,0.0,1.0
2020-12-30,STEM,21.5,21.695,20.2,20.75,415.0,812963,0.0,1.0
2020-12-31,STEM,20.56,20.88,19.5,20.46,409.2,785296,0.0,1.0
2021-01-04,STEM,21.27,21.34,16.64,17.9,358.0,2547494,0.0,1.0
2021-01-05,STEM,17.62,18.98,17.5,17.9,358.0,1149606,0.0,1.0
2021-01-06,STEM,18.97,21.0,18.55,18.85,377.0,2118981,0.0,1.0
2021-01-07,STEM,20.27,23.77,19.86,23.31,466.2,2872550,0.0,1.0
2021-01-08,STEM,23.01,29.28,22.16,25.49,509.8,5162278,0.0,1.0
2021-01-11,STEM,27.0,33.58,26.02,30.95,619.0,17416601,0.0,1.0
2021-01-12,STEM,35.09,36.92,32.23,36.0,720.0,9115188,0.0,1.0
2021-01-13,STEM,38.0,38.2,33.1826,33.75,675.0,5991215,0.0,1.0
2021-01-14,STEM,34.0,34.74,32.5,33.94,678.8,2655547,0.0,1.0
2021-01-15,STEM,32.99,33.13,30.2,31.49,629.8,2755063,0.0,1.0
