date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-09-03,TNGX,9.88,10.4899,9.86,10.23,10.23,970422,0.0,1.0
2020-09-04,TNGX,10.33,10.6,10.12,10.25,10.25,253446,0.0,1.0
2020-09-08,TNGX,10.31,10.31,10.16,10.24,10.24,70307,0.0,1.0
2020-09-09,TNGX,10.25,10.25,10.15,10.2,10.2,53119,0.0,1.0
2020-09-10,TNGX,10.16,10.28,10.085,10.11,10.11,87298,0.0,1.0
2020-09-11,TNGX,10.25,10.28,10.065,10.135,10.135,44347,0.0,1.0
2020-09-14,TNGX,10.14,10.24,10.1,10.15,10.15,52990,0.0,1.0
2020-09-15,TNGX,10.195,10.205,10.14,10.14,10.14,16496,0.0,1.0
2020-09-16,TNGX,10.13,10.88,10.11,10.16,10.16,49433,0.0,1.0
2020-09-17,TNGX,10.455,10.455,10.05,10.14,10.14,23859,0.0,1.0
2020-09-18,TNGX,10.2,10.54,10.15,10.15,10.15,39802,0.0,1.0
2020-09-21,TNGX,10.16,10.3,10.1,10.13,10.13,16596,0.0,1.0
2020-09-22,TNGX,10.7,10.7,10.1625,10.38,10.38,1703,0.0,1.0
2020-09-23,TNGX,10.71,10.71,10.2,10.55,10.55,6363,0.0,1.0
2020-09-24,TNGX,10.36,10.36,10.2,10.28,10.28,3512,0.0,1.0
2020-09-25,TNGX,10.2347,10.285,10.22,10.22,10.22,1920,0.0,1.0
2020-09-28,TNGX,10.22,10.22,10.1001,10.11,10.11,1269,0.0,1.0
2020-09-29,TNGX,10.23,10.23,10.1362,10.1362,10.1362,1192,0.0,1.0
2020-09-30,TNGX,10.18,10.615,10.18,10.3599,10.3599,9686,0.0,1.0
2020-10-01,TNGX,10.5,10.5,10.15,10.15,10.15,1926,0.0,1.0
2020-10-02,TNGX,10.1001,10.1001,10.1001,10.1001,10.1001,146,0.0,1.0
2020-10-05,TNGX,10.11,10.33,10.1,10.1,10.1,6427,0.0,1.0
2020-10-06,TNGX,10.2,10.41,10.14,10.16,10.16,4542,0.0,1.0
2020-10-07,TNGX,10.2,10.31,10.1,10.14,10.14,4700,0.0,1.0
2020-10-08,TNGX,10.22,10.29,10.17,10.1991,10.1991,2355,0.0,1.0
