date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-09-17,VEEA,4.2,10.83,4.2,5.25,5.25,164963,0.0,1.0
2024-09-18,VEEA,7.81,18.56,6.96,12.25,12.25,6363383,0.0,1.0
2024-09-19,VEEA,11.0,12.4,10.5,11.06,11.06,391327,0.0,1.0
2024-09-20,VEEA,10.22,11.7928,10.22,10.98,10.98,96059,0.0,1.0
2024-09-23,VEEA,10.95,12.0,9.57,9.8,9.8,132774,0.0,1.0
2024-09-24,VEEA,9.83,10.63,7.3,7.958,7.958,167879,0.0,1.0
2024-09-25,VEEA,8.0,8.2344,7.41,7.5,7.5,32364,0.0,1.0
2024-09-26,VEEA,7.96,7.96,6.9,6.92,6.92,127392,0.0,1.0
2024-09-27,VEEA,6.82,7.2604,6.55,6.61,6.61,66329,0.0,1.0
2024-09-30,VEEA,6.6,6.765,6.25,6.5,6.5,56959,0.0,1.0
2024-10-01,VEEA,6.5,6.5,5.51,5.82,5.82,142459,0.0,1.0
2024-10-02,VEEA,5.99,5.99,5.5,5.5,5.5,80050,0.0,1.0
2024-10-03,VEEA,5.67,5.9749,4.94,5.08,5.08,152752,0.0,1.0
2024-10-04,VEEA,5.2,5.8,5.01,5.38,5.38,108174,0.0,1.0
2024-10-07,VEEA,5.55,5.6547,5.13,5.22,5.22,60945,0.0,1.0
2024-10-08,VEEA,5.35,5.35,4.71,4.79,4.79,94251,0.0,1.0
2024-10-09,VEEA,4.8,5.0,4.56,4.59,4.59,94563,0.0,1.0
2024-10-10,VEEA,4.59,4.65,4.02,4.26,4.26,111809,0.0,1.0
2024-10-11,VEEA,4.36,4.41,2.98,3.25,3.25,284950,0.0,1.0
2024-10-14,VEEA,3.31,3.55,3.09,3.09,3.09,126155,0.0,1.0
2024-10-15,VEEA,3.09,3.2,3.06,3.1,3.1,110080,0.0,1.0
2024-10-16,VEEA,3.15,3.68,3.15,3.68,3.68,405578,0.0,1.0
2024-10-17,VEEA,4.23,5.16,3.86,3.99,3.99,497972,0.0,1.0
2024-10-18,VEEA,4.28,4.59,4.06,4.21,4.21,324683,0.0,1.0
2024-10-21,VEEA,4.32,4.6,4.16,4.24,4.24,97933,0.0,1.0
2024-10-22,VEEA,4.12,4.4,4.12,4.36,4.36,222074,0.0,1.0
2024-10-23,VEEA,4.4,4.51,4.25,4.38,4.38,190626,0.0,1.0
2024-10-24,VEEA,4.35,4.89,4.35,4.52,4.52,142819,0.0,1.0
2024-10-25,VEEA,4.67,4.725,4.22,4.35,4.35,192622,0.0,1.0
2024-10-28,VEEA,4.35,4.616,3.89,3.9,3.9,168110,0.0,1.0
2024-10-29,VEEA,4.12,4.27,3.44,3.5,3.5,267211,0.0,1.0
2024-10-30,VEEA,3.53,3.57,3.26,3.41,3.41,148645,0.0,1.0
2024-10-31,VEEA,3.45,3.5,3.1,3.15,3.15,107354,0.0,1.0
2024-11-01,VEEA,3.3,3.54,3.23,3.41,3.41,75875,0.0,1.0
2024-11-04,VEEA,3.5,4.4,3.5,3.74,3.74,242980,0.0,1.0
2024-11-05,VEEA,3.75,3.7604,3.4,3.5,3.5,124845,0.0,1.0
2024-11-06,VEEA,3.715,3.74,3.15,3.19,3.19,121164,0.0,1.0
2024-11-07,VEEA,3.26,3.4,3.03,3.085,3.085,154955,0.0,1.0
2024-11-08,VEEA,3.1,3.14,2.7101,2.87,2.87,211130,0.0,1.0
2024-11-11,VEEA,3.05,3.1,2.95,2.97,2.97,156811,0.0,1.0
2024-11-12,VEEA,3.01,3.105,2.96,2.96,2.96,96575,0.0,1.0
2024-11-13,VEEA,2.92,3.005,2.82,2.86,2.86,38725,0.0,1.0
2024-11-14,VEEA,2.83,2.9099,2.77,2.845,2.845,30373,0.0,1.0
