date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-04-04,VIEWQ,0.4,0.427,0.33,0.33,0.33,2060200,0.0,1.0
2024-04-05,VIEWQ,0.09,0.24,0.09,0.137,0.137,587942,0.0,1.0
2024-04-08,VIEWQ,0.145,0.188,0.115,0.137,0.137,587942,0.0,1.0
2024-04-09,VIEWQ,0.1151,0.188,0.1151,0.13,0.13,292486,0.0,1.0
2024-04-10,VIEWQ,0.1361,0.2,0.1361,0.18445,0.18445,55285,0.0,1.0
2024-04-11,VIEWQ,0.1528,0.24,0.1402,0.24,0.24,55503,0.0,1.0
2024-04-12,VIEWQ,0.1701,0.3,0.155,0.18,0.18,50787,0.0,1.0
2024-04-15,VIEWQ,0.1801,0.21908,0.105,0.14265,0.14265,191150,0.0,1.0
2024-04-16,VIEWQ,0.1353,0.15,0.135,0.15,0.15,6357,0.0,1.0
2024-04-17,VIEWQ,0.14,0.15175,0.14,0.15,0.15,34357,0.0,1.0
2024-04-18,VIEWQ,0.155,0.162555,0.12,0.1499,0.1499,82278,0.0,1.0
2024-04-19,VIEWQ,0.13,0.15,0.13,0.15,0.15,21382,0.0,1.0
2024-04-22,VIEWQ,0.1599,0.161,0.135,0.161,0.161,23480,0.0,1.0
2024-04-23,VIEWQ,0.15,0.18,0.135,0.17,0.17,14653,0.0,1.0
2024-04-24,VIEWQ,0.1,0.15,0.1,0.15,0.15,21854,0.0,1.0
2024-04-25,VIEWQ,0.15,0.16,0.12,0.16,0.16,11794,0.0,1.0
2024-04-26,VIEWQ,0.1301,0.155,0.0907,0.1499,0.1499,97723,0.0,1.0
2024-04-29,VIEWQ,0.1,0.1499,0.085,0.085,0.085,138420,0.0,1.0
2024-04-30,VIEWQ,0.08,0.109,0.08,0.0853,0.0853,17366,0.0,1.0
2024-05-01,VIEWQ,0.08665,0.1,0.0853,0.09265,0.09265,10792,0.0,1.0
2024-05-02,VIEWQ,0.0853,0.1,0.0853,0.09265,0.09265,14215,0.0,1.0
2024-05-03,VIEWQ,0.1,0.1,0.0925,0.1,0.1,10492,0.0,1.0
2024-05-06,VIEWQ,0.085,0.1,0.085,0.09,0.09,17213,0.0,1.0
2024-05-07,VIEWQ,0.085,0.1,0.082,0.091,0.091,25948,0.0,1.0
2024-05-08,VIEWQ,0.1,0.1,0.085,0.085,0.085,331,0.0,1.0
2024-05-09,VIEWQ,0.072,0.1,0.072,0.08,0.08,2678,0.0,1.0
2024-05-10,VIEWQ,0.065,0.1,0.0405,0.08,0.08,19209,0.0,1.0
2024-05-13,VIEWQ,0.06803,0.0993,0.04,0.04,0.04,24798,0.0,1.0
2024-05-14,VIEWQ,0.041,0.08565,0.041,0.05,0.05,32846,0.0,1.0
2024-05-15,VIEWQ,0.05005,0.1,0.05,0.05,0.05,20615,0.0,1.0
2024-05-16,VIEWQ,0.058,0.08,0.0406,0.051,0.051,37261,0.0,1.0
2024-05-17,VIEWQ,0.0451,0.08,0.042,0.042,0.042,6879,0.0,1.0
2024-05-20,VIEWQ,0.046,0.08,0.042,0.08,0.08,3930,0.0,1.0
2024-05-21,VIEWQ,0.08,0.08,0.045,0.0455,0.0455,21323,0.0,1.0
2024-05-22,VIEWQ,0.08,0.08,0.0455,0.08,0.08,14887,0.0,1.0
2024-05-23,VIEWQ,0.08,0.08,0.08,0.08,0.08,0,0.0,1.0
2024-05-24,VIEWQ,0.08,0.08,0.08,0.08,0.08,0,0.0,1.0
2024-05-28,VIEWQ,0.08,0.08,0.08,0.08,0.08,0,0.0,1.0
