date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-05-27,VINC,9.35,9.35,9.35,9.35,187.0,9100,0.0,1.0
2020-05-28,VINC,9.35,9.35,9.35,9.35,187.0,56,0.0,1.0
2020-05-29,VINC,11.0,11.0,10.69,10.69,213.8,334,0.0,1.0
2020-06-01,VINC,10.69,10.69,10.69,10.69,213.8,70,0.0,1.0
2020-06-02,VINC,9.61,9.61,9.61,9.61,192.2,205,0.0,1.0
2020-06-03,VINC,9.61,9.61,9.61,9.61,192.2,25,0.0,1.0
2020-06-04,VINC,9.61,9.61,9.61,9.61,192.2,70,0.0,1.0
2020-06-05,VINC,9.61,9.61,9.61,9.61,192.2,13,0.0,1.0
2020-06-08,VINC,9.61,9.61,9.61,9.61,192.2,0,0.0,1.0
2020-06-09,VINC,9.61,9.61,9.61,9.61,192.2,0,0.0,1.0
2020-06-10,VINC,9.745,9.745,9.722,9.722,194.44,338,0.0,1.0
2020-06-11,VINC,9.75,9.75,9.75,9.75,195.0,200,0.0,1.0
2020-06-12,VINC,9.65,9.65,9.65,9.65,193.0,1356,0.0,1.0
2020-06-15,VINC,9.75,9.75,9.75,9.75,195.0,20220,0.0,1.0
2020-06-16,VINC,9.75,9.75,9.731,9.74,194.8,353,0.0,1.0
2020-06-17,VINC,9.74,9.74,9.74,9.74,194.8,47,0.0,1.0
2020-06-18,VINC,9.75,10.68,9.75,10.68,213.6,4635,0.0,1.0
2020-06-19,VINC,10.68,10.68,10.68,10.68,213.6,1,0.0,1.0
2020-06-22,VINC,10.0,10.0,9.95,9.95,199.0,2019,0.0,1.0
2020-06-23,VINC,10.0,10.0,9.95,9.95,199.0,1401,0.0,1.0
2020-06-24,VINC,9.95,9.95,9.95,9.95,199.0,0,0.0,1.0
2020-06-25,VINC,9.95,9.95,9.95,9.95,199.0,0,0.0,1.0
2020-06-26,VINC,9.95,9.95,9.95,9.95,199.0,0,0.0,1.0
2020-06-29,VINC,10.7,10.7,9.96,9.96,199.2,321,0.0,1.0
2020-06-30,VINC,9.96,9.96,9.96,9.96,199.2,1,0.0,1.0
2020-07-01,VINC,10.08,10.125,10.08,10.125,202.5,1201,0.0,1.0
2020-07-02,VINC,9.99,9.99,9.99,9.99,199.8,102,0.0,1.0
2020-07-06,VINC,9.989,9.989,9.989,9.989,199.78,257,0.0,1.0
2020-07-07,VINC,9.989,9.989,9.989,9.989,199.78,0,0.0,1.0
2020-07-08,VINC,10.06,10.1,10.06,10.1,202.0,3004,0.0,1.0
2020-07-09,VINC,9.983,9.983,9.983,9.983,199.66,111,0.0,1.0
2020-07-10,VINC,9.85,10.1,9.85,10.1,202.0,43701,0.0,1.0
2020-07-13,VINC,10.1,10.2,10.1,10.2,204.0,15356,0.0,1.0
2020-07-14,VINC,9.95,10.1,9.94,10.1,202.0,646,0.0,1.0
2020-07-15,VINC,10.13,10.2,10.12,10.12,202.4,60000,0.0,1.0
2020-07-16,VINC,10.12,10.12,10.12,10.12,202.4,40,0.0,1.0
2020-07-17,VINC,10.12,10.12,10.12,10.12,202.4,0,0.0,1.0
2020-07-20,VINC,10.04,10.04,10.04,10.04,200.8,101,0.0,1.0
2020-07-21,VINC,10.06,10.06,10.05,10.06,201.2,9520,0.0,1.0
2020-07-22,VINC,10.21,10.21,10.2,10.21,204.2,1701,0.0,1.0
2020-07-23,VINC,10.11,10.16,9.8,9.8,196.0,2061,0.0,1.0
2020-07-24,VINC,10.1,10.12,10.02,10.02,200.4,1450,0.0,1.0
2020-07-27,VINC,10.0,10.0,10.0,10.0,200.0,120,0.0,1.0
2020-07-28,VINC,10.0,10.0,10.0,10.0,200.0,10,0.0,1.0
2020-07-29,VINC,10.0,10.0,10.0,10.0,200.0,0,0.0,1.0
2020-07-30,VINC,10.135,10.135,10.135,10.135,202.7,1000,0.0,1.0
2020-07-31,VINC,10.135,10.135,10.135,10.135,202.7,1,0.0,1.0
2020-08-03,VINC,10.02,10.0799,10.0,10.02,200.4,16927,0.0,1.0
2020-08-04,VINC,10.02,10.02,10.01,10.01,200.2,2601,0.0,1.0
2020-08-05,VINC,10.04,10.09,10.01,10.01,200.2,1204,0.0,1.0
2020-08-06,VINC,10.01,10.01,10.01,10.01,200.2,0,0.0,1.0
2020-08-07,VINC,10.02,10.03,10.01,10.03,200.6,2401,0.0,1.0
2020-08-10,VINC,10.02,10.02,10.01,10.01,200.2,1100,0.0,1.0
2020-08-11,VINC,10.01,10.02,10.01,10.01,200.2,700,0.0,1.0
2020-08-12,VINC,10.39,10.39,10.0,10.0,200.0,1696,0.0,1.0
2020-08-13,VINC,10.0,10.0,10.0,10.0,200.0,47399,0.0,1.0
2020-08-14,VINC,10.01,10.04,10.007,10.01,200.2,3500,0.0,1.0
2020-08-17,VINC,10.01,10.01,10.01,10.01,200.2,20,0.0,1.0
2020-08-18,VINC,10.03,10.03,10.03,10.03,200.6,200,0.0,1.0
2020-08-19,VINC,10.03,10.03,10.01,10.01,200.2,1118,0.0,1.0
2020-08-20,VINC,10.0,10.0,9.97,9.97,199.4,32566,0.0,1.0
2020-08-21,VINC,9.97,9.97,9.97,9.97,199.4,0,0.0,1.0
2020-08-24,VINC,10.255,10.255,10.255,10.255,205.1,100,0.0,1.0
2020-08-25,VINC,10.03,10.03,10.03,10.03,200.6,400,0.0,1.0
2020-08-26,VINC,9.97,9.97,9.97,9.97,199.4,541,0.0,1.0
2020-08-27,VINC,9.97,9.97,9.97,9.97,199.4,0,0.0,1.0
2020-08-28,VINC,9.97,9.97,9.97,9.97,199.4,0,0.0,1.0
2020-08-31,VINC,10.0,10.05,9.97,10.05,201.0,10612,0.0,1.0
2020-09-01,VINC,9.97,9.97,9.97,9.97,199.4,100,0.0,1.0
2020-09-02,VINC,9.97,9.97,9.97,9.97,199.4,0,0.0,1.0
2020-09-03,VINC,10.0,10.0,9.95,9.95,199.0,20333,0.0,1.0
2020-09-04,VINC,10.14,10.14,10.0907,10.0907,201.814,902,0.0,1.0
2020-09-08,VINC,9.95,9.95,9.95,9.95,199.0,404,0.0,1.0
2020-09-09,VINC,9.95,9.95,9.95,9.95,199.0,2,0.0,1.0
2020-09-10,VINC,9.95,9.95,9.95,9.95,199.0,2,0.0,1.0
2020-09-11,VINC,10.12,10.1291,10.071,10.071,201.42,1000,0.0,1.0
2020-09-14,VINC,10.08,10.08,10.08,10.08,201.6,121,0.0,1.0
2020-09-15,VINC,10.1,10.11,10.1,10.11,202.2,4502,0.0,1.0
2020-09-16,VINC,10.12,10.16,10.1,10.16,203.2,3602,0.0,1.0
2020-09-17,VINC,10.1,10.22,10.0,10.22,204.4,10498,0.0,1.0
2020-09-18,VINC,10.31,10.31,10.25,10.25,205.0,1934,0.0,1.0
2020-09-21,VINC,10.2,10.2,10.2,10.2,204.0,100,0.0,1.0
2020-09-22,VINC,10.0,10.0,10.0,10.0,200.0,1000,0.0,1.0
2020-09-23,VINC,10.1,10.19,10.1,10.1,202.0,2300,0.0,1.0
2020-09-24,VINC,10.1,10.1,10.1,10.1,202.0,98,0.0,1.0
2020-09-25,VINC,10.1,10.1,10.1,10.1,202.0,0,0.0,1.0
2020-09-28,VINC,10.5,10.5,10.5,10.5,210.0,599,0.0,1.0
2020-09-29,VINC,11.75,12.7399,11.5,12.6,252.0,928346,0.0,1.0
2020-09-30,VINC,12.7,12.85,12.0899,12.4,248.0,69748,0.0,1.0
2020-10-01,VINC,12.5,12.9,12.28,12.9,258.0,239357,0.0,1.0
2020-10-02,VINC,12.69,12.9,12.675,12.85,257.0,150412,0.0,1.0
2020-10-05,VINC,13.0,14.72,13.0,13.5,270.0,97238,0.0,1.0
2020-10-06,VINC,13.5,14.25,13.3515,13.5,270.0,48133,0.0,1.0
2020-10-07,VINC,13.65,13.9,13.49,13.55,271.0,180904,0.0,1.0
2020-10-08,VINC,13.59,13.6,13.4,13.45,269.0,96707,0.0,1.0
2020-10-09,VINC,13.41,13.9,13.1967,13.5,270.0,27227,0.0,1.0
2020-10-12,VINC,13.06,13.5,13.06,13.325,266.5,123654,0.0,1.0
2020-10-13,VINC,13.395,13.4,13.2,13.33,266.6,45793,0.0,1.0
2020-10-14,VINC,13.38,13.4,13.0,13.3573,267.146,12512,0.0,1.0
2020-10-15,VINC,13.2,13.4,13.0,13.38,267.6,19906,0.0,1.0
2020-10-16,VINC,13.25,13.4,13.23,13.4,268.0,23252,0.0,1.0
2020-10-19,VINC,13.48,13.54,13.25,13.4,268.0,6171,0.0,1.0
2020-10-20,VINC,13.48,14.05,13.48,13.96,279.2,25131,0.0,1.0
2020-10-21,VINC,14.19,14.2,13.73,14.2,284.0,9519,0.0,1.0
2020-10-22,VINC,14.5,14.5,14.0,14.5,290.0,18866,0.0,1.0
2020-10-23,VINC,14.2304,14.59,14.2,14.2,284.0,3289,0.0,1.0
2020-10-26,VINC,14.48,14.85,14.35,14.55,291.0,29994,0.0,1.0
2020-10-27,VINC,14.56,14.98,14.5,14.81,296.2,26307,0.0,1.0
2020-10-28,VINC,14.76,14.98,14.66,14.75,295.0,17667,0.0,1.0
2020-10-29,VINC,14.6222,15.5,14.6222,15.5,310.0,37529,0.0,1.0
2020-10-30,VINC,15.31,15.5,15.21,15.48,309.6,18223,0.0,1.0
2020-11-02,VINC,15.4999,15.5,15.375,15.5,310.0,33070,0.0,1.0
2020-11-03,VINC,15.1,15.79,15.1,15.54,310.8,7200,0.0,1.0
2020-11-04,VINC,15.5,15.76,15.26,15.5,310.0,12584,0.0,1.0
2020-11-05,VINC,15.55,15.55,15.455,15.49,309.8,7235,0.0,1.0
2020-11-06,VINC,15.75,15.75,15.55,15.63,312.6,4594,0.0,1.0
2020-11-09,VINC,16.13,16.6713,15.44,15.8,316.0,9566,0.0,1.0
2020-11-10,VINC,15.839,16.74,15.75,16.32,326.4,10198,0.0,1.0
2020-11-11,VINC,16.45,16.5,16.0,16.07,321.4,6336,0.0,1.0
2020-11-12,VINC,16.0598,16.2,15.51,16.2,324.0,8922,0.0,1.0
2020-11-13,VINC,16.0,16.25,15.94,16.25,325.0,6141,0.0,1.0
2020-11-16,VINC,15.74,16.4,15.74,16.0,320.0,17131,0.0,1.0
2020-11-17,VINC,16.23,16.25,15.94,16.25,325.0,4634,0.0,1.0
2020-11-18,VINC,16.25,16.25,15.9968,16.2,324.0,29012,0.0,1.0
2020-11-19,VINC,16.25,16.41,16.0,16.4,328.0,17933,0.0,1.0
2020-11-20,VINC,16.01,16.67,16.01,16.4,328.0,6767,0.0,1.0
2020-11-23,VINC,16.7,16.8552,16.14,16.78,335.6,4070,0.0,1.0
2020-11-24,VINC,16.7139,16.95,16.3,16.31,326.2,4970,0.0,1.0
2020-11-25,VINC,16.65,16.9,16.16,16.39,327.8,6898,0.0,1.0
2020-11-27,VINC,16.05,16.53,16.0,16.42,328.4,7723,0.0,1.0
2020-11-30,VINC,16.417,16.9,16.095,16.5,330.0,21150,0.0,1.0
2020-12-01,VINC,16.4,16.9,16.32,16.4,328.0,4348,0.0,1.0
2020-12-02,VINC,16.44,16.4999,16.44,16.44,328.8,1369,0.0,1.0
2020-12-03,VINC,16.47,16.47,16.47,16.47,329.4,423,0.0,1.0
2020-12-04,VINC,16.1583,17.0,16.1583,16.31,326.2,5305,0.0,1.0
2020-12-07,VINC,16.46,16.46,15.6,15.98,319.6,4459,0.0,1.0
2020-12-08,VINC,15.7,16.49,14.6374,15.85,317.0,11406,0.0,1.0
2020-12-09,VINC,15.5827,15.95,14.79,15.5,310.0,5026,0.0,1.0
2020-12-10,VINC,15.4,15.445,15.2,15.2,304.0,1607,0.0,1.0
2020-12-11,VINC,15.2,15.21,15.2,15.21,304.2,495,0.0,1.0
2020-12-14,VINC,14.96,16.75,14.5,15.99,319.8,42388,0.0,1.0
2020-12-15,VINC,16.0,16.46,15.75,16.0,320.0,36369,0.0,1.0
2020-12-16,VINC,16.05,16.31,15.51,16.31,326.2,17881,0.0,1.0
2020-12-17,VINC,15.9962,16.27,15.9962,16.15,323.0,58163,0.0,1.0
2020-12-18,VINC,16.01,16.74,15.9006,16.74,334.8,16086,0.0,1.0
2020-12-21,VINC,17.0,19.85,16.0,18.5999,371.998,45356,0.0,1.0
2020-12-22,VINC,19.0,19.7,16.94,17.7,354.0,35497,0.0,1.0
2020-12-23,VINC,18.0,19.44,16.35,19.0,380.0,61200,0.0,1.0
2020-12-24,VINC,20.0,21.01,18.9298,19.56,391.2,16390,0.0,1.0
2020-12-28,VINC,20.12,20.12,17.55,19.95,399.0,16311,0.0,1.0
2020-12-29,VINC,19.5,20.5,18.585,20.5,410.0,30301,0.0,1.0
2020-12-30,VINC,20.0,20.15,18.693,20.0,400.0,20466,0.0,1.0
