date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-10-01,VLN,7.18,7.2254,6.17,6.59,6.59,262761,0.0,1.0
2021-10-04,VLN,6.61,6.9,6.6,6.89,6.89,257704,0.0,1.0
2021-10-05,VLN,6.72,6.72,6.12,6.15,6.15,225330,0.0,1.0
2021-10-06,VLN,6.6,6.62,6.13,6.25,6.25,524915,0.0,1.0
2021-10-07,VLN,6.34,7.06,6.2,6.95,6.95,391148,0.0,1.0
2021-10-08,VLN,6.92,7.75,6.8,7.32,7.32,268994,0.0,1.0
2021-10-11,VLN,7.5,7.69,7.3508,7.4,7.4,106532,0.0,1.0
2021-10-12,VLN,7.55,9.48,7.4,8.76,8.76,1373939,0.0,1.0
2021-10-13,VLN,8.45,8.9643,7.67,8.62,8.62,492605,0.0,1.0
2021-10-14,VLN,8.69,8.79,7.82,8.02,8.02,228270,0.0,1.0
2021-10-15,VLN,7.89,8.3299,7.83,8.01,8.01,151228,0.0,1.0
2021-10-18,VLN,7.99,8.17,7.26,7.36,7.36,275913,0.0,1.0
2021-10-19,VLN,7.29,7.45,7.16,7.2,7.2,112847,0.0,1.0
2021-10-20,VLN,7.2,7.6051,7.2,7.57,7.57,286589,0.0,1.0
2021-10-21,VLN,7.39,7.69,7.28,7.67,7.67,149892,0.0,1.0
2021-10-22,VLN,7.87,7.93,7.34,7.55,7.55,181181,0.0,1.0
2021-10-25,VLN,8.12,8.3,7.75,7.96,7.96,281084,0.0,1.0
2021-10-26,VLN,8.0,9.9,7.976,9.6,9.6,1016704,0.0,1.0
2021-10-27,VLN,9.62,9.72,8.57,8.72,8.72,345213,0.0,1.0
2021-10-28,VLN,9.0,9.49,8.76,9.09,9.09,226471,0.0,1.0
2021-10-29,VLN,9.22,9.4905,9.0051,9.19,9.19,126968,0.0,1.0
2021-11-01,VLN,9.2,10.0,9.2,10.0,10.0,227329,0.0,1.0
2021-11-02,VLN,10.11,10.15,9.21,9.33,9.33,188018,0.0,1.0
2021-11-03,VLN,9.47,9.76,9.351,9.55,9.55,126753,0.0,1.0
2021-11-04,VLN,10.0,10.0,9.44,9.6,9.6,127518,0.0,1.0
2021-11-05,VLN,9.56,10.24,9.56,9.94,9.94,126579,0.0,1.0
2021-11-08,VLN,10.1,10.98,10.1,10.93,10.93,263909,0.0,1.0
2021-11-09,VLN,10.97,11.5,10.97,11.25,11.25,250522,0.0,1.0
2021-11-10,VLN,11.98,12.1899,10.51,10.75,10.75,242966,0.0,1.0
2021-11-11,VLN,10.95,10.98,9.13,9.23,9.23,373406,0.0,1.0
2021-11-12,VLN,9.45,10.13,9.45,10.01,10.01,193971,0.0,1.0
2021-11-15,VLN,10.08,10.25,10.0,10.13,10.13,130393,0.0,1.0
2021-11-16,VLN,9.89,10.12,9.8127,9.96,9.96,85280,0.0,1.0
2021-11-17,VLN,9.98,10.09,9.68,9.79,9.79,91366,0.0,1.0
2021-11-18,VLN,9.8,9.85,9.01,9.23,9.23,113506,0.0,1.0
2021-11-19,VLN,9.31,9.61,9.1201,9.37,9.37,68682,0.0,1.0
2021-11-22,VLN,9.45,9.48,8.62,8.7,8.7,87577,0.0,1.0
2021-11-23,VLN,8.76,9.58,8.76,9.52,9.52,57931,0.0,1.0
2021-11-24,VLN,9.52,9.56,9.2928,9.45,9.45,51270,0.0,1.0
2021-11-26,VLN,9.39,9.395,9.15,9.24,9.24,25334,0.0,1.0
2021-11-29,VLN,9.59,9.59,9.05,9.27,9.27,40529,0.0,1.0
2021-11-30,VLN,9.21,9.25,8.531,8.56,8.56,88008,0.0,1.0
2021-12-01,VLN,8.86,9.2913,8.42,8.51,8.51,62248,0.0,1.0
2021-12-02,VLN,8.39,8.55,8.0,8.11,8.11,62029,0.0,1.0
2021-12-03,VLN,8.23,8.48,7.6161,8.09,8.09,111287,0.0,1.0
