date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-01-21,VVNT,11.05,12.6,10.5,10.52,10.52,484600,0.0,1.0
2020-01-22,VVNT,10.74,12.2627,10.74,11.5,11.5,436475,0.0,1.0
2020-01-23,VVNT,11.45,12.46,11.3817,11.83,11.83,441802,0.0,1.0
2020-01-24,VVNT,11.51,12.12,11.51,11.72,11.72,252841,0.0,1.0
2020-01-27,VVNT,12.0,12.1424,11.69,11.71,11.71,289007,0.0,1.0
2020-01-28,VVNT,11.71,12.0192,11.5,11.8,11.8,98558,0.0,1.0
2020-01-29,VVNT,11.74,17.5,11.695,17.3,17.3,632228,0.0,1.0
2020-01-30,VVNT,18.2,23.86,16.0701,19.4,19.4,1979146,0.0,1.0
2020-01-31,VVNT,16.75,16.99,15.482,16.66,16.66,329587,0.0,1.0
2020-02-03,VVNT,16.4,16.4,13.82,14.25,14.25,158183,0.0,1.0
2020-02-04,VVNT,13.9,13.9999,12.8,12.85,12.85,213464,0.0,1.0
2020-02-05,VVNT,13.36,14.69,13.0,14.11,14.11,211138,0.0,1.0
2020-02-06,VVNT,14.89,14.89,13.645,14.23,14.23,123778,0.0,1.0
2020-02-07,VVNT,14.61,14.61,13.91,14.16,14.16,131894,0.0,1.0
2020-02-10,VVNT,13.88,14.31,12.58,12.6,12.6,165702,0.0,1.0
2020-02-11,VVNT,12.66,13.81,12.6501,12.81,12.81,148698,0.0,1.0
2020-02-12,VVNT,12.84,14.27,12.84,14.08,14.08,137812,0.0,1.0
2020-02-13,VVNT,13.99,15.4799,13.8195,15.14,15.14,106049,0.0,1.0
2020-02-14,VVNT,15.37,16.27,15.2,16.27,16.27,138501,0.0,1.0
2020-02-18,VVNT,16.25,16.99,15.71,16.55,16.55,77377,0.0,1.0
2020-02-19,VVNT,16.65,18.425,16.6363,17.687,17.687,141493,0.0,1.0
2020-02-20,VVNT,18.14,19.1,18.0,18.41,18.41,146459,0.0,1.0
2020-02-21,VVNT,19.0,19.0,18.3156,19.0,19.0,114523,0.0,1.0
2020-02-24,VVNT,18.37,18.5,17.2403,18.5,18.5,111281,0.0,1.0
2020-02-25,VVNT,18.68,20.2579,18.1542,19.58,19.58,179663,0.0,1.0
2020-02-26,VVNT,19.72,20.39,19.72,20.07,20.07,145692,0.0,1.0
2020-02-27,VVNT,19.97,19.97,17.35,19.15,19.15,187973,0.0,1.0
2020-02-28,VVNT,20.82,20.82,17.72,19.08,19.08,87879,0.0,1.0
2020-03-02,VVNT,18.9,22.86,18.9,22.86,22.86,142572,0.0,1.0
2020-03-03,VVNT,23.5,24.05,20.59,20.99,20.99,96341,0.0,1.0
2020-03-04,VVNT,21.37,25.27,21.37,25.1,25.1,133440,0.0,1.0
2020-03-05,VVNT,24.23,27.89,23.16,23.4,23.4,204782,0.0,1.0
2020-03-06,VVNT,26.0,29.22,24.5884,26.54,26.54,189477,0.0,1.0
2020-03-09,VVNT,26.4,26.4,20.0,22.95,22.95,311535,0.0,1.0
2020-03-10,VVNT,23.8,32.0,23.8,25.65,25.65,287099,0.0,1.0
2020-03-11,VVNT,23.0,29.775,22.58,27.98,27.98,288055,0.0,1.0
2020-03-12,VVNT,24.05,26.18,22.35,23.33,23.33,108372,0.0,1.0
2020-03-13,VVNT,24.06,27.6901,20.06,22.22,22.22,112769,0.0,1.0
2020-03-16,VVNT,21.22,21.22,11.06,11.55,11.55,471760,0.0,1.0
2020-03-17,VVNT,12.76,13.33,11.63,11.69,11.69,178634,0.0,1.0
2020-03-18,VVNT,11.32,11.6399,10.17,10.31,10.31,130933,0.0,1.0
2020-03-19,VVNT,10.0,11.17,10.0,10.15,10.15,130178,0.0,1.0
2020-03-20,VVNT,10.36,11.45,8.51,10.15,10.15,182941,0.0,1.0
2020-03-23,VVNT,10.0,11.05,9.1301,11.05,11.05,89700,0.0,1.0
2020-03-24,VVNT,11.55,12.4449,10.1,12.18,12.18,120346,0.0,1.0
2020-03-25,VVNT,12.64,12.64,11.11,11.75,11.75,87735,0.0,1.0
2020-03-26,VVNT,12.18,12.752,11.65,11.98,11.98,91211,0.0,1.0
2020-03-27,VVNT,11.4,12.5,11.23,12.32,12.32,39129,0.0,1.0
2020-03-30,VVNT,11.46,12.39,11.46,12.12,12.12,22861,0.0,1.0
2020-03-31,VVNT,11.71,12.68,11.71,12.54,12.54,23413,0.0,1.0
2020-04-01,VVNT,12.39,12.81,11.5601,12.31,12.31,31734,0.0,1.0
2020-04-02,VVNT,12.82,12.91,11.92,12.27,12.27,24627,0.0,1.0
2020-04-03,VVNT,12.4,12.4,11.63,11.63,11.63,17310,0.0,1.0
2020-04-06,VVNT,11.59,12.2,11.59,11.99,11.99,17322,0.0,1.0
2020-04-07,VVNT,12.7,12.845,11.87,12.0,12.0,57244,0.0,1.0
2020-04-08,VVNT,12.76,12.76,11.5,11.8,11.8,71373,0.0,1.0
2020-04-09,VVNT,11.3,12.0,10.9,11.0,11.0,174528,0.0,1.0
2020-04-13,VVNT,10.9,11.09,10.5,11.09,11.09,92513,0.0,1.0
2020-04-14,VVNT,10.82,11.18,10.29,10.94,10.94,95992,0.0,1.0
2020-04-15,VVNT,10.99,10.99,10.0,10.42,10.42,68409,0.0,1.0
2020-04-16,VVNT,10.42,10.45,9.51,10.13,10.13,76214,0.0,1.0
2020-04-17,VVNT,10.15,10.6,9.73,9.91,9.91,77218,0.0,1.0
2020-04-20,VVNT,10.35,10.35,9.3,9.58,9.58,81234,0.0,1.0
2020-04-21,VVNT,9.3,9.99,9.07,9.63,9.63,68913,0.0,1.0
2020-04-22,VVNT,10.06,10.3,9.62,9.99,9.99,67604,0.0,1.0
2020-04-23,VVNT,10.0,10.54,9.89,9.98,9.98,83764,0.0,1.0
2020-04-24,VVNT,10.24,10.4145,9.988,10.11,10.11,59447,0.0,1.0
2020-04-27,VVNT,10.67,10.91,10.4401,10.78,10.78,73901,0.0,1.0
2020-04-28,VVNT,10.85,11.19,10.83,11.0,11.0,111369,0.0,1.0
2020-04-29,VVNT,11.0,11.57,10.7,10.93,10.93,135005,0.0,1.0
2020-04-30,VVNT,11.05,11.25,10.05,10.4,10.4,89779,0.0,1.0
2020-05-01,VVNT,10.4,10.94,10.11,10.18,10.18,95648,0.0,1.0
2020-05-04,VVNT,10.22,12.05,10.1315,10.64,10.64,221103,0.0,1.0
2020-05-05,VVNT,11.05,11.1899,10.65,10.88,10.88,78164,0.0,1.0
2020-05-06,VVNT,10.8,10.98,10.08,10.29,10.29,93998,0.0,1.0
2020-05-07,VVNT,10.27,10.7951,10.1,10.19,10.19,137395,0.0,1.0
2020-05-08,VVNT,10.5,11.68,10.5,11.58,11.58,221727,0.0,1.0
2020-05-11,VVNT,11.7,11.99,11.45,11.49,11.49,204407,0.0,1.0
2020-05-12,VVNT,12.21,13.4808,12.0,12.22,12.22,375106,0.0,1.0
2020-05-13,VVNT,12.81,12.9591,11.1,11.62,11.62,285301,0.0,1.0
2020-05-14,VVNT,11.67,12.98,11.15,11.59,11.59,375564,0.0,1.0
2020-05-15,VVNT,12.24,12.34,11.64,11.98,11.98,104713,0.0,1.0
2020-05-18,VVNT,12.26,12.562,11.55,11.74,11.74,326883,0.0,1.0
2020-05-19,VVNT,11.9,12.05,11.41,11.6,11.6,124179,0.0,1.0
2020-05-20,VVNT,11.61,11.6101,11.22,11.34,11.34,176066,0.0,1.0
2020-05-21,VVNT,11.49,11.8,11.0,11.49,11.49,204068,0.0,1.0
2020-05-22,VVNT,11.66,11.69,11.27,11.42,11.42,157070,0.0,1.0
2020-05-26,VVNT,11.7,11.84,11.48,11.52,11.52,98883,0.0,1.0
2020-05-27,VVNT,11.88,11.99,11.13,11.43,11.43,207398,0.0,1.0
2020-05-28,VVNT,11.42,11.69,11.271,11.62,11.62,97737,0.0,1.0
2020-05-29,VVNT,11.7,11.7,11.27,11.5,11.5,95400,0.0,1.0
2020-06-01,VVNT,11.54,12.2,11.51,12.09,12.09,244807,0.0,1.0
2020-06-02,VVNT,12.33,13.05,12.21,12.85,12.85,473632,0.0,1.0
2020-06-03,VVNT,13.1,13.45,12.47,13.35,13.35,474929,0.0,1.0
2020-06-04,VVNT,13.44,13.58,13.21,13.36,13.36,430989,0.0,1.0
2020-06-05,VVNT,14.02,14.02,13.55,13.76,13.76,566803,0.0,1.0
2020-06-08,VVNT,14.17,14.45,13.76,13.87,13.87,763836,0.0,1.0
2020-06-09,VVNT,14.01,14.39,13.71,14.31,14.31,583354,0.0,1.0
2020-06-10,VVNT,14.62,14.68,14.02,14.6,14.6,778190,0.0,1.0
2020-06-11,VVNT,13.88,14.67,13.75,14.34,14.34,692123,0.0,1.0
2020-06-12,VVNT,14.58,14.72,14.2505,14.72,14.72,616834,0.0,1.0
2020-06-15,VVNT,14.63,14.95,14.14,14.92,14.92,1087543,0.0,1.0
2020-06-16,VVNT,14.95,15.5,14.8,15.45,15.45,1058554,0.0,1.0
2020-06-17,VVNT,15.58,16.4,15.385,16.28,16.28,1834026,0.0,1.0
2020-06-18,VVNT,16.27,16.75,16.0,16.58,16.58,1440286,0.0,1.0
2020-06-19,VVNT,16.81,17.74,16.61,17.36,17.36,3415756,0.0,1.0
2020-06-22,VVNT,17.51,18.09,17.42,17.98,17.98,1536376,0.0,1.0
2020-06-23,VVNT,18.21,18.3689,15.4,16.12,16.12,2923221,0.0,1.0
2020-06-24,VVNT,16.05,17.46,16.01,17.02,17.02,1532730,0.0,1.0
2020-06-25,VVNT,16.88,18.07,16.72,17.05,17.05,1706013,0.0,1.0
2020-06-26,VVNT,16.95,17.22,15.43,16.66,16.66,8553336,0.0,1.0
2020-06-29,VVNT,16.92,17.16,16.13,16.46,16.46,436000,0.0,1.0
2020-06-30,VVNT,16.28,17.33,16.28,17.33,17.33,1127500,0.0,1.0
2020-07-01,VVNT,17.4,17.54,17.29,17.29,17.29,420900,0.0,1.0
2020-07-02,VVNT,17.6,17.6,16.9,17.01,17.01,307400,0.0,1.0
2020-07-06,VVNT,17.16,17.49,16.72,17.12,17.12,207000,0.0,1.0
2020-07-07,VVNT,16.88,17.14,16.32,16.35,16.35,185400,0.0,1.0
2020-07-08,VVNT,16.38,16.49,15.9,16.18,16.18,276600,0.0,1.0
2020-07-09,VVNT,16.22,16.32,15.55,16.01,16.01,232900,0.0,1.0
2020-07-10,VVNT,15.9,16.2,15.72,15.92,15.92,191100,0.0,1.0
2020-07-13,VVNT,16.13,16.13,15.23,15.32,15.32,323100,0.0,1.0
2020-07-14,VVNT,15.3,15.95,15.11,15.9,15.9,240300,0.0,1.0
2020-07-15,VVNT,15.95,16.39,15.8,15.83,15.83,284300,0.0,1.0
2020-07-16,VVNT,15.68,16.36,15.66,16.34,16.34,262700,0.0,1.0
2020-07-17,VVNT,16.24,16.36,15.62,15.62,15.62,147000,0.0,1.0
2020-07-20,VVNT,15.49,15.75,15.1,15.29,15.29,271615,0.0,1.0
2020-07-21,VVNT,15.44,15.82,15.3,15.32,15.32,189490,0.0,1.0
2020-07-22,VVNT,16.08,16.31,15.69,16.14,16.14,324740,0.0,1.0
