date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-05-12,WALD,9.85,9.85,9.85,9.85,9.85,1317,0.0,1.0
2021-05-13,WALD,9.85,9.9,9.85,9.86,9.86,12257,0.0,1.0
2021-05-14,WALD,9.85,9.85,9.85,9.85,9.85,2754,0.0,1.0
2021-05-17,WALD,9.85,9.85,9.85,9.85,9.85,3,0.0,1.0
2021-05-18,WALD,9.85,9.85,9.85,9.85,9.85,4,0.0,1.0
2021-05-19,WALD,9.85,9.85,9.85,9.85,9.85,2,0.0,1.0
2021-05-20,WALD,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2021-05-21,WALD,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2021-05-24,WALD,10.0395,10.0395,10.0395,10.0395,10.0395,101,0.0,1.0
2021-05-25,WALD,10.0395,10.0395,10.0395,10.0395,10.0395,0,0.0,1.0
2021-05-26,WALD,11.32,11.32,9.62,9.86,9.86,5154,0.0,1.0
2021-05-27,WALD,9.86,9.86,9.86,9.86,9.86,61,0.0,1.0
2021-05-28,WALD,9.805,9.86,9.805,9.86,9.86,471,0.0,1.0
2021-06-01,WALD,9.86,9.86,9.86,9.86,9.86,69,0.0,1.0
2021-06-02,WALD,10.0431,10.0431,9.95,9.95,9.95,2355,0.0,1.0
2021-06-03,WALD,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
2021-06-04,WALD,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
2021-06-07,WALD,9.95,10.05,9.95,10.05,10.05,5152,0.0,1.0
2021-06-08,WALD,9.98,10.05,9.952,9.952,9.952,51819,0.0,1.0
2021-06-09,WALD,9.7701,9.7701,9.7701,9.7701,9.7701,253,0.0,1.0
2021-06-10,WALD,9.7701,9.7701,9.7701,9.7701,9.7701,1500,0.0,1.0
2021-06-11,WALD,9.95,9.95,9.95,9.95,9.95,1692,0.0,1.0
2021-06-14,WALD,9.91,9.92,9.7,9.79,9.79,20687,0.0,1.0
2021-06-15,WALD,9.72,9.72,9.72,9.72,9.72,1451,0.0,1.0
2021-06-16,WALD,9.76,9.76,9.74,9.74,9.74,15000,0.0,1.0
2021-06-17,WALD,9.74,9.74,9.74,9.74,9.74,55,0.0,1.0
2021-06-18,WALD,9.74,9.74,9.74,9.74,9.74,0,0.0,1.0
2021-06-21,WALD,9.71,9.75,9.7,9.75,9.75,6168,0.0,1.0
2021-06-22,WALD,9.7972,9.896,9.77,9.77,9.77,3605,0.0,1.0
2021-06-23,WALD,9.8217,9.923,9.78,9.923,9.923,5608,0.0,1.0
2021-06-24,WALD,9.79,10.0499,9.79,10.0499,10.0499,2553,0.0,1.0
2021-06-25,WALD,9.88,9.97,9.88,9.97,9.97,2558,0.0,1.0
2021-06-28,WALD,9.95,9.99,9.95,9.97,9.97,34908,0.0,1.0
2021-06-29,WALD,9.95,9.97,9.95,9.95,9.95,36306,0.0,1.0
2021-06-30,WALD,9.95,9.95,9.95,9.95,9.95,3,0.0,1.0
2021-07-01,WALD,9.89,9.89,9.89,9.89,9.89,1336,0.0,1.0
2021-07-02,WALD,9.89,9.89,9.89,9.89,9.89,0,0.0,1.0
2021-07-06,WALD,9.86,9.86,9.73,9.75,9.75,5822,0.0,1.0
2021-07-07,WALD,9.75,9.75,9.75,9.75,9.75,1,0.0,1.0
2021-07-08,WALD,9.75,9.75,9.75,9.75,9.75,0,0.0,1.0
2021-07-09,WALD,9.75,9.75,9.75,9.75,9.75,3298,0.0,1.0
2021-07-12,WALD,9.76,9.77,9.76,9.77,9.77,808,0.0,1.0
2021-07-13,WALD,9.78,9.83,9.78,9.83,9.83,1137,0.0,1.0
2021-07-14,WALD,9.85,10.05,9.78,10.02,10.02,20489,0.0,1.0
2021-07-15,WALD,9.99,10.0,9.99,10.0,10.0,7336,0.0,1.0
2021-07-16,WALD,9.97,9.99,9.97,9.99,9.99,25259,0.0,1.0
2021-07-19,WALD,10.0,10.0,9.97,9.98,9.98,51782,0.0,1.0
2021-07-20,WALD,10.01,10.01,9.98,9.98,9.98,2651,0.0,1.0
2021-07-21,WALD,9.99,9.99,9.99,9.99,9.99,366,0.0,1.0
2021-07-22,WALD,10.01,10.01,9.98,9.98,9.98,33810,0.0,1.0
2021-07-23,WALD,9.99,9.99,9.99,9.99,9.99,4622,0.0,1.0
2021-07-26,WALD,9.98,9.98,9.98,9.98,9.98,225,0.0,1.0
2021-07-27,WALD,10.0,10.0,10.0,10.0,10.0,345,0.0,1.0
2021-07-28,WALD,9.98,9.99,9.98,9.98,9.98,15728,0.0,1.0
2021-07-29,WALD,9.96,9.98,9.9,9.9,9.9,16118,0.0,1.0
2021-07-30,WALD,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
2021-08-02,WALD,9.95,9.95,9.72,9.72,9.72,11463,0.0,1.0
2021-08-03,WALD,9.72,9.72,9.72,9.72,9.72,1,0.0,1.0
2021-08-04,WALD,9.72,9.72,9.72,9.72,9.72,929,0.0,1.0
2021-08-05,WALD,9.87,9.87,9.7,9.7,9.7,20028,0.0,1.0
2021-08-06,WALD,9.71,9.77,9.7,9.71,9.71,13845,0.0,1.0
2021-08-09,WALD,9.71,9.8665,9.7,9.85,9.85,14704,0.0,1.0
2021-08-10,WALD,9.84,9.86,9.84,9.85,9.85,20000,0.0,1.0
2021-08-11,WALD,9.87,9.9,9.87,9.87,9.87,63545,0.0,1.0
2021-08-12,WALD,9.9,9.9,9.89,9.9,9.9,2760,0.0,1.0
2021-08-13,WALD,9.7501,11.07,9.7501,9.8,9.8,24766,0.0,1.0
2021-08-16,WALD,9.8793,10.395,9.78,9.81,9.81,20369,0.0,1.0
2021-08-17,WALD,9.81,9.81,9.81,9.81,9.81,1,0.0,1.0
2021-08-18,WALD,9.81,9.81,9.81,9.81,9.81,34,0.0,1.0
2021-08-19,WALD,9.6601,9.6601,9.6601,9.6601,9.6601,104,0.0,1.0
2021-08-20,WALD,9.79,9.79,9.6,9.6,9.6,692,0.0,1.0
2021-08-23,WALD,9.6,9.6,9.6,9.6,9.6,0,0.0,1.0
2021-08-24,WALD,9.6,9.79,9.6,9.79,9.79,2599,0.0,1.0
2021-08-25,WALD,9.7275,9.8,9.7,9.8,9.8,1512,0.0,1.0
2021-08-26,WALD,9.8,9.8,9.8,9.8,9.8,4,0.0,1.0
2021-08-27,WALD,9.8,9.8,9.8,9.8,9.8,4,0.0,1.0
2021-08-30,WALD,9.7791,9.7791,9.7791,9.7791,9.7791,255,0.0,1.0
2021-08-31,WALD,9.75,9.75,9.75,9.75,9.75,497,0.0,1.0
2021-09-01,WALD,9.8,9.8,9.77,9.77,9.77,258,0.0,1.0
2021-09-02,WALD,9.77,9.77,9.77,9.77,9.77,2800,0.0,1.0
2021-09-03,WALD,9.7,9.85,9.7,9.85,9.85,49750,0.0,1.0
2021-09-07,WALD,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2021-09-08,WALD,9.84,9.8499,9.84,9.84,9.84,1535,0.0,1.0
2021-09-09,WALD,9.84,9.84,9.84,9.84,9.84,2,0.0,1.0
2021-09-10,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-13,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-14,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-15,WALD,9.84,9.84,9.84,9.84,9.84,19,0.0,1.0
2021-09-16,WALD,9.79,9.84,9.79,9.84,9.84,3640,0.0,1.0
2021-09-17,WALD,9.84,9.84,9.84,9.84,9.84,1363,0.0,1.0
2021-09-20,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-21,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-22,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-23,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-24,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-27,WALD,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2021-09-28,WALD,9.84,9.84,9.84,9.84,9.84,5,0.0,1.0
2021-09-29,WALD,9.78,9.78,9.78,9.78,9.78,87699,0.0,1.0
2021-09-30,WALD,9.7,9.8,9.694,9.8,9.8,700,0.0,1.0
2021-10-01,WALD,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2021-10-04,WALD,9.71,9.86,9.71,9.86,9.86,3049,0.0,1.0
2021-10-05,WALD,9.86,9.86,9.86,9.86,9.86,1,0.0,1.0
2021-10-06,WALD,9.86,9.86,9.86,9.86,9.86,0,0.0,1.0
2021-10-07,WALD,9.82,9.82,9.76,9.82,9.82,10756,0.0,1.0
2021-10-08,WALD,9.82,9.82,9.82,9.82,9.82,0,0.0,1.0
2021-10-11,WALD,9.82,9.82,9.82,9.82,9.82,20,0.0,1.0
2021-10-12,WALD,9.82,9.82,9.82,9.82,9.82,0,0.0,1.0
2021-10-13,WALD,9.75,9.75,9.7,9.75,9.75,7700,0.0,1.0
2021-10-14,WALD,9.75,9.78,9.71,9.78,9.78,1112,0.0,1.0
2021-10-15,WALD,9.78,9.78,9.78,9.78,9.78,0,0.0,1.0
2021-10-18,WALD,9.7551,9.771,9.7551,9.765,9.765,1410,0.0,1.0
2021-10-19,WALD,9.76,9.8,9.76,9.8,9.8,1502,0.0,1.0
2021-10-20,WALD,9.71,9.8,9.71,9.8,9.8,1203,0.0,1.0
2021-10-21,WALD,9.8,9.8,9.8,9.8,9.8,560,0.0,1.0
2021-10-22,WALD,9.8,9.8,9.8,9.8,9.8,0,0.0,1.0
2021-10-25,WALD,9.8,9.82,9.75,9.76,9.76,4688,0.0,1.0
2021-10-26,WALD,9.76,9.79,9.74,9.77,9.77,3191,0.0,1.0
2021-10-27,WALD,9.76,9.76,9.68,9.7,9.7,164723,0.0,1.0
2021-10-28,WALD,9.7,9.73,9.69,9.72,9.72,356141,0.0,1.0
2021-10-29,WALD,9.715,9.73,9.7,9.73,9.73,58535,0.0,1.0
2021-11-01,WALD,9.7,9.73,9.7,9.73,9.73,3749,0.0,1.0
2021-11-02,WALD,9.73,9.74,9.73,9.74,9.74,11249,0.0,1.0
2021-11-03,WALD,9.73,9.74,9.73,9.74,9.74,8688,0.0,1.0
2021-11-04,WALD,9.74,9.75,9.74,9.75,9.75,5139,0.0,1.0
2021-11-05,WALD,9.7439,9.75,9.71,9.74,9.74,6467,0.0,1.0
2021-11-08,WALD,9.74,9.74,9.74,9.74,9.74,0,0.0,1.0
2021-11-09,WALD,9.76,9.76,9.745,9.75,9.75,8096,0.0,1.0
2021-11-10,WALD,9.74,9.75,9.74,9.75,9.75,2061,0.0,1.0
2021-11-11,WALD,9.71,9.76,9.71,9.76,9.76,17845,0.0,1.0
2021-11-12,WALD,9.76,9.81,9.76,9.79,9.79,15256,0.0,1.0
2021-11-15,WALD,9.99,10.08,9.92,10.0,10.0,2042278,0.0,1.0
2021-11-16,WALD,10.0,10.0599,9.95,9.95,9.95,1025928,0.0,1.0
2021-11-17,WALD,9.98,10.0,9.92,9.95,9.95,263703,0.0,1.0
2021-11-18,WALD,9.95,10.0,9.91,10.0,10.0,104998,0.0,1.0
2021-11-19,WALD,10.0,10.0,9.95,9.95,9.95,156566,0.0,1.0
2021-11-22,WALD,9.95,10.0,9.8386,9.95,9.95,286709,0.0,1.0
2021-11-23,WALD,9.95,10.02,9.91,9.95,9.95,217029,0.0,1.0
2021-11-24,WALD,9.87,9.96,9.87,9.95,9.95,11910,0.0,1.0
2021-11-26,WALD,9.95,10.0,9.95,9.95,9.95,31405,0.0,1.0
2021-11-29,WALD,9.87,9.96,9.82,9.92,9.92,82476,0.0,1.0
2021-11-30,WALD,9.91,9.95,9.91,9.93,9.93,223456,0.0,1.0
2021-12-01,WALD,9.93,9.95,9.92,9.93,9.93,80321,0.0,1.0
2021-12-02,WALD,9.93,9.96,9.92,9.94,9.94,234043,0.0,1.0
2021-12-03,WALD,9.94,9.94,9.9,9.91,9.91,235669,0.0,1.0
2021-12-06,WALD,9.82,10.01,9.82,9.95,9.95,214531,0.0,1.0
