date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-11-04,WGS,9.8,9.8,9.8,9.8,323.4,2010,0.0,1.0
2020-11-05,WGS,9.8,9.8,9.8,9.8,323.4,0,0.0,1.0
2020-11-06,WGS,9.8,9.8,9.8,9.8,323.4,10,0.0,1.0
2020-11-09,WGS,9.8,9.8,9.8,9.8,323.4,0,0.0,1.0
2020-11-10,WGS,9.8,9.8,9.8,9.8,323.4,0,0.0,1.0
2020-11-11,WGS,9.8,9.8,9.8,9.8,323.4,18,0.0,1.0
2020-11-12,WGS,10.3,10.3,10.3,10.3,339.9,218,0.0,1.0
2020-11-13,WGS,10.0285,10.23,10.0285,10.23,337.59,707,0.0,1.0
2020-11-16,WGS,10.87,10.87,9.66,9.93,327.69,7982,0.0,1.0
2020-11-17,WGS,9.93,9.93,9.93,9.93,327.69,362667,0.0,1.0
2020-11-18,WGS,9.93,9.93,9.93,9.93,327.69,91,0.0,1.0
2020-11-19,WGS,9.92,9.92,9.8981,9.92,327.36,1224,0.0,1.0
2020-11-20,WGS,9.9007,10.02,9.9007,10.02,330.66,3094,0.0,1.0
2020-11-23,WGS,10.0,10.07,9.99,10.02,330.66,25374,0.0,1.0
2020-11-24,WGS,10.04,10.15,10.02,10.07,332.31,36155,0.0,1.0
2020-11-25,WGS,10.1,10.2,10.1,10.15,334.95,32512,0.0,1.0
2020-11-27,WGS,10.13,10.16,10.13,10.13,334.29,1751,0.0,1.0
2020-11-30,WGS,10.22,10.28,10.05,10.245,338.085,10585,0.0,1.0
2020-12-01,WGS,11.04,12.14,10.105,10.3512,341.5896,26703,0.0,1.0
2020-12-02,WGS,11.0,11.0,10.2,10.6662,351.9846,29893,0.0,1.0
2020-12-03,WGS,10.4,10.5,10.13,10.2,336.6,108575,0.0,1.0
2020-12-04,WGS,10.27,10.3,10.196,10.25,338.25,92410,0.0,1.0
2020-12-07,WGS,11.0,12.0,10.35,10.5,346.5,300105,0.0,1.0
2020-12-08,WGS,10.6,10.6,10.25,10.35,341.55,121709,0.0,1.0
2020-12-09,WGS,10.6,10.6,10.28,10.5,346.5,303445,0.0,1.0
2020-12-10,WGS,10.59,10.65,10.35,10.4285,344.1405,458127,0.0,1.0
2020-12-11,WGS,10.6,10.6,10.35,10.56,348.48,210021,0.0,1.0
2020-12-14,WGS,10.7,11.47,10.6,10.73,354.09,508963,0.0,1.0
2020-12-15,WGS,10.8,11.0,10.6,10.6,349.8,97054,0.0,1.0
2020-12-16,WGS,10.75,10.9,10.46,10.68,352.44,280343,0.0,1.0
2020-12-17,WGS,10.68,10.68,10.55,10.66,351.78,96593,0.0,1.0
2020-12-18,WGS,10.88,10.9,10.63,10.85,358.05,253304,0.0,1.0
2020-12-21,WGS,11.27,12.03,10.79,11.3,372.9,769630,0.0,1.0
2020-12-22,WGS,11.64,11.75,11.12,11.27,371.91,431167,0.0,1.0
2020-12-23,WGS,11.21,11.57,11.15,11.47,378.51,320303,0.0,1.0
2020-12-24,WGS,12.15,12.25,11.5,11.59,382.47,446304,0.0,1.0
2020-12-28,WGS,11.85,11.85,11.22,11.39,375.87,465958,0.0,1.0
2020-12-29,WGS,11.5,11.5,10.9,11.1,366.3,446476,0.0,1.0
2020-12-30,WGS,11.01,11.38,10.9,11.07,365.31,144673,0.0,1.0
2020-12-31,WGS,11.07,11.22,10.86,11.04,364.32,272790,0.0,1.0
2021-01-04,WGS,11.04,11.39,10.71,10.7498,354.7434,444273,0.0,1.0
2021-01-05,WGS,10.94,11.15,10.81,10.95,361.35,466933,0.0,1.0
2021-01-06,WGS,10.93,11.1,10.7,10.89,359.37,150767,0.0,1.0
2021-01-07,WGS,11.34,11.34,10.71,11.2,369.6,852899,0.0,1.0
2021-01-08,WGS,11.205,11.5,11.1,11.35,374.55,385706,0.0,1.0
2021-01-11,WGS,11.43,11.52,11.15,11.52,380.16,709329,0.0,1.0
2021-01-12,WGS,11.52,11.77,11.31,11.73,387.09,366166,0.0,1.0
2021-01-13,WGS,11.85,12.4,11.72,12.19,402.27,659863,0.0,1.0
2021-01-14,WGS,12.8,12.88,11.71,12.15,400.95,707077,0.0,1.0
2021-01-15,WGS,12.26,12.26,11.29,11.86,391.38,635013,0.0,1.0
2021-01-19,WGS,12.11,12.11,11.26,11.65,384.45,696075,0.0,1.0
2021-01-20,WGS,11.76,12.0,11.75,11.91,393.03,313029,0.0,1.0
2021-01-21,WGS,11.8,12.05,11.7876,12.01,396.33,243108,0.0,1.0
2021-01-22,WGS,12.05,12.28,11.885,12.25,404.25,377627,0.0,1.0
2021-01-25,WGS,12.52,13.52,12.05,12.49,412.17,1102335,0.0,1.0
2021-01-26,WGS,12.72,13.2,12.49,12.98,428.34,1043775,0.0,1.0
2021-01-27,WGS,12.17,12.8,11.26,12.46,411.18,966876,0.0,1.0
2021-01-28,WGS,12.75,12.75,12.0,12.58,415.14,734065,0.0,1.0
2021-01-29,WGS,12.3,12.51,12.15,12.51,412.83,420379,0.0,1.0
2021-02-01,WGS,12.53,13.52,12.31,12.73,420.09,466551,0.0,1.0
2021-02-02,WGS,13.46,13.88,13.1,13.14,433.62,535326,0.0,1.0
2021-02-03,WGS,13.32,14.99,13.32,13.58,448.14,505911,0.0,1.0
2021-02-04,WGS,13.51,13.8541,13.5,13.75,453.75,338927,0.0,1.0
2021-02-05,WGS,14.07,14.68,13.45,13.81,455.73,961580,0.0,1.0
2021-02-08,WGS,14.65,14.69,14.1,14.27,470.91,569005,0.0,1.0
2021-02-09,WGS,14.53,15.7,14.2,15.52,512.16,911378,0.0,1.0
2021-02-10,WGS,23.0,25.74,18.98,22.1,729.3,25644428,0.0,1.0
2021-02-11,WGS,20.96,22.89,20.7501,22.35,737.55,6058870,0.0,1.0
2021-02-12,WGS,26.1965,27.18,25.25,25.81,851.73,6857929,0.0,1.0
2021-02-16,WGS,26.56,26.9,24.31,24.49,808.17,3288587,0.0,1.0
2021-02-17,WGS,24.55,24.74,22.37,23.28,768.24,2494033,0.0,1.0
2021-02-18,WGS,23.51,24.99,23.1,23.9,788.7,1983134,0.0,1.0
2021-02-19,WGS,24.04,24.84,22.75,23.1,762.3,2572850,0.0,1.0
2021-02-22,WGS,23.1,23.42,21.25,21.49,709.17,2184767,0.0,1.0
2021-02-23,WGS,20.14,20.79,18.19,19.56,645.48,4112998,0.0,1.0
2021-02-24,WGS,20.01,21.1987,19.81,20.1,663.3,1506983,0.0,1.0
2021-02-25,WGS,20.2,21.5,18.56,19.26,635.58,2529933,0.0,1.0
2021-02-26,WGS,19.82,20.9,18.3701,20.01,660.33,2361433,0.0,1.0
2021-03-01,WGS,20.77,21.44,20.31,20.98,692.34,1591726,0.0,1.0
2021-03-02,WGS,20.84,21.48,19.58,19.75,651.75,1065250,0.0,1.0
2021-03-03,WGS,19.79,19.9673,17.61,18.19,600.27,2722831,0.0,1.0
2021-03-04,WGS,18.01,18.07,14.71,16.01,528.33,4786898,0.0,1.0
2021-03-05,WGS,16.03,16.58,13.67,16.41,541.53,3415185,0.0,1.0
2021-03-08,WGS,16.88,17.4,14.73,15.11,498.63,1538449,0.0,1.0
2021-03-09,WGS,15.78,17.17,15.62,16.1,531.3,997236,0.0,1.0
2021-03-10,WGS,16.77,17.49,16.37,16.75,552.75,734213,0.0,1.0
2021-03-11,WGS,16.98,17.75,16.88,17.23,568.59,764576,0.0,1.0
2021-03-12,WGS,17.05,17.36,16.5,17.27,569.91,545599,0.0,1.0
2021-03-15,WGS,17.5135,18.69,17.48,17.99,593.67,531883,0.0,1.0
2021-03-16,WGS,17.85,18.4599,16.94,16.96,559.68,558238,0.0,1.0
2021-03-17,WGS,16.08,16.98,15.35,16.65,549.45,739179,0.0,1.0
2021-03-18,WGS,16.25,16.45,15.51,15.65,516.45,482500,0.0,1.0
2021-03-19,WGS,15.86,16.14,15.05,15.76,520.08,600771,0.0,1.0
2021-03-22,WGS,15.9,17.14,15.75,16.72,551.76,454004,0.0,1.0
2021-03-23,WGS,17.04,17.04,15.06,15.44,509.52,677320,0.0,1.0
2021-03-24,WGS,15.6,15.65,13.71,13.84,456.72,1322341,0.0,1.0
2021-03-25,WGS,13.04,14.65,12.75,14.38,474.54,2182560,0.0,1.0
2021-03-26,WGS,13.95,14.89,13.11,14.13,466.29,1463784,0.0,1.0
2021-03-29,WGS,13.8,14.14,13.52,13.67,451.11,659522,0.0,1.0
2021-03-30,WGS,13.59,14.29,13.05,13.63,449.79,742532,0.0,1.0
2021-03-31,WGS,14.0,15.03,13.87,14.89,491.37,837874,0.0,1.0
2021-04-01,WGS,15.34,16.92,15.03,16.75,552.75,2053159,0.0,1.0
2021-04-05,WGS,16.76,16.76,15.35,15.61,515.13,975464,0.0,1.0
2021-04-06,WGS,15.47,15.99,15.05,15.61,515.13,746986,0.0,1.0
2021-04-07,WGS,15.49,15.825,14.88,15.23,502.59,517667,0.0,1.0
2021-04-08,WGS,15.56,16.12,14.75,15.43,509.19,1076040,0.0,1.0
2021-04-09,WGS,15.42,15.58,14.85,15.0,495.0,324381,0.0,1.0
2021-04-12,WGS,14.95,15.14,14.26,14.58,481.14,374397,0.0,1.0
2021-04-13,WGS,14.54,14.83,13.9,14.37,474.21,503029,0.0,1.0
2021-04-14,WGS,14.25,14.465,13.8,13.98,461.34,451789,0.0,1.0
2021-04-15,WGS,14.06,14.186,13.165,13.55,447.15,811803,0.0,1.0
2021-04-16,WGS,13.43,14.0758,13.11,13.94,460.02,485914,0.0,1.0
2021-04-19,WGS,13.45,14.2695,13.18,13.83,456.39,752183,0.0,1.0
2021-04-20,WGS,13.72,14.0,13.25,13.46,444.18,545459,0.0,1.0
2021-04-21,WGS,13.38,14.4199,13.04,14.21,468.93,435487,0.0,1.0
2021-04-22,WGS,14.27,14.41,13.7536,13.95,460.35,317805,0.0,1.0
2021-04-23,WGS,13.92,14.68,13.86,14.24,469.92,383167,0.0,1.0
2021-04-26,WGS,14.35,14.49,13.65,14.21,468.93,526895,0.0,1.0
2021-04-27,WGS,14.21,14.58,13.55,13.84,456.72,450516,0.0,1.0
2021-04-28,WGS,13.6,14.0,13.55,13.6,448.8,413529,0.0,1.0
2021-04-29,WGS,13.73,13.98,13.46,13.94,460.02,351735,0.0,1.0
2021-04-30,WGS,13.57,13.94,13.47,13.55,447.15,223431,0.0,1.0
2021-05-03,WGS,13.8,13.8,13.17,13.21,435.93,235282,0.0,1.0
2021-05-04,WGS,13.21,13.3,12.25,12.94,427.02,725154,0.0,1.0
2021-05-05,WGS,13.0,13.3,12.34,12.59,415.47,389247,0.0,1.0
2021-05-06,WGS,12.53,12.6299,11.31,11.68,385.44,1151486,0.0,1.0
2021-05-07,WGS,11.84,12.43,11.42,12.07,398.31,811586,0.0,1.0
2021-05-10,WGS,11.88,11.9,10.85,11.05,364.65,1392731,0.0,1.0
2021-05-11,WGS,10.36,11.3,10.2,10.75,354.75,1951105,0.0,1.0
2021-05-12,WGS,10.6,11.24,10.51,11.11,366.63,920728,0.0,1.0
2021-05-13,WGS,11.38,11.4999,10.75,11.03,363.99,801100,0.0,1.0
2021-05-14,WGS,11.17,11.5,11.03,11.13,367.29,429560,0.0,1.0
2021-05-17,WGS,10.91,11.31,10.44,10.9,359.7,553830,0.0,1.0
2021-05-18,WGS,10.86,11.88,10.65,11.54,380.82,575966,0.0,1.0
2021-05-19,WGS,11.2,11.74,10.9201,11.48,378.84,458293,0.0,1.0
2021-05-20,WGS,11.64,12.07,11.5901,11.84,390.72,355859,0.0,1.0
2021-05-21,WGS,12.01,12.22,11.54,11.81,389.73,454937,0.0,1.0
2021-05-24,WGS,11.85,12.2899,11.57,11.99,395.67,366901,0.0,1.0
2021-05-25,WGS,12.15,12.8,12.0901,12.35,407.55,306939,0.0,1.0
2021-05-26,WGS,12.5,13.15,12.41,12.83,423.39,789022,0.0,1.0
2021-05-27,WGS,13.25,13.4099,12.51,12.99,428.67,495982,0.0,1.0
2021-05-28,WGS,12.99,13.35,12.53,12.66,417.78,355998,0.0,1.0
2021-06-01,WGS,13.03,13.104,12.61,12.74,420.42,440745,0.0,1.0
2021-06-02,WGS,12.75,12.8999,11.95,12.0,396.0,657858,0.0,1.0
2021-06-03,WGS,11.92,12.0,11.654,11.71,386.43,453293,0.0,1.0
2021-06-04,WGS,11.95,12.2,11.67,11.98,395.34,250361,0.0,1.0
2021-06-07,WGS,11.95,11.99,11.78,11.88,392.04,417896,0.0,1.0
2021-06-08,WGS,12.2,12.5708,11.86,12.4,409.2,1018236,0.0,1.0
2021-06-09,WGS,13.07,13.5,12.5,12.5,412.5,1495058,0.0,1.0
2021-06-10,WGS,12.58,13.134,12.31,12.64,417.12,1154438,0.0,1.0
2021-06-11,WGS,13.03,13.386,12.75,13.0,429.0,1057010,0.0,1.0
2021-06-14,WGS,13.35,13.35,12.53,12.56,414.48,677967,0.0,1.0
2021-06-15,WGS,12.52,12.73,11.69,11.74,387.42,1059637,0.0,1.0
