date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-12-08,XXI,15.98,16.48,13.77,14.27,14.27,2715200,0.0,1.0
2025-12-09,XXI,10.74,11.94,10.38,11.42,11.42,10674149,0.0,1.0
2025-12-10,XXI,12.3,12.51,11.54,11.96,11.96,6040650,0.0,1.0
2025-12-11,XXI,11.9,12.2,11.39,11.99,11.99,2388555,0.0,1.0
2025-12-12,XXI,12.25,12.35,11.3,11.5,11.5,2026785,0.0,1.0
2025-12-15,XXI,11.5,11.542,10.58,11.12,11.12,1535551,0.0,1.0
2025-12-16,XXI,10.85,11.0082,10.55,10.55,10.55,1798972,0.0,1.0
2025-12-17,XXI,10.9,11.3599,10.46,10.46,10.46,1607446,0.0,1.0
2025-12-18,XXI,10.71,10.9153,10.02,10.63,10.63,1409449,0.0,1.0
2025-12-19,XXI,10.78,11.44,10.42,11.44,11.44,1731477,0.0,1.0
2025-12-22,XXI,11.44,11.49,10.33,10.48,10.48,1986275,0.0,1.0
2025-12-23,XXI,10.5,10.58,9.38,9.61,9.61,2816193,0.0,1.0
2025-12-24,XXI,9.61,9.64,9.16,9.53,9.53,1492245,0.0,1.0
2025-12-26,XXI,9.5,9.5,9.05,9.4,9.4,1005734,0.0,1.0
