date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-07-10,YOUL,3.09,5.5,2.55,5.0,5.0,2837534,0.0,1.0
2025-07-11,YOUL,3.61,4.28,3.0601,3.65,3.65,940830,0.0,1.0
2025-07-14,YOUL,3.39,3.43,2.61,2.71,2.71,446869,0.0,1.0
2025-07-15,YOUL,2.69,3.6099,2.54,3.38,3.38,1420897,0.0,1.0
2025-07-16,YOUL,3.18,3.72,2.81,2.9,2.9,634264,0.0,1.0
2025-07-17,YOUL,2.98,3.1994,2.9,2.95,2.95,286088,0.0,1.0
2025-07-18,YOUL,2.99,3.05,2.6412,2.83,2.83,191418,0.0,1.0
2025-07-21,YOUL,2.82,2.89,2.5,2.57,2.57,236677,0.0,1.0
2025-07-22,YOUL,2.55,2.5998,2.0382,2.21,2.21,248539,0.0,1.0
2025-07-23,YOUL,2.12,2.51,2.0244,2.48,2.48,183911,0.0,1.0
2025-07-24,YOUL,2.37,2.46,2.22,2.3,2.3,140985,0.0,1.0
2025-07-25,YOUL,2.21,2.32,2.1,2.25,2.25,145034,0.0,1.0
2025-07-28,YOUL,2.26,2.86,2.26,2.63,2.63,420251,0.0,1.0
2025-07-29,YOUL,2.53,2.625,2.205,2.31,2.31,380602,0.0,1.0
2025-07-30,YOUL,2.2404,2.282,1.86,1.92,1.92,201386,0.0,1.0
2025-07-31,YOUL,1.95,2.0699,1.71,2.04,2.04,186880,0.0,1.0
2025-08-01,YOUL,1.9,2.014,1.69,1.98,1.98,100129,0.0,1.0
2025-08-04,YOUL,1.97,2.06,1.87,2.05,2.05,47872,0.0,1.0
2025-08-05,YOUL,2.07,2.35,1.92,2.27,2.27,118844,0.0,1.0
2025-08-06,YOUL,2.2553,2.2553,1.8906,2.12,2.12,60974,0.0,1.0
2025-08-07,YOUL,2.163,2.163,1.93,2.12,2.12,57855,0.0,1.0
2025-08-08,YOUL,2.1496,2.1496,1.88,2.01,2.01,92601,0.0,1.0
2025-08-11,YOUL,1.99,1.9958,1.585,1.9,1.9,140387,0.0,1.0
2025-08-12,YOUL,1.7101,2.1373,1.7101,1.91,1.91,112603,0.0,1.0
2025-08-13,YOUL,1.85,1.9846,1.7201,1.87,1.87,28650,0.0,1.0
2025-08-14,YOUL,1.8544,1.9,1.76,1.76,1.76,31210,0.0,1.0
2025-08-15,YOUL,1.8001,1.89,1.75,1.77,1.77,21454,0.0,1.0
2025-08-18,YOUL,1.7463,1.785,1.701,1.7647,1.7647,22032,0.0,1.0
2025-08-19,YOUL,1.7598,1.77,1.65,1.66,1.66,49413,0.0,1.0
2025-08-20,YOUL,1.7,1.7,1.49,1.52,1.52,5360167,0.0,1.0
2025-08-21,YOUL,1.77,1.98,1.7,1.75,1.75,6144503,0.0,1.0
2025-08-22,YOUL,1.57,1.74,1.57,1.61,1.61,417429,0.0,1.0
2025-08-25,YOUL,1.67,1.8,1.6331,1.75,1.75,142866,0.0,1.0
2025-08-26,YOUL,1.75,1.75,1.59,1.695,1.695,35942,0.0,1.0
