date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-12-16,ZEO,9.85,9.85,9.85,9.85,9.85,2063,0.0,1.0
2021-12-17,ZEO,9.885,9.885,9.885,9.885,9.885,173,0.0,1.0
2021-12-20,ZEO,9.89,9.89,9.89,9.89,9.89,328,0.0,1.0
2021-12-21,ZEO,9.89,9.93,9.89,9.925,9.925,68508,0.0,1.0
2021-12-22,ZEO,9.89,9.89,9.89,9.89,9.89,402,0.0,1.0
2021-12-23,ZEO,9.88,10.19,9.88,10.19,10.19,123399,0.0,1.0
2021-12-27,ZEO,9.9,9.9,9.9,9.9,9.9,300005,0.0,1.0
2021-12-28,ZEO,9.9,9.9,9.9,9.9,9.9,1,0.0,1.0
2021-12-29,ZEO,9.9,9.9,9.9,9.9,9.9,27,0.0,1.0
2021-12-30,ZEO,9.9,9.9,9.9,9.9,9.9,21,0.0,1.0
2021-12-31,ZEO,9.91,9.92,9.9,9.92,9.92,73456,0.0,1.0
2022-01-03,ZEO,9.9,9.94,9.89,9.91,9.91,79120,0.0,1.0
2022-01-04,ZEO,9.92,9.92,9.92,9.92,9.92,100,0.0,1.0
2022-01-05,ZEO,9.89,9.92,9.89,9.91,9.91,29332,0.0,1.0
2022-01-06,ZEO,9.92,9.94,9.89,9.93,9.93,82510,0.0,1.0
2022-01-07,ZEO,10.49,10.49,9.91,9.93,9.93,6744,0.0,1.0
2022-01-10,ZEO,9.94,9.94,9.92,9.92,9.92,2186,0.0,1.0
2022-01-11,ZEO,9.92,9.92,9.92,9.92,9.92,0,0.0,1.0
2022-01-12,ZEO,9.93,9.93,9.92,9.92,9.92,125256,0.0,1.0
2022-01-13,ZEO,9.92,9.92,9.92,9.92,9.92,1,0.0,1.0
2022-01-14,ZEO,9.91,9.925,9.91,9.92,9.92,447889,0.0,1.0
2022-01-18,ZEO,9.92,9.92,9.92,9.92,9.92,66,0.0,1.0
2022-01-19,ZEO,9.91,9.91,9.91,9.91,9.91,1850,0.0,1.0
2022-01-20,ZEO,9.9,9.9,9.9,9.9,9.9,400,0.0,1.0
2022-01-21,ZEO,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
2022-01-24,ZEO,9.9,9.9,9.9,9.9,9.9,0,0.0,1.0
2022-01-25,ZEO,9.91,9.91,9.9,9.9,9.9,52167,0.0,1.0
2022-01-26,ZEO,9.9098,9.91,9.9098,9.91,9.91,30307,0.0,1.0
2022-01-27,ZEO,9.91,9.91,9.88,9.88,9.88,597366,0.0,1.0
2022-01-28,ZEO,9.91,9.91,9.9,9.9,9.9,1473,0.0,1.0
2022-01-31,ZEO,9.94,9.94,9.9,9.905,9.905,6975,0.0,1.0
2022-02-01,ZEO,10.4,10.4,9.91,9.91,9.91,10298,0.0,1.0
2022-02-02,ZEO,10.38,10.38,10.38,10.38,10.38,175,0.0,1.0
2022-02-03,ZEO,10.38,10.38,10.38,10.38,10.38,1,0.0,1.0
2022-02-04,ZEO,10.01,10.01,9.96,9.96,9.96,9592,0.0,1.0
2022-02-07,ZEO,10.02,10.02,10.02,10.02,10.02,252,0.0,1.0
2022-02-08,ZEO,9.97,9.97,9.97,9.97,9.97,4900,0.0,1.0
2022-02-09,ZEO,9.96,9.96,9.91,9.96,9.96,359900,0.0,1.0
2022-02-10,ZEO,9.95,9.95,9.95,9.95,9.95,435,0.0,1.0
2022-02-11,ZEO,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
2022-02-14,ZEO,9.95,9.95,9.95,9.95,9.95,5,0.0,1.0
2022-02-15,ZEO,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
2022-02-16,ZEO,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
2022-02-17,ZEO,9.95,9.95,9.95,9.95,9.95,3211,0.0,1.0
2022-02-18,ZEO,9.93,9.93,9.93,9.93,9.93,811,0.0,1.0
2022-02-22,ZEO,9.94,9.95,9.9399,9.94,9.94,651418,0.0,1.0
2022-02-23,ZEO,9.96,9.97,9.94,9.97,9.97,128113,0.0,1.0
2022-02-24,ZEO,9.94,9.94,9.94,9.94,9.94,1624,0.0,1.0
2022-02-25,ZEO,9.95,9.95,9.95,9.95,9.95,2600,0.0,1.0
2022-02-28,ZEO,9.95,9.95,9.94,9.94,9.94,7937,0.0,1.0
2022-03-01,ZEO,9.94,9.94,9.94,9.94,9.94,0,0.0,1.0
2022-03-02,ZEO,9.94,9.94,9.94,9.94,9.94,5,0.0,1.0
2022-03-03,ZEO,9.96,9.96,9.9401,9.9401,9.9401,6542,0.0,1.0
2022-03-04,ZEO,9.97,9.98,9.97,9.98,9.98,10246,0.0,1.0
2022-03-07,ZEO,9.98,9.98,9.98,9.98,9.98,220,0.0,1.0
2022-03-08,ZEO,9.98,9.98,9.98,9.98,9.98,0,0.0,1.0
2022-03-09,ZEO,9.95,9.95,9.95,9.95,9.95,265,0.0,1.0
2022-03-10,ZEO,9.95,9.98,9.95,9.98,9.98,32318,0.0,1.0
2022-03-11,ZEO,9.98,9.98,9.9799,9.98,9.98,5000,0.0,1.0
2022-03-14,ZEO,9.97,9.97,9.97,9.97,9.97,422,0.0,1.0
2022-03-15,ZEO,9.97,9.98,9.97,9.98,9.98,2005,0.0,1.0
2022-03-16,ZEO,9.98,9.98,9.98,9.98,9.98,51,0.0,1.0
2022-03-17,ZEO,9.98,9.98,9.98,9.98,9.98,0,0.0,1.0
2022-03-18,ZEO,9.98,9.98,9.98,9.98,9.98,100038,0.0,1.0
2022-03-21,ZEO,9.98,9.98,9.98,9.98,9.98,0,0.0,1.0
2022-03-22,ZEO,9.98,9.98,9.98,9.98,9.98,25000,0.0,1.0
2022-03-23,ZEO,9.95,9.99,9.95,9.98,9.98,41743,0.0,1.0
