date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-04-05,ZOOZ,3.58,4.6,3.1,4.1,4.1,359816,0.0,1.0
2024-04-08,ZOOZ,3.58,4.0,3.58,3.64,3.64,286269,0.0,1.0
2024-04-09,ZOOZ,3.43,3.62,2.82,3.29,3.29,260927,0.0,1.0
2024-04-10,ZOOZ,3.09,3.51,2.82,2.89,2.89,156619,0.0,1.0
2024-04-11,ZOOZ,3.01,3.34,2.88,3.26,3.26,1832057,0.0,1.0
2024-04-12,ZOOZ,3.13,3.2356,3.0233,3.15,3.15,97877,0.0,1.0
2024-04-15,ZOOZ,3.0,3.25,2.98,3.04,3.04,131596,0.0,1.0
2024-04-16,ZOOZ,2.96,3.14,2.96,2.98,2.98,81853,0.0,1.0
2024-04-17,ZOOZ,2.98,3.2199,2.97,3.05,3.05,93249,0.0,1.0
2024-04-18,ZOOZ,2.98,3.08,2.9,2.9,2.9,96497,0.0,1.0
2024-04-19,ZOOZ,3.0,3.05,2.905,2.96,2.96,38868,0.0,1.0
2024-04-22,ZOOZ,2.99,3.0,2.9,2.975,2.975,63783,0.0,1.0
2024-04-23,ZOOZ,2.8311,3.04,2.8311,2.99,2.99,41465,0.0,1.0
2024-04-24,ZOOZ,3.0,3.0,2.9,2.97,2.97,44178,0.0,1.0
2024-04-25,ZOOZ,2.92,2.96,2.64,2.82,2.82,22718,0.0,1.0
2024-04-26,ZOOZ,2.8212,3.0001,2.8212,2.86,2.86,39203,0.0,1.0
2024-04-29,ZOOZ,2.86,2.86,2.67,2.7723,2.7723,16343,0.0,1.0
2024-04-30,ZOOZ,2.77,2.97,2.77,2.93,2.93,15055,0.0,1.0
2024-05-01,ZOOZ,2.91,3.0288,2.83,2.88,2.88,30531,0.0,1.0
2024-05-02,ZOOZ,3.0,3.34,2.965,3.07,3.07,76887,0.0,1.0
2024-05-03,ZOOZ,3.1,3.26,3.05,3.25,3.25,57234,0.0,1.0
