date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-11-24,AIIA,9.86,9.95,9.85,9.93,9.93,325244,0.0,1.0
2025-11-25,AIIA,9.91,9.93,9.91,9.92,9.92,309684,0.0,1.0
2025-11-26,AIIA,9.92,9.92,9.9035,9.91,9.91,204407,0.0,1.0
2025-11-28,AIIA,9.92,9.92,9.905,9.91,9.91,110617,0.0,1.0
2025-12-01,AIIA,9.915,9.92,9.88,9.91,9.91,1088625,0.0,1.0
2025-12-02,AIIA,9.91,9.91,9.89,9.91,9.91,315459,0.0,1.0
2025-12-03,AIIA,9.87,9.91,9.87,9.905,9.905,444286,0.0,1.0
2025-12-04,AIIA,9.91,9.92,9.9,9.92,9.92,820710,0.0,1.0
2025-12-05,AIIA,9.92,9.92,9.91,9.92,9.92,191531,0.0,1.0
2025-12-08,AIIA,9.92,9.93,9.92,9.92,9.92,266985,0.0,1.0
2025-12-09,AIIA,9.93,9.95,9.925,9.945,9.945,369723,0.0,1.0
2025-12-10,AIIA,9.94,9.94,9.93,9.93,9.93,2198,0.0,1.0
2025-12-11,AIIA,9.94,9.94,9.93,9.93,9.93,31148,0.0,1.0
2025-12-12,AIIA,9.925,9.94,9.925,9.93,9.93,151318,0.0,1.0
2025-12-15,AIIA,9.93,9.94,9.92,9.93,9.93,38278,0.0,1.0
2025-12-16,AIIA,9.93,9.93,9.93,9.93,9.93,110,0.0,1.0
2025-12-17,AIIA,9.93,9.94,9.93,9.94,9.94,94186,0.0,1.0
2025-12-18,AIIA,10.24,10.24,9.94,9.94,9.94,1106,0.0,1.0
2025-12-19,AIIA,9.94,9.94,9.93,9.93,9.93,9704,0.0,1.0
2025-12-22,AIIA,9.935,9.935,9.935,9.935,9.935,1310,0.0,1.0
2025-12-23,AIIA,9.935,9.935,9.93,9.93,9.93,3877,0.0,1.0
2025-12-24,AIIA,9.94,9.94,9.94,9.94,9.94,735,0.0,1.0
2025-12-26,AIIA,9.9,9.94,9.9,9.9399,9.9399,11607,0.0,1.0
