date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-12-13,ALDF,9.95,9.95,9.9,9.9,9.9,326,0.0,1.0
2024-12-16,ALDF,9.9,9.9,9.9,9.9,9.9,412626,0.0,1.0
2024-12-17,ALDF,9.95,9.95,9.9165,9.9165,9.9165,308,0.0,1.0
2024-12-18,ALDF,9.91,9.93,9.9,9.9,9.9,2374,0.0,1.0
2024-12-19,ALDF,9.92,9.92,9.92,9.92,9.92,100022,0.0,1.0
2024-12-20,ALDF,9.92,9.92,9.92,9.92,9.92,500076,0.0,1.0
2024-12-23,ALDF,9.93,9.93,9.93,9.93,9.93,375,0.0,1.0
2024-12-24,ALDF,9.93,9.93,9.93,9.93,9.93,200438,0.0,1.0
2024-12-26,ALDF,9.93,9.93,9.93,9.93,9.93,1596,0.0,1.0
2024-12-27,ALDF,9.91,9.91,9.91,9.91,9.91,130,0.0,1.0
2024-12-30,ALDF,9.95,10.05,9.92,9.93,9.93,17382,0.0,1.0
2024-12-31,ALDF,9.93,9.93,9.93,9.93,9.93,1,0.0,1.0
2025-01-02,ALDF,9.93,9.93,9.92,9.92,9.92,150795,0.0,1.0
2025-01-03,ALDF,9.92,9.92,9.915,9.92,9.92,60104,0.0,1.0
2025-01-06,ALDF,9.93,9.94,9.93,9.93,9.93,400244,0.0,1.0
2025-01-07,ALDF,9.93,9.93,9.93,9.93,9.93,26670,0.0,1.0
2025-01-08,ALDF,9.93,9.93,9.93,9.93,9.93,16667,0.0,1.0
2025-01-10,ALDF,9.93,9.93,9.93,9.93,9.93,16601,0.0,1.0
2025-01-13,ALDF,9.95,9.95,9.945,9.95,9.95,201839,0.0,1.0
2025-01-14,ALDF,9.95,9.95,9.95,9.95,9.95,17825,0.0,1.0
2025-01-15,ALDF,9.95,9.95,9.95,9.95,9.95,17800,0.0,1.0
2025-01-16,ALDF,9.95,9.95,9.95,9.95,9.95,18090,0.0,1.0
2025-01-17,ALDF,9.95,9.95,9.95,9.95,9.95,18520,0.0,1.0
2025-01-21,ALDF,9.95,9.9601,9.95,9.96,9.96,17240,0.0,1.0
2025-01-22,ALDF,10.6872,10.6872,9.95,9.9699,9.9699,19762,0.0,1.0
2025-01-23,ALDF,9.96,9.98,9.96,9.98,9.98,11978,0.0,1.0
2025-01-24,ALDF,10.3003,10.6088,9.94,9.9813,9.9813,12790,0.0,1.0
2025-01-27,ALDF,10.14,10.14,9.95,9.97,9.97,64502,0.0,1.0
2025-01-28,ALDF,10.1652,10.1652,9.95,9.9951,9.9951,15560,0.0,1.0
2025-01-29,ALDF,10.0,10.04,9.97,10.0,10.0,21408,0.0,1.0
2025-01-30,ALDF,10.0,10.0,9.96,9.99,9.99,5969,0.0,1.0
2025-01-31,ALDF,9.96,9.96,9.96,9.96,9.96,5957,0.0,1.0
2025-02-03,ALDF,10.133,10.133,9.96,9.96,9.96,48420,0.0,1.0
2025-02-04,ALDF,10.1367,10.1367,9.97,9.99,9.99,13564,0.0,1.0
2025-02-05,ALDF,9.99,9.99,9.97,9.99,9.99,17734,0.0,1.0
2025-02-06,ALDF,9.99,9.99,9.99,9.99,9.99,7593,0.0,1.0
2025-02-07,ALDF,9.99,10.0,9.98,9.9899,9.9899,213108,0.0,1.0
2025-02-10,ALDF,9.99,10.01,9.99,10.01,10.01,597969,0.0,1.0
2025-02-11,ALDF,9.99,10.0,9.99,10.0,10.0,25282,0.0,1.0
2025-02-12,ALDF,10.0,10.0001,9.99,10.0,10.0,272577,0.0,1.0
2025-02-13,ALDF,10.0,10.0,10.0,10.0,10.0,25300,0.0,1.0
2025-02-14,ALDF,10.01,10.01,10.0,10.0,10.0,24916,0.0,1.0
2025-02-18,ALDF,10.01,10.02,10.01,10.0149,10.0149,127336,0.0,1.0
2025-02-19,ALDF,10.0217,10.0217,10.01,10.015,10.015,539622,0.0,1.0
2025-02-20,ALDF,10.01,10.01,10.01,10.01,10.01,38392,0.0,1.0
2025-02-21,ALDF,10.0185,10.03,10.0185,10.025,10.025,75361,0.0,1.0
2025-02-24,ALDF,10.0282,10.0282,10.02,10.02,10.02,42252,0.0,1.0
2025-02-25,ALDF,10.02,10.03,10.02,10.0289,10.0289,543744,0.0,1.0
2025-02-26,ALDF,10.0212,10.025,10.02,10.025,10.025,66004,0.0,1.0
2025-02-27,ALDF,10.02,10.02,10.02,10.02,10.02,101662,0.0,1.0
2025-02-28,ALDF,10.02,10.03,10.015,10.03,10.03,48606,0.0,1.0
2025-03-03,ALDF,10.025,10.04,10.025,10.03,10.03,789151,0.0,1.0
2025-03-04,ALDF,10.03,10.06,10.03,10.04,10.04,462349,0.0,1.0
2025-03-05,ALDF,10.05,10.06,10.04,10.04,10.04,23972,0.0,1.0
2025-03-06,ALDF,10.03,10.05,10.03,10.05,10.05,51444,0.0,1.0
2025-03-07,ALDF,10.04,10.105,10.04,10.04,10.04,5113,0.0,1.0
2025-03-10,ALDF,10.1,10.1,10.06,10.06,10.06,1702,0.0,1.0
2025-03-11,ALDF,10.05,10.05,10.05,10.05,10.05,528,0.0,1.0
2025-03-12,ALDF,10.05,10.05,10.05,10.05,10.05,701,0.0,1.0
2025-03-13,ALDF,10.05,10.05,10.05,10.05,10.05,193,0.0,1.0
2025-03-14,ALDF,10.05,10.075,10.05,10.06,10.06,2044,0.0,1.0
2025-03-17,ALDF,10.06,10.06,10.06,10.06,10.06,108,0.0,1.0
2025-03-18,ALDF,10.06,10.06,10.06,10.06,10.06,108,0.0,1.0
2025-03-19,ALDF,10.06,10.06,10.06,10.06,10.06,108,0.0,1.0
2025-03-20,ALDF,10.06,10.0799,10.06,10.06,10.06,6626,0.0,1.0
2025-03-21,ALDF,10.0864,10.1,10.06,10.1,10.1,99020,0.0,1.0
2025-03-24,ALDF,10.1,10.11,10.1,10.1,10.1,75703,0.0,1.0
2025-03-25,ALDF,10.09,10.09,10.09,10.09,10.09,779,0.0,1.0
2025-03-26,ALDF,10.1,10.1,10.1,10.1,10.1,75129,0.0,1.0
2025-03-27,ALDF,10.1077,10.12,10.1,10.1,10.1,913,0.0,1.0
2025-03-28,ALDF,10.07,10.11,10.07,10.11,10.11,146657,0.0,1.0
2025-03-31,ALDF,10.13,10.13,10.1,10.11,10.11,106551,0.0,1.0
2025-04-01,ALDF,10.1099,10.1099,10.1,10.1,10.1,5429,0.0,1.0
2025-04-02,ALDF,10.11,10.13,10.105,10.11,10.11,45458,0.0,1.0
2025-04-03,ALDF,10.12,10.12,10.09,10.09,10.09,1763,0.0,1.0
2025-04-04,ALDF,10.1,10.1,10.09,10.09,10.09,4014,0.0,1.0
2025-04-07,ALDF,10.0939,10.12,10.08,10.1,10.1,2422,0.0,1.0
2025-04-08,ALDF,10.12,10.135,10.09,10.135,10.135,1990,0.0,1.0
2025-04-09,ALDF,10.1,10.101,10.09,10.1,10.1,2563,0.0,1.0
2025-04-10,ALDF,10.1,10.1,10.09,10.09,10.09,1332,0.0,1.0
2025-04-11,ALDF,10.11,10.11,10.09,10.1,10.1,13478,0.0,1.0
2025-04-14,ALDF,10.09,10.09,10.08,10.08,10.08,54592,0.0,1.0
2025-04-15,ALDF,10.11,10.11,10.11,10.11,10.11,492,0.0,1.0
2025-04-16,ALDF,10.1099,10.11,10.08,10.1,10.1,861286,0.0,1.0
2025-04-17,ALDF,10.1,10.1,10.09,10.09,10.09,3491,0.0,1.0
2025-04-21,ALDF,10.03,10.11,10.03,10.09,10.09,798,0.0,1.0
2025-04-22,ALDF,10.09,10.09,10.09,10.09,10.09,0,0.0,1.0
2025-04-23,ALDF,10.09,10.09,10.09,10.09,10.09,0,0.0,1.0
2025-04-24,ALDF,10.13,10.15,10.11,10.1155,10.1155,3280,0.0,1.0
2025-04-25,ALDF,10.12,10.12,10.12,10.12,10.12,623,0.0,1.0
2025-04-28,ALDF,10.12,10.1656,10.12,10.15,10.15,109515,0.0,1.0
2025-04-29,ALDF,10.15,10.17,10.15,10.17,10.17,3011,0.0,1.0
2025-04-30,ALDF,10.17,10.2,10.17,10.2,10.2,5185,0.0,1.0
2025-05-01,ALDF,10.2,10.21,10.2,10.21,10.21,76597,0.0,1.0
2025-05-02,ALDF,10.2,10.2008,10.2,10.2,10.2,12080,0.0,1.0
2025-05-05,ALDF,10.21,10.21,10.21,10.21,10.21,10685,0.0,1.0
2025-05-06,ALDF,10.21,10.21,10.21,10.21,10.21,86,0.0,1.0
2025-05-07,ALDF,10.2217,10.2217,10.22,10.22,10.22,2068,0.0,1.0
2025-05-08,ALDF,10.25,10.2759,10.2,10.2759,10.2759,34056,0.0,1.0
2025-05-09,ALDF,10.27,10.39,10.2329,10.39,10.39,379471,0.0,1.0
2025-05-12,ALDF,10.34,10.45,10.34,10.4025,10.4025,214399,0.0,1.0
2025-05-13,ALDF,10.43,10.43,10.3814,10.4,10.4,12125,0.0,1.0
2025-05-14,ALDF,10.4,10.43,10.39,10.4,10.4,48804,0.0,1.0
