date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-11-19,ALIS,9.9,9.92,9.9,9.919,9.919,14846,0.0,1.0
2025-11-20,ALIS,9.9087,9.92,9.9,9.9,9.9,477819,0.0,1.0
2025-11-21,ALIS,9.85,9.92,9.85,9.915,9.915,78233,0.0,1.0
2025-11-24,ALIS,9.92,9.95,9.92,9.92,9.92,32734,0.0,1.0
2025-11-25,ALIS,9.925,9.95,9.92,9.93,9.93,2737,0.0,1.0
2025-11-26,ALIS,9.92,9.95,9.91,9.91,9.91,254734,0.0,1.0
2025-11-28,ALIS,9.95,9.95,9.9,9.9,9.9,994,0.0,1.0
2025-12-01,ALIS,9.91,9.91,9.9,9.9,9.9,170496,0.0,1.0
2025-12-02,ALIS,9.9,9.91,9.9,9.91,9.91,1543,0.0,1.0
2025-12-03,ALIS,9.91,9.91,9.9,9.9,9.9,66727,0.0,1.0
2025-12-04,ALIS,9.9,9.9,9.9,9.9,9.9,3936,0.0,1.0
2025-12-05,ALIS,9.9,9.9,9.9,9.9,9.9,5024,0.0,1.0
2025-12-08,ALIS,9.9,9.9,9.9,9.9,9.9,1506,0.0,1.0
2025-12-09,ALIS,9.91,9.91,9.895,9.9,9.9,208281,0.0,1.0
2025-12-10,ALIS,9.905,9.91,9.905,9.91,9.91,5034,0.0,1.0
2025-12-11,ALIS,9.905,9.91,9.9,9.91,9.91,6017,0.0,1.0
2025-12-12,ALIS,9.91,9.91,9.91,9.91,9.91,72,0.0,1.0
2025-12-15,ALIS,9.91,9.91,9.91,9.91,9.91,37468,0.0,1.0
2025-12-16,ALIS,9.9038,9.91,9.9038,9.9099,9.9099,7650,0.0,1.0
2025-12-17,ALIS,9.9,9.91,9.9,9.91,9.91,356623,0.0,1.0
2025-12-18,ALIS,9.91,9.91,9.91,9.91,9.91,2,0.0,1.0
2025-12-19,ALIS,9.91,9.91,9.9,9.91,9.91,4505,0.0,1.0
2025-12-22,ALIS,9.91,9.91,9.91,9.91,9.91,2,0.0,1.0
2025-12-23,ALIS,9.91,9.91,9.9,9.9,9.9,602,0.0,1.0
2025-12-24,ALIS,9.9,9.9,9.9,9.9,9.9,2,0.0,1.0
2025-12-26,ALIS,9.91,9.93,9.91,9.93,9.93,99121,0.0,1.0
