date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-12-27,AOGO,9.97,10.02,9.96,10.02,10.02,3285891,0.0,1.0
2021-12-28,AOGO,10.01,10.02,9.99,10.01,10.01,255330,0.0,1.0
2021-12-29,AOGO,10.0,10.01,9.9984,10.0,10.0,77817,0.0,1.0
2021-12-30,AOGO,10.02,10.02,10.0,10.01,10.01,84433,0.0,1.0
2021-12-31,AOGO,10.01,10.01,10.01,10.01,10.01,100,0.0,1.0
2022-01-03,AOGO,10.02,10.04,10.02,10.02,10.02,23792,0.0,1.0
2022-01-04,AOGO,10.05,10.05,10.035,10.05,10.05,22391,0.0,1.0
2022-01-05,AOGO,10.05,10.05,10.05,10.05,10.05,10309,0.0,1.0
2022-01-06,AOGO,10.05,10.05,10.0461,10.05,10.05,124548,0.0,1.0
2022-01-07,AOGO,10.0799,10.0799,10.0799,10.0799,10.0799,114,0.0,1.0
2022-01-10,AOGO,10.0574,10.08,10.0574,10.07,10.07,10011,0.0,1.0
2022-01-11,AOGO,10.05,10.05,10.04,10.05,10.05,54195,0.0,1.0
2022-01-12,AOGO,10.05,10.05,10.05,10.05,10.05,52,0.0,1.0
2022-01-13,AOGO,10.0564,10.07,10.0564,10.07,10.07,10636,0.0,1.0
2022-01-14,AOGO,10.07,10.07,10.07,10.07,10.07,14,0.0,1.0
2022-01-18,AOGO,10.07,10.07,10.07,10.07,10.07,30123,0.0,1.0
2022-01-19,AOGO,10.05,10.05,10.05,10.05,10.05,4192,0.0,1.0
2022-01-20,AOGO,10.04,10.04,10.0,10.0,10.0,49654,0.0,1.0
2022-01-21,AOGO,10.01,10.01,9.99,9.99,9.99,303035,0.0,1.0
2022-01-24,AOGO,10.0,10.0,9.9901,10.0,10.0,24537,0.0,1.0
2022-01-25,AOGO,10.0,10.01,10.0,10.0,10.0,111131,0.0,1.0
2022-01-26,AOGO,10.05,10.05,9.98,9.98,9.98,1212,0.0,1.0
2022-01-27,AOGO,10.009,10.03,10.0,10.03,10.03,1364,0.0,1.0
2022-01-28,AOGO,10.0,10.0,9.99,9.99,9.99,1670,0.0,1.0
2022-01-31,AOGO,10.04,10.04,10.04,10.04,10.04,506,0.0,1.0
2022-02-01,AOGO,10.04,10.05,10.0396,10.0396,10.0396,13346,0.0,1.0
2022-02-02,AOGO,10.01,10.05,10.01,10.05,10.05,1561,0.0,1.0
2022-02-03,AOGO,10.05,10.05,10.05,10.05,10.05,10,0.0,1.0
2022-02-04,AOGO,10.05,10.05,10.05,10.05,10.05,2,0.0,1.0
2022-02-07,AOGO,10.05,10.05,9.98,10.04,10.04,3413,0.0,1.0
2022-02-08,AOGO,10.04,10.04,10.04,10.04,10.04,0,0.0,1.0
2022-02-09,AOGO,10.0,10.0,10.0,10.0,10.0,34460,0.0,1.0
2022-02-10,AOGO,10.04,10.04,10.04,10.04,10.04,2280,0.0,1.0
2022-02-11,AOGO,10.04,10.04,10.02,10.02,10.02,33650,0.0,1.0
2022-02-14,AOGO,10.03,10.07,10.02,10.07,10.07,29804,0.0,1.0
2022-02-15,AOGO,10.07,10.07,10.07,10.07,10.07,25,0.0,1.0
2022-02-16,AOGO,10.09,10.1,10.09,10.09,10.09,2387,0.0,1.0
2022-02-17,AOGO,10.08,10.08,10.08,10.08,10.08,1800,0.0,1.0
2022-02-18,AOGO,10.08,10.08,10.08,10.08,10.08,7700,0.0,1.0
2022-02-22,AOGO,10.025,10.025,10.025,10.025,10.025,5012,0.0,1.0
2022-02-23,AOGO,10.055,10.07,10.05,10.05,10.05,20300,0.0,1.0
2022-02-24,AOGO,10.045,10.1,10.045,10.1,10.1,8540,0.0,1.0
2022-02-25,AOGO,10.1,10.1,10.07,10.07,10.07,14200,0.0,1.0
2022-02-28,AOGO,10.07,10.07,10.07,10.07,10.07,2,0.0,1.0
2022-03-01,AOGO,10.05,10.07,10.05,10.06,10.06,108100,0.0,1.0
2022-03-02,AOGO,10.06,10.06,10.06,10.06,10.06,39,0.0,1.0
2022-03-03,AOGO,10.0716,10.0716,10.0716,10.0716,10.0716,2590,0.0,1.0
2022-03-04,AOGO,10.1,10.1,10.09,10.09,10.09,761,0.0,1.0
2022-03-07,AOGO,10.09,10.09,10.09,10.09,10.09,4,0.0,1.0
2022-03-08,AOGO,10.09,10.09,10.09,10.09,10.09,0,0.0,1.0
2022-03-09,AOGO,10.09,10.09,10.09,10.09,10.09,301600,0.0,1.0
2022-03-10,AOGO,10.08,10.09,10.0799,10.09,10.09,68290,0.0,1.0
2022-03-11,AOGO,10.07,10.07,10.07,10.07,10.07,1975,0.0,1.0
2022-03-14,AOGO,10.07,10.07,10.07,10.07,10.07,11,0.0,1.0
2022-03-15,AOGO,10.07,10.07,10.07,10.07,10.07,5034,0.0,1.0
2022-03-16,AOGO,10.07,10.07,10.07,10.07,10.07,2,0.0,1.0
2022-03-17,AOGO,10.04,10.04,10.04,10.04,10.04,73802,0.0,1.0
2022-03-18,AOGO,10.04,10.04,10.04,10.04,10.04,7,0.0,1.0
2022-03-21,AOGO,10.04,10.04,10.04,10.04,10.04,75,0.0,1.0
2022-03-22,AOGO,10.04,10.04,10.04,10.04,10.04,1,0.0,1.0
2022-03-23,AOGO,10.04,10.04,10.04,10.04,10.04,4,0.0,1.0
2022-03-24,AOGO,10.04,10.04,10.04,10.04,10.04,4,0.0,1.0
2022-03-25,AOGO,10.03,10.04,10.03,10.04,10.04,601,0.0,1.0
2022-03-28,AOGO,10.07,10.1,10.0501,10.0501,10.0501,15000,0.0,1.0
2022-03-29,AOGO,10.06,10.06,10.06,10.06,10.06,412,0.0,1.0
2022-03-30,AOGO,10.06,10.06,10.06,10.06,10.06,0,0.0,1.0
2022-03-31,AOGO,9.94,9.94,9.94,9.94,9.94,3841,0.0,1.0
2022-04-01,AOGO,10.06,10.06,10.06,10.06,10.06,10,0.0,1.0
2022-04-04,AOGO,10.06,10.06,10.06,10.06,10.06,0,0.0,1.0
2022-04-05,AOGO,10.06,10.06,10.06,10.06,10.06,0,0.0,1.0
2022-04-06,AOGO,10.06,10.06,10.06,10.06,10.06,0,0.0,1.0
2022-04-07,AOGO,10.06,10.07,10.06,10.07,10.07,1600,0.0,1.0
2022-04-08,AOGO,10.08,10.08,10.08,10.08,10.08,200,0.0,1.0
2022-04-11,AOGO,10.06,10.06,10.02,10.05,10.05,50921,0.0,1.0
2022-04-12,AOGO,10.05,10.05,10.05,10.05,10.05,779,0.0,1.0
2022-04-13,AOGO,10.07,10.07,10.07,10.07,10.07,7218,0.0,1.0
2022-04-14,AOGO,10.07,10.07,10.07,10.07,10.07,10,0.0,1.0
2022-04-18,AOGO,10.09,10.09,10.09,10.09,10.09,202,0.0,1.0
2022-04-19,AOGO,10.09,10.09,10.09,10.09,10.09,16205,0.0,1.0
2022-04-20,AOGO,10.09,10.1,10.09,10.1,10.1,20446,0.0,1.0
2022-04-21,AOGO,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2022-04-22,AOGO,10.1,10.1,10.1,10.1,10.1,10,0.0,1.0
2022-04-25,AOGO,10.09,10.09,10.09,10.09,10.09,5834,0.0,1.0
2022-04-26,AOGO,10.16,10.18,10.16,10.175,10.175,48666,0.0,1.0
2022-04-27,AOGO,10.175,10.175,10.175,10.175,10.175,223009,0.0,1.0
2022-04-28,AOGO,9.97,9.97,9.96,9.97,9.97,84610,0.0,1.0
2022-04-29,AOGO,10.175,10.175,10.175,10.175,10.175,1,0.0,1.0
2022-05-02,AOGO,10.13,10.13,10.105,10.12,10.12,10332,0.0,1.0
2022-05-03,AOGO,10.11,10.11,10.1,10.1,10.1,15500,0.0,1.0
2022-05-04,AOGO,10.1,10.1,10.1,10.1,10.1,77,0.0,1.0
2022-05-05,AOGO,9.98,9.98,9.98,9.98,9.98,11,0.0,1.0
2022-05-06,AOGO,9.98,9.98,9.98,9.98,9.98,50,0.0,1.0
2022-05-09,AOGO,9.98,9.98,9.98,9.98,9.98,54,0.0,1.0
2022-05-10,AOGO,10.1,10.1,10.1,10.1,10.1,10,0.0,1.0
2022-05-11,AOGO,10.1,10.1,10.1,10.1,10.1,3,0.0,1.0
2022-05-12,AOGO,10.1,10.1,10.1,10.1,10.1,13,0.0,1.0
2022-05-13,AOGO,10.1,10.1,10.1,10.1,10.1,2140,0.0,1.0
2022-05-16,AOGO,9.92,9.92,9.92,9.92,9.92,15,0.0,1.0
2022-05-17,AOGO,9.92,9.92,9.92,9.92,9.92,16,0.0,1.0
2022-05-18,AOGO,9.92,9.92,9.92,9.92,9.92,100,0.0,1.0
2022-05-19,AOGO,9.92,9.92,9.92,9.92,9.92,50,0.0,1.0
2022-05-20,AOGO,9.92,9.92,9.92,9.92,9.92,1,0.0,1.0
2022-05-23,AOGO,9.93,9.95,9.93,9.95,9.95,8671,0.0,1.0
2022-05-24,AOGO,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2022-05-25,AOGO,9.95,9.97,9.94,9.97,9.97,110520,0.0,1.0
2022-05-26,AOGO,10.05,10.05,9.97,10.05,10.05,9320,0.0,1.0
2022-05-27,AOGO,10.05,10.05,10.05,10.05,10.05,35233,0.0,1.0
2022-05-31,AOGO,9.98,9.98,9.98,9.98,9.98,1,0.0,1.0
2022-06-01,AOGO,9.98,9.98,9.98,9.98,9.98,9500,0.0,1.0
2022-06-02,AOGO,10.05,10.05,10.05,10.05,10.05,11,0.0,1.0
2022-06-03,AOGO,10.05,10.05,10.05,10.05,10.05,0,0.0,1.0
2022-06-06,AOGO,10.05,10.05,10.05,10.05,10.05,10,0.0,1.0
2022-06-07,AOGO,9.99,9.99,9.99,9.99,9.99,100,0.0,1.0
2022-06-08,AOGO,9.99,9.99,9.99,9.99,9.99,1,0.0,1.0
2022-06-09,AOGO,9.99,9.99,9.99,9.99,9.99,10,0.0,1.0
2022-06-10,AOGO,9.99,9.99,9.99,9.99,9.99,100,0.0,1.0
2022-06-13,AOGO,9.99,9.99,9.99,9.99,9.99,9,0.0,1.0
2022-06-14,AOGO,9.97,9.97,9.97,9.97,9.97,5005,0.0,1.0
2022-06-15,AOGO,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2022-06-16,AOGO,9.97,9.97,9.97,9.97,9.97,1,0.0,1.0
2022-06-17,AOGO,9.97,9.97,9.97,9.97,9.97,17,0.0,1.0
2022-06-21,AOGO,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2022-06-22,AOGO,9.99,9.99,9.98,9.98,9.98,5614,0.0,1.0
2022-06-23,AOGO,9.98,9.98,9.98,9.98,9.98,68,0.0,1.0
2022-06-24,AOGO,9.98,9.98,9.98,9.98,9.98,3668,0.0,1.0
2022-06-27,AOGO,9.98,9.98,9.98,9.98,9.98,1,0.0,1.0
2022-06-28,AOGO,9.95,9.96,9.94,9.94,9.94,10476,0.0,1.0
2022-06-29,AOGO,9.94,9.94,9.94,9.94,9.94,175000,0.0,1.0
2022-06-30,AOGO,9.95,9.95,9.95,9.95,9.95,70,0.0,1.0
2022-07-01,AOGO,9.99,9.99,9.95,9.99,9.99,1480,0.0,1.0
2022-07-05,AOGO,9.99,9.99,9.99,9.99,9.99,101,0.0,1.0
2022-07-06,AOGO,9.94,9.94,9.94,9.94,9.94,68,0.0,1.0
2022-07-07,AOGO,9.94,9.94,9.94,9.94,9.94,72,0.0,1.0
2022-07-08,AOGO,9.94,9.94,9.94,9.94,9.94,14608,0.0,1.0
2022-07-11,AOGO,9.94,9.94,9.94,9.94,9.94,0,0.0,1.0
2022-07-12,AOGO,9.97,9.99,9.97,9.99,9.99,1222,0.0,1.0
2022-07-13,AOGO,9.94,9.94,9.94,9.94,9.94,0,0.0,1.0
