date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-05-31,ASCBF,9.88,9.88,9.86,9.87,9.87,525553,0.0,1.0
2022-06-01,ASCBF,9.84,9.84,9.84,9.84,9.84,102264,0.0,1.0
2022-06-02,ASCBF,9.84,9.84,9.84,9.84,9.84,206,0.0,1.0
2022-06-03,ASCBF,9.84,9.84,9.84,9.84,9.84,10,0.0,1.0
2022-06-06,ASCBF,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2022-06-07,ASCBF,9.84,9.84,9.84,9.84,9.84,14580,0.0,1.0
2022-06-08,ASCBF,9.82,9.84,9.82,9.83,9.83,340355,0.0,1.0
2022-06-09,ASCBF,9.84,9.86,9.84,9.84,9.84,191542,0.0,1.0
2022-06-10,ASCBF,9.84,9.84,9.84,9.84,9.84,0,0.0,1.0
2022-06-13,ASCBF,9.82,9.87,9.82,9.87,9.87,338,0.0,1.0
2022-06-14,ASCBF,9.85,9.85,9.84,9.8459,9.8459,20716,0.0,1.0
2022-06-15,ASCBF,9.85,9.85,9.8284,9.83,9.83,167101,0.0,1.0
2022-06-16,ASCBF,9.83,9.84,9.81,9.81,9.81,251228,0.0,1.0
2022-06-17,ASCBF,9.82,9.85,9.82,9.85,9.85,344991,0.0,1.0
2022-06-21,ASCBF,9.85,9.85,9.85,9.85,9.85,77,0.0,1.0
2022-06-22,ASCBF,9.85,9.85,9.81,9.81,9.81,1491,0.0,1.0
2022-06-23,ASCBF,9.82,9.832,9.8196,9.82,9.82,163268,0.0,1.0
2022-06-24,ASCBF,9.84,9.85,9.8399,9.84,9.84,7828,0.0,1.0
2022-06-27,ASCBF,9.8537,9.8607,9.8499,9.86,9.86,135088,0.0,1.0
2022-06-28,ASCBF,9.82,9.86,9.82,9.84,9.84,33632,0.0,1.0
2022-06-29,ASCBF,9.84,9.86,9.83,9.85,9.85,49176,0.0,1.0
2022-06-30,ASCBF,9.84,9.86,9.82,9.84,9.84,237722,0.0,1.0
2022-07-01,ASCBF,9.84,9.86,9.84,9.85,9.85,21349,0.0,1.0
2022-07-05,ASCBF,9.84,9.855,9.835,9.8403,9.8403,102013,0.0,1.0
2022-07-06,ASCBF,9.84,9.86,9.84,9.86,9.86,7055,0.0,1.0
2022-07-07,ASCBF,9.86,9.87,9.82,9.83,9.83,78919,0.0,1.0
2022-07-08,ASCBF,9.84,9.85,9.84,9.85,9.85,431,0.0,1.0
2022-07-11,ASCBF,9.86,9.86,9.86,9.86,9.86,13900,0.0,1.0
2022-07-12,ASCBF,9.86,9.86,9.86,9.86,9.86,0,0.0,1.0
2022-07-13,ASCBF,9.87,9.87,9.87,9.87,9.87,40026,0.0,1.0
2022-07-14,ASCBF,9.86,9.8601,9.85,9.85,9.85,7841,0.0,1.0
2022-07-15,ASCBF,9.87,9.87,9.83,9.84,9.84,2600,0.0,1.0
2022-07-18,ASCBF,9.865,9.88,9.86,9.88,9.88,33604,0.0,1.0
2022-07-19,ASCBF,9.87,9.87,9.87,9.87,9.87,5756,0.0,1.0
2022-07-20,ASCBF,9.87,9.87,9.85,9.85,9.85,27261,0.0,1.0
2022-07-21,ASCBF,9.85,9.85,9.85,9.85,9.85,0,0.0,1.0
2022-07-22,ASCBF,9.88,9.89,9.875,9.885,9.885,54254,0.0,1.0
2022-07-25,ASCBF,9.9,9.9,9.8964,9.8964,9.8964,47010,0.0,1.0
2022-07-26,ASCBF,9.88,9.88,9.88,9.88,9.88,4464,0.0,1.0
2022-07-27,ASCBF,9.8909,9.91,9.8909,9.91,9.91,13341,0.0,1.0
2022-07-28,ASCBF,9.87,9.91,9.87,9.91,9.91,24649,0.0,1.0
2022-07-29,ASCBF,9.91,9.91,9.91,9.91,9.91,63,0.0,1.0
2022-08-01,ASCBF,9.89,9.91,9.89,9.9,9.9,7159,0.0,1.0
2022-08-02,ASCBF,9.9,9.91,9.9,9.91,9.91,100688,0.0,1.0
2022-08-03,ASCBF,9.8992,9.9,9.86,9.86,9.86,24754,0.0,1.0
2022-08-04,ASCBF,9.9,9.9,9.89,9.89,9.89,65757,0.0,1.0
2022-08-05,ASCBF,9.89,9.89,9.88,9.89,9.89,31300,0.0,1.0
2022-08-08,ASCBF,9.89,9.91,9.89,9.905,9.905,15075,0.0,1.0
2022-08-09,ASCBF,9.9028,9.91,9.87,9.89,9.89,5251,0.0,1.0
2022-08-10,ASCBF,9.89,9.89,9.89,9.89,9.89,51,0.0,1.0
2022-08-11,ASCBF,9.91,9.92,9.91,9.92,9.92,57519,0.0,1.0
2022-08-12,ASCBF,9.93,9.93,9.92,9.92,9.92,19775,0.0,1.0
2022-08-15,ASCBF,9.92,9.92,9.92,9.92,9.92,34,0.0,1.0
2022-08-16,ASCBF,9.91,9.925,9.91,9.91,9.91,11354,0.0,1.0
2022-08-17,ASCBF,9.92,9.92,9.92,9.92,9.92,165,0.0,1.0
2022-08-18,ASCBF,9.92,9.92,9.92,9.92,9.92,80,0.0,1.0
2022-08-19,ASCBF,9.92,9.95,9.92,9.95,9.95,9758,0.0,1.0
2022-08-22,ASCBF,9.93,9.95,9.93,9.94,9.94,46857,0.0,1.0
2022-08-23,ASCBF,9.94,9.94,9.94,9.94,9.94,3,0.0,1.0
2022-08-24,ASCBF,9.94,9.94,9.94,9.94,9.94,0,0.0,1.0
2022-08-25,ASCBF,9.94,9.94,9.94,9.94,9.94,8,0.0,1.0
2022-08-26,ASCBF,9.94,9.94,9.94,9.94,9.94,58,0.0,1.0
2022-08-29,ASCBF,9.94,9.94,9.935,9.935,9.935,430,0.0,1.0
2022-08-30,ASCBF,9.92,9.92,9.92,9.92,9.92,265,0.0,1.0
2022-08-31,ASCBF,9.925,9.925,9.925,9.925,9.925,235,0.0,1.0
2022-09-01,ASCBF,10.4,10.4,9.94,9.95,9.95,2462,0.0,1.0
2022-09-02,ASCBF,9.95,9.95,9.95,9.95,9.95,10,0.0,1.0
2022-09-06,ASCBF,9.95,9.95,9.95,9.95,9.95,2,0.0,1.0
2022-09-07,ASCBF,9.95,9.95,9.95,9.95,9.95,21,0.0,1.0
2022-09-08,ASCBF,9.94,9.94,9.94,9.94,9.94,9586,0.0,1.0
2022-09-09,ASCBF,9.94,9.94,9.94,9.94,9.94,10,0.0,1.0
2022-09-12,ASCBF,9.96,9.96,9.96,9.96,9.96,158,0.0,1.0
