date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-08-05,AXIN,9.9654,9.97,9.93,9.97,9.97,760,0.0,1.0
2025-08-06,AXIN,9.97,9.97,9.93,9.96,9.96,19484,0.0,1.0
2025-08-07,AXIN,9.97,9.98,9.96,9.97,9.97,1271080,0.0,1.0
2025-08-08,AXIN,9.98,9.98,9.95,9.95,9.95,651,0.0,1.0
2025-08-11,AXIN,9.97,9.98,9.97,9.98,9.98,454811,0.0,1.0
2025-08-12,AXIN,9.97,9.97,9.97,9.97,9.97,225731,0.0,1.0
2025-08-13,AXIN,9.97,9.97,9.97,9.97,9.97,270094,0.0,1.0
2025-08-14,AXIN,9.97,9.9788,9.97,9.97,9.97,34332,0.0,1.0
2025-08-15,AXIN,9.97,9.97,9.97,9.97,9.97,14142,0.0,1.0
2025-08-18,AXIN,9.96,9.96,9.96,9.96,9.96,18711,0.0,1.0
2025-08-19,AXIN,9.96,9.96,9.96,9.96,9.96,37,0.0,1.0
2025-08-20,AXIN,9.98,9.98,9.98,9.98,9.98,304,0.0,1.0
2025-08-21,AXIN,9.98,9.98,9.98,9.98,9.98,7,0.0,1.0
2025-08-22,AXIN,9.98,9.98,9.98,9.98,9.98,51,0.0,1.0
2025-08-25,AXIN,9.98,9.98,9.98,9.98,9.98,59,0.0,1.0
2025-08-26,AXIN,9.97,9.97,9.97,9.97,9.97,718,0.0,1.0
2025-08-27,AXIN,9.9776,9.9776,9.9776,9.9776,9.9776,1081,0.0,1.0
2025-08-28,AXIN,9.9776,9.9776,9.9776,9.9776,9.9776,94,0.0,1.0
2025-08-29,AXIN,9.9776,9.9776,9.9776,9.9776,9.9776,74,0.0,1.0
2025-09-02,AXIN,9.97,9.97,9.97,9.97,9.97,14197,0.0,1.0
2025-09-03,AXIN,9.97,9.97,9.97,9.97,9.97,296276,0.0,1.0
2025-09-04,AXIN,9.97,9.97,9.97,9.97,9.97,9,0.0,1.0
2025-09-05,AXIN,9.97,9.97,9.97,9.97,9.97,24921,0.0,1.0
2025-09-08,AXIN,9.9651,9.9651,9.9651,9.9651,9.9651,1015,0.0,1.0
2025-09-09,AXIN,9.952,9.97,9.952,9.97,9.97,2020,0.0,1.0
2025-09-10,AXIN,9.95,9.95,9.95,9.95,9.95,609,0.0,1.0
2025-09-11,AXIN,9.97,9.97,9.97,9.97,9.97,354,0.0,1.0
2025-09-12,AXIN,9.95,9.955,9.95,9.955,9.955,210275,0.0,1.0
2025-09-15,AXIN,9.9593,9.97,9.9593,9.97,9.97,227533,0.0,1.0
2025-09-16,AXIN,9.97,9.97,9.97,9.97,9.97,120,0.0,1.0
