date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2012-03-07,BCAR,0.4502,0.4502,0.26,0.28,0.28,26259,0.0,1.0
2012-03-08,BCAR,0.42,0.42,0.27,0.27,0.27,19050,0.0,1.0
2012-03-09,BCAR,0.28,0.3,0.26,0.3,0.3,12342,0.0,1.0
2012-03-12,BCAR,0.27,0.3,0.26,0.26,0.26,5039,0.0,1.0
2012-03-13,BCAR,0.3,0.3,0.22,0.22,0.22,38628,0.0,1.0
2012-03-14,BCAR,0.205,0.21,0.2,0.2,0.2,38721,0.0,1.0
2012-03-15,BCAR,0.2,0.24,0.13,0.24,0.24,60640,0.0,1.0
2012-03-16,BCAR,0.23,0.23,0.17,0.17,0.17,96653,0.0,1.0
2012-03-19,BCAR,0.15,0.15,0.15,0.15,0.15,1246,0.0,1.0
2012-03-20,BCAR,0.16,0.18,0.15,0.18,0.18,15887,0.0,1.0
2012-03-21,BCAR,0.161,0.2,0.161,0.19,0.19,67744,0.0,1.0
2012-03-22,BCAR,0.171,0.19,0.171,0.19,0.19,2500,0.0,1.0
2012-03-23,BCAR,0.19,0.209,0.19,0.209,0.209,37474,0.0,1.0
2012-03-26,BCAR,0.249,0.249,0.175,0.175,0.175,18350,0.0,1.0
2012-03-27,BCAR,0.225,0.225,0.18,0.21,0.21,5447,0.0,1.0
2012-03-28,BCAR,0.2,0.23,0.19,0.225,0.225,3320,0.0,1.0
2012-03-29,BCAR,0.2,0.22,0.2,0.22,0.22,8162,0.0,1.0
2012-03-30,BCAR,0.2,0.22,0.2,0.22,0.22,0,0.0,1.0
2012-04-02,BCAR,0.18,0.225,0.18,0.225,0.225,3800,0.0,1.0
2012-04-03,BCAR,0.22,0.22,0.22,0.22,0.22,2620,0.0,1.0
2012-04-04,BCAR,0.225,0.225,0.225,0.225,0.225,1100,0.0,1.0
2012-04-05,BCAR,0.224,0.224,0.2,0.2,0.2,2200,0.0,1.0
2012-04-09,BCAR,0.18,0.22,0.18,0.22,0.22,1219,0.0,1.0
2012-04-10,BCAR,0.18,0.18,0.18,0.18,0.18,1000,0.0,1.0
2012-04-11,BCAR,0.18,0.18,0.18,0.18,0.18,0,0.0,1.0
2012-04-12,BCAR,0.18,0.18,0.18,0.18,0.18,0,0.0,1.0
2012-04-13,BCAR,0.19,0.19,0.19,0.19,0.19,1250,0.0,1.0
2012-04-16,BCAR,0.18,0.18,0.18,0.18,0.18,1500,0.0,1.0
2012-04-17,BCAR,0.225,0.225,0.225,0.225,0.225,650,0.0,1.0
2012-04-18,BCAR,0.225,0.225,0.19,0.19,0.19,7816,0.0,1.0
2012-04-19,BCAR,0.23,0.23,0.23,0.23,0.23,1500,0.0,1.0
2012-04-20,BCAR,0.23,0.23,0.23,0.23,0.23,0,0.0,1.0
2012-04-23,BCAR,0.3,0.3,0.2,0.23,0.23,5366,0.0,1.0
2012-04-24,BCAR,0.2,0.23,0.2,0.23,0.23,18106,0.0,1.0
2012-04-25,BCAR,0.22,0.23,0.22,0.23,0.23,1223,0.0,1.0
2012-04-26,BCAR,0.23,0.23,0.23,0.23,0.23,4777,0.0,1.0
2012-04-27,BCAR,0.23,0.23,0.23,0.23,0.23,11500,0.0,1.0
2012-04-30,BCAR,0.23,0.23,0.22,0.22,0.22,5100,0.0,1.0
2012-05-01,BCAR,0.23,0.23,0.22,0.23,0.23,16648,0.0,1.0
2012-05-02,BCAR,0.22,0.23,0.22,0.22,0.22,3600,0.0,1.0
2012-05-03,BCAR,0.22,0.23,0.22,0.22,0.22,0,0.0,1.0
2012-05-04,BCAR,0.22,0.22,0.22,0.22,0.22,5400,0.0,1.0
2012-05-07,BCAR,0.22,0.22,0.22,0.22,0.22,752,0.0,1.0
2012-05-08,BCAR,0.22,0.22,0.22,0.22,0.22,0,0.0,1.0
2012-05-09,BCAR,0.23,0.23,0.23,0.23,0.23,5000,0.0,1.0
2012-05-10,BCAR,0.23,0.23,0.23,0.23,0.23,320,0.0,1.0
2012-05-11,BCAR,0.22,0.23,0.22,0.23,0.23,1287,0.0,1.0
2012-05-14,BCAR,0.2,0.2,0.2,0.2,0.2,650,0.0,1.0
2012-05-15,BCAR,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2012-05-16,BCAR,0.2,0.2,0.2,0.2,0.2,0,0.0,1.0
2012-05-17,BCAR,0.2,0.2,0.2,0.2,0.2,3698,0.0,1.0
2012-05-18,BCAR,0.15,0.23,0.15,0.23,0.23,1000,0.0,1.0
2012-05-21,BCAR,0.23,0.23,0.23,0.23,0.23,10300,0.0,1.0
2012-05-22,BCAR,0.18,0.18,0.18,0.18,0.18,1198,0.0,1.0
2012-05-23,BCAR,0.18,0.18,0.18,0.18,0.18,0,0.0,1.0
