date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2023-08-17,BOWN,10.25,10.25,10.1,10.1198,10.1198,517934,0.0,1.0
2023-08-18,BOWN,10.15,10.2,10.11,10.11,10.11,351698,0.0,1.0
2023-08-21,BOWN,10.13,10.13,10.11,10.12,10.12,62051,0.0,1.0
2023-08-22,BOWN,10.13,10.13,10.13,10.13,10.13,10056,0.0,1.0
2023-08-23,BOWN,10.13,10.13,10.12,10.12,10.12,20067,0.0,1.0
2023-08-24,BOWN,10.11,10.125,10.11,10.12,10.12,190653,0.0,1.0
2023-08-25,BOWN,10.1335,10.1335,10.12,10.12,10.12,451451,0.0,1.0
2023-08-28,BOWN,10.13,10.13,10.12,10.12,10.12,100121,0.0,1.0
2023-08-29,BOWN,10.13,10.15,10.12,10.14,10.14,220310,0.0,1.0
2023-08-30,BOWN,10.14,10.1415,10.14,10.1415,10.1415,55143,0.0,1.0
2023-08-31,BOWN,10.15,10.15,10.14,10.14,10.14,11805,0.0,1.0
2023-09-01,BOWN,10.15,10.15,10.14,10.14,10.14,4480,0.0,1.0
2023-09-05,BOWN,10.14,10.14,10.14,10.14,10.14,2,0.0,1.0
2023-09-06,BOWN,10.15,10.1584,10.15,10.1584,10.1584,155984,0.0,1.0
2023-09-07,BOWN,10.15,10.16,10.15,10.15,10.15,105897,0.0,1.0
2023-09-08,BOWN,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2023-09-11,BOWN,10.15,10.16,10.15,10.15,10.15,52277,0.0,1.0
2023-09-12,BOWN,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2023-09-13,BOWN,10.18,10.1863,10.15,10.15,10.15,1602,0.0,1.0
2023-09-14,BOWN,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2023-09-15,BOWN,10.22,10.31,10.2,10.2,10.2,8841,0.0,1.0
2023-09-18,BOWN,10.15,10.16,10.15,10.16,10.16,703,0.0,1.0
2023-09-19,BOWN,10.17,10.22,10.15,10.16,10.16,20959,0.0,1.0
2023-09-20,BOWN,10.15,10.15,10.15,10.15,10.15,100,0.0,1.0
2023-09-21,BOWN,10.17,10.175,10.16,10.175,10.175,63431,0.0,1.0
2023-09-22,BOWN,10.175,10.175,10.175,10.175,10.175,1600,0.0,1.0
