date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-08-07,BSAA,10.32,10.32,9.82,10.005,10.005,153262,0.0,1.0
2025-08-08,BSAA,10.0,10.01,10.0,10.01,10.01,1236,0.0,1.0
2025-08-11,BSAA,10.01,10.01,10.01,10.01,10.01,15014,0.0,1.0
2025-08-12,BSAA,10.01,10.01,10.01,10.01,10.01,4,0.0,1.0
2025-08-13,BSAA,10.0092,10.01,10.0014,10.01,10.01,6201,0.0,1.0
2025-08-14,BSAA,10.01,10.01,10.01,10.01,10.01,0,0.0,1.0
2025-08-15,BSAA,10.015,10.015,10.01,10.01,10.01,23700,0.0,1.0
2025-08-18,BSAA,10.0,10.01,10.0,10.01,10.01,24400,0.0,1.0
2025-08-19,BSAA,10.01,10.01,10.01,10.01,10.01,126002,0.0,1.0
2025-08-20,BSAA,10.0,10.005,9.99,10.0,10.0,298750,0.0,1.0
2025-08-21,BSAA,10.01,10.01,10.005,10.01,10.01,10588,0.0,1.0
2025-08-22,BSAA,10.02,10.02,10.0,10.0,10.0,91551,0.0,1.0
2025-08-25,BSAA,10.01,10.01,10.0,10.0,10.0,88407,0.0,1.0
2025-08-26,BSAA,10.01,10.01,10.0,10.0,10.0,50591,0.0,1.0
2025-08-27,BSAA,10.02,10.02,10.0,10.0,10.0,179985,0.0,1.0
2025-08-28,BSAA,10.03,10.03,10.02,10.02,10.02,5444,0.0,1.0
2025-08-29,BSAA,10.03,10.03,10.03,10.03,10.03,4129,0.0,1.0
2025-09-02,BSAA,10.03,10.03,10.03,10.03,10.03,1032,0.0,1.0
2025-09-03,BSAA,10.0,10.03,10.0,10.03,10.03,40030,0.0,1.0
2025-09-04,BSAA,10.03,10.03,10.03,10.03,10.03,150,0.0,1.0
2025-09-05,BSAA,10.02,10.02,10.02,10.02,10.02,15706,0.0,1.0
2025-09-08,BSAA,10.03,10.03,10.0251,10.0251,10.0251,4729,0.0,1.0
2025-09-09,BSAA,10.0251,10.0251,10.0251,10.0251,10.0251,4,0.0,1.0
2025-09-10,BSAA,10.02,10.03,10.02,10.03,10.03,18547,0.0,1.0
2025-09-11,BSAA,10.03,10.03,10.03,10.03,10.03,25,0.0,1.0
2025-09-12,BSAA,10.03,10.03,10.03,10.03,10.03,0,0.0,1.0
2025-09-15,BSAA,10.0376,10.0376,10.0376,10.0376,10.0376,567,0.0,1.0
2025-09-16,BSAA,10.0376,10.0376,10.0376,10.0376,10.0376,13,0.0,1.0
2025-09-17,BSAA,10.03,10.03,10.03,10.03,10.03,113,0.0,1.0
2025-09-18,BSAA,10.035,10.04,10.035,10.04,10.04,7000,0.0,1.0
2025-09-19,BSAA,10.04,10.04,10.04,10.04,10.04,2021,0.0,1.0
2025-09-22,BSAA,10.035,10.05,10.035,10.045,10.045,10667,0.0,1.0
2025-09-23,BSAA,10.035,10.04,10.035,10.04,10.04,16054,0.0,1.0
2025-09-24,BSAA,10.04,10.04,10.04,10.04,10.04,5026,0.0,1.0
2025-09-25,BSAA,10.04,10.04,10.04,10.04,10.04,64511,0.0,1.0
2025-09-26,BSAA,10.05,10.05,10.04,10.05,10.05,8125,0.0,1.0
2025-09-29,BSAA,10.05,10.05,10.05,10.05,10.05,2301,0.0,1.0
2025-09-30,BSAA,10.05,10.05,10.05,10.05,10.05,15,0.0,1.0
2025-10-01,BSAA,10.05,10.05,10.05,10.05,10.05,0,0.0,1.0
2025-10-02,BSAA,10.25,10.25,10.0481,10.0481,10.0481,16402,0.0,1.0
2025-10-03,BSAA,10.05,10.06,10.05,10.05,10.05,14819,0.0,1.0
2025-10-06,BSAA,10.05,10.06,10.05,10.06,10.06,22235,0.0,1.0
2025-10-07,BSAA,10.06,10.06,10.06,10.06,10.06,225,0.0,1.0
2025-10-08,BSAA,10.06,10.11,10.0592,10.11,10.11,159703,0.0,1.0
2025-10-09,BSAA,10.07,10.1,10.07,10.1,10.1,9297,0.0,1.0
2025-10-10,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-10-13,BSAA,10.1,10.1,10.1,10.1,10.1,125,0.0,1.0
2025-10-14,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-10-15,BSAA,10.1,10.1,10.1,10.1,10.1,120,0.0,1.0
2025-10-16,BSAA,10.1,10.1,10.1,10.1,10.1,7600,0.0,1.0
2025-10-17,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-10-20,BSAA,10.1,10.1,10.1,10.1,10.1,20,0.0,1.0
2025-10-21,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-10-22,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-10-23,BSAA,10.11,10.11,10.11,10.11,10.11,121,0.0,1.0
2025-10-24,BSAA,10.11,10.11,10.11,10.11,10.11,222,0.0,1.0
2025-10-27,BSAA,10.11,10.11,10.11,10.11,10.11,2242,0.0,1.0
2025-10-28,BSAA,10.11,10.11,10.11,10.11,10.11,0,0.0,1.0
2025-10-29,BSAA,10.1,10.1,10.1,10.1,10.1,18868,0.0,1.0
2025-10-30,BSAA,10.11,10.11,10.11,10.11,10.11,488,0.0,1.0
2025-10-31,BSAA,10.11,10.13,10.11,10.13,10.13,1061,0.0,1.0
2025-11-03,BSAA,10.14,10.14,10.14,10.14,10.14,149,0.0,1.0
2025-11-04,BSAA,10.14,10.14,10.14,10.14,10.14,0,0.0,1.0
2025-11-05,BSAA,10.14,10.14,10.14,10.14,10.14,0,0.0,1.0
2025-11-06,BSAA,10.09,10.1,10.09,10.1,10.1,45982,0.0,1.0
2025-11-07,BSAA,10.1,10.1,10.1,10.1,10.1,24,0.0,1.0
2025-11-10,BSAA,10.1,10.1,10.1,10.1,10.1,200,0.0,1.0
2025-11-11,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-11-12,BSAA,10.1,10.1,10.1,10.1,10.1,3870,0.0,1.0
2025-11-13,BSAA,10.1,10.1,10.1,10.1,10.1,26001,0.0,1.0
2025-11-14,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-11-17,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-11-18,BSAA,10.1,10.1,10.1,10.1,10.1,11,0.0,1.0
2025-11-19,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-11-20,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-11-21,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-11-24,BSAA,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-11-25,BSAA,10.1087,10.1087,10.1,10.1,10.1,43890,0.0,1.0
2025-11-26,BSAA,10.1,10.1012,10.0999,10.1,10.1,113101,0.0,1.0
2025-11-28,BSAA,10.1198,10.15,10.1198,10.15,10.15,10211,0.0,1.0
2025-12-01,BSAA,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2025-12-02,BSAA,10.12,10.14,10.1,10.11,10.11,59312,0.0,1.0
2025-12-03,BSAA,10.09,10.09,10.09,10.09,10.09,200,0.0,1.0
2025-12-04,BSAA,10.1,10.118,10.1,10.118,10.118,9448,0.0,1.0
2025-12-05,BSAA,10.11,10.11,10.09,10.11,10.11,28551,0.0,1.0
2025-12-08,BSAA,10.11,10.11,10.11,10.11,10.11,0,0.0,1.0
2025-12-09,BSAA,10.11,10.11,10.11,10.11,10.11,101,0.0,1.0
