date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-10-24,CAPN,9.97,10.025,9.95,9.95,9.95,559866,0.0,1.0
2024-10-25,CAPN,9.96,9.965,9.95,9.96,9.96,223138,0.0,1.0
2024-10-28,CAPN,9.97,10.0,9.96,9.97,9.97,4108,0.0,1.0
2024-10-29,CAPN,9.97,9.97,9.96,9.96,9.96,66324,0.0,1.0
2024-10-30,CAPN,9.97,9.97,9.96,9.965,9.965,97488,0.0,1.0
2024-10-31,CAPN,9.97,10.045,9.965,9.965,9.965,175164,0.0,1.0
2024-11-01,CAPN,9.97,9.97,9.96,9.96,9.96,31602,0.0,1.0
2024-11-04,CAPN,9.98,9.98,9.97,9.97,9.97,52618,0.0,1.0
2024-11-05,CAPN,9.97,9.98,9.96,9.98,9.98,260117,0.0,1.0
2024-11-06,CAPN,10.14,10.14,9.98,9.99,9.99,10851,0.0,1.0
2024-11-07,CAPN,9.98,10.0,9.98,9.99,9.99,4242,0.0,1.0
2024-11-08,CAPN,9.99,9.99,9.99,9.99,9.99,690,0.0,1.0
2024-11-11,CAPN,10.01,10.02,9.99,9.99,9.99,11206,0.0,1.0
2024-11-12,CAPN,9.98,9.99,9.97,9.99,9.99,8429,0.0,1.0
2024-11-13,CAPN,9.99,9.99,9.98,9.98,9.98,30053,0.0,1.0
2024-11-14,CAPN,9.9905,10.0,9.9905,10.0,10.0,9871,0.0,1.0
2024-11-15,CAPN,9.98,9.99,9.9799,9.98,9.98,37768,0.0,1.0
2024-11-18,CAPN,9.99,10.005,9.98,10.005,10.005,39571,0.0,1.0
2024-11-19,CAPN,10.0,10.0,9.99,9.99,9.99,13047,0.0,1.0
2024-11-20,CAPN,9.99,10.0,9.99,9.99,9.99,6413,0.0,1.0
2024-11-21,CAPN,9.99,10.0,9.98,10.0,10.0,17694,0.0,1.0
2024-11-22,CAPN,9.9848,9.9848,9.9848,9.9848,9.9848,7122,0.0,1.0
2024-11-25,CAPN,9.98,9.99,9.98,9.99,9.99,6873,0.0,1.0
2024-11-26,CAPN,9.98,9.99,9.98,9.99,9.99,5263,0.0,1.0
2024-11-27,CAPN,9.99,9.99,9.98,9.98,9.98,4918,0.0,1.0
2024-11-29,CAPN,9.98,9.98,9.98,9.98,9.98,2900,0.0,1.0
2024-12-02,CAPN,9.99,9.99,9.98,9.9882,9.9882,21417,0.0,1.0
2024-12-03,CAPN,9.9882,9.9882,9.9882,9.9882,9.9882,2500,0.0,1.0
2024-12-04,CAPN,9.9882,9.9882,9.9882,9.9882,9.9882,1700,0.0,1.0
2024-12-05,CAPN,9.98,9.995,9.97,9.995,9.995,105800,0.0,1.0
2024-12-06,CAPN,9.99,10.0,9.99,9.99,9.99,6200,0.0,1.0
2024-12-09,CAPN,10.0,10.0,9.99,9.99,9.99,67133,0.0,1.0
2024-12-10,CAPN,10.0,10.0,9.98,9.99,9.99,18274,0.0,1.0
2024-12-11,CAPN,10.0,10.0,9.9973,10.0,10.0,43281,0.0,1.0
2024-12-12,CAPN,10.0,10.0,10.0,10.0,10.0,5400,0.0,1.0
2024-12-13,CAPN,10.04,10.04,10.0,10.005,10.005,17238,0.0,1.0
2024-12-16,CAPN,10.005,10.005,10.005,10.005,10.005,5052,0.0,1.0
2024-12-17,CAPN,10.005,10.005,10.005,10.005,10.005,5052,0.0,1.0
2024-12-18,CAPN,10.005,10.005,10.005,10.005,10.005,5300,0.0,1.0
2024-12-19,CAPN,10.01,10.01,10.0,10.0,10.0,30305,0.0,1.0
2024-12-20,CAPN,10.0,10.0,10.0,10.0,10.0,4001,0.0,1.0
2024-12-23,CAPN,10.0,10.0,10.0,10.0,10.0,3800,0.0,1.0
2024-12-24,CAPN,10.05,10.05,10.05,10.05,10.05,2844,0.0,1.0
2024-12-26,CAPN,10.05,10.05,10.03,10.03,10.03,1331,0.0,1.0
2024-12-27,CAPN,10.05,10.1,10.01,10.01,10.01,5034,0.0,1.0
2024-12-30,CAPN,10.02,10.05,10.02,10.05,10.05,286,0.0,1.0
2024-12-31,CAPN,10.05,10.05,10.05,10.05,10.05,1532,0.0,1.0
2025-01-02,CAPN,10.03,10.05,10.03,10.05,10.05,52498,0.0,1.0
2025-01-03,CAPN,10.03,10.05,10.03,10.0305,10.0305,1674,0.0,1.0
2025-01-06,CAPN,10.0305,10.0305,10.0305,10.0305,10.0305,99,0.0,1.0
2025-01-07,CAPN,10.0305,10.0305,10.0305,10.0305,10.0305,5,0.0,1.0
2025-01-08,CAPN,10.03,10.03,10.02,10.03,10.03,178105,0.0,1.0
2025-01-10,CAPN,10.03,10.04,10.03,10.04,10.04,114116,0.0,1.0
2025-01-13,CAPN,10.04,10.04,10.04,10.04,10.04,0,0.0,1.0
2025-01-14,CAPN,10.04,10.04,10.04,10.04,10.04,4,0.0,1.0
2025-01-15,CAPN,10.04,10.04,10.04,10.04,10.04,47,0.0,1.0
2025-01-16,CAPN,10.04,10.04,10.04,10.04,10.04,63,0.0,1.0
2025-01-17,CAPN,10.06,10.07,10.06,10.06,10.06,20011,0.0,1.0
2025-01-21,CAPN,10.06,10.078,10.06,10.07,10.07,10106,0.0,1.0
2025-01-22,CAPN,10.14,10.14,10.07,10.07,10.07,344,0.0,1.0
2025-01-23,CAPN,10.06,10.47,10.06,10.06,10.06,15862,0.0,1.0
2025-01-24,CAPN,10.06,10.06,10.06,10.06,10.06,54,0.0,1.0
2025-01-27,CAPN,10.22,10.24,10.0801,10.0807,10.0807,4122,0.0,1.0
2025-01-28,CAPN,10.11,10.11,10.08,10.08108,10.08108,10012,0.0,1.0
2025-01-29,CAPN,10.08,10.09,10.05,10.05,10.05,33293,0.0,1.0
2025-01-30,CAPN,10.05,10.05,10.05,10.05,10.05,115,0.0,1.0
2025-01-31,CAPN,10.05,10.05,10.05,10.05,10.05,0,0.0,1.0
2025-02-03,CAPN,10.06,10.1,10.06,10.1,10.1,9801,0.0,1.0
2025-02-04,CAPN,10.1,10.12,10.0999,10.11,10.11,41102,0.0,1.0
2025-02-05,CAPN,10.11,10.11,10.085,10.1,10.1,17789,0.0,1.0
2025-02-06,CAPN,10.1,10.11,10.1,10.11,10.11,15300,0.0,1.0
2025-02-07,CAPN,10.11,10.11,10.11,10.11,10.11,150055,0.0,1.0
2025-02-10,CAPN,10.11,10.11,10.11,10.11,10.11,10,0.0,1.0
2025-02-11,CAPN,10.11,10.11,10.1,10.105,10.105,6153,0.0,1.0
2025-02-12,CAPN,10.11,10.11,10.1,10.11,10.11,47703,0.0,1.0
2025-02-13,CAPN,10.105,10.11,10.1,10.105,10.105,14817,0.0,1.0
2025-02-14,CAPN,10.105,10.105,10.105,10.105,10.105,23,0.0,1.0
2025-02-18,CAPN,10.105,10.105,10.105,10.105,10.105,22,0.0,1.0
2025-02-19,CAPN,10.11,10.11,10.1,10.1,10.1,553,0.0,1.0
2025-02-20,CAPN,10.1,10.11,10.09,10.095,10.095,6719,0.0,1.0
2025-02-21,CAPN,10.1,10.11,10.09,10.11,10.11,163442,0.0,1.0
