date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-11-04,CEPV,10.28,10.33,10.28,10.3,10.3,9455748,0.0,1.0
2025-11-05,CEPV,10.31,10.36,10.31,10.34,10.34,1094254,0.0,1.0
2025-11-06,CEPV,10.35,10.35,10.325,10.34,10.34,345872,0.0,1.0
2025-11-07,CEPV,10.3,10.32,10.25,10.27,10.27,1163172,0.0,1.0
2025-11-10,CEPV,10.29,10.29,10.265,10.27,10.27,59987,0.0,1.0
2025-11-11,CEPV,10.27,10.29,10.27,10.27,10.27,287660,0.0,1.0
2025-11-12,CEPV,10.27,10.2947,10.25,10.28,10.28,45695,0.0,1.0
2025-11-13,CEPV,10.256,10.29,10.256,10.28,10.28,97531,0.0,1.0
2025-11-14,CEPV,10.3486,10.35,10.26,10.29,10.29,12400,0.0,1.0
2025-11-17,CEPV,10.325,10.3325,10.24,10.24,10.24,308026,0.0,1.0
2025-11-18,CEPV,10.22,10.25,10.207,10.22,10.22,103150,0.0,1.0
2025-11-19,CEPV,10.262,10.275,10.23,10.23,10.23,89880,0.0,1.0
2025-11-20,CEPV,10.2685,10.29,10.23,10.23,10.23,24644,0.0,1.0
2025-11-21,CEPV,10.2894,10.29,10.24,10.24,10.24,6195,0.0,1.0
2025-11-24,CEPV,10.23,10.2599,10.23,10.24,10.24,6107,0.0,1.0
2025-11-25,CEPV,10.2001,10.26,10.2,10.22,10.22,15717,0.0,1.0
2025-11-26,CEPV,10.25,10.265,10.21,10.25,10.25,45500,0.0,1.0
2025-11-28,CEPV,10.25,10.28,10.22,10.245,10.245,3507,0.0,1.0
2025-12-01,CEPV,10.26,10.26,10.22,10.22,10.22,25718,0.0,1.0
2025-12-02,CEPV,10.24,10.27,10.21,10.25,10.25,33316,0.0,1.0
2025-12-03,CEPV,10.25,10.28,10.21,10.21,10.21,37735,0.0,1.0
2025-12-04,CEPV,10.22,10.26,10.22,10.25,10.25,98823,0.0,1.0
2025-12-05,CEPV,10.26,10.26,10.23,10.25,10.25,90852,0.0,1.0
2025-12-08,CEPV,10.25,10.27,10.22,10.25,10.25,7808,0.0,1.0
2025-12-09,CEPV,10.23,10.26,10.22,10.25,10.25,187590,0.0,1.0
2025-12-10,CEPV,10.25,10.26,10.23,10.24,10.24,12808,0.0,1.0
2025-12-11,CEPV,10.25,10.25,10.23,10.23,10.23,1324,0.0,1.0
2025-12-12,CEPV,10.25,10.26,10.241,10.26,10.26,596,0.0,1.0
2025-12-15,CEPV,10.26,10.26,10.22,10.25,10.25,27353,0.0,1.0
2025-12-16,CEPV,10.2332,10.26,10.23,10.23,10.23,1663,0.0,1.0
2025-12-17,CEPV,10.25,10.25,10.24,10.25,10.25,1067,0.0,1.0
2025-12-18,CEPV,10.24,10.25,10.23,10.24,10.24,6623,0.0,1.0
2025-12-19,CEPV,10.25,10.25,10.22,10.24,10.24,98961,0.0,1.0
2025-12-22,CEPV,10.25,10.25,10.24,10.24,10.24,778,0.0,1.0
2025-12-23,CEPV,10.23,10.25,10.22,10.23,10.23,43042,0.0,1.0
2025-12-24,CEPV,10.25,10.25,10.23,10.23,10.23,25517,0.0,1.0
2025-12-26,CEPV,10.23,10.23,10.23,10.23,10.23,26,0.0,1.0
