date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-11-26,CHAR,9.95,9.95,9.88,9.9,9.9,257392,0.0,1.0
2024-11-27,CHAR,9.89,9.91,9.89,9.91,9.91,871172,0.0,1.0
2024-11-29,CHAR,9.91,9.91,9.9,9.9,9.9,222872,0.0,1.0
2024-12-02,CHAR,9.91,9.91,9.89,9.9,9.9,265993,0.0,1.0
2024-12-03,CHAR,9.91,9.91,9.9,9.91,9.91,1091307,0.0,1.0
2024-12-04,CHAR,9.92,9.92,9.9,9.9,9.9,404148,0.0,1.0
2024-12-05,CHAR,9.92,9.92,9.91,9.91,9.91,379684,0.0,1.0
2024-12-06,CHAR,9.94,9.94,9.91,9.92,9.92,10684,0.0,1.0
2024-12-09,CHAR,9.94,9.94,9.91,9.91,9.91,3864,0.0,1.0
2024-12-10,CHAR,9.91,9.91,9.91,9.91,9.91,57,0.0,1.0
2024-12-11,CHAR,9.93,9.93,9.93,9.93,9.93,3685,0.0,1.0
2024-12-12,CHAR,9.92,9.94,9.92,9.94,9.94,28647,0.0,1.0
2024-12-13,CHAR,9.94,9.95,9.94,9.95,9.95,77633,0.0,1.0
2024-12-16,CHAR,9.95,9.95,9.93,9.93,9.93,242094,0.0,1.0
2024-12-17,CHAR,9.95,9.95,9.94,9.94,9.94,376707,0.0,1.0
2024-12-18,CHAR,9.95,9.95,9.94,9.94,9.94,31965,0.0,1.0
2024-12-19,CHAR,9.96,9.96,9.945,9.945,9.945,80064,0.0,1.0
2024-12-20,CHAR,9.93,9.95,9.93,9.95,9.95,7405,0.0,1.0
2024-12-23,CHAR,9.95,9.95,9.95,9.95,9.95,628,0.0,1.0
2024-12-24,CHAR,9.98,9.98,9.98,9.98,9.98,252,0.0,1.0
2024-12-26,CHAR,9.99,9.99,9.94,9.94,9.94,1574,0.0,1.0
2024-12-27,CHAR,9.96,9.96,9.94,9.94,9.94,521,0.0,1.0
2024-12-30,CHAR,9.9414,9.95,9.94,9.94,9.94,3465,0.0,1.0
2024-12-31,CHAR,9.9508,9.96,9.9508,9.96,9.96,3261,0.0,1.0
2025-01-02,CHAR,9.93,9.96,9.93,9.96,9.96,304477,0.0,1.0
2025-01-03,CHAR,9.95,9.95,9.94,9.94,9.94,28273,0.0,1.0
2025-01-06,CHAR,9.97,9.97,9.94,9.94,9.94,62554,0.0,1.0
2025-01-07,CHAR,9.94,9.94,9.94,9.94,9.94,16640,0.0,1.0
2025-01-08,CHAR,9.94,9.94,9.94,9.94,9.94,66,0.0,1.0
2025-01-10,CHAR,9.96,9.98,9.96,9.98,9.98,1189,0.0,1.0
2025-01-13,CHAR,9.97,9.98,9.95,9.98,9.98,508751,0.0,1.0
2025-01-14,CHAR,9.96,9.98,9.96,9.98,9.98,617,0.0,1.0
2025-01-15,CHAR,9.98,9.98,9.98,9.98,9.98,668,0.0,1.0
2025-01-16,CHAR,9.9641,9.9641,9.9641,9.9641,9.9641,1666,0.0,1.0
2025-01-17,CHAR,9.99,10.01,9.96,10.01,10.01,16619,0.0,1.0
2025-01-21,CHAR,9.96,9.96,9.96,9.96,9.96,340,0.0,1.0
2025-01-22,CHAR,9.96,9.98,9.96,9.98,9.98,490,0.0,1.0
2025-01-23,CHAR,9.98,9.98,9.98,9.98,9.98,265,0.0,1.0
2025-01-24,CHAR,9.98,9.98,9.98,9.98,9.98,34,0.0,1.0
2025-01-27,CHAR,9.98,9.98,9.98,9.98,9.98,24,0.0,1.0
2025-01-28,CHAR,9.98,9.98,9.98,9.98,9.98,26,0.0,1.0
2025-01-29,CHAR,9.98,9.985,9.96,9.96,9.96,26391,0.0,1.0
2025-01-30,CHAR,10.71,10.71,9.99,10.02,10.02,4165,0.0,1.0
2025-01-31,CHAR,10.02,10.02,10.02,10.02,10.02,24,0.0,1.0
2025-02-03,CHAR,10.02,10.02,10.02,10.02,10.02,8,0.0,1.0
2025-02-04,CHAR,10.035,10.035,10.035,10.035,10.035,107,0.0,1.0
2025-02-05,CHAR,10.035,10.035,10.035,10.035,10.035,4,0.0,1.0
2025-02-06,CHAR,10.035,10.035,10.035,10.035,10.035,4,0.0,1.0
2025-02-07,CHAR,10.035,10.035,10.035,10.035,10.035,0,0.0,1.0
2025-02-10,CHAR,9.99,10.0,9.99,10.0,10.0,17172,0.0,1.0
2025-02-11,CHAR,10.0,10.01,10.0,10.0,10.0,62425,0.0,1.0
2025-02-12,CHAR,10.01,10.02,10.01,10.01,10.01,59303,0.0,1.0
2025-02-13,CHAR,10.01,10.035,10.01,10.01,10.01,246898,0.0,1.0
2025-02-14,CHAR,10.01,10.01,10.01,10.01,10.01,15,0.0,1.0
2025-02-18,CHAR,10.0078,10.0078,10.0078,10.0078,10.0078,626,0.0,1.0
2025-02-19,CHAR,10.036,10.036,10.01,10.01,10.01,9029,0.0,1.0
2025-02-20,CHAR,10.01,10.01,10.01,10.01,10.01,1,0.0,1.0
2025-02-21,CHAR,10.01,10.01,10.01,10.01,10.01,11,0.0,1.0
2025-02-24,CHAR,10.035,10.035,10.03,10.03,10.03,217,0.0,1.0
2025-02-25,CHAR,10.03,10.03,10.03,10.03,10.03,7,0.0,1.0
2025-02-26,CHAR,10.03,10.03,10.03,10.03,10.03,0,0.0,1.0
2025-02-27,CHAR,10.03,10.03,10.03,10.03,10.03,0,0.0,1.0
2025-02-28,CHAR,10.02,10.02,10.02,10.02,10.02,103,0.0,1.0
2025-03-03,CHAR,10.03,10.03,10.03,10.03,10.03,104,0.0,1.0
2025-03-04,CHAR,10.04,10.0401,10.04,10.04,10.04,2100,0.0,1.0
2025-03-05,CHAR,10.04,10.05,10.04,10.04,10.04,10709,0.0,1.0
2025-03-06,CHAR,10.0432,10.0432,10.04,10.04,10.04,40434,0.0,1.0
2025-03-07,CHAR,10.05,10.05,10.05,10.05,10.05,3642,0.0,1.0
2025-03-10,CHAR,10.05,10.05,10.05,10.05,10.05,48,0.0,1.0
2025-03-11,CHAR,10.05,10.05,10.05,10.05,10.05,0,0.0,1.0
2025-03-12,CHAR,10.0607,10.0607,10.0607,10.0607,10.0607,2100,0.0,1.0
2025-03-13,CHAR,10.0607,10.0607,10.0607,10.0607,10.0607,30,0.0,1.0
2025-03-14,CHAR,10.06,10.07,10.06,10.07,10.07,14002,0.0,1.0
2025-03-17,CHAR,10.07,10.25,10.06,10.06,10.06,202850,0.0,1.0
2025-03-18,CHAR,10.055,10.0625,10.0507,10.06,10.06,94057,0.0,1.0
2025-03-19,CHAR,10.06,10.085,10.05,10.05,10.05,193876,0.0,1.0
2025-03-20,CHAR,10.06,10.07,10.05,10.07,10.07,398032,0.0,1.0
2025-03-21,CHAR,10.07,10.07,10.07,10.07,10.07,275,0.0,1.0
2025-03-24,CHAR,10.07,10.07,10.07,10.07,10.07,8,0.0,1.0
2025-03-25,CHAR,10.07,10.07,10.07,10.07,10.07,3900,0.0,1.0
2025-03-26,CHAR,10.0963,10.0963,10.0963,10.0963,10.0963,1003,0.0,1.0
