date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2010-03-23,CNDA,25.3,25.4799,25.3,25.4392,21.7343316272405,11463,0.0,1.0
2010-03-24,CNDA,25.3,25.3,25.02,25.04,21.3932695975542,15674,0.0,1.0
2010-03-25,CNDA,25.5,25.51,24.96,24.96,21.3249204934087,20759,0.0,1.0
2010-03-26,CNDA,25.0,25.15,24.84,24.95,21.3163768553905,25613,0.0,1.0
2010-03-29,CNDA,25.1,25.47,25.1,25.411,21.7102385680292,10413,0.0,1.0
2010-03-30,CNDA,25.5,25.64,25.32,25.33,21.6410351000818,13770,0.0,1.0
2010-03-31,CNDA,25.29,25.54,25.29,25.42,21.7179278422456,20613,0.0,1.0
2010-04-01,CNDA,25.75,26.06,25.742,26.02,22.2305461233371,19220,0.0,1.0
2010-04-05,CNDA,26.3,26.62,26.28,26.58,22.7089898523559,38423,0.0,1.0
2010-04-06,CNDA,26.69,26.8,26.6,26.66,22.7773389565014,9676,0.0,1.0
2010-04-07,CNDA,26.66,26.7,26.4096,26.4499,22.5978371217392,110023,0.0,1.0
2010-04-08,CNDA,26.25,26.43,26.08,26.4299,22.5807498457028,9084,0.0,1.0
2010-04-09,CNDA,26.39,26.6799,26.39,26.62,22.7431644044287,10792,0.0,1.0
2010-04-12,CNDA,26.67,26.8,26.5,26.5,22.6406407482103,16962,0.0,1.0
2010-04-13,CNDA,26.58,26.58,26.165,26.3992,22.554520876987,5980,0.0,1.0
2010-04-14,CNDA,26.59,26.67,26.442,26.6199,22.7430789680485,4439,0.0,1.0
2010-04-15,CNDA,26.6264,26.63,26.5,26.5665,22.6974559410313,1770,0.0,1.0
2010-04-16,CNDA,26.29,26.378,25.7199,25.94,22.1621970191916,9831,0.0,1.0
2010-04-19,CNDA,25.78,25.85,25.51,25.85,22.0853042770278,16057,0.0,1.0
2010-04-20,CNDA,26.36,26.428,26.28,26.33,22.4953989019011,12870,0.0,1.0
2010-04-21,CNDA,26.4699,26.4699,26.156,26.2064,22.3897995359962,7153,0.0,1.0
