date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-06-02,COPL,10.0,10.005,9.99,10.0,10.0,494652,0.0,1.0
2025-06-03,COPL,10.01,10.01,10.0,10.0,10.0,263919,0.0,1.0
2025-06-04,COPL,9.98,10.01,9.98,10.01,10.01,1194883,0.0,1.0
2025-06-05,COPL,10.02,10.02,10.0,10.0,10.0,165581,0.0,1.0
2025-06-06,COPL,10.0,10.0,10.0,10.0,10.0,58096,0.0,1.0
2025-06-09,COPL,10.01,10.01,10.0,10.005,10.005,261087,0.0,1.0
2025-06-10,COPL,10.01,10.02,10.005,10.02,10.02,395089,0.0,1.0
2025-06-11,COPL,10.02,10.02,10.02,10.02,10.02,6205,0.0,1.0
2025-06-12,COPL,10.02,10.02,10.0141,10.02,10.02,109491,0.0,1.0
2025-06-13,COPL,10.04,10.04,10.03,10.03,10.03,26758,0.0,1.0
2025-06-16,COPL,10.03,10.03,10.03,10.03,10.03,68,0.0,1.0
2025-06-17,COPL,10.03,10.03,10.03,10.03,10.03,539,0.0,1.0
2025-06-18,COPL,10.02,10.04,10.02,10.03,10.03,168543,0.0,1.0
2025-06-20,COPL,10.04,10.04,10.03,10.03,10.03,2850,0.0,1.0
2025-06-23,COPL,10.03,10.04,10.03,10.04,10.04,49601,0.0,1.0
2025-06-24,COPL,10.04,10.04,10.04,10.04,10.04,32636,0.0,1.0
2025-06-25,COPL,10.03,10.04,10.03,10.04,10.04,553340,0.0,1.0
2025-06-26,COPL,10.06,10.06,10.06,10.06,10.06,109,0.0,1.0
2025-06-27,COPL,10.05,10.05,10.05,10.05,10.05,1043,0.0,1.0
2025-06-30,COPL,10.04,10.11,10.04,10.07,10.07,246660,0.0,1.0
2025-07-01,COPL,10.06,10.08,10.06,10.07,10.07,56053,0.0,1.0
2025-07-02,COPL,10.05,10.05,10.05,10.05,10.05,102,0.0,1.0
2025-07-03,COPL,10.05,10.05,10.05,10.05,10.05,0,0.0,1.0
2025-07-07,COPL,10.05,10.05,10.05,10.05,10.05,0,0.0,1.0
2025-07-08,COPL,10.055,10.06,10.055,10.06,10.06,25668,0.0,1.0
2025-07-09,COPL,10.06,10.06,10.04,10.04,10.04,30175,0.0,1.0
2025-07-10,COPL,10.06,10.06,10.06,10.06,10.06,12666,0.0,1.0
2025-07-11,COPL,10.03,10.04,10.03,10.04,10.04,10202,0.0,1.0
2025-07-14,COPL,10.0393,10.06,10.03,10.06,10.06,196269,0.0,1.0
2025-07-15,COPL,10.06,10.06,10.05,10.06,10.06,4471,0.0,1.0
2025-07-16,COPL,10.06,10.07,10.05,10.07,10.07,484748,0.0,1.0
2025-07-17,COPL,10.07,10.07,10.07,10.07,10.07,556,0.0,1.0
