date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-06-23,CRAQ,10.31,10.44,9.95,9.98,9.98,11879,0.0,1.0
2025-06-24,CRAQ,9.99,10.0,9.9689,10.0,10.0,80612,0.0,1.0
2025-06-25,CRAQ,10.0,10.015,9.955,9.99,9.99,772272,0.0,1.0
2025-06-26,CRAQ,9.97,9.99,9.97,9.99,9.99,148680,0.0,1.0
2025-06-27,CRAQ,10.0,10.0,9.985,9.999,9.999,61148,0.0,1.0
2025-06-30,CRAQ,10.0,10.0,9.97,9.97,9.97,364650,0.0,1.0
2025-07-01,CRAQ,9.97,9.99,9.95,9.95,9.95,173299,0.0,1.0
2025-07-02,CRAQ,9.95,9.96,9.92,9.92,9.92,34840,0.0,1.0
2025-07-03,CRAQ,9.9201,9.9571,9.9201,9.95,9.95,5541,0.0,1.0
2025-07-07,CRAQ,9.94,9.96,9.94,9.9599,9.9599,5034,0.0,1.0
2025-07-08,CRAQ,9.94,9.96,9.94,9.9599,9.9599,4319,0.0,1.0
2025-07-09,CRAQ,9.96,9.96,9.95,9.96,9.96,15322,0.0,1.0
2025-07-10,CRAQ,9.94,9.94,9.94,9.94,9.94,8842,0.0,1.0
2025-07-11,CRAQ,9.96,9.96,9.95,9.95,9.95,91496,0.0,1.0
2025-07-14,CRAQ,9.95,9.95,9.95,9.95,9.95,1,0.0,1.0
2025-07-15,CRAQ,9.95,9.95,9.95,9.95,9.95,0,0.0,1.0
2025-07-16,CRAQ,9.95,9.97,9.95,9.95,9.95,335622,0.0,1.0
2025-07-17,CRAQ,9.96,9.99,9.96,9.97,9.97,46775,0.0,1.0
2025-07-18,CRAQ,9.98,10.0,9.98,9.99,9.99,664665,0.0,1.0
2025-07-21,CRAQ,9.96,10.015,9.96,10.015,10.015,33381,0.0,1.0
2025-07-22,CRAQ,9.98,9.99,9.98,9.98,9.98,95459,0.0,1.0
2025-07-23,CRAQ,10.005,10.005,10.005,10.005,10.005,25991,0.0,1.0
2025-07-24,CRAQ,10.0,10.0,10.0,10.0,10.0,26544,0.0,1.0
2025-07-25,CRAQ,9.9792,9.9792,9.9792,9.9792,9.9792,26600,0.0,1.0
2025-07-28,CRAQ,10.0,10.01,10.0,10.0,10.0,25438,0.0,1.0
2025-07-29,CRAQ,10.02,10.025,10.0,10.025,10.025,77699,0.0,1.0
2025-07-30,CRAQ,10.025,10.025,10.025,10.025,10.025,27077,0.0,1.0
2025-07-31,CRAQ,10.025,10.025,10.025,10.025,10.025,20507,0.0,1.0
2025-08-01,CRAQ,10.025,10.025,10.025,10.025,10.025,19526,0.0,1.0
2025-08-04,CRAQ,10.0054,10.0054,10.0054,10.0054,10.0054,6807,0.0,1.0
2025-08-05,CRAQ,10.0054,10.0054,10.0054,10.0054,10.0054,7002,0.0,1.0
2025-08-06,CRAQ,10.01,10.02,10.0,10.0,10.0,61707,0.0,1.0
2025-08-07,CRAQ,10.02,10.02,10.0,10.001,10.001,15900,0.0,1.0
2025-08-08,CRAQ,10.001,10.001,10.001,10.001,10.001,5700,0.0,1.0
2025-08-11,CRAQ,10.0,10.0184,9.98,10.0184,10.0184,9501,0.0,1.0
2025-08-12,CRAQ,10.01,10.01,10.01,10.01,10.01,305000,0.0,1.0
2025-08-13,CRAQ,10.01,10.02,10.0,10.02,10.02,329340,0.0,1.0
2025-08-14,CRAQ,10.02,10.03,10.02,10.03,10.03,163751,0.0,1.0
2025-08-15,CRAQ,10.03,10.03,10.03,10.03,10.03,10611,0.0,1.0
2025-08-18,CRAQ,10.03,10.03,10.03,10.03,10.03,82,0.0,1.0
2025-08-19,CRAQ,10.02,10.02,10.02,10.02,10.02,68709,0.0,1.0
2025-08-20,CRAQ,10.02,10.02,10.02,10.02,10.02,5007,0.0,1.0
2025-08-21,CRAQ,10.02,10.03,10.02,10.02,10.02,45182,0.0,1.0
2025-08-22,CRAQ,10.03,10.03,10.02,10.02,10.02,1130,0.0,1.0
2025-08-25,CRAQ,10.02,10.02,10.02,10.02,10.02,5000,0.0,1.0
2025-08-26,CRAQ,10.02,10.02,10.02,10.02,10.02,51070,0.0,1.0
2025-08-27,CRAQ,10.02,10.02,10.02,10.02,10.02,30000,0.0,1.0
2025-08-28,CRAQ,10.02,10.02,10.02,10.02,10.02,30570,0.0,1.0
2025-08-29,CRAQ,10.02,10.02,10.01,10.01,10.01,25363,0.0,1.0
2025-09-02,CRAQ,10.01,10.03,10.0,10.0,10.0,25698,0.0,1.0
2025-09-03,CRAQ,10.015,10.015,10.0,10.0,10.0,714,0.0,1.0
2025-09-04,CRAQ,10.0,10.0,9.99,9.99,9.99,37268,0.0,1.0
2025-09-05,CRAQ,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2025-09-08,CRAQ,9.99,9.99,9.99,9.99,9.99,7,0.0,1.0
2025-09-09,CRAQ,9.99,9.99,9.99,9.99,9.99,51,0.0,1.0
