date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-08-26,DRAY,10.1,10.1,10.1,10.1,7.75976039762684,1111,0.0,1.0
2021-08-27,DRAY,10.1,10.1,9.7274,9.7274,7.47349438533419,3630,0.0,1.0
2021-08-30,DRAY,9.61,9.61,9.61,9.61,7.38329677437563,386,0.0,1.0
2021-08-31,DRAY,9.61,9.61,9.61,9.61,7.38329677437563,17,0.0,1.0
2021-09-01,DRAY,9.7,9.7884,9.7,9.75,7.49085780959026,208039,0.0,1.0
2021-09-02,DRAY,9.6691,9.6691,9.6691,9.6691,7.42870289709838,242,0.0,1.0
2021-09-03,DRAY,9.66,9.74,9.66,9.67,7.42939436089619,441,0.0,1.0
2021-09-07,DRAY,9.67,9.67,9.67,9.67,7.42939436089619,45,0.0,1.0
2021-09-08,DRAY,9.74,9.74,9.73,9.73,7.47549194741674,17216,0.0,1.0
2021-09-09,DRAY,9.73,9.74,9.72,9.73,7.47549194741674,89898,0.0,1.0
2021-09-10,DRAY,9.74,9.74,9.72,9.74,7.4831748785035,110854,0.0,1.0
2021-09-13,DRAY,9.74,9.8,9.74,9.75,7.49085780959026,16051,0.0,1.0
2021-09-14,DRAY,9.75,9.79,9.75,9.77,7.50622367176378,47635,0.0,1.0
2021-09-15,DRAY,9.77,9.8,9.76,9.76,7.49854074067702,195238,0.0,1.0
2021-09-16,DRAY,9.76,9.77,9.76,9.76,7.49854074067702,6602,0.0,1.0
2021-09-17,DRAY,9.76,9.79,9.76,9.775,7.51006513730716,19294,0.0,1.0
2021-09-20,DRAY,9.77,9.8,9.76,9.79,7.5215895339373,200558,0.0,1.0
2021-09-21,DRAY,9.79,9.8,9.79,9.8,7.52927246502406,3668,0.0,1.0
2021-09-22,DRAY,9.8,9.82,9.8,9.82,7.54463832719758,14335,0.0,1.0
2021-09-23,DRAY,9.8,9.84,9.8,9.83,7.55232125828434,594799,0.0,1.0
2021-09-24,DRAY,9.79,9.83,9.79,9.83,7.55232125828434,723,0.0,1.0
2021-09-27,DRAY,9.82,9.82,9.82,9.82,7.54463832719758,113,0.0,1.0
2021-09-28,DRAY,9.82,9.82,9.82,9.82,7.54463832719758,14,0.0,1.0
2021-09-29,DRAY,9.83,9.84,9.83,9.84,7.5600041893711,4548,0.0,1.0
2021-09-30,DRAY,9.84,9.865,9.83,9.84,7.5600041893711,794876,0.0,1.0
2021-10-01,DRAY,9.83,9.84,9.83,9.84,7.5600041893711,19792,0.0,1.0
2021-10-04,DRAY,9.85,9.85,9.83,9.84,7.5600041893711,59807,0.0,1.0
2021-10-05,DRAY,9.84,9.84,9.84,9.84,7.5600041893711,67,0.0,1.0
2021-10-06,DRAY,9.83,9.84,9.83,9.84,7.5600041893711,16765,0.0,1.0
2021-10-07,DRAY,9.84,9.84,9.84,9.84,7.5600041893711,1561,0.0,1.0
2021-10-08,DRAY,9.83,9.83,9.82,9.83,7.55232125828434,7802,0.0,1.0
2021-10-11,DRAY,9.82,9.83,9.82,9.82,7.54463832719758,63286,0.0,1.0
2021-10-12,DRAY,9.82,9.83,9.81,9.81,7.53695539611082,278300,0.0,1.0
2021-10-13,DRAY,9.82,9.82,9.81,9.81,7.53695539611082,7625,0.0,1.0
2021-10-14,DRAY,9.83,9.83,9.79,9.8,7.52927246502406,138785,0.0,1.0
2021-10-15,DRAY,9.79,9.79,9.79,9.79,7.5215895339373,2535,0.0,1.0
2021-10-18,DRAY,9.79,9.79,9.79,9.79,7.5215895339373,0,0.0,1.0
2021-10-19,DRAY,9.79,9.83,9.79,9.815,7.5407968616542,472956,0.0,1.0
2021-10-20,DRAY,9.83,9.83,9.79,9.82,7.54463832719758,3909,0.0,1.0
2021-10-21,DRAY,9.82,9.82,9.82,9.82,7.54463832719758,19,0.0,1.0
2021-10-22,DRAY,9.8,9.82,9.79,9.82,7.54463832719758,61862,0.0,1.0
2021-10-25,DRAY,9.79,9.79,9.79,9.79,7.5215895339373,540,0.0,1.0
2021-10-26,DRAY,9.79,9.79,9.79,9.79,7.5215895339373,232,0.0,1.0
2021-10-27,DRAY,9.79,9.8,9.79,9.79,7.5215895339373,13001,0.0,1.0
2021-10-28,DRAY,9.7403,9.8,9.7403,9.79,7.5215895339373,32492,0.0,1.0
2021-10-29,DRAY,9.81,9.81,9.76,9.8,7.52927246502406,8381,0.0,1.0
2021-11-01,DRAY,9.81,9.81,9.775,9.78,7.51390660285054,278770,0.0,1.0
2021-11-02,DRAY,9.78,9.79,9.77,9.78,7.51390660285054,91762,0.0,1.0
2021-11-03,DRAY,9.77,9.8,9.77,9.79,7.5215895339373,706250,0.0,1.0
2021-11-04,DRAY,9.79,9.81,9.78,9.79,7.5215895339373,26583,0.0,1.0
2021-11-05,DRAY,9.75,9.81,9.75,9.81,7.53695539611082,112670,0.0,1.0
2021-11-08,DRAY,9.8,9.81,9.8,9.81,7.53695539611082,15766,0.0,1.0
2021-11-09,DRAY,9.7869,9.8,9.7869,9.8,7.52927246502406,785,0.0,1.0
2021-11-10,DRAY,9.8,9.82,9.8,9.8,7.52927246502406,2377,0.0,1.0
2021-11-11,DRAY,9.7983,9.7983,9.79,9.79,7.5215895339373,261,0.0,1.0
2021-11-12,DRAY,9.81,9.83,9.81,9.82,7.54463832719758,48244,0.0,1.0
2021-11-15,DRAY,9.81,9.84,9.81,9.84,7.5600041893711,152983,0.0,1.0
2021-11-16,DRAY,9.84,9.85,9.8,9.84,7.5600041893711,5557,0.0,1.0
2021-11-17,DRAY,9.8,9.85,9.8,9.85,7.56768712045786,1497,0.0,1.0
2021-11-18,DRAY,9.83,9.84,9.83,9.84,7.5600041893711,8557,0.0,1.0
2021-11-19,DRAY,9.86,9.86,9.8,9.84,7.5600041893711,3772,0.0,1.0
2021-11-22,DRAY,9.84,9.84,9.84,9.84,7.5600041893711,20,0.0,1.0
2021-11-23,DRAY,9.85,9.88,9.83,9.84,7.5600041893711,19289,0.0,1.0
2021-11-24,DRAY,9.86,9.86,9.83,9.86,7.57537005154461,2064,0.0,1.0
2021-11-26,DRAY,9.86,9.86,9.858,9.86,7.57537005154461,683,0.0,1.0
2021-11-29,DRAY,9.86,9.86,9.86,9.86,7.57537005154461,5433,0.0,1.0
2021-11-30,DRAY,9.86,9.86,9.86,9.86,7.57537005154461,62,0.0,1.0
2021-12-01,DRAY,9.86,9.86,9.845,9.85,7.56768712045786,1145,0.0,1.0
2021-12-02,DRAY,9.86,9.87,9.8,9.86,7.57537005154461,238499,0.0,1.0
2021-12-03,DRAY,9.84,9.85,9.84,9.85,7.56768712045786,17205,0.0,1.0
2021-12-06,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,130,0.0,1.0
2021-12-07,DRAY,9.8,9.84,9.8,9.84,7.5600041893711,7719,0.0,1.0
2021-12-08,DRAY,9.86,9.86,9.85,9.86,7.57537005154461,1697,0.0,1.0
2021-12-09,DRAY,9.9,10.18,9.86,9.9,7.60610177589165,2058,0.0,1.0
2021-12-10,DRAY,9.9,9.9,9.83,9.83,7.55232125828434,2022,0.0,1.0
2021-12-13,DRAY,9.8,9.815,9.8,9.8,7.52927246502406,7003,0.0,1.0
2021-12-14,DRAY,9.8,9.81,9.8,9.8,7.52927246502406,13649,0.0,1.0
2021-12-15,DRAY,9.8,9.8,9.8,9.8,7.52927246502406,7,0.0,1.0
2021-12-16,DRAY,9.8,9.8,9.8,9.8,7.52927246502406,41,0.0,1.0
2021-12-17,DRAY,9.82,9.85,9.82,9.85,7.56768712045786,2219,0.0,1.0
2021-12-20,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,82,0.0,1.0
2021-12-21,DRAY,9.8,9.83,9.8,9.83,7.55232125828434,513,0.0,1.0
2021-12-22,DRAY,9.8,9.8,9.8,9.8,7.52927246502406,487,0.0,1.0
2021-12-23,DRAY,9.8,9.8,9.8,9.8,7.52927246502406,0,0.0,1.0
2021-12-27,DRAY,9.8,9.8,9.8,9.8,7.52927246502406,0,0.0,1.0
2021-12-28,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,193,0.0,1.0
2021-12-29,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,17,0.0,1.0
2021-12-30,DRAY,9.84,9.85,9.84,9.85,7.56768712045786,2402,0.0,1.0
2021-12-31,DRAY,9.84,9.85,9.84,9.85,7.56768712045786,250315,0.0,1.0
2022-01-03,DRAY,9.85,9.88,9.79,9.79,7.5215895339373,444600,0.0,1.0
2022-01-04,DRAY,9.79,9.79,9.79,9.79,7.5215895339373,115,0.0,1.0
2022-01-05,DRAY,9.82,9.84,9.82,9.82,7.54463832719758,12102,0.0,1.0
2022-01-06,DRAY,9.81,9.82,9.8,9.8,7.52927246502406,120366,0.0,1.0
2022-01-07,DRAY,9.83,9.88,9.81,9.88,7.59073591371813,229458,0.0,1.0
2022-01-10,DRAY,9.81,9.83,9.81,9.82,7.54463832719758,21666,0.0,1.0
2022-01-11,DRAY,9.88,9.88,9.8499,9.8499,7.56761029114699,300,0.0,1.0
2022-01-12,DRAY,9.82,9.85,9.82,9.835,7.55616272382772,276013,0.0,1.0
2022-01-13,DRAY,9.835,9.835,9.835,9.835,7.55616272382772,93,0.0,1.0
2022-01-14,DRAY,9.84,9.84,9.84,9.84,7.5600041893711,1185,0.0,1.0
2022-01-18,DRAY,9.84,9.84,9.84,9.84,7.5600041893711,0,0.0,1.0
2022-01-19,DRAY,9.84,9.84,9.8,9.82,7.54463832719758,170958,0.0,1.0
2022-01-20,DRAY,9.82,9.835,9.8035,9.808,7.53541880989347,38732,0.0,1.0
2022-01-21,DRAY,9.81,9.81,9.81,9.81,7.53695539611082,2063,0.0,1.0
2022-01-24,DRAY,9.81,9.81,9.79,9.79,7.5215895339373,11907,0.0,1.0
2022-01-25,DRAY,9.79,9.79,9.79,9.79,7.5215895339373,0,0.0,1.0
2022-01-26,DRAY,9.81,9.81,9.81,9.81,7.53695539611082,284,0.0,1.0
2022-01-27,DRAY,9.8,9.8,9.8,9.8,7.52927246502406,200,0.0,1.0
2022-01-28,DRAY,9.8001,9.82,9.8,9.81,7.53695539611082,101626,0.0,1.0
2022-01-31,DRAY,9.81,9.81,9.81,9.81,7.53695539611082,1852,0.0,1.0
2022-02-01,DRAY,9.85,9.86,9.82,9.85,7.56768712045786,392150,0.0,1.0
2022-02-02,DRAY,9.86,9.86,9.86,9.86,7.57537005154461,18647,0.0,1.0
2022-02-03,DRAY,9.855,9.855,9.855,9.855,7.57152858600124,100,0.0,1.0
2022-02-04,DRAY,9.855,9.855,9.855,9.855,7.57152858600124,2,0.0,1.0
2022-02-07,DRAY,9.84,9.84,9.84,9.84,7.5600041893711,135,0.0,1.0
2022-02-08,DRAY,9.83,9.83,9.83,9.83,7.55232125828434,180,0.0,1.0
2022-02-09,DRAY,9.83,9.83,9.83,9.83,7.55232125828434,69,0.0,1.0
2022-02-10,DRAY,9.83,9.83,9.83,9.83,7.55232125828434,1,0.0,1.0
2022-02-11,DRAY,9.83,9.83,9.83,9.83,7.55232125828434,32,0.0,1.0
2022-02-14,DRAY,9.83,9.85,9.83,9.85,7.56768712045786,310,0.0,1.0
2022-02-15,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,0,0.0,1.0
2022-02-16,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,0,0.0,1.0
2022-02-17,DRAY,9.85,9.865,9.83,9.85,7.56768712045786,22221,0.0,1.0
2022-02-18,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,0,0.0,1.0
2022-02-22,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,94,0.0,1.0
2022-02-23,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,425,0.0,1.0
2022-02-24,DRAY,9.83,9.83,9.83,9.83,7.55232125828434,250,0.0,1.0
2022-02-25,DRAY,9.8401,9.8401,9.8401,9.8401,7.56008101868196,500,0.0,1.0
2022-02-28,DRAY,9.85,9.875,9.85,9.875,7.58689444817475,33187,0.0,1.0
2022-03-01,DRAY,9.87,9.87,9.85,9.85,7.56768712045786,4514,0.0,1.0
2022-03-02,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,0,0.0,1.0
2022-03-03,DRAY,9.86,9.86,9.86,9.86,7.57537005154461,4546,0.0,1.0
2022-03-04,DRAY,9.87,9.87,9.87,9.87,7.58305298263137,84396,0.0,1.0
2022-03-07,DRAY,9.86,9.86,9.85,9.85,7.56768712045786,617,0.0,1.0
2022-03-08,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,0,0.0,1.0
2022-03-09,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,4477,0.0,1.0
2022-03-10,DRAY,9.85,9.85,9.85,9.85,7.56768712045786,4,0.0,1.0
2022-03-11,DRAY,9.86,9.86,9.86,9.86,7.57537005154461,196,0.0,1.0
2022-03-14,DRAY,9.86,9.86,9.86,9.86,7.57537005154461,85,0.0,1.0
2022-03-15,DRAY,9.87,9.88,9.86,9.87,7.58305298263137,173877,0.0,1.0
2022-03-16,DRAY,9.87,9.88,9.86,9.88,7.59073591371813,184898,0.0,1.0
2022-03-17,DRAY,9.88,9.88,9.88,9.88,7.59073591371813,1481,0.0,1.0
2022-03-18,DRAY,9.885,9.885,9.885,9.885,7.59457737926151,2100,0.0,1.0
2022-03-21,DRAY,9.87,9.89,9.87,9.89,7.59841884480489,4236,0.0,1.0
2022-03-22,DRAY,9.89,9.91,9.89,9.89,7.59841884480489,4142,0.0,1.0
2022-03-23,DRAY,9.89,9.89,9.89,9.89,7.59841884480489,2,0.0,1.0
2022-03-24,DRAY,9.88,9.9,9.88,9.895,7.60226031034827,151746,0.0,1.0
2022-03-25,DRAY,9.88,9.89,9.87,9.89,7.59841884480489,348002,0.0,1.0
2022-03-28,DRAY,9.9,9.9,9.9,9.9,7.60610177589165,830,0.0,1.0
2022-03-29,DRAY,9.9,9.91,9.9,9.91,7.61378470697841,106117,0.0,1.0
2022-03-30,DRAY,9.9,9.91,9.9,9.9,7.60610177589165,1508,0.0,1.0
2022-03-31,DRAY,9.9,9.94,9.88,9.89,7.59841884480489,147234,0.0,1.0
2022-04-01,DRAY,9.915,9.92,9.91,9.91,7.61378470697841,125692,0.0,1.0
2022-04-04,DRAY,9.91,9.91,9.91,9.91,7.61378470697841,82,0.0,1.0
2022-04-05,DRAY,9.93,9.93,9.9,9.9,7.60610177589165,7698,0.0,1.0
