date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2020-11-27,EMPW,9.75,10.0,9.75,9.75,9.70303986932945,660610,0.0,1.0
2020-11-30,EMPW,10.3,10.55,9.75,9.75,9.70303986932945,195028,0.0,1.0
2020-12-01,EMPW,9.9,10.01,9.78,9.8,9.75279904814653,53842,0.0,1.0
2020-12-02,EMPW,9.99,9.99,9.82,9.82,9.77270271967335,1238,0.0,1.0
2020-12-03,EMPW,9.98,9.98,9.77,9.81,9.76275088390994,6892,0.0,1.0
2020-12-04,EMPW,9.8,9.81,9.78,9.78,9.73289537661969,9306,0.0,1.0
2020-12-07,EMPW,10.0,10.06,10.0,10.05,10.0015949422319,2425,0.0,1.0
2020-12-08,EMPW,9.95,9.95,9.86,9.86,9.81251006272701,6304,0.0,1.0
2020-12-09,EMPW,9.935,9.94,9.8,9.8,9.75279904814653,4229,0.0,1.0
2020-12-10,EMPW,9.81,9.877,9.8,9.85,9.8025582269636,323476,0.0,1.0
2020-12-11,EMPW,9.89,9.98,9.89,9.9799,9.93183257353036,10323,0.0,1.0
2020-12-14,EMPW,10.1,10.1,9.9284,9.97,9.92198025612458,1229,0.0,1.0
2020-12-15,EMPW,9.95,10.0,9.9,10.0,9.95183576341482,835250,0.0,1.0
2020-12-16,EMPW,10.0,10.02,9.91,10.0,9.95183576341482,37976,0.0,1.0
2020-12-17,EMPW,9.96,9.99,9.9,9.92,9.8722210773075,5205,0.0,1.0
2020-12-18,EMPW,9.95,10.03,9.935,9.945,9.89710066671604,469161,0.0,1.0
2020-12-21,EMPW,10.06,10.06,9.945,9.96,9.91202842036116,5403,0.0,1.0
2020-12-22,EMPW,10.01,10.01,9.99,10.0032,9.95502035085911,8844,0.0,1.0
2020-12-23,EMPW,10.0,10.01,10.0,10.01,9.96178759917824,2743,0.0,1.0
2020-12-24,EMPW,9.98,10.01,9.98,10.01,9.96178759917824,3525,0.0,1.0
2020-12-28,EMPW,10.18,10.18,9.9601,10.0,9.95183576341482,61558,0.0,1.0
2020-12-29,EMPW,10.0,10.05,9.95,10.0,9.95183576341482,58673,0.0,1.0
2020-12-30,EMPW,9.95,10.05,9.95,10.02,9.97173943494165,65620,0.0,1.0
2020-12-31,EMPW,10.05,10.11,9.97,10.01,9.96178759917824,85573,0.0,1.0
2021-01-04,EMPW,10.066,10.09,10.015,10.06,10.0115467779953,3798,0.0,1.0
2021-01-05,EMPW,10.1,10.12,10.07,10.08,10.0314504495221,17676,0.0,1.0
2021-01-06,EMPW,10.2,10.2,10.02,10.035,9.98666718858677,53344,0.0,1.0
2021-01-07,EMPW,10.05,10.12,10.0,10.11,10.0613059568124,5875,0.0,1.0
2021-01-08,EMPW,10.1,10.2,10.1,10.17,10.1210169713929,463252,0.0,1.0
2021-01-11,EMPW,10.155,10.19,10.1105,10.18,10.1309688071563,1943,0.0,1.0
2021-01-12,EMPW,10.185,10.2,10.12,10.17,10.1210169713929,115613,0.0,1.0
2021-01-13,EMPW,10.23,10.23,10.11,10.16,10.1110651356295,263432,0.0,1.0
2021-01-14,EMPW,10.36,10.36,10.11,10.22,10.1707761502099,123068,0.0,1.0
2021-01-15,EMPW,10.24,10.44,10.13,10.32,10.2702945078441,113250,0.0,1.0
2021-01-19,EMPW,10.6,10.6,10.15,10.28,10.2304871647904,24724,0.0,1.0
2021-01-20,EMPW,10.19,10.26,10.19,10.26,10.2105834932636,73430,0.0,1.0
2021-01-21,EMPW,10.24,10.24,10.04,10.19,10.1409206429197,99566,0.0,1.0
2021-01-22,EMPW,10.26,10.26,10.15,10.19,10.1409206429197,79950,0.0,1.0
2021-01-25,EMPW,10.25,10.35,10.23,10.29,10.2404390005539,223435,0.0,1.0
2021-01-26,EMPW,10.31,10.38,10.24,10.24,10.1906798217368,40799,0.0,1.0
2021-01-27,EMPW,10.17,10.32,10.1554,10.26,10.2105834932636,21183,0.0,1.0
2021-01-28,EMPW,10.37,10.37,10.17,10.18,10.1309688071563,55194,0.0,1.0
2021-01-29,EMPW,10.14,10.34,10.14,10.34,10.2901981793709,41453,0.0,1.0
2021-02-01,EMPW,10.32,10.45,10.245,10.45,10.3996683727685,11701,0.0,1.0
2021-02-02,EMPW,10.39,10.42,10.13,10.32,10.2702945078441,128399,0.0,1.0
2021-02-03,EMPW,10.3,10.5,10.05,10.25,10.2006316575002,61436,0.0,1.0
2021-02-04,EMPW,10.295,10.34,10.25,10.28,10.2304871647904,24859,0.0,1.0
2021-02-05,EMPW,10.38,10.38,10.24,10.29,10.2404390005539,43416,0.0,1.0
2021-02-08,EMPW,10.36,10.36,10.15,10.2,10.1508724786831,77484,0.0,1.0
2021-02-09,EMPW,10.24,10.31,10.23,10.26,10.2105834932636,76049,0.0,1.0
2021-02-10,EMPW,10.25,10.3,10.21,10.25,10.2006316575002,103564,0.0,1.0
2021-02-11,EMPW,10.24,10.46,10.09,10.4,10.3499091939514,63505,0.0,1.0
2021-02-12,EMPW,10.4,10.4,10.26,10.326,10.2762656093021,10716,0.0,1.0
2021-02-16,EMPW,10.41,10.41,10.23,10.28,10.2304871647904,14969,0.0,1.0
2021-02-17,EMPW,10.3,10.34,10.2,10.2,10.1508724786831,48266,0.0,1.0
2021-02-18,EMPW,10.33,10.33,10.23,10.28,10.2304871647904,64837,0.0,1.0
2021-02-19,EMPW,10.27,10.28,10.11,10.16,10.1110651356295,291451,0.0,1.0
2021-02-22,EMPW,10.19,10.29,10.16,10.21,10.1608243144465,27943,0.0,1.0
2021-02-23,EMPW,10.18,10.22,10.13,10.22,10.1707761502099,65565,0.0,1.0
2021-02-24,EMPW,10.12,10.3,10.12,10.22,10.1707761502099,42095,0.0,1.0
2021-02-25,EMPW,10.27,10.27,10.0,10.21,10.1608243144465,126811,0.0,1.0
2021-02-26,EMPW,10.15,10.2092,10.01,10.05,10.0015949422319,49767,0.0,1.0
2021-03-01,EMPW,10.2,10.2,10.08,10.08,10.0314504495221,22840,0.0,1.0
2021-03-02,EMPW,10.07,10.13,9.9,9.9,9.85231740578067,48959,0.0,1.0
2021-03-03,EMPW,10.0,10.0792,9.9,10.04,9.99164310646848,21705,0.0,1.0
2021-03-04,EMPW,9.97,10.04,9.81,10.01,9.96178759917824,37659,0.0,1.0
2021-03-05,EMPW,9.82,9.99,9.82,9.88,9.83241373425384,26866,0.0,1.0
2021-03-08,EMPW,9.983,10.04,9.95,9.95,9.90207658459775,33461,0.0,1.0
2021-03-09,EMPW,9.95,9.95,9.9,9.91,9.86226924154409,8226,0.0,1.0
2021-03-10,EMPW,9.96,9.97,9.91,9.94,9.89212474883433,41941,0.0,1.0
2021-03-11,EMPW,9.97,10.04,9.89,9.98,9.93193209188799,183827,0.0,1.0
2021-03-12,EMPW,10.01,10.3,10.0,10.3,10.2503908363173,5438304,0.0,1.0
