date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-11-17,FCRS,10.17,10.25,10.15,10.24,10.24,133250,0.0,1.0
2025-11-18,FCRS,10.22,10.23,10.1701,10.1799,10.1799,24919,0.0,1.0
2025-11-19,FCRS,10.22,10.22,10.17,10.18,10.18,36000,0.0,1.0
2025-11-20,FCRS,10.1778,10.1778,10.1003,10.1194,10.1194,167234,0.0,1.0
2025-11-21,FCRS,10.2,10.2,10.11,10.1359,10.1359,50070,0.0,1.0
2025-11-24,FCRS,10.16,10.16,10.114,10.13,10.13,55643,0.0,1.0
2025-11-25,FCRS,10.13,10.14,10.12,10.135,10.135,49326,0.0,1.0
2025-11-26,FCRS,10.14,10.15,10.13,10.15,10.15,74514,0.0,1.0
2025-11-28,FCRS,10.1,10.1498,10.1,10.1423,10.1423,6078,0.0,1.0
2025-12-01,FCRS,10.15,10.15,10.13,10.13,10.13,44090,0.0,1.0
2025-12-02,FCRS,10.15,10.15,10.12,10.13,10.13,58424,0.0,1.0
2025-12-03,FCRS,10.13,10.13,10.11,10.11,10.11,264678,0.0,1.0
2025-12-04,FCRS,10.11,10.11,10.1,10.105,10.105,66543,0.0,1.0
2025-12-05,FCRS,10.105,10.92,10.1,10.1436,10.1436,433493,0.0,1.0
2025-12-08,FCRS,10.1466,10.15,10.13,10.13,10.13,52326,0.0,1.0
2025-12-09,FCRS,10.136,10.14,10.12,10.12,10.12,40554,0.0,1.0
2025-12-10,FCRS,10.5,10.5,10.1103,10.13,10.13,78009,0.0,1.0
2025-12-11,FCRS,10.1101,10.13,10.11,10.11,10.11,62825,0.0,1.0
2025-12-12,FCRS,10.1128,10.12,10.1,10.1,10.1,63011,0.0,1.0
2025-12-15,FCRS,10.1,10.11,10.1,10.1,10.1,127684,0.0,1.0
2025-12-16,FCRS,10.09,10.1,10.09,10.09,10.09,35452,0.0,1.0
2025-12-17,FCRS,10.095,10.1,10.09,10.1,10.1,28837,0.0,1.0
2025-12-18,FCRS,10.0699,10.0916,10.065,10.08,10.08,25458,0.0,1.0
2025-12-19,FCRS,10.06,10.08,10.06,10.07,10.07,96168,0.0,1.0
2025-12-22,FCRS,10.07,10.08,10.0611,10.08,10.08,39951,0.0,1.0
2025-12-23,FCRS,10.07,10.07,10.05,10.05,10.05,139456,0.0,1.0
2025-12-24,FCRS,10.055,10.06,10.05,10.0547,10.0547,13007,0.0,1.0
2025-12-26,FCRS,10.06,10.06,10.04,10.05,10.05,39512,0.0,1.0
