date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-08-18,FIGX,9.96,9.96,9.9497,9.95,9.95,13293,0.0,1.0
2025-08-19,FIGX,9.95,9.96,9.95,9.96,9.96,16124,0.0,1.0
2025-08-20,FIGX,9.96,9.99,9.95,9.98,9.98,467529,0.0,1.0
2025-08-21,FIGX,9.9713,10.01,9.9713,10.01,10.01,105965,0.0,1.0
2025-08-22,FIGX,10.02,10.02,9.99,9.99,9.99,12994,0.0,1.0
2025-08-25,FIGX,9.99,9.99,9.99,9.99,9.99,425271,0.0,1.0
2025-08-26,FIGX,10.02,10.02,10.02,10.02,10.02,152,0.0,1.0
2025-08-27,FIGX,10.02,10.02,10.02,10.02,10.02,4,0.0,1.0
2025-08-28,FIGX,10.02,10.02,10.02,10.02,10.02,12,0.0,1.0
2025-08-29,FIGX,10.02,10.02,10.02,10.02,10.02,1,0.0,1.0
2025-09-02,FIGX,10.02,10.02,10.02,10.02,10.02,24,0.0,1.0
2025-09-03,FIGX,10.01,10.01,10.0,10.01,10.01,253204,0.0,1.0
2025-09-04,FIGX,10.05,10.05,10.01,10.01,10.01,423,0.0,1.0
2025-09-05,FIGX,10.01,10.01,10.01,10.01,10.01,200102,0.0,1.0
2025-09-08,FIGX,10.05,10.05,10.0,10.0,10.0,792,0.0,1.0
2025-09-09,FIGX,9.98,9.98,9.98,9.98,9.98,234,0.0,1.0
2025-09-10,FIGX,9.98,9.98,9.98,9.98,9.98,4,0.0,1.0
2025-09-11,FIGX,10.01,10.01,10.01,10.01,10.01,4915,0.0,1.0
2025-09-12,FIGX,10.01,10.01,10.01,10.01,10.01,22,0.0,1.0
2025-09-15,FIGX,10.01,10.01,10.01,10.01,10.01,8,0.0,1.0
2025-09-16,FIGX,9.985,9.985,9.98,9.98,9.98,4069,0.0,1.0
2025-09-17,FIGX,9.98,9.98,9.98,9.98,9.98,1005,0.0,1.0
