date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-04-08,FTII,9.95,9.9699,9.95,9.96,9.96,577400,0.0,1.0
2022-04-11,FTII,9.97,9.98,9.97,9.98,9.98,107583,0.0,1.0
2022-04-12,FTII,9.99,9.99,9.98,9.98,9.98,265551,0.0,1.0
2022-04-13,FTII,9.98,9.98,9.98,9.98,9.98,341923,0.0,1.0
2022-04-14,FTII,9.98,9.99,9.98,9.989,9.989,17000,0.0,1.0
2022-04-18,FTII,10.0,10.02,9.99,10.02,10.02,103464,0.0,1.0
2022-04-19,FTII,10.02,10.02,10.02,10.02,10.02,72,0.0,1.0
2022-04-20,FTII,10.02,10.02,10.02,10.02,10.02,126,0.0,1.0
2022-04-21,FTII,10.02,10.02,10.02,10.02,10.02,2,0.0,1.0
2022-04-22,FTII,10.005,10.005,10.0,10.0,10.0,8009,0.0,1.0
2022-04-25,FTII,10.0,10.0,10.0,10.0,10.0,10452,0.0,1.0
2022-04-26,FTII,10.0,10.0,9.99,9.99,9.99,18850,0.0,1.0
2022-04-27,FTII,9.99,9.99,9.99,9.99,9.99,1,0.0,1.0
2022-04-28,FTII,10.02,10.02,10.02,10.02,10.02,157,0.0,1.0
2022-04-29,FTII,10.02,10.02,10.02,10.02,10.02,1,0.0,1.0
2022-05-02,FTII,10.02,10.02,10.02,10.02,10.02,0,0.0,1.0
2022-05-03,FTII,10.02,10.02,10.02,10.02,10.02,0,0.0,1.0
2022-05-04,FTII,10.0,10.0,10.0,10.0,10.0,403,0.0,1.0
2022-05-05,FTII,10.0,10.0,10.0,10.0,10.0,103,0.0,1.0
2022-05-06,FTII,10.0,10.0,10.0,10.0,10.0,9,0.0,1.0
2022-05-09,FTII,10.0,10.0,9.97,9.97,9.97,105005,0.0,1.0
2022-05-10,FTII,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2022-05-11,FTII,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2022-05-12,FTII,9.97,9.97,9.97,9.97,9.97,204392,0.0,1.0
2022-05-13,FTII,9.97,9.97,9.97,9.97,9.97,100,0.0,1.0
2022-05-16,FTII,9.97,9.97,9.97,9.97,9.97,1,0.0,1.0
2022-05-17,FTII,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2022-05-18,FTII,9.97,9.97,9.97,9.97,9.97,5000,0.0,1.0
2022-05-19,FTII,9.97,9.97,9.97,9.97,9.97,5,0.0,1.0
2022-05-20,FTII,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2022-05-23,FTII,9.97,9.97,9.97,9.97,9.97,4402,0.0,1.0
2022-05-24,FTII,9.97,9.97,9.97,9.97,9.97,192,0.0,1.0
2022-05-25,FTII,9.9799,9.98,9.97,9.9728,9.9728,3475,0.0,1.0
2022-05-26,FTII,9.995,9.995,9.98,9.99,9.99,300908,0.0,1.0
2022-05-27,FTII,10.01,10.01,10.01,10.01,10.01,2306,0.0,1.0
2022-05-31,FTII,10.01,10.01,10.01,10.01,10.01,0,0.0,1.0
2022-06-01,FTII,9.98,9.98,9.98,9.98,9.98,7862,0.0,1.0
2022-06-02,FTII,9.98,9.98,9.98,9.98,9.98,0,0.0,1.0
2022-06-03,FTII,9.98,9.98,9.98,9.98,9.98,97,0.0,1.0
2022-06-06,FTII,9.98,9.98,9.98,9.98,9.98,1,0.0,1.0
2022-06-07,FTII,9.98,9.98,9.98,9.98,9.98,22090,0.0,1.0
2022-06-08,FTII,9.98,9.98,9.98,9.98,9.98,2602,0.0,1.0
2022-06-09,FTII,9.99,9.99,9.99,9.99,9.99,17000,0.0,1.0
2022-06-10,FTII,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2022-06-13,FTII,10.5,10.5,10.0,10.05,10.05,4464,0.0,1.0
2022-06-14,FTII,10.39,10.39,10.0,10.0,10.0,50214,0.0,1.0
2022-06-15,FTII,10.0,10.0,9.99,9.99,9.99,175022,0.0,1.0
2022-06-16,FTII,9.99,9.99,9.99,9.99,9.99,16,0.0,1.0
2022-06-17,FTII,9.99,9.99,9.99,9.99,9.99,5,0.0,1.0
2022-06-21,FTII,9.99,9.99,9.99,9.99,9.99,45,0.0,1.0
2022-06-22,FTII,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2022-06-23,FTII,9.99,9.99,9.99,9.99,9.99,30,0.0,1.0
2022-06-24,FTII,9.99,9.99,9.99,9.99,9.99,80001,0.0,1.0
2022-06-27,FTII,9.975,9.99,9.975,9.99,9.99,42202,0.0,1.0
2022-06-28,FTII,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2022-06-29,FTII,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2022-06-30,FTII,9.99,9.99,9.99,9.99,9.99,35,0.0,1.0
2022-07-01,FTII,9.99,9.99,9.99,9.99,9.99,5,0.0,1.0
