date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-11-22,GATE,9.77,9.79,9.77,9.79,9.79,44002,0.0,1.0
2021-11-23,GATE,9.815,9.815,9.8,9.8,9.8,1485,0.0,1.0
2021-11-24,GATE,9.8,9.8,9.8,9.8,9.8,82,0.0,1.0
2021-11-26,GATE,9.8,9.8,9.8,9.8,9.8,1,0.0,1.0
2021-11-29,GATE,9.79,9.7941,9.78,9.79,9.79,35723,0.0,1.0
2021-11-30,GATE,9.79,9.81,9.79,9.81,9.81,1472693,0.0,1.0
2021-12-01,GATE,9.79,9.79,9.79,9.79,9.79,8302,0.0,1.0
2021-12-02,GATE,9.825,9.825,9.825,9.825,9.825,2838,0.0,1.0
2021-12-03,GATE,9.825,9.825,9.825,9.825,9.825,1,0.0,1.0
2021-12-06,GATE,9.78,9.81,9.78,9.81,9.81,5153,0.0,1.0
2021-12-07,GATE,9.81,9.82,9.78,9.79,9.79,37012,0.0,1.0
2021-12-08,GATE,9.79,9.79,9.79,9.79,9.79,63,0.0,1.0
2021-12-09,GATE,9.79,9.79,9.79,9.79,9.79,44384,0.0,1.0
2021-12-10,GATE,9.79,9.79,9.78,9.78,9.78,180818,0.0,1.0
2021-12-13,GATE,9.78,9.8,9.78,9.79,9.79,17000,0.0,1.0
2021-12-14,GATE,9.79,9.79,9.79,9.79,9.79,10005,0.0,1.0
2021-12-15,GATE,9.785,9.785,9.78,9.78,9.78,36600,0.0,1.0
2021-12-16,GATE,9.78,9.78,9.78,9.78,9.78,27,0.0,1.0
2021-12-17,GATE,9.78,9.78,9.77,9.77,9.77,405800,0.0,1.0
2021-12-20,GATE,9.77,9.77,9.77,9.77,9.77,803,0.0,1.0
2021-12-21,GATE,9.77,9.77,9.765,9.77,9.77,218237,0.0,1.0
2021-12-22,GATE,9.775,9.775,9.765,9.765,9.765,195575,0.0,1.0
2021-12-23,GATE,9.77,9.78,9.77,9.78,9.78,8656,0.0,1.0
2021-12-27,GATE,9.78,9.78,9.78,9.78,9.78,3,0.0,1.0
2021-12-28,GATE,9.76,9.77,9.76,9.77,9.77,540,0.0,1.0
2021-12-29,GATE,9.76,9.77,9.76,9.77,9.77,200200,0.0,1.0
2021-12-30,GATE,9.77,9.77,9.77,9.77,9.77,0,0.0,1.0
2021-12-31,GATE,9.77,9.77,9.77,9.77,9.77,351,0.0,1.0
