date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2021-12-23,GLLI,9.85,9.85,9.85,9.85,9.85,1000,0.0,1.0
2021-12-27,GLLI,9.8,9.815,9.77,9.77,9.77,113277,0.0,1.0
2021-12-28,GLLI,9.78,9.83,9.78,9.8,9.8,747802,0.0,1.0
2021-12-29,GLLI,9.8,9.855,9.8,9.8,9.8,343236,0.0,1.0
2021-12-30,GLLI,9.8,9.82,9.8,9.82,9.82,170586,0.0,1.0
2021-12-31,GLLI,9.82,9.82,9.82,9.82,9.82,0,0.0,1.0
2022-01-03,GLLI,9.8,9.82,9.8,9.82,9.82,863913,0.0,1.0
2022-01-04,GLLI,9.82,9.82,9.8,9.8,9.8,172578,0.0,1.0
2022-01-05,GLLI,9.82,9.83,9.8,9.8,9.8,18042,0.0,1.0
2022-01-06,GLLI,9.82,9.82,9.81,9.81,9.81,16735,0.0,1.0
2022-01-07,GLLI,9.82,9.83,9.815,9.83,9.83,17720,0.0,1.0
2022-01-10,GLLI,9.83,9.83,9.83,9.83,9.83,66746,0.0,1.0
2022-01-11,GLLI,9.83,9.84,9.82,9.84,9.84,295127,0.0,1.0
2022-01-12,GLLI,9.84,9.84,9.83,9.84,9.84,20098,0.0,1.0
2022-01-13,GLLI,9.84,9.84,9.84,9.84,9.84,33,0.0,1.0
2022-01-14,GLLI,9.84,9.84,9.84,9.84,9.84,1112,0.0,1.0
2022-01-18,GLLI,9.85,9.85,9.85,9.85,9.85,71150,0.0,1.0
2022-01-19,GLLI,9.84,9.89,9.83,9.83,9.83,54698,0.0,1.0
2022-01-20,GLLI,9.81,9.835,9.81,9.82,9.82,10610,0.0,1.0
2022-01-21,GLLI,9.79,9.83,9.79,9.83,9.83,1110,0.0,1.0
2022-01-24,GLLI,9.83,9.83,9.83,9.83,9.83,8,0.0,1.0
2022-01-25,GLLI,9.83,9.83,9.83,9.83,9.83,0,0.0,1.0
2022-01-26,GLLI,9.81,9.81,9.79,9.79,9.79,19903,0.0,1.0
2022-01-27,GLLI,9.79,9.79,9.79,9.79,9.79,35,0.0,1.0
