date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-05-01,IBAC,9.96,9.98,9.96,9.98,9.98,2749,0.0,1.0
2024-05-02,IBAC,9.96,9.97,9.93,9.93,9.93,519170,0.0,1.0
2024-05-03,IBAC,9.9402,9.95,9.94,9.94,9.94,203637,0.0,1.0
2024-05-06,IBAC,9.95,9.96,9.94,9.94,9.94,51751,0.0,1.0
2024-05-07,IBAC,9.95,9.95,9.94,9.945,9.945,12404,0.0,1.0
2024-05-08,IBAC,9.95,9.95,9.94,9.95,9.95,57428,0.0,1.0
2024-05-09,IBAC,9.9302,9.97,9.9302,9.97,9.97,36457,0.0,1.0
2024-05-10,IBAC,9.97,10.0,9.97,9.99,9.99,70993,0.0,1.0
2024-05-13,IBAC,10.01,10.01,10.0,10.0,10.0,332159,0.0,1.0
2024-05-14,IBAC,9.9745,9.9745,9.9745,9.9745,9.9745,582,0.0,1.0
2024-05-15,IBAC,9.9724,10.0,9.9724,9.995,9.995,13564,0.0,1.0
2024-05-16,IBAC,10.0,10.0,10.0,10.0,10.0,2164,0.0,1.0
2024-05-17,IBAC,9.975,9.975,9.975,9.975,9.975,827,0.0,1.0
2024-05-20,IBAC,9.98,9.985,9.97,9.985,9.985,8659,0.0,1.0
2024-05-21,IBAC,10.0,10.0,10.0,10.0,10.0,374,0.0,1.0
2024-05-22,IBAC,9.9701,9.9852,9.9701,9.9852,9.9852,3691,0.0,1.0
2024-05-23,IBAC,9.9671,9.9671,9.9671,9.9671,9.9671,557,0.0,1.0
2024-05-24,IBAC,9.99,9.99,9.96,9.96,9.96,6508,0.0,1.0
2024-05-28,IBAC,9.95,9.95,9.95,9.95,9.95,1002,0.0,1.0
2024-05-29,IBAC,9.97,9.99,9.96,9.98,9.98,511537,0.0,1.0
2024-05-30,IBAC,9.98,9.98,9.96,9.97,9.97,68622,0.0,1.0
2024-05-31,IBAC,9.97,9.98,9.97,9.97,9.97,513285,0.0,1.0
2024-06-03,IBAC,9.98,9.985,9.97,9.97,9.97,29393,0.0,1.0
2024-06-04,IBAC,10.0,10.0,9.97,9.975,9.975,265105,0.0,1.0
2024-06-05,IBAC,9.9722,9.975,9.97,9.97,9.97,8097,0.0,1.0
2024-06-06,IBAC,9.97,9.97,9.97,9.97,9.97,452,0.0,1.0
2024-06-07,IBAC,9.975,9.975,9.97,9.97,9.97,5983,0.0,1.0
2024-06-10,IBAC,9.98,9.98,9.98,9.98,9.98,200123,0.0,1.0
2024-06-11,IBAC,9.98,9.98,9.98,9.98,9.98,0,0.0,1.0
2024-06-12,IBAC,9.97,9.975,9.97,9.975,9.975,33550,0.0,1.0
2024-06-13,IBAC,9.97,9.97,9.97,9.97,9.97,585,0.0,1.0
2024-06-14,IBAC,9.97,9.9733,9.97,9.97,9.97,7458,0.0,1.0
2024-06-17,IBAC,9.9833,9.9833,9.97,9.97,9.97,9706,0.0,1.0
2024-06-18,IBAC,9.9708,9.9708,9.9708,9.9708,9.9708,311,0.0,1.0
2024-06-20,IBAC,9.975,9.975,9.955,9.965,9.965,69075,0.0,1.0
2024-06-21,IBAC,9.962,9.965,9.962,9.965,9.965,2143,0.0,1.0
2024-06-24,IBAC,9.965,9.97,9.96,9.96,9.96,15004,0.0,1.0
2024-06-25,IBAC,9.96,9.98,9.96,9.97,9.97,485465,0.0,1.0
2024-06-26,IBAC,9.97,9.975,9.97,9.975,9.975,14954,0.0,1.0
2024-06-27,IBAC,9.97,9.98,9.97,9.97,9.97,68764,0.0,1.0
2024-06-28,IBAC,9.975,9.975,9.97,9.97,9.97,51166,0.0,1.0
2024-07-01,IBAC,9.97,9.97,9.97,9.97,9.97,52,0.0,1.0
2024-07-02,IBAC,9.97,9.98,9.97,9.98,9.98,492369,0.0,1.0
2024-07-03,IBAC,9.98,9.98,9.98,9.98,9.98,294,0.0,1.0
2024-07-05,IBAC,9.975,9.98,9.97,9.97,9.97,12880,0.0,1.0
2024-07-08,IBAC,9.9701,9.975,9.96,9.965,9.965,115761,0.0,1.0
2024-07-09,IBAC,9.97,9.97,9.97,9.97,9.97,304,0.0,1.0
2024-07-10,IBAC,9.9616,9.98,9.9616,9.97,9.97,533511,0.0,1.0
2024-07-11,IBAC,9.97,9.975,9.96,9.97,9.97,1558654,0.0,1.0
2024-07-12,IBAC,9.97,9.98,9.969,9.97,9.97,560546,0.0,1.0
2024-07-15,IBAC,9.98,9.98,9.97,9.97,9.97,2315,0.0,1.0
2024-07-16,IBAC,9.98,9.98,9.97,9.975,9.975,43793,0.0,1.0
2024-07-17,IBAC,9.98,9.98,9.97,9.97,9.97,350,0.0,1.0
2024-07-18,IBAC,9.98,10.0,9.98,10.0,10.0,185567,0.0,1.0
2024-07-19,IBAC,9.99,10.0,9.985,10.0,10.0,463353,0.0,1.0
2024-07-22,IBAC,10.0,10.12,9.98,9.98,9.98,21838,0.0,1.0
2024-07-23,IBAC,10.015,10.05,9.98,10.05,10.05,115282,0.0,1.0
2024-07-24,IBAC,10.02,10.02,10.02,10.02,10.02,208,0.0,1.0
2024-07-25,IBAC,10.03,10.03,10.03,10.03,10.03,255,0.0,1.0
2024-07-26,IBAC,10.0094,10.0094,9.99,9.99,9.99,4589,0.0,1.0
2024-07-29,IBAC,10.09,10.09,10.01,10.01,10.01,3495,0.0,1.0
2024-07-30,IBAC,10.01,10.02,10.0,10.02,10.02,10813,0.0,1.0
2024-07-31,IBAC,10.0,10.01,10.0,10.01,10.01,35927,0.0,1.0
2024-08-01,IBAC,10.05,10.05,10.05,10.05,10.05,16606,0.0,1.0
2024-08-02,IBAC,10.0008,10.0008,9.99,9.99,9.99,16699,0.0,1.0
2024-08-05,IBAC,10.0,10.0,9.98,9.98,9.98,88894,0.0,1.0
2024-08-06,IBAC,9.98,9.98,9.98,9.98,9.98,2,0.0,1.0
2024-08-07,IBAC,9.99,10.0,9.99,10.0,10.0,4364,0.0,1.0
2024-08-08,IBAC,10.01,10.02,10.005,10.02,10.02,4001,0.0,1.0
2024-08-09,IBAC,10.0,10.04,9.99,10.04,10.04,1047,0.0,1.0
2024-08-12,IBAC,10.01,10.01,9.99,10.01,10.01,12329,0.0,1.0
2024-08-13,IBAC,9.99,10.01,9.99,10.0,10.0,17237,0.0,1.0
2024-08-14,IBAC,10.0,10.0,9.99,10.0,10.0,8599,0.0,1.0
2024-08-15,IBAC,10.0009,10.01,9.99,10.0,10.0,10782,0.0,1.0
2024-08-16,IBAC,10.01,10.01,9.9903,10.01,10.01,9618,0.0,1.0
2024-08-19,IBAC,10.01,10.02,10.005,10.02,10.02,12443,0.0,1.0
2024-08-20,IBAC,10.0132,10.02,10.01,10.0113,10.0113,3515,0.0,1.0
2024-08-21,IBAC,10.015,10.02,10.01,10.01,10.01,14782,0.0,1.0
2024-08-22,IBAC,10.0036,10.02,10.0036,10.02,10.02,8196,0.0,1.0
2024-08-23,IBAC,10.0,10.02,9.99,10.02,10.02,11507,0.0,1.0
2024-08-26,IBAC,10.05,10.05,10.05,10.05,10.05,101,0.0,1.0
2024-08-27,IBAC,10.03,10.03,9.98,10.0,10.0,2026,0.0,1.0
