date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2022-01-21,IGTA,9.75,9.75,9.75,9.75,9.75,1025,0.0,1.0
2022-01-24,IGTA,10.0,10.0,9.95,9.95,9.95,4700,0.0,1.0
2022-01-25,IGTA,9.78,9.78,9.71,9.74,9.74,125446,0.0,1.0
2022-01-26,IGTA,9.75,9.75,9.75,9.75,9.75,207149,0.0,1.0
2022-01-27,IGTA,9.75,9.75,9.75,9.75,9.75,6,0.0,1.0
2022-01-28,IGTA,9.75,9.75,9.75,9.75,9.75,122,0.0,1.0
2022-01-31,IGTA,9.75,9.76,9.75,9.75,9.75,57452,0.0,1.0
2022-02-01,IGTA,9.75,9.77,9.75,9.77,9.77,242687,0.0,1.0
2022-02-02,IGTA,9.7646,9.78,9.755,9.77,9.77,19315,0.0,1.0
2022-02-03,IGTA,9.78,9.79,9.78,9.79,9.79,44601,0.0,1.0
2022-02-04,IGTA,9.79,9.79,9.78,9.78,9.78,25201,0.0,1.0
2022-02-07,IGTA,9.78,9.78,9.78,9.78,9.78,248401,0.0,1.0
2022-02-08,IGTA,9.78,9.78,9.78,9.78,9.78,0,0.0,1.0
2022-02-09,IGTA,9.8,9.8,9.8,9.8,9.8,1144,0.0,1.0
2022-02-10,IGTA,9.78,9.78,9.78,9.78,9.78,169645,0.0,1.0
2022-02-11,IGTA,9.79,9.79,9.77,9.77,9.77,14251,0.0,1.0
2022-02-14,IGTA,9.78,9.78,9.78,9.78,9.78,60704,0.0,1.0
2022-02-15,IGTA,9.79,9.79,9.79,9.79,9.79,417285,0.0,1.0
2022-02-16,IGTA,9.79,9.79,9.79,9.79,9.79,79816,0.0,1.0
2022-02-17,IGTA,9.8,9.8,9.8,9.8,9.8,2349,0.0,1.0
2022-02-18,IGTA,9.79,9.79,9.78,9.79,9.79,228433,0.0,1.0
2022-02-22,IGTA,9.795,9.795,9.795,9.795,9.795,70000,0.0,1.0
2022-02-23,IGTA,9.795,9.795,9.795,9.795,9.795,0,0.0,1.0
2022-02-24,IGTA,9.795,9.795,9.795,9.795,9.795,0,0.0,1.0
