date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-01-30,JACS,9.95,10.0,9.94,9.9599,9.9599,672711,0.0,1.0
2025-01-31,JACS,9.96,9.97,9.95,9.95,9.95,459483,0.0,1.0
2025-02-03,JACS,9.95,10.0,9.95,10.0,10.0,518,0.0,1.0
2025-02-04,JACS,9.98,9.98,9.97,9.98,9.98,129764,0.0,1.0
2025-02-05,JACS,9.97,10.4101,9.97,9.99,9.99,217804,0.0,1.0
2025-02-06,JACS,10.01,10.01,9.99,10.0,10.0,301159,0.0,1.0
2025-02-07,JACS,10.02,10.02,9.99,10.0,10.0,2342,0.0,1.0
2025-02-10,JACS,10.02,10.03,10.0,10.0162,10.0162,88325,0.0,1.0
2025-02-11,JACS,10.02,10.02,10.0,10.0023,10.0023,201319,0.0,1.0
2025-02-12,JACS,10.03,10.03,10.01,10.01,10.01,560452,0.0,1.0
2025-02-13,JACS,10.02,10.02,10.01,10.02,10.02,321024,0.0,1.0
2025-02-14,JACS,10.02,10.02,10.01,10.01,10.01,171625,0.0,1.0
2025-02-18,JACS,10.02,10.03,10.02,10.03,10.03,384967,0.0,1.0
2025-02-19,JACS,10.03,10.08,10.02,10.03,10.03,4731,0.0,1.0
2025-02-20,JACS,10.02,10.03,10.02,10.03,10.03,207,0.0,1.0
2025-02-21,JACS,10.03,10.03,10.03,10.03,10.03,101,0.0,1.0
2025-02-24,JACS,10.03,10.03,10.03,10.03,10.03,166,0.0,1.0
2025-02-25,JACS,10.04,10.04,10.04,10.04,10.04,197,0.0,1.0
2025-02-26,JACS,10.04,10.04,10.03,10.03,10.03,2638,0.0,1.0
2025-02-27,JACS,10.04,10.04,10.03,10.03,10.03,18410,0.0,1.0
2025-02-28,JACS,10.03,10.03,10.03,10.03,10.03,4705,0.0,1.0
2025-03-03,JACS,10.03,10.03,10.03,10.03,10.03,28794,0.0,1.0
2025-03-04,JACS,10.04,10.04,10.03,10.04,10.04,2073,0.0,1.0
2025-03-05,JACS,10.04,10.04,10.03,10.03,10.03,63527,0.0,1.0
2025-03-06,JACS,10.04,10.04,10.03,10.03,10.03,67240,0.0,1.0
2025-03-07,JACS,10.03,10.03,10.03,10.03,10.03,187,0.0,1.0
2025-03-10,JACS,10.04,10.045,10.03,10.03,10.03,355850,0.0,1.0
2025-03-11,JACS,10.06,10.06,10.03,10.03,10.03,549567,0.0,1.0
2025-03-12,JACS,10.05,10.05,10.03,10.05,10.05,194016,0.0,1.0
2025-03-13,JACS,10.05,10.05,10.04,10.04,10.04,72990,0.0,1.0
2025-03-14,JACS,10.045,10.05,10.04,10.05,10.05,2377,0.0,1.0
2025-03-17,JACS,10.05,10.05,10.04,10.04,10.04,111514,0.0,1.0
2025-03-18,JACS,10.05,10.05,10.045,10.05,10.05,51837,0.0,1.0
2025-03-19,JACS,10.05,10.05,10.04,10.045,10.045,7405,0.0,1.0
2025-03-20,JACS,10.05,10.05,10.045,10.05,10.05,53733,0.0,1.0
2025-03-21,JACS,10.04,10.04,10.04,10.04,10.04,330,0.0,1.0
2025-03-24,JACS,10.05,10.05,10.05,10.05,10.05,16037,0.0,1.0
2025-03-25,JACS,10.05,10.05,10.05,10.05,10.05,32202,0.0,1.0
2025-03-26,JACS,10.08,10.08,10.05,10.07,10.07,45940,0.0,1.0
2025-03-27,JACS,10.08,10.08,10.06,10.07,10.07,26205,0.0,1.0
2025-03-28,JACS,10.07,10.07,10.06,10.07,10.07,15369,0.0,1.0
2025-03-31,JACS,10.07,10.07,10.07,10.07,10.07,0,0.0,1.0
2025-04-01,JACS,10.078,10.078,10.06,10.06,10.06,5384,0.0,1.0
2025-04-02,JACS,10.09,10.09,10.07,10.07,10.07,2800,0.0,1.0
2025-04-03,JACS,10.06,10.07,10.06,10.07,10.07,3493,0.0,1.0
2025-04-04,JACS,10.0618,10.07,10.06,10.07,10.07,352720,0.0,1.0
2025-04-07,JACS,10.07,10.07,10.05,10.06,10.06,234599,0.0,1.0
2025-04-08,JACS,10.06,10.06,10.05,10.055,10.055,188495,0.0,1.0
2025-04-09,JACS,10.05,10.07,10.05,10.065,10.065,213145,0.0,1.0
2025-04-10,JACS,10.06,10.07,10.06,10.07,10.07,201489,0.0,1.0
2025-04-11,JACS,10.0621,10.07,10.06,10.07,10.07,137486,0.0,1.0
2025-04-14,JACS,10.06,10.08,10.06,10.08,10.08,370898,0.0,1.0
2025-04-15,JACS,10.07,10.07,10.07,10.07,10.07,3877,0.0,1.0
2025-04-16,JACS,10.08,10.08,10.07,10.08,10.08,35939,0.0,1.0
2025-04-17,JACS,10.4,10.41,10.07,10.15,10.15,10722,0.0,1.0
2025-04-21,JACS,10.09,10.09,10.08,10.09,10.09,14856,0.0,1.0
2025-04-22,JACS,10.08,10.11,10.08,10.1,10.1,2053,0.0,1.0
2025-04-23,JACS,10.09,10.09,10.085,10.09,10.09,51280,0.0,1.0
2025-04-24,JACS,10.09,10.094,10.09,10.094,10.094,4010,0.0,1.0
2025-04-25,JACS,10.09,10.11,10.09,10.11,10.11,125884,0.0,1.0
2025-04-28,JACS,10.11,10.11,10.11,10.11,10.11,89,0.0,1.0
2025-04-29,JACS,10.12,10.12,10.12,10.12,10.12,152,0.0,1.0
2025-04-30,JACS,10.146,10.15,10.146,10.15,10.15,157034,0.0,1.0
2025-05-01,JACS,10.17,10.18,10.15,10.18,10.18,220908,0.0,1.0
2025-05-02,JACS,10.19,10.2,10.19,10.2,10.2,1351,0.0,1.0
2025-05-05,JACS,10.2,10.2,10.2,10.2,10.2,75,0.0,1.0
2025-05-06,JACS,10.12,10.2,10.12,10.17,10.17,684998,0.0,1.0
2025-05-07,JACS,10.2,10.33,10.17,10.19,10.19,2484,0.0,1.0
2025-05-08,JACS,10.2,10.2,10.18,10.2,10.2,290099,0.0,1.0
2025-05-09,JACS,10.18,10.19,10.18,10.19,10.19,425,0.0,1.0
2025-05-12,JACS,10.21,10.22,10.21,10.21,10.21,3097,0.0,1.0
2025-05-13,JACS,10.21,10.21,10.21,10.21,10.21,100,0.0,1.0
2025-05-14,JACS,10.195,10.2,10.195,10.2,10.2,705,0.0,1.0
2025-05-15,JACS,10.2,10.2,10.19,10.19,10.19,67842,0.0,1.0
2025-05-16,JACS,10.2,10.2,10.2,10.2,10.2,383244,0.0,1.0
2025-05-19,JACS,10.2,10.2,10.18,10.19,10.19,1305835,0.0,1.0
2025-05-20,JACS,10.19,10.21,10.19,10.21,10.21,471987,0.0,1.0
2025-05-21,JACS,10.21,10.22,10.2,10.2,10.2,1288793,0.0,1.0
2025-05-22,JACS,10.2,10.2,10.2,10.2,10.2,424,0.0,1.0
2025-05-23,JACS,10.21,10.21,10.21,10.21,10.21,600,0.0,1.0
2025-05-27,JACS,10.215,10.22,10.2,10.2,10.2,3150,0.0,1.0
2025-05-28,JACS,10.21,10.21,10.21,10.21,10.21,644913,0.0,1.0
2025-05-29,JACS,10.22,10.225,10.22,10.22,10.22,209449,0.0,1.0
2025-05-30,JACS,10.22,10.225,10.2062,10.22,10.22,67601,0.0,1.0
2025-06-02,JACS,10.25,10.25,10.23,10.23,10.23,50801,0.0,1.0
2025-06-03,JACS,10.23,10.255,10.23,10.255,10.255,271611,0.0,1.0
2025-06-04,JACS,10.26,10.27,10.26,10.27,10.27,226755,0.0,1.0
2025-06-05,JACS,10.27,10.27,10.26,10.26,10.26,628513,0.0,1.0
2025-06-06,JACS,10.265,10.265,10.26,10.26,10.26,255500,0.0,1.0
2025-06-09,JACS,10.26,10.26,10.26,10.26,10.26,199037,0.0,1.0
2025-06-10,JACS,10.26,10.26,10.26,10.26,10.26,50,0.0,1.0
2025-06-11,JACS,10.27,10.2711,10.27,10.2711,10.2711,11925,0.0,1.0
2025-06-12,JACS,10.28,10.3,10.27,10.3,10.3,236328,0.0,1.0
2025-06-13,JACS,10.3,10.3,10.3,10.3,10.3,2511,0.0,1.0
2025-06-16,JACS,10.26,10.3,10.26,10.3,10.3,13255,0.0,1.0
