date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-04-21,LOKV,10.1,10.23,9.8,9.93,9.93,23325,0.0,1.0
2025-04-22,LOKV,9.94,9.94,9.94,9.94,9.94,23691,0.0,1.0
2025-04-23,LOKV,10.25,10.25,9.92,9.9499,9.9499,12624,0.0,1.0
2025-04-24,LOKV,9.9478,9.96,9.9478,9.9599,9.9599,167418,0.0,1.0
2025-04-25,LOKV,9.9512,9.9853,9.95,9.97,9.97,333336,0.0,1.0
2025-04-28,LOKV,9.98,10.015,9.97,10.015,10.015,478905,0.0,1.0
2025-04-29,LOKV,10.04,10.04,10.01,10.02,10.02,200170,0.0,1.0
2025-04-30,LOKV,10.02,10.03,10.02,10.03,10.03,185931,0.0,1.0
2025-05-01,LOKV,10.03,10.03,10.03,10.03,10.03,100070,0.0,1.0
2025-05-02,LOKV,10.04,10.05,10.03,10.03,10.03,6337,0.0,1.0
2025-05-05,LOKV,10.04,10.04,10.03,10.04,10.04,401,0.0,1.0
2025-05-06,LOKV,10.04,10.04,10.04,10.04,10.04,30454,0.0,1.0
2025-05-07,LOKV,10.04,10.04,10.03,10.04,10.04,30993,0.0,1.0
2025-05-08,LOKV,10.04,10.05,10.035,10.05,10.05,86642,0.0,1.0
2025-05-09,LOKV,10.05,10.05,10.05,10.05,10.05,29134,0.0,1.0
2025-05-12,LOKV,10.05,10.05,10.05,10.05,10.05,22344,0.0,1.0
2025-05-13,LOKV,10.05,10.05,10.05,10.05,10.05,12896,0.0,1.0
2025-05-14,LOKV,10.05,10.07,10.05,10.07,10.07,229608,0.0,1.0
2025-05-15,LOKV,10.07,10.07,10.07,10.07,10.07,10902,0.0,1.0
2025-05-16,LOKV,10.07,10.07,10.07,10.07,10.07,8918,0.0,1.0
2025-05-19,LOKV,10.07,10.07,10.07,10.07,10.07,8813,0.0,1.0
2025-05-20,LOKV,10.07,10.07,10.07,10.07,10.07,8820,0.0,1.0
2025-05-21,LOKV,10.07,10.07,10.07,10.07,10.07,8200,0.0,1.0
2025-05-22,LOKV,10.07,10.07,10.07,10.07,10.07,7659,0.0,1.0
2025-05-23,LOKV,10.07,10.07,10.07,10.07,10.07,5828,0.0,1.0
2025-05-27,LOKV,10.07,10.07,10.07,10.07,10.07,0,0.0,1.0
2025-05-28,LOKV,10.06,10.06,10.06,10.06,10.06,76719,0.0,1.0
2025-05-29,LOKV,10.06,10.17,10.06,10.17,10.17,345306,0.0,1.0
2025-05-30,LOKV,10.09,10.35,10.09,10.35,10.35,1153551,0.0,1.0
2025-06-02,LOKV,10.35,10.35,10.35,10.35,10.35,32574,0.0,1.0
2025-06-03,LOKV,10.44,10.44,10.35,10.4,10.4,9079,0.0,1.0
2025-06-04,LOKV,10.44,10.45,10.36,10.36,10.36,30538,0.0,1.0
2025-06-05,LOKV,10.4,10.41,10.33,10.33,10.33,426940,0.0,1.0
2025-06-06,LOKV,10.35,10.39,10.35,10.39,10.39,52459,0.0,1.0
2025-06-09,LOKV,10.49,10.49,10.49,10.49,10.49,1600,0.0,1.0
2025-06-10,LOKV,10.45,10.45,10.45,10.45,10.45,1551,0.0,1.0
2025-06-11,LOKV,10.45,10.45,10.45,10.45,10.45,0,0.0,1.0
2025-06-12,LOKV,10.45,10.48,10.45,10.48,10.48,63664,0.0,1.0
2025-06-13,LOKV,10.55,10.6,10.5,10.54,10.54,130595,0.0,1.0
2025-06-16,LOKV,10.54,10.54,10.54,10.54,10.54,12,0.0,1.0
2025-06-17,LOKV,10.8105,10.8105,10.81,10.81,10.81,1108,0.0,1.0
2025-06-18,LOKV,10.51,10.74,10.5,10.57,10.57,5049,0.0,1.0
2025-06-20,LOKV,10.61,11.67,10.52,10.79,10.79,132073,0.0,1.0
2025-06-23,LOKV,10.79,10.79,10.7471,10.7471,10.7471,253,0.0,1.0
2025-06-24,LOKV,10.75,10.76,10.7,10.7,10.7,28619,0.0,1.0
2025-06-25,LOKV,10.72,10.72,10.6,10.6,10.6,114547,0.0,1.0
2025-06-26,LOKV,10.6,11.37,10.58,10.7,10.7,415453,0.0,1.0
2025-06-27,LOKV,10.79,10.79,10.25,10.72,10.72,267550,0.0,1.0
