date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2024-07-17,MACI,9.98,9.99,9.96,9.96,9.96,11030,0.0,1.0
2024-07-18,MACI,9.98,9.98,9.96,9.96,9.96,610936,0.0,1.0
2024-07-19,MACI,9.95,9.95,9.95,9.95,9.95,1069,0.0,1.0
2024-07-22,MACI,9.95,9.95,9.95,9.95,9.95,936,0.0,1.0
2024-07-23,MACI,9.96,9.96,9.9501,9.9501,9.9501,1775,0.0,1.0
2024-07-24,MACI,9.9501,9.9501,9.9501,9.9501,9.9501,11,0.0,1.0
2024-07-25,MACI,9.96,9.98,9.96,9.98,9.98,4278,0.0,1.0
2024-07-26,MACI,9.98,9.98,9.98,9.98,9.98,13,0.0,1.0
2024-07-29,MACI,9.9823,9.9823,9.9823,9.9823,9.9823,1164,0.0,1.0
2024-07-30,MACI,9.98,9.9821,9.97,9.98,9.98,19712,0.0,1.0
2024-07-31,MACI,9.97,9.98,9.96,9.98,9.98,291385,0.0,1.0
2024-08-01,MACI,9.99,9.99,9.99,9.99,9.99,710,0.0,1.0
2024-08-02,MACI,9.99,9.99,9.99,9.99,9.99,0,0.0,1.0
2024-08-05,MACI,9.96,9.96,9.96,9.96,9.96,301,0.0,1.0
2024-08-06,MACI,9.96,9.96,9.96,9.96,9.96,2,0.0,1.0
2024-08-07,MACI,9.97,9.97,9.97,9.97,9.97,325050,0.0,1.0
2024-08-08,MACI,9.99,10.005,9.99,9.99,9.99,509703,0.0,1.0
2024-08-09,MACI,9.99,9.99,9.97,9.98,9.98,109961,0.0,1.0
2024-08-12,MACI,9.98,9.98,9.975,9.975,9.975,21098,0.0,1.0
2024-08-13,MACI,9.97,9.985,9.97,9.985,9.985,140710,0.0,1.0
2024-08-14,MACI,9.98,9.985,9.98,9.985,9.985,9459,0.0,1.0
2024-08-15,MACI,9.98,10.0,9.98,9.99,9.99,857001,0.0,1.0
2024-08-16,MACI,9.99,9.99,9.99,9.99,9.99,175,0.0,1.0
2024-08-19,MACI,9.99,9.99,9.99,9.99,9.99,32,0.0,1.0
2024-08-20,MACI,9.99,9.99,9.99,9.99,9.99,118,0.0,1.0
2024-08-21,MACI,9.987,9.987,9.98,9.98,9.98,719,0.0,1.0
2024-08-22,MACI,9.99,9.99,9.99,9.99,9.99,3477,0.0,1.0
2024-08-23,MACI,9.99,9.99,9.99,9.99,9.99,332,0.0,1.0
2024-08-26,MACI,9.99,9.99,9.99,9.99,9.99,32,0.0,1.0
2024-08-27,MACI,9.99,9.99,9.96,9.96,9.96,277907,0.0,1.0
2024-08-28,MACI,9.96,9.97,9.96,9.96,9.96,20042,0.0,1.0
2024-08-29,MACI,9.97,9.97,9.965,9.97,9.97,11575,0.0,1.0
2024-08-30,MACI,9.97,9.98,9.97,9.98,9.98,31794,0.0,1.0
2024-09-03,MACI,9.98,9.98,9.97,9.97,9.97,56921,0.0,1.0
2024-09-04,MACI,9.98,9.99,9.975,9.98,9.98,238675,0.0,1.0
2024-09-05,MACI,9.98,10.0,9.97,9.98,9.98,58529,0.0,1.0
2024-09-06,MACI,9.98,9.985,9.98,9.98,9.98,23550,0.0,1.0
2024-09-09,MACI,9.99,9.99,9.98,9.98,9.98,217173,0.0,1.0
2024-09-10,MACI,9.98,9.98,9.975,9.98,9.98,31409,0.0,1.0
2024-09-11,MACI,9.98,10.0,9.975,9.98,9.98,37104,0.0,1.0
2024-09-12,MACI,9.97,9.98,9.97,9.98,9.98,712975,0.0,1.0
2024-09-13,MACI,9.97,9.97,9.97,9.97,9.97,4193,0.0,1.0
2024-09-16,MACI,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2024-09-17,MACI,9.99,9.99,9.99,9.99,9.99,986,0.0,1.0
2024-09-18,MACI,9.9793,9.99,9.9793,9.99,9.99,6717,0.0,1.0
2024-09-19,MACI,9.99,9.99,9.99,9.99,9.99,88,0.0,1.0
2024-09-20,MACI,9.98,9.98,9.98,9.98,9.98,553,0.0,1.0
2024-09-23,MACI,10.0,10.0,10.0,10.0,10.0,106,0.0,1.0
2024-09-24,MACI,9.9737,9.9737,9.9737,9.9737,9.9737,1500,0.0,1.0
2024-09-25,MACI,9.9801,9.99,9.98,9.985,9.985,31939,0.0,1.0
2024-09-26,MACI,9.99,9.99,9.99,9.99,9.99,90004,0.0,1.0
2024-09-27,MACI,9.99,9.99,9.99,9.99,9.99,105,0.0,1.0
2024-09-30,MACI,9.9913,9.995,9.99,9.995,9.995,62917,0.0,1.0
2024-10-01,MACI,9.995,9.995,9.995,9.995,9.995,273,0.0,1.0
2024-10-02,MACI,10.0,10.0,10.0,10.0,10.0,11090,0.0,1.0
2024-10-03,MACI,10.0,10.0,10.0,10.0,10.0,25031,0.0,1.0
2024-10-04,MACI,10.02,10.03,10.02,10.03,10.03,13912,0.0,1.0
2024-10-07,MACI,10.03,10.03,10.03,10.03,10.03,82,0.0,1.0
2024-10-08,MACI,10.03,10.03,10.03,10.03,10.03,3,0.0,1.0
2024-10-09,MACI,10.03,10.03,10.02,10.03,10.03,50452,0.0,1.0
2024-10-10,MACI,9.98,10.01,9.96,9.96,9.96,3686,0.0,1.0
2024-10-11,MACI,9.95,9.95,9.95,9.95,9.95,3967,0.0,1.0
2024-10-14,MACI,9.98,9.98,9.98,9.98,9.98,2820,0.0,1.0
2024-10-15,MACI,9.982,9.982,9.98,9.98,9.98,1381,0.0,1.0
2024-10-16,MACI,9.98,9.98,9.98,9.98,9.98,20,0.0,1.0
2024-10-17,MACI,9.98,9.98,9.98,9.98,9.98,19,0.0,1.0
2024-10-18,MACI,9.98,9.98,9.98,9.98,9.98,77,0.0,1.0
2024-10-21,MACI,9.9876,9.99,9.9876,9.99,9.99,53774,0.0,1.0
2024-10-22,MACI,9.99,9.99,9.99,9.99,9.99,1,0.0,1.0
2024-10-23,MACI,9.99,9.99,9.99,9.99,9.99,1,0.0,1.0
2024-10-24,MACI,9.9901,9.9901,9.9901,9.9901,9.9901,1186,0.0,1.0
2024-10-25,MACI,10.04,10.04,10.04,10.04,10.04,300,0.0,1.0
2024-10-28,MACI,9.99,9.99,9.99,9.99,9.99,342,0.0,1.0
2024-10-29,MACI,10.0,10.03,9.9806,10.03,10.03,56526,0.0,1.0
2024-10-30,MACI,10.0,10.02,10.0,10.02,10.02,51147,0.0,1.0
2024-10-31,MACI,10.02,10.04,10.02,10.04,10.04,6799,0.0,1.0
2024-11-01,MACI,10.04,10.04,10.04,10.04,10.04,193,0.0,1.0
2024-11-04,MACI,10.01,10.01,10.01,10.01,10.01,6173,0.0,1.0
2024-11-05,MACI,10.01,10.01,10.01,10.01,10.01,7,0.0,1.0
2024-11-06,MACI,10.01,10.0177,10.006,10.0162,10.0162,253145,0.0,1.0
2024-11-07,MACI,10.02,10.02,10.01,10.0199,10.0199,2371,0.0,1.0
2024-11-08,MACI,10.01,10.05,10.01,10.01,10.01,5699,0.0,1.0
2024-11-11,MACI,10.01,10.01,10.01,10.01,10.01,354,0.0,1.0
2024-11-12,MACI,10.01,10.0111,10.01,10.0111,10.0111,14436,0.0,1.0
2024-11-13,MACI,10.0195,10.025,10.0195,10.02,10.02,4707,0.0,1.0
2024-11-14,MACI,10.02,10.05,10.02,10.05,10.05,31663,0.0,1.0
2024-11-15,MACI,10.03,10.03,10.03,10.03,10.03,352,0.0,1.0
2024-11-18,MACI,10.03,10.04,10.02,10.035,10.035,28585,0.0,1.0
2024-11-19,MACI,10.0341,10.035,10.0341,10.035,10.035,340,0.0,1.0
2024-11-20,MACI,10.04,10.04,10.04,10.04,10.04,22552,0.0,1.0
2024-11-21,MACI,10.0327,10.05,10.03,10.05,10.05,7100,0.0,1.0
2024-11-22,MACI,10.034,10.034,10.034,10.034,10.034,1880,0.0,1.0
2024-11-25,MACI,10.05,10.05,10.05,10.05,10.05,223,0.0,1.0
2024-11-26,MACI,10.05,10.05,10.05,10.05,10.05,10861,0.0,1.0
2024-11-27,MACI,10.05,10.07,10.05,10.0609,10.0609,11022,0.0,1.0
2024-11-29,MACI,10.04,10.04,10.04,10.04,10.04,300,0.0,1.0
2024-12-02,MACI,10.04,10.04,10.04,10.04,10.04,0,0.0,1.0
2024-12-03,MACI,10.0582,10.0582,10.05,10.05,10.05,4946,0.0,1.0
2024-12-04,MACI,10.05,10.05,10.05,10.05,10.05,436,0.0,1.0
2024-12-05,MACI,10.0511,10.0511,10.0511,10.0511,10.0511,280,0.0,1.0
2024-12-06,MACI,10.0511,10.0511,10.0511,10.0511,10.0511,143,0.0,1.0
2024-12-09,MACI,10.05,10.06,10.05,10.06,10.06,1940,0.0,1.0
2024-12-10,MACI,10.06,10.07,10.06,10.07,10.07,3347,0.0,1.0
2024-12-11,MACI,10.08,10.18,10.08,10.18,10.18,7082,0.0,1.0
2024-12-12,MACI,10.1164,10.1307,10.06,10.06,10.06,4162,0.0,1.0
2024-12-13,MACI,10.08,10.08,10.06,10.0714,10.0714,3907,0.0,1.0
2024-12-16,MACI,10.06,10.06,10.06,10.06,10.06,243,0.0,1.0
2024-12-17,MACI,10.06,10.06,10.06,10.06,10.06,198,0.0,1.0
2024-12-18,MACI,10.06,10.06,10.06,10.06,10.06,0,0.0,1.0
2024-12-19,MACI,10.07,10.0767,10.06,10.06,10.06,168239,0.0,1.0
2024-12-20,MACI,10.06,10.1,10.06,10.06,10.06,2600,0.0,1.0
2024-12-23,MACI,10.06,10.06,10.06,10.06,10.06,0,0.0,1.0
2024-12-24,MACI,10.06,10.06,10.06,10.06,10.06,52593,0.0,1.0
2024-12-26,MACI,10.06,10.06,10.06,10.06,10.06,52,0.0,1.0
2024-12-27,MACI,10.06,10.06,10.06,10.06,10.06,57,0.0,1.0
2024-12-30,MACI,10.06,10.06,10.06,10.06,10.06,80,0.0,1.0
2024-12-31,MACI,10.06,10.06,10.06,10.06,10.06,80,0.0,1.0
2025-01-02,MACI,10.08,10.09,10.08,10.09,10.09,91014,0.0,1.0
2025-01-03,MACI,10.09,10.09,10.09,10.09,10.09,0,0.0,1.0
2025-01-06,MACI,10.0945,10.0945,10.09,10.09,10.09,3007,0.0,1.0
2025-01-07,MACI,10.09,10.09,10.09,10.09,10.09,0,0.0,1.0
2025-01-08,MACI,10.1,10.1,10.1,10.1,10.1,1000,0.0,1.0
2025-01-10,MACI,10.1,10.1,10.1,10.1,10.1,147,0.0,1.0
2025-01-13,MACI,10.1,10.1,10.1,10.1,10.1,1,0.0,1.0
2025-01-14,MACI,10.1,10.1,10.1,10.1,10.1,0,0.0,1.0
2025-01-15,MACI,10.1,10.1,10.1,10.1,10.1,2,0.0,1.0
2025-01-16,MACI,10.1,10.1,10.1,10.1,10.1,80,0.0,1.0
2025-01-17,MACI,10.11,10.16,10.11,10.11,10.11,65572,0.0,1.0
2025-01-21,MACI,10.14,10.14,10.1179,10.1179,10.1179,10890,0.0,1.0
2025-01-22,MACI,10.12,10.12,10.12,10.12,10.12,1441,0.0,1.0
2025-01-23,MACI,10.13,10.1301,10.13,10.1301,10.1301,605,0.0,1.0
2025-01-24,MACI,10.2,10.2,10.2,10.2,10.2,167,0.0,1.0
2025-01-27,MACI,10.17,10.17,10.16,10.16,10.16,1602,0.0,1.0
2025-01-28,MACI,10.12,10.13,10.12,10.13,10.13,83301,0.0,1.0
2025-01-29,MACI,10.14,10.14,10.135,10.14,10.14,109636,0.0,1.0
2025-01-30,MACI,10.16,10.17,10.155,10.16,10.16,16470,0.0,1.0
2025-01-31,MACI,10.16,10.16,10.16,10.16,10.16,0,0.0,1.0
2025-02-03,MACI,10.1487,10.1487,10.1487,10.1487,10.1487,582,0.0,1.0
2025-02-04,MACI,10.155,10.155,10.155,10.155,10.155,227,0.0,1.0
2025-02-05,MACI,10.15,10.15,10.15,10.15,10.15,17501,0.0,1.0
2025-02-06,MACI,10.15,10.15,10.15,10.15,10.15,147,0.0,1.0
2025-02-07,MACI,10.14,10.14,10.14,10.14,10.14,203,0.0,1.0
2025-02-10,MACI,10.14,10.15,10.14,10.15,10.15,28192,0.0,1.0
2025-02-11,MACI,10.15,10.15,10.15,10.15,10.15,0,0.0,1.0
2025-02-12,MACI,10.15,10.15,10.15,10.15,10.15,71,0.0,1.0
2025-02-13,MACI,10.16,10.1638,10.16,10.16,10.16,50863,0.0,1.0
2025-02-14,MACI,10.1635,10.1635,10.16,10.16,10.16,2020,0.0,1.0
2025-02-18,MACI,10.22,10.22,10.22,10.22,10.22,367,0.0,1.0
2025-02-19,MACI,10.17,10.17,10.17,10.17,10.17,200785,0.0,1.0
2025-02-20,MACI,10.175,10.175,10.17,10.17,10.17,128214,0.0,1.0
2025-02-21,MACI,10.175,10.18,10.17,10.18,10.18,442937,0.0,1.0
2025-02-24,MACI,10.18,10.19,10.18,10.18,10.18,301208,0.0,1.0
2025-02-25,MACI,10.18,10.18,10.18,10.18,10.18,1046,0.0,1.0
2025-02-26,MACI,10.1813,10.1813,10.18,10.18,10.18,4230,0.0,1.0
2025-02-27,MACI,10.19,10.19,10.17,10.19,10.19,582804,0.0,1.0
2025-02-28,MACI,10.24,10.24,10.225,10.23,10.23,4799,0.0,1.0
2025-03-03,MACI,10.23,10.23,10.23,10.23,10.23,2,0.0,1.0
2025-03-04,MACI,10.21,10.21,10.185,10.2,10.2,381013,0.0,1.0
2025-03-05,MACI,10.195,10.21,10.19,10.21,10.21,832094,0.0,1.0
