date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-10-02,MKLY,9.9,9.9611,9.85,9.85,9.85,12284,0.0,1.0
2025-10-03,MKLY,9.87,9.89,9.85,9.889,9.889,302599,0.0,1.0
2025-10-06,MKLY,9.8779,9.9,9.8779,9.88,9.88,172584,0.0,1.0
2025-10-07,MKLY,9.89,9.895,9.88,9.885,9.885,135742,0.0,1.0
2025-10-08,MKLY,9.89,9.92,9.89,9.9,9.9,544708,0.0,1.0
2025-10-09,MKLY,9.89,9.91,9.89,9.89,9.89,60258,0.0,1.0
2025-10-10,MKLY,9.895,9.9,9.895,9.9,9.9,39308,0.0,1.0
2025-10-13,MKLY,9.9,9.91,9.9,9.91,9.91,1227,0.0,1.0
2025-10-14,MKLY,9.91,9.93,9.91,9.93,9.93,575099,0.0,1.0
2025-10-15,MKLY,9.93,9.94,9.91,9.93,9.93,69139,0.0,1.0
2025-10-16,MKLY,9.93,9.95,9.93,9.93,9.93,190300,0.0,1.0
2025-10-17,MKLY,9.93,9.93,9.93,9.93,9.93,2193,0.0,1.0
2025-10-20,MKLY,9.93,9.93,9.93,9.93,9.93,104,0.0,1.0
2025-10-21,MKLY,9.94,9.97,9.94,9.97,9.97,23680,0.0,1.0
2025-10-22,MKLY,9.94,9.94,9.94,9.94,9.94,2210,0.0,1.0
2025-10-23,MKLY,9.95,9.95,9.95,9.95,9.95,1481,0.0,1.0
2025-10-24,MKLY,9.98,9.98,9.94,9.95,9.95,13950,0.0,1.0
2025-10-27,MKLY,9.956,9.956,9.91,9.93,9.93,51464,0.0,1.0
2025-10-28,MKLY,9.94,9.96,9.94,9.96,9.96,63111,0.0,1.0
2025-10-29,MKLY,9.94,9.96,9.94,9.96,9.96,31150,0.0,1.0
2025-10-30,MKLY,9.96,9.96,9.96,9.96,9.96,4866,0.0,1.0
2025-10-31,MKLY,9.94,9.94,9.94,9.94,9.94,259,0.0,1.0
2025-11-03,MKLY,9.95,9.95,9.95,9.95,9.95,696,0.0,1.0
2025-11-04,MKLY,9.96,9.97,9.96,9.97,9.97,169506,0.0,1.0
2025-11-05,MKLY,10.05,10.05,9.97,9.97,9.97,4390,0.0,1.0
2025-11-06,MKLY,9.96,9.96,9.96,9.96,9.96,30332,0.0,1.0
2025-11-07,MKLY,9.99,9.99,9.955,9.96,9.96,28850,0.0,1.0
2025-11-10,MKLY,9.96,9.96,9.96,9.96,9.96,852,0.0,1.0
2025-11-11,MKLY,9.97,9.97,9.96,9.96,9.96,236668,0.0,1.0
2025-11-12,MKLY,9.96,9.96,9.96,9.96,9.96,74,0.0,1.0
2025-11-13,MKLY,9.9698,9.97,9.9635,9.97,9.97,63755,0.0,1.0
2025-11-14,MKLY,9.97,10.0,9.96,9.98,9.98,488479,0.0,1.0
2025-11-17,MKLY,9.99,10.0,9.98,9.98,9.98,198043,0.0,1.0
2025-11-18,MKLY,9.96,9.96,9.96,9.96,9.96,1038,0.0,1.0
2025-11-19,MKLY,9.97,9.97,9.96,9.96,9.96,1034,0.0,1.0
2025-11-20,MKLY,9.97,9.97,9.97,9.97,9.97,224,0.0,1.0
2025-11-21,MKLY,9.99,9.99,9.97,9.97,9.97,7501,0.0,1.0
2025-11-24,MKLY,9.99,9.99,9.99,9.99,9.99,170,0.0,1.0
2025-11-25,MKLY,9.99,9.99,9.96,9.97,9.97,670,0.0,1.0
2025-11-26,MKLY,9.96,9.97,9.96,9.97,9.97,644,0.0,1.0
2025-11-28,MKLY,9.97,9.97,9.97,9.97,9.97,240,0.0,1.0
2025-12-01,MKLY,9.97,9.97,9.97,9.97,9.97,271,0.0,1.0
2025-12-02,MKLY,9.97,9.97,9.966,9.97,9.97,20937,0.0,1.0
2025-12-03,MKLY,9.97,9.97,9.97,9.97,9.97,0,0.0,1.0
2025-12-04,MKLY,9.96,9.97,9.96,9.96,9.96,15536,0.0,1.0
2025-12-05,MKLY,9.96,9.9646,9.96,9.9646,9.9646,2270,0.0,1.0
2025-12-08,MKLY,9.96,9.96,9.96,9.96,9.96,309,0.0,1.0
2025-12-09,MKLY,9.96,9.96,9.96,9.96,9.96,89,0.0,1.0
2025-12-10,MKLY,9.97,9.97,9.95,9.97,9.97,158991,0.0,1.0
2025-12-11,MKLY,9.97,9.97,9.96,9.97,9.97,3578,0.0,1.0
2025-12-12,MKLY,9.97,9.97,9.97,9.97,9.97,569,0.0,1.0
2025-12-15,MKLY,9.97,9.98,9.97,9.98,9.98,3515,0.0,1.0
2025-12-16,MKLY,9.98,9.98,9.97,9.97,9.97,2829,0.0,1.0
2025-12-17,MKLY,9.98,9.98,9.98,9.98,9.98,300,0.0,1.0
2025-12-18,MKLY,9.98,9.98,9.98,9.98,9.98,1,0.0,1.0
2025-12-19,MKLY,9.98,9.98,9.98,9.98,9.98,156,0.0,1.0
2025-12-22,MKLY,9.98,9.98,9.96,9.97,9.97,518,0.0,1.0
2025-12-23,MKLY,9.98,9.98,9.98,9.98,9.98,205,0.0,1.0
2025-12-24,MKLY,9.96,9.97,9.96,9.97,9.97,5330,0.0,1.0
2025-12-26,MKLY,9.98,9.98,9.98,9.98,9.98,108,0.0,1.0
