date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-09-09,ORIQ,10.0,10.01,10.0,10.0,10.0,245203,0.0,1.0
2025-09-10,ORIQ,10.0,10.0,10.0,10.0,10.0,82,0.0,1.0
2025-09-11,ORIQ,10.0,10.0,9.98,10.0,10.0,800190,0.0,1.0
2025-09-12,ORIQ,10.0,10.0,10.0,10.0,10.0,296,0.0,1.0
2025-09-15,ORIQ,10.0,10.0,10.0,10.0,10.0,2779,0.0,1.0
2025-09-16,ORIQ,10.01,10.03,10.01,10.01,10.01,514198,0.0,1.0
2025-09-17,ORIQ,10.02,10.02,10.0,10.0,10.0,556373,0.0,1.0
2025-09-18,ORIQ,10.02,10.02,10.01,10.01,10.01,211291,0.0,1.0
2025-09-19,ORIQ,10.02,10.035,10.01,10.02,10.02,294627,0.0,1.0
2025-09-22,ORIQ,10.09,10.09,10.01,10.01,10.01,13661,0.0,1.0
2025-09-23,ORIQ,10.01,10.02,10.01,10.01,10.01,12933,0.0,1.0
2025-09-24,ORIQ,10.02,10.02,10.01,10.015,10.015,15338,0.0,1.0
2025-09-25,ORIQ,10.02,10.02,10.015,10.015,10.015,1870,0.0,1.0
2025-09-26,ORIQ,10.02,10.03,10.02,10.03,10.03,2599,0.0,1.0
2025-09-29,ORIQ,10.03,10.07,10.02,10.04,10.04,80491,0.0,1.0
2025-09-30,ORIQ,10.04,10.05,10.04,10.05,10.05,103848,0.0,1.0
2025-10-01,ORIQ,10.05,10.05,10.03,10.03,10.03,32732,0.0,1.0
2025-10-02,ORIQ,10.01,10.05,10.01,10.05,10.05,5125,0.0,1.0
2025-10-03,ORIQ,10.01,10.05,10.01,10.03,10.03,78149,0.0,1.0
2025-10-06,ORIQ,10.02,10.05,10.02,10.05,10.05,20399,0.0,1.0
2025-10-07,ORIQ,10.049,10.05,10.04,10.05,10.05,7728,0.0,1.0
2025-10-08,ORIQ,10.03,10.06,10.03,10.06,10.06,248138,0.0,1.0
2025-10-09,ORIQ,10.06,10.08,10.06,10.06,10.06,11380,0.0,1.0
2025-10-10,ORIQ,10.07,10.09,10.07,10.08,10.08,43264,0.0,1.0
2025-10-13,ORIQ,10.07,10.1,10.07,10.1,10.1,642,0.0,1.0
2025-10-14,ORIQ,10.1,10.1,10.1,10.1,10.1,18,0.0,1.0
2025-10-15,ORIQ,10.09,10.1,10.09,10.095,10.095,10542,0.0,1.0
2025-10-16,ORIQ,10.095,10.095,10.095,10.095,10.095,335,0.0,1.0
2025-10-17,ORIQ,10.1,10.11,10.1,10.11,10.11,429,0.0,1.0
2025-10-20,ORIQ,10.1,10.11,10.1,10.11,10.11,328,0.0,1.0
2025-10-21,ORIQ,10.11,10.11,10.11,10.11,10.11,336,0.0,1.0
2025-10-22,ORIQ,10.11,10.12,10.11,10.11,10.11,4205,0.0,1.0
2025-10-23,ORIQ,10.11,10.11,10.11,10.11,10.11,118,0.0,1.0
2025-10-24,ORIQ,10.11,10.11,10.11,10.11,10.11,105,0.0,1.0
2025-10-27,ORIQ,10.12,10.12,10.1,10.1,10.1,4132,0.0,1.0
2025-10-28,ORIQ,10.12,10.12,10.12,10.12,10.12,105,0.0,1.0
2025-10-29,ORIQ,10.11,10.11,10.11,10.11,10.11,10235,0.0,1.0
2025-10-30,ORIQ,10.103,10.12,10.103,10.12,10.12,4416,0.0,1.0
2025-10-31,ORIQ,10.12,10.13,10.11,10.13,10.13,18276,0.0,1.0
2025-11-03,ORIQ,10.11,10.14,10.11,10.14,10.14,5957,0.0,1.0
2025-11-04,ORIQ,10.115,10.15,10.11,10.15,10.15,19894,0.0,1.0
2025-11-05,ORIQ,10.15,10.19,10.15,10.19,10.19,20940,0.0,1.0
2025-11-06,ORIQ,10.2,10.2,10.16,10.16,10.16,7189,0.0,1.0
2025-11-07,ORIQ,10.19,10.19,10.16,10.16,10.16,509,0.0,1.0
2025-11-10,ORIQ,10.19,10.19,10.16,10.16,10.16,357,0.0,1.0
2025-11-11,ORIQ,10.16,10.16,10.16,10.16,10.16,303,0.0,1.0
2025-11-12,ORIQ,10.16,10.18,10.16,10.18,10.18,50618,0.0,1.0
2025-11-13,ORIQ,10.18,10.18,10.18,10.18,10.18,134,0.0,1.0
2025-11-14,ORIQ,10.17,10.17,10.1611,10.1611,10.1611,858,0.0,1.0
2025-11-17,ORIQ,10.18,10.18,10.18,10.18,10.18,124,0.0,1.0
2025-11-18,ORIQ,10.18,10.18,10.18,10.18,10.18,115,0.0,1.0
2025-11-19,ORIQ,10.18,10.18,10.18,10.18,10.18,104,0.0,1.0
2025-11-20,ORIQ,10.18,10.18,10.18,10.18,10.18,114,0.0,1.0
2025-11-21,ORIQ,10.18,10.18,10.18,10.18,10.18,113,0.0,1.0
2025-11-24,ORIQ,10.18,10.18,10.17,10.17,10.17,25202,0.0,1.0
2025-11-25,ORIQ,10.18,10.18,10.18,10.18,10.18,127,0.0,1.0
2025-11-26,ORIQ,10.18,10.18,10.18,10.18,10.18,102,0.0,1.0
2025-11-28,ORIQ,10.18,10.18,10.18,10.18,10.18,119,0.0,1.0
2025-12-01,ORIQ,10.18,10.18,10.18,10.18,10.18,400,0.0,1.0
2025-12-02,ORIQ,10.18,10.18,10.16,10.16,10.16,3766,0.0,1.0
2025-12-03,ORIQ,10.16,10.16,10.16,10.16,10.16,5,0.0,1.0
2025-12-04,ORIQ,10.16,10.16,10.16,10.16,10.16,0,0.0,1.0
2025-12-05,ORIQ,10.16,10.18,10.16,10.18,10.18,10869,0.0,1.0
2025-12-08,ORIQ,10.16,10.16,10.136,10.136,10.136,1301,0.0,1.0
2025-12-09,ORIQ,10.12,10.16,10.12,10.16,10.16,3270,0.0,1.0
2025-12-10,ORIQ,10.16,10.16,10.16,10.16,10.16,106,0.0,1.0
2025-12-11,ORIQ,10.16,10.16,10.16,10.16,10.16,232,0.0,1.0
2025-12-12,ORIQ,10.16,10.16,10.16,10.16,10.16,0,0.0,1.0
2025-12-15,ORIQ,10.1401,10.1401,10.1401,10.1401,10.1401,117,0.0,1.0
2025-12-16,ORIQ,10.15,10.16,10.12,10.15,10.15,43607,0.0,1.0
2025-12-17,ORIQ,10.15,10.15,10.15,10.15,10.15,34,0.0,1.0
2025-12-18,ORIQ,10.15,10.15,10.15,10.15,10.15,12,0.0,1.0
