date,ticker,open,high,low,close,adjusted_close,volume,dividend,split_coefficient
2025-06-12,PELI,10.0,10.0,9.95,9.97,9.97,684929,0.0,1.0
2025-06-13,PELI,9.9,9.95,9.9,9.95,9.95,1710,0.0,1.0
2025-06-16,PELI,9.97,9.97,9.97,9.97,9.97,135038,0.0,1.0
2025-06-17,PELI,9.94,9.98,9.94,9.96,9.96,707,0.0,1.0
2025-06-18,PELI,9.97,9.97,9.9663,9.9692,9.9692,6955,0.0,1.0
2025-06-20,PELI,9.96,9.96,9.96,9.96,9.96,5236,0.0,1.0
2025-06-23,PELI,8.98,9.98,8.98,9.96,9.96,16171,0.0,1.0
2025-06-24,PELI,10.01,10.02,10.0,10.01,10.01,276095,0.0,1.0
2025-06-25,PELI,10.0054,10.0201,10.0,10.01,10.01,56881,0.0,1.0
2025-06-26,PELI,10.0,10.03,10.0,10.03,10.03,2644,0.0,1.0
2025-06-27,PELI,10.0,10.03,10.0,10.0173,10.0173,2671,0.0,1.0
2025-06-30,PELI,10.03,10.03,10.03,10.03,10.03,552,0.0,1.0
2025-07-01,PELI,10.0,10.0,10.0,10.0,10.0,1035,0.0,1.0
2025-07-02,PELI,9.99,9.99,9.99,9.99,9.99,3661,0.0,1.0
2025-07-03,PELI,10.01,10.01,10.01,10.01,10.01,7232,0.0,1.0
2025-07-07,PELI,10.01,10.02,10.01,10.01,10.01,9269,0.0,1.0
2025-07-08,PELI,10.0,10.01,9.99,9.99,9.99,8372,0.0,1.0
2025-07-09,PELI,9.98,10.01,9.98,10.01,10.01,7541,0.0,1.0
2025-07-10,PELI,10.01,10.01,10.01,10.01,10.01,2124,0.0,1.0
2025-07-11,PELI,10.0,10.005,10.0,10.005,10.005,6034,0.0,1.0
2025-07-14,PELI,10.01,10.02,10.0,10.0,10.0,2356,0.0,1.0
2025-07-15,PELI,10.01,10.01,9.98,9.98,9.98,7168,0.0,1.0
2025-07-16,PELI,10.01,10.01,10.01,10.01,10.01,1119,0.0,1.0
2025-07-17,PELI,10.01,10.02,10.0,10.02,10.02,4110,0.0,1.0
2025-07-18,PELI,10.02,10.04,10.02,10.03,10.03,1854,0.0,1.0
2025-07-21,PELI,10.02,10.02,10.02,10.02,10.02,1252,0.0,1.0
2025-07-22,PELI,10.02,10.02,9.99,10.015,10.015,32100,0.0,1.0
2025-07-23,PELI,10.025,10.05,10.02,10.02,10.02,1954,0.0,1.0
2025-07-24,PELI,10.03,10.03,10.01,10.01,10.01,1816,0.0,1.0
2025-07-25,PELI,10.015,10.025,10.0,10.025,10.025,3894,0.0,1.0
2025-07-28,PELI,10.0,10.05,10.0,10.05,10.05,1657,0.0,1.0
2025-07-29,PELI,10.0,10.03,10.0,10.03,10.03,1762,0.0,1.0
2025-07-30,PELI,9.99,10.0075,9.99,10.0075,10.0075,4034,0.0,1.0
2025-07-31,PELI,10.0075,10.0075,10.0075,10.0075,10.0075,1173,0.0,1.0
2025-08-01,PELI,10.0,10.0,10.0,10.0,10.0,1226,0.0,1.0
2025-08-04,PELI,10.015,10.025,9.99,9.99,9.99,1568,0.0,1.0
2025-08-05,PELI,10.02,10.025,10.0,10.0,10.0,1536,0.0,1.0
2025-08-06,PELI,10.018,10.018,10.01,10.01,10.01,1910,0.0,1.0
2025-08-07,PELI,10.02,10.02,10.0,10.01,10.01,2849,0.0,1.0
2025-08-08,PELI,10.03,10.03,10.02,10.02,10.02,510,0.0,1.0
2025-08-11,PELI,10.02,10.02,10.0,10.0,10.0,400,0.0,1.0
2025-08-12,PELI,10.03,10.03,10.01,10.01,10.01,402,0.0,1.0
2025-08-13,PELI,10.03,10.03,10.01,10.01,10.01,461,0.0,1.0
2025-08-14,PELI,10.01,10.01,10.01,10.01,10.01,310,0.0,1.0
2025-08-15,PELI,10.015,10.015,10.01,10.01,10.01,300,0.0,1.0
2025-08-18,PELI,10.0,10.005,9.9999,10.005,10.005,40900,0.0,1.0
2025-08-19,PELI,10.0051,10.015,10.005,10.015,10.015,1781,0.0,1.0
2025-08-20,PELI,10.0298,10.03,10.015,10.015,10.015,1526,0.0,1.0
2025-08-21,PELI,10.03,10.03,10.015,10.015,10.015,1067,0.0,1.0
2025-08-22,PELI,10.02,10.02,10.01,10.01,10.01,1286,0.0,1.0
2025-08-25,PELI,10.03,10.03,10.01,10.01,10.01,1200,0.0,1.0
2025-08-26,PELI,10.01,10.03,10.01,10.03,10.03,22165,0.0,1.0
2025-08-27,PELI,10.01,10.01,10.01,10.01,10.01,92038,0.0,1.0
2025-08-28,PELI,10.01,10.02,10.01,10.02,10.02,26700,0.0,1.0
2025-08-29,PELI,10.02,10.03,10.02,10.03,10.03,32044,0.0,1.0
2025-09-02,PELI,10.03,10.03,10.02,10.02,10.02,9104,0.0,1.0
2025-09-03,PELI,10.03,10.03,10.02,10.03,10.03,178395,0.0,1.0
2025-09-04,PELI,10.02,10.02,10.01,10.01,10.01,44453,0.0,1.0
2025-09-05,PELI,10.03,10.03,10.03,10.03,10.03,4867,0.0,1.0
2025-09-08,PELI,10.038,10.04,10.03,10.035,10.035,5122,0.0,1.0
2025-09-09,PELI,10.03,10.03,10.03,10.03,10.03,11862,0.0,1.0
2025-09-10,PELI,10.05,10.05,10.03,10.03,10.03,14132,0.0,1.0
2025-09-11,PELI,10.0389,10.0389,10.02,10.02,10.02,21119,0.0,1.0
2025-09-12,PELI,10.04,10.04,10.03,10.03,10.03,15065,0.0,1.0
2025-09-15,PELI,10.05,10.05,10.03,10.03,10.03,501,0.0,1.0
2025-09-16,PELI,10.03,10.04,10.03,10.03,10.03,87886,0.0,1.0
2025-09-17,PELI,10.04,10.0457,10.04,10.0457,10.0457,100851,0.0,1.0
2025-09-18,PELI,10.04,10.04,10.04,10.04,10.04,30281,0.0,1.0
2025-09-19,PELI,10.04,10.045,10.03,10.03,10.03,1077,0.0,1.0
2025-09-22,PELI,10.05,10.06,10.04,10.05,10.05,15804,0.0,1.0
2025-09-23,PELI,10.0401,10.0405,10.0401,10.0405,10.0405,1510,0.0,1.0
2025-09-24,PELI,10.05,10.055,10.05,10.05,10.05,19802,0.0,1.0
2025-09-25,PELI,10.05,10.05,10.05,10.05,10.05,7116,0.0,1.0
2025-09-26,PELI,10.05,10.05,10.05,10.05,10.05,14958,0.0,1.0
2025-09-29,PELI,10.05,10.06,10.05,10.06,10.06,23336,0.0,1.0
2025-09-30,PELI,10.06,10.06,10.06,10.06,10.06,20000,0.0,1.0
2025-10-01,PELI,10.06,10.07,10.06,10.0635,10.0635,44335,0.0,1.0
2025-10-02,PELI,10.06,10.07,10.06,10.06,10.06,22250,0.0,1.0
2025-10-03,PELI,10.06,10.07,10.06,10.06,10.06,21846,0.0,1.0
2025-10-06,PELI,10.07,10.08,10.06,10.07,10.07,35548,0.0,1.0
2025-10-07,PELI,10.07,10.0824,10.07,10.0824,10.0824,11404,0.0,1.0
2025-10-08,PELI,10.07,10.07,10.06,10.06,10.06,5251,0.0,1.0
2025-10-09,PELI,10.06,10.06,10.06,10.06,10.06,2345,0.0,1.0
2025-10-10,PELI,10.09,10.09,10.06,10.09,10.09,2108,0.0,1.0
2025-10-13,PELI,10.06,10.06,10.06,10.06,10.06,261,0.0,1.0
2025-10-14,PELI,10.089,10.11,10.07,10.1027,10.1027,25885,0.0,1.0
2025-10-15,PELI,10.09,10.09,10.08,10.09,10.09,6956,0.0,1.0
2025-10-16,PELI,10.09,10.11,10.09,10.11,10.11,5498,0.0,1.0
2025-10-17,PELI,10.09,10.11,10.09,10.11,10.11,13346,0.0,1.0
2025-10-20,PELI,10.09,10.11,10.09,10.095,10.095,38120,0.0,1.0
2025-10-21,PELI,10.0907,10.11,10.09,10.11,10.11,1593,0.0,1.0
2025-10-22,PELI,10.11,10.12,10.11,10.11,10.11,75914,0.0,1.0
2025-10-23,PELI,10.1,10.105,10.1,10.105,10.105,429,0.0,1.0
2025-10-24,PELI,10.1,10.11,10.1,10.11,10.11,651,0.0,1.0
2025-10-27,PELI,10.09,10.12,10.09,10.12,10.12,8114,0.0,1.0
2025-10-28,PELI,10.12,10.12,10.09,10.0965,10.0965,4651,0.0,1.0
2025-10-29,PELI,10.0965,10.0965,10.0965,10.0965,10.0965,67,0.0,1.0
2025-10-30,PELI,10.0835,10.091,10.08,10.09,10.09,7843,0.0,1.0
2025-10-31,PELI,10.115,10.115,10.11,10.11,10.11,17678,0.0,1.0
2025-11-03,PELI,10.11,10.12,10.11,10.11,10.11,4770,0.0,1.0
2025-11-04,PELI,10.12,10.12,10.12,10.12,10.12,3614,0.0,1.0
2025-11-05,PELI,10.13,10.13,10.13,10.13,10.13,1143,0.0,1.0
2025-11-06,PELI,10.14,10.15,10.13,10.15,10.15,24976,0.0,1.0
2025-11-07,PELI,10.15,10.19,10.15,10.18,10.18,178544,0.0,1.0
2025-11-10,PELI,10.14,10.17,10.14,10.17,10.17,128125,0.0,1.0
2025-11-11,PELI,10.17,10.19,10.17,10.17,10.17,221783,0.0,1.0
2025-11-12,PELI,10.18,10.185,10.18,10.18,10.18,160710,0.0,1.0
2025-11-13,PELI,10.15,10.15,10.15,10.15,10.15,1318,0.0,1.0
2025-11-14,PELI,10.17,10.17,10.15,10.16,10.16,44703,0.0,1.0
2025-11-17,PELI,10.17,10.1755,10.14,10.14,10.14,100432,0.0,1.0
2025-11-18,PELI,10.12,10.13,10.12,10.13,10.13,1177,0.0,1.0
2025-11-19,PELI,10.14,10.14,10.13,10.1397,10.1397,2501,0.0,1.0
2025-11-20,PELI,10.13,10.13,10.13,10.13,10.13,1512,0.0,1.0
2025-11-21,PELI,10.17,10.17,10.13,10.13,10.13,9622,0.0,1.0
2025-11-24,PELI,10.12,10.135,10.12,10.13,10.13,2623,0.0,1.0
2025-11-25,PELI,10.13,10.13,10.13,10.13,10.13,111,0.0,1.0
2025-11-26,PELI,10.14,10.14,10.13,10.13,10.13,355,0.0,1.0
2025-11-28,PELI,10.12,10.12,10.12,10.12,10.12,270,0.0,1.0
2025-12-01,PELI,10.17,10.17,10.17,10.17,10.17,115,0.0,1.0
2025-12-02,PELI,10.17,10.17,10.15,10.15,10.15,211,0.0,1.0
2025-12-03,PELI,10.13,10.13,10.13,10.13,10.13,179,0.0,1.0
2025-12-04,PELI,10.12,10.145,10.09,10.14,10.14,41777,0.0,1.0
2025-12-05,PELI,10.14,10.14,10.14,10.14,10.14,38377,0.0,1.0
2025-12-08,PELI,10.14,10.15,10.14,10.15,10.15,6261,0.0,1.0
2025-12-09,PELI,10.14,10.1493,10.13,10.1493,10.1493,8406,0.0,1.0
2025-12-10,PELI,10.14,10.14,10.11,10.11,10.11,5321,0.0,1.0
2025-12-11,PELI,10.14,10.15,10.14,10.15,10.15,5658,0.0,1.0
2025-12-12,PELI,10.14,10.16,10.14,10.16,10.16,4638,0.0,1.0
2025-12-15,PELI,10.14,10.19,10.14,10.19,10.19,4347,0.0,1.0
2025-12-16,PELI,10.14,10.17,10.14,10.16,10.16,7713,0.0,1.0
2025-12-17,PELI,10.14,10.15,10.14,10.15,10.15,7584,0.0,1.0
2025-12-18,PELI,10.14,10.145,10.14,10.145,10.145,33524,0.0,1.0
2025-12-19,PELI,10.14,10.15,10.14,10.15,10.15,6761,0.0,1.0
2025-12-22,PELI,10.14,10.17,10.14,10.17,10.17,23002,0.0,1.0
2025-12-23,PELI,10.14,10.17,10.14,10.17,10.17,4184,0.0,1.0
2025-12-24,PELI,10.13,10.15,10.13,10.15,10.15,8132,0.0,1.0
2025-12-26,PELI,10.19,10.19,10.14,10.189,10.189,6233,0.0,1.0
